# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.345
metadata : {}


# id : NWRW1800000033.345.1.1
도청사건 - 兵風의혹 - BBK… 5년마다 폭로전

도청사건	도청/NNG+사건/NNG
검찰에	검찰/NNG+에/JKB
고발까지	고발/NNG+까지/JX
했지만	하/VV+았/EP+지만/EC
김영삼	김영삼/NNP
대통령의	대통령/NNG+의/JKG
결정으로	결정/NNG+으로/JKB
비자금	비자금/NNG
수사는	수사/NNG+는/JX
대선	대선/NNG
이후로	이후/NNG+로/JKB
보류됐다.	보류/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.345.5.4
김 후보가 대선에서 승리하면서 비자금 수사도 유야무야돼 결과적으로 이 폭로도 대선에 영향을 미치지 못했다.

김	김/NNP
후보가	후보/NNG+가/JKS
대선에서	대선/NNG+에서/JKB
승리하면서	승리/NNG+하/XSV+면서/EC
비자금	비자금/NNG
수사도	수사/NNG+도/JX
유야무야돼	유야무야/NNG+되/XSV+어/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
이	이/MMD
폭로도	폭로/NNG+도/JX
대선에	대선/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.345.6.1
반면 2002년 대선에서는 폭로가 대선 결과에 결정적 영향을 미쳤다.

반면	반면/NNG
2002년	2002/SN+년/NNB
대선에서는	대선/NNG+에서/JKB+는/JX
폭로가	폭로/NNG+가/JKS
대선	대선/NNG
결과에	결과/NNG+에/JKB
결정적	결정/NNG+적/XSN
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.345.6.2
이회창 후보 아들 정연 씨가 불법으로 병역을 면제받았고 이를 은폐하려 했다는 ‘병풍(兵風) 의혹’ 폭로와 ‘이 후보의 부인 한인옥 씨가 기양건설에서 10억 원을 받았다’, ‘이 후보가 최규선 씨로부터 20만 달러를 받았다’는 폭로가 이어졌다.

이회창	이회창/NNP
후보	후보/NNG
아들	아들/NNG
정연	정연/NNP
씨가	씨/NNB+가/JKS
불법으로	불법/NNG+으로/JKB
병역을	병역/NNG+을/JKO
면제받았고	면제/NNG+받/XSV+았/EP+고/EC
이를	이/NP+를/JKO
은폐하려	은폐/NNG+하/XSV+려/EC
했다는	하/VX+았/EP+다는/ETM
‘병풍(兵風)	‘/SS+병풍/NNG+(/SS+兵風/SH+)/SS
의혹’	의혹/NNG+’/SS
폭로와	폭로/NNG+와/JKB
‘이	‘/SS+이/NNP
후보의	후보/NNG+의/JKG
부인	부인/NNG
한인옥	한인옥/NNP
기양건설에서	기양건설/NNP+에서/JKB
10억	10/SN+억/NR
원을	원/NNB+을/JKO
받았다’,	받/VV+았/EP+다/EF+’/SS+,/SP
후보가	후보/NNG+가/JKS
최규선	최규선/NNP
씨로부터	씨/NNB+로부터/JKB
20만	20/SN+만/NR
달러를	달러/NNB+를/JKO
받았다’는	받/VV+았/EP+다/EF+’/SS+는/ETM
폭로가	폭로/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.345.6.3
이 후보는 박빙의 승부에서 57만 표 차로 패배했다.

이	이/NNP
후보는	후보/NNG+는/JX
박빙의	박빙/NNG+의/JKG
승부에서	승부/NNG+에서/JKB
57만	57/SN+만/NR
표	표/NNG
차로	차/NNG+로/JKB
패배했다.	패배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.6.4
선거가 끝난 후 이 의혹들은 모두 근거가 없는 것으로 밝혀졌고 폭로의 당사자들은 모두 법원에서 유죄를 선고받았지만 왜곡된 선거 결과를 바로잡을 길은 없었다.

선거가	선거/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
이	이/MMD
의혹들은	의혹/NNG+들/XSN+은/JX
모두	모두/MAG
근거가	근거/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
밝혀졌고	밝혀지/VV+었/EP+고/EC
폭로의	폭로/NNG+의/JKG
당사자들은	당사자/NNG+들/XSN+은/JX
법원에서	법원/NNG+에서/JKB
유죄를	유죄/NNG+를/JKO
선고받았지만	선고/NNG+받/XSV+았/EP+지만/EC
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
선거	선거/NNG
결과를	결과/NNG+를/JKO
바로잡을	바로잡/VV+을/ETM
길은	길/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.345.7.1
2007년 대선에서는 이명박 후보의 BBK 관련 의혹에 대한 폭로가 쏟아져 나왔다.

2007년	2007/SN+년/NNB
대선에서는	대선/NNG+에서/JKB+는/JX
이명박	이명박/NNP
후보의	후보/NNG+의/JKG
BBK	BBK/SL
관련	관련/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
폭로가	폭로/NNG+가/JKS
쏟아져	쏟아지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.7.2
‘이 후보가 BBK의 실소유주’, ‘BBK 주가조작 의혹’ 주장에 이어 BBK 사건의 핵심 관계자인 김경준 씨의 기획입국설까지 나왔다.

‘이	‘/SS+이/NNP
후보가	후보/NNG+가/JKS
BBK의	BBK/SL+의/JKG
실소유주’,	실소유주/NNG+’/SS+,/SP
‘BBK	‘/SS+BBK/SL
주가조작	주가/NNG+조작/NNG
의혹’	의혹/NNG+’/SS
주장에	주장/NNG+에/JKB
이어	잇/VV+어/EC
BBK	BBK/SL
사건의	사건/NNG+의/JKG
핵심	핵심/NNG
관계자인	관계자/NNG+이/VCP+ㄴ/ETM
김경준	김경준/NNP
씨의	씨/NNB+의/JKG
기획입국설까지	기획/NNG+입국설/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.7.3
그러나 ‘경제 대통령’을 내세운 이 후보는 연이은 BBK 폭로에도 불구하고 대세론을 업고 승리했다.

그러나	그러나/MAJ
‘경제	‘/SS+경제/NNG
대통령’을	대통령/NNG+’/SS+을/JKO
내세운	내세우/VV+ㄴ/ETM
이	이/NNP
후보는	후보/NNG+는/JX
연이은	연잇/VV+은/ETM
BBK	BBK/SL
폭로에도	폭로/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
대세론을	대세/NNG+론/XSN+을/JKO
업고	업/VV+고/EC
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


