# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.196
metadata : {}


# id : NWRW1800000046.196.1.1
김수남의 檢엔 '중수부'가 있다

김수남의	김수남/NNP+의/JKG
지난 2013년 4월 폐지된 대검 중수부가 2년 8개월여 만에 사실상 부활하는 것이다.

지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
4월	4/SN+월/NNB
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
대검	대검/NNG
중수부가	중수부/NNG+가/JKS
2년	2/SN+년/NNB
8개월여	8/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
사실상	사실/NNG+상/XSN
부활하는	부활/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.196.4.1
법무부와 대검은 조만간 실시될 차장검사급 이하 검사 인사를 앞두고 태스크포스에 파견할 검사 인선(人選)을 진행 중인 것으로 확인됐다.

법무부와	법무부/NNG+와/JC
대검은	대검/NNG+은/JX
조만간	조만간/MAG
실시될	실시/NNG+되/XSV+ㄹ/ETM
차장검사급	차장/NNG+검사급/NNG
이하	이하/NNG
검사	검사/NNG
인사를	인사/NNG+를/JKO
앞두고	앞두/VV+고/EC
태스크포스에	태스크포스/NNG+에/JKB
파견할	파견/NNG+하/XSV+ㄹ/ETM
인선(人選)을	인선/NNG+(/SS+人選/SH+)/SS+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.196.4.2
태스크포스 팀장은 김기동 대전고검 차장(검사장)이 내정된 것으로 전해졌다.

태스크포스	태스크포스/NNG
팀장은	팀장/NNG+은/JX
김기동	김기동/NNP
대전고검	대전고검/NNP
차장(검사장)이	차장/NNG+(/SS+검사장/NNG+)/SS+이/JKS
내정된	내정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.196.4.3
김 검사장은 서울중앙지검 특수1부장 출신으로 2013년 원전(原電) 비리 합동수사단에 이어 작년 11월부터 방산 비리 합동수사단을 이끌고 있다.

김	김/NNP
검사장은	검사장/NNG+은/JX
서울중앙지검	서울중앙지검/NNP
특수1부장	특수/NNG+1부장/NNG
출신으로	출신/NNG+으로/JKB
2013년	2013/SN+년/NNB
원전(原電)	원전/NNG+(/SS+原電/SH+)/SS
비리	비리/NNG
합동수사단에	합동/NNG+수사단/NNG+에/JKB
이어	잇/VV+어/EC
작년	작년/NNG
11월부터	11/SN+월/NNB+부터/JX
방산	방산/NNG
합동수사단을	합동/NNG+수사단/NNG+을/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.196.5.1
과거 대검 중수부는 검사장인 중수부장 산하에 수사1·2과와 수사지원과 등 3과(課)를 두고 검사 20명가량과 수사관 50여 명이 상주하는 매머드급 조직이었다.

과거	과거/NNG
대검	대검/NNG
중수부는	중수부/NNG+는/JX
검사장인	검사장/NNG+이/VCP+ㄴ/ETM
중수부장	중수부장/NNG
산하에	산하/NNG+에/JKB
수사1·2과와	수사/NNG+1/SN+·/SP+2/SN+과/NNG+와/JC
수사지원과	수사/NNG+지원/NNG+과/NNG
등	등/NNB
3과(課)를	3/SN+과/NNG+(/SS+課/SH+)/SS+를/JKO
두고	두/VV+고/EC
검사	검사/NNG
20명가량과	20/SN+명/NNB+가량/XSN+과/JC
수사관	수사관/NNG
50여	50/SN+여/XSN
명이	명/NNB+이/JKS
상주하는	상주/NNG+하/XSV+는/ETM
매머드급	매머드급/NNG
조직이었다.	조직/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.196.5.2
철저한 보안 속에서 장기간 내사를 거쳐 수사에 착수하면 기존 인력 외에 전국 검찰청에서 검사·수사관을 수십 명씩 파견받아 운용했다.

철저한	철저/NNG+하/XSA+ㄴ/ETM
보안	보안/NNG
속에서	속/NNG+에서/JKB
장기간	장기간/NNG
내사를	내사/NNG+를/JKO
거쳐	거치/VV+어/EC
수사에	수사/NNG+에/JKB
착수하면	착수/NNG+하/XSV+면/EC
기존	기존/NNG
인력	인력/NNG
외에	외/NNB+에/JKB
전국	전국/NNG
검찰청에서	검찰청/NNG+에서/JKB
검사·수사관을	검사/NNG+·/SP+수사관/NNG+을/JKO
수십	수십/NR
명씩	명/NNB+씩/XSN
파견받아	파견/NNG+받/XSV+아/EC
운용했다.	운용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.196.6.1
신설될 '반부패 TF'는 팀장과 부팀장(차장검사급) 아래 검사 5~6명가량으로 구성하되 경우에 따라 파견 인력을 확충하는 형태로 운영할 것으로 전해졌다.

신설될	신설/NNG+되/XSV+ㄹ/ETM
'반부패	'/SS+반/XPN+부패/NNG
TF'는	TF/SL+'/SS+는/JX
팀장과	팀장/NNG+과/JC
부팀장(차장검사급)	부팀장/NNG+(/SS+차장/NNG+검사급/NNG+)/SS
아래	아래/NNG
검사	검사/NNG
5~6명가량으로	5/SN+~/SO+6/SN+명/NNB+가량/XSN+으로/JKB
구성하되	구성/NNG+하/XSV+되/EC
경우에	경우/NNG+에/JKB
따라	따르/VV+아/EC
파견	파견/NNG
인력을	인력/NNG+을/JKO
확충하는	확충/NNG+하/XSV+는/ETM
형태로	형태/NNG+로/JKB
운영할	운영/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.196.6.2
대검 반부패부는 과거 중수부 기능 가운데 직접 수사 기능을 뺀 일선 지방검찰청 특수부에 대한 수사 지휘와 지원 기능을 담당하고 있다.

대검	대검/NNG
반부패부는	반/XPN+부패부/NNG+는/JX
과거	과거/NNG
중수부	중수부/NNG
기능	기능/NNG
가운데	가운데/NNG
직접	직접/MAG
수사	수사/NNG
기능을	기능/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
일선	일선/NNG
지방검찰청	지방/NNG+검찰청/NNG
특수부에	특수부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지휘와	지휘/NNG+와/JC
지원	지원/NNG
담당하고	담당/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.196.6.3
여기에다 반부패 TF가 직접 수사를 담당하게 되면 중수부의 기능이 모두 복원되는 셈이다.

여기에다	여기/NP+에다/JKB
반부패	반/XPN+부패/NNG
TF가	TF/SL+가/JKS
직접	직접/MAG
수사를	수사/NNG+를/JKO
담당하게	담당/NNG+하/XSV+게/EC
되면	되/VV+면/EC
중수부의	중수부/NNG+의/JKG
기능이	기능/NNG+이/JKS
모두	모두/MAG
복원되는	복원/NNG+되/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.196.7.1
1981년 설립된 대검 중수부는 이철희·장영자 어음 사기 사건, 5공 비리 사건, 한보 비리, 이용호 게이트, 대선 자금 비리 등을 수사하며 검찰의 간판 수사기관으로 자리매김했다.

1981년	1981/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
대검	대검/NNG
중수부는	중수부/NNG+는/JX
이철희·장영자	이철희/NNP+·/SP+장영자/NNP
어음	어음/NNG
사기	사기/NNG
사건,	사건/NNG+,/SP
5공	5/SN+공/NNG
비리	비리/NNG
한보	한보/NNP
비리,	비리/NNG+,/SP
이용호	이용호/NNP
게이트,	게이트/NNG+,/SP
대선	대선/NNG
자금	자금/NNG
등을	등/NNB+을/JKO
수사하며	수사/NNG+하/XSV+며/EC
검찰의	검찰/NNG+의/JKG
간판	간판/NNG
수사기관으로	수사/NNG+기관/NNG+으로/JKB
자리매김했다.	자리매김/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.196.7.2
2000년 이후 중수부가 기소한 국회의원, 고위 공직자가 100명 가깝다.

2000년	2000/SN+년/NNB
이후	이후/NNG
중수부가	중수부/NNG+가/JKS
기소한	기소/NNG+하/XSV+ㄴ/ETM
국회의원,	국회/NNG+의원/NNG+,/SP
고위	고위/NNG
공직자가	공직자/NNG+가/JKS
100명	100/SN+명/NNB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000046.196.7.3
그러나 화려함 이면에는 그림자도 짙었다.

그러나	그러나/MAJ
화려함	화려하/VA+ㅁ/ETN
이면에는	이면/NNG+에/JKB+는/JX
그림자도	그림자/NNG+도/JX
짙었다.	짙/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.196.7.4
특히 2012년 11월 중수부 검사들이 주축이 돼 한상대 총장 퇴진을 요구하는 검란(檢亂) 사태를 빚으면서 스스로 몰락의 길을 걸었다.

특히	특히/MAG
2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
중수부	중수부/NNG
검사들이	검사/NNG+들/XSN+이/JKS
주축이	주축/NNG+이/JKC
돼	되/VV+어/EC
한상대	한상대/NNP
총장	총장/NNG
퇴진을	퇴진/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
검란(檢亂)	검란/NNG+(/SS+檢亂/SH+)/SS
사태를	사태/NNG+를/JKO
빚으면서	빚/VV+으면서/EC
스스로	스스로/MAG
몰락의	몰락/NNG+의/JKG
길을	길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.196.8.1
'중수부 부활'에는 지난 2일 취임한 김수남 총장의 의중이 담겼다고 한다.

'중수부	'/SS+중수부/NNG
부활'에는	부활/NNG+'/SS+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
김수남	김수남/NNP
총장의	총장/NNG+의/JKG
의중이	의중/NNG+이/JKS
담겼다고	담기/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.196.8.2
김 총장은 검찰의 특수 수사 실력이 약화됐다는 지적 등에 대해 '부패 사범 수사에 공백이 생기지 않도록 효율적 수사 시스템이 필요하다'고 말해왔다.

김	김/NNP
총장은	총장/NNG+은/JX
검찰의	검찰/NNG+의/JKG
특수	특수/NNG
수사	수사/NNG
실력이	실력/NNG+이/JKS
약화됐다는	약화/NNG+되/XSV+었/EP+다는/ETM
지적	지적/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
'부패	'/SS+부패/NNG
사범	사범/NNG
수사에	수사/NNG+에/JKB
공백이	공백/NNG+이/JKS
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
효율적	효율/NNG+적/XSN
시스템이	시스템/NNG+이/JKS
필요하다'고	필요/NNG+하/XSA+다/EF+'/SS+고/JKQ
말해왔다.	말/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.196.8.3
중수부 폐지 이후 주요 사건 수사가 서울중앙지검에 몰리면서 서울중앙지검장에게 과도한 힘이 쏠리는 것을 견제하려는 목적도 없지 않다.

중수부	중수부/NNG
폐지	폐지/NNG
이후	이후/NNG
주요	주요/NNG
사건	사건/NNG
수사가	수사/NNG+가/JKS
서울중앙지검에	서울중앙지검/NNP+에/JKB
몰리면서	몰리/VV+면서/EC
서울중앙지검장에게	서울중앙지검장/NNG+에게/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
힘이	힘/NNG+이/JKS
쏠리는	쏠리/VV+는/ETM
것을	것/NNB+을/JKO
견제하려는	견제/NNG+하/XSV+려는/ETM
목적도	목적/NNG+도/JX
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000046.196.9.1
그러나 중수부 부활에 대한 우려 목소리도 나온다.

그러나	그러나/MAJ
중수부	중수부/NNG
부활에	부활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려	우려/NNG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.196.9.2
총장이 사실상 지휘하는 중수부 수사는 그 성패(成敗)에 따른 부담이 총장에게 직접 넘어가는 구조다.

총장이	총장/NNG+이/JKS
사실상	사실/NNG+상/XSN
지휘하는	지휘/NNG+하/XSV+는/ETM
중수부	중수부/NNG
수사는	수사/NNG+는/JX
그	그/MMD
성패(成敗)에	성패/NNG+(/SS+成敗/SH+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
부담이	부담/NNG+이/JKS
총장에게	총장/NNG+에게/JKB
직접	직접/MAG
넘어가는	넘어가/VV+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.196.9.3
이 때문에 총장이 끊임없이 정치적 논란에 휩싸일 수밖에 없다.

이	이/MMD
때문에	때문/NNB+에/JKB
총장이	총장/NNG+이/JKS
끊임없이	끊임없이/MAG
정치적	정치/NNG+적/XSN
논란에	논란/NNG+에/JKB
휩싸일	휩싸이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.196.9.4
검사장 출신 변호사는 "중수부 부활에 따른 논란은 피할 수 없겠지만, 결국 수사 성과로 극복해야 하지 않겠느냐"고 말했다.

검사장	검사장/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
"중수부	"/SS+중수부/NNG
부활에	부활/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
논란은	논란/NNG+은/JX
피할	피하/VV+ㄹ/ETM
수	수/NNB
없겠지만,	없/VA+겠/EP+지만/EC+,/SP
결국	결국/MAG
수사	수사/NNG
성과로	성과/NNG+로/JKB
극복해야	극복/NNG+하/XSV+아야/EC
하지	하/VX+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


