# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.346
metadata : {}


# id : NWRW1800000028.346.1.1
‘부당공권력 희생자’ 명예회복 외면한 법원

‘부당공권력	‘/SS+부당/NNG+공권력/NNG
경찰에 끌려간 뒤 자살한 것처럼 꾸며져 발견된 신호수씨에 대해 법원은 증거 불충분을 이유로 경찰의 가혹행위를 인정하지 않았다.

경찰에	경찰/NNG+에/JKB
끌려간	끌려가/VV+ㄴ/ETM
뒤	뒤/NNG
자살한	자살/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
꾸며져	꾸미/VV+어/EC+지/VX+어/EC
발견된	발견/NNG+되/XSV+ㄴ/ETM
신호수씨에	신호수/NNP+씨/NNB+에/JKB
대해	대하/VV+아/EC
법원은	법원/NNG+은/JX
증거	증거/NNG
불충분을	불충분/NNG+을/JKO
이유로	이유/NNG+로/JKB
경찰의	경찰/NNG+의/JKG
가혹행위를	가혹/NNG+행위/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.346.2.6
강산이 두번 바뀌었지만, 그들은 눈을 감지 못한다.

강산이	강산/NNG+이/JKS
두번	두/MMN+번/NNB
바뀌었지만,	바뀌/VV+었/EP+지만/EC+,/SP
그들은	그/NP+들/XSN+은/JX
눈을	눈/NNG+을/JKO
감지	감/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.346.2.7
6일 오후 2시 서울중앙지법 560호실에는 정적이 흘렀다.

6일	6/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울중앙지법	서울중앙지법/NNP
560호실에는	560/SN+호실/NNG+에/JKB+는/JX
정적이	정적/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.346.2.8
이제는 70대가 된 신정학(72)씨가 초조한 눈빛으로 법대를 올려다봤다.

이제는	이제/NNG+는/JX
70대가	70/SN+대/NNB+가/JKC
된	되/VV+ㄴ/ETM
신정학(72)씨가	신정학/NNP+(/SS+72/SN+)/SS+씨/NNB+가/JKS
초조한	초조/NNG+하/XSA+ㄴ/ETM
눈빛으로	눈빛/NNG+으로/JKB
법대를	법대/NNG+를/JKO
올려다봤다.	올려다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.2.9
신씨는 1986년 경찰에 연행됐다가 목을 매 숨진 채 발견된 고 신호수(당시 22)씨의 아버지다.

신씨는	신/NNP+씨/NNB+는/JX
1986년	1986/SN+년/NNB
경찰에	경찰/NNG+에/JKB
연행됐다가	연행/NNG+되/XSV+었/EP+다가/EC
목을	목/NNG+을/JKO
매	매/VV+어/EC
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견된	발견/NNG+되/XSV+ㄴ/ETM
고	고/MMA
신호수(당시	신호수/NNP+(/SS+당시/NNG
22)씨의	22/SN+)/SS+씨/NNB+의/JKG
아버지다.	아버지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.346.3.1
재판부(서울중앙지법 민사합의 36부·재판장 김정원)는 그러나, “피고 대한민국의 불법 구속으로 인한 위자료 청구를 인정하나 경찰의 가혹행위는 증거 불충분으로 인정하지 않는다”며 총 8900만원의 위자료와 지연손해금을 지급하라고 판결했다.

재판부(서울중앙지법	재판부/NNG+(/SS+서울중앙지법/NNP
민사합의	민사/NNG+합의/NNG
36부·재판장	36/SN+부/NNG+·/SP+재판장/NNG
김정원)는	김정원/NNP+)/SS+는/JX
그러나,	그러나/MAJ+,/SP
“피고	“/SS+피고/NNG
대한민국의	대한민국/NNP+의/JKG
불법	불법/NNG
구속으로	구속/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
위자료	위자료/NNG
청구를	청구/NNG+를/JKO
인정하나	인정/NNG+하/XSV+나/EC
경찰의	경찰/NNG+의/JKG
가혹행위는	가혹/NNG+행위/NNG+는/JX
증거	증거/NNG
불충분으로	불충분/NNG+으로/JKB
인정하지	인정/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
총	총/MMA
8900만원의	8900/SN+만/NR+원/NNB+의/JKG
위자료와	위자료/NNG+와/JC
지연손해금을	지연/NNG+손해금/NNG+을/JKO
지급하라고	지급/NNG+하/XSV+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.3.2
한숨소리가 법정에 가득했다.

한숨소리가	한/XPN+숨/NNG+소리/NNG+가/JKS
법정에	법정/NNG+에/JKB
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000028.346.3.3
재판정을 빠져나온 신정학씨는 말없이 담배를 피워 물었다.

재판정을	재판정/NNG+을/JKO
빠져나온	빠져나오/VV+ㄴ/ETM
신정학씨는	신정학/NNP+씨/NNB+는/JX
말없이	말없이/MAG
담배를	담배/NNG+를/JKO
피워	피우/VV+어/EC
물었다.	물/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.346.4.1
신호수씨가 발견된 곳은 그의 고향인 전남 여수시 돌산읍 대미산의 자그마한 굴속이었다.

신호수씨가	신호수/NNP+씨/NNB+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
그의	그/NP+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
전남	전남/NNP
여수시	여수시/NNP
돌산읍	돌산읍/NNP
대미산의	대미산/NNP+의/JKG
자그마한	자그마하/VA+ㄴ/ETM
굴속이었다.	굴속/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.346.4.2
입고 있던 옷을 이용해 목을 맨 채였다.

입고	입/VV+고/EC
있던	있/VX+던/ETM
옷을	옷/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
목을	목/NNG+을/JKO
맨	매/VV+ㄴ/ETM
채였다.	채/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.346.4.3
두 팔은 허리띠로 몸통에 묶여 있었다.

두	두/MMN
팔은	팔/NNG+은/JX
허리띠로	허리띠/NNG+로/JKB
몸통에	몸통/NNG+에/JKB
묶여	묶이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.346.4.4
소지품은 모두 불에 탔지만, 라이터는 없었다.

소지품은	소지품/NNG+은/JX
모두	모두/MAG
불에	불/NNG+에/JKB
탔지만,	타/VV+았/EP+지만/EC+,/SP
라이터는	라이터/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.346.4.5
1986년 6월19일 해안초소에서 야간근무를 마치고 귀가하던 육군 방위병이 시신을 발견했다.

1986년	1986/SN+년/NNB
6월19일	6/SN+월/NNB+19/SN+일/NNB
해안초소에서	해안/NNG+초소/NNG+에서/JKB
야간근무를	야간/NNG+근무/NNG+를/JKO
마치고	마치/VV+고/EC
귀가하던	귀가/NNG+하/XSV+던/ETM
육군	육군/NNG
방위병이	방위병/NNG+이/JKS
시신을	시신/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.5.1
신정학(74)씨가 아들의 주검을 본 것은 그로부터 일주일이 지난 6월27일이었다.

신정학(74)씨가	신정학/NNP+(/SS+74/SN+)/SS+씨/NNB+가/JKS
아들의	아들/NNG+의/JKG
주검을	주검/NNG+을/JKO
본	보/VV+ㄴ/ETM
것은	것/NNB+은/JX
그로부터	그/NP+로부터/JKB
일주일이	일주일/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
6월27일이었다.	6/SN+월/NNB+27/SN+일/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.346.5.2
여주경찰서가 아들을 가매장한 뒤였다.

여주경찰서가	여주경찰서/NNP+가/JKS
아들을	아들/NNG+을/JKO
가매장한	가/XPN+매장/NNG+하/XSV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.346.5.3
아들을 다시 파내 부검을 했다.

아들을	아들/NNG+을/JKO
다시	다시/MAG
파내	파내/VV+어/EC
부검을	부검/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.5.4
의사는 안구가 부패했음에도 ‘각막은 혼탁하고 안구는 충혈’이라고 적을 만큼 허술한 감정서를 작성했다.

의사는	의사/NNG+는/JX
안구가	안구/NNG+가/JKS
부패했음에도	부패/NNG+하/XSV+았/EP+음/ETN+에/JKB+도/JX
‘각막은	‘/SS+각막/NNG+은/JX
혼탁하고	혼탁/NNG+하/XSA+고/EC
안구는	안구/NNG+는/JX
충혈’이라고	충혈/NNG+’/SS+이라고/JKQ
적을	적/VV+을/ETM
만큼	만큼/NNB
허술한	허술하/VA+ㄴ/ETM
감정서를	감정서/NNG+를/JKO
작성했다.	작성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.5.5
그러고는 아무도 이 죽음에 대해 이야기하지 않았다.

그러고는	그러/VV+고는/EC
아무도	아무/NP+도/JX
이	이/MMD
죽음에	죽음/NNG+에/JKB
대해	대하/VV+아/EC
이야기하지	이야기/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.346.6.1
“공부를 잘하는 자랑스런” 아들은 고등학교 1학년이던 1980년 집안 형편이 어려워지자 자퇴한 뒤 검정고시를 통과했다.

“공부를	“/SS+공부/NNG+를/JKO
잘하는	잘/MAG+하/XSV+는/ETM
자랑스런”	자랑/NNG+스럽/XSA+ㄴ/ETM+”/SS
아들은	아들/NNG+은/JX
고등학교	고등학교/NNG
1학년이던	1/SN+학년/NNG+이/VCP+던/ETM
1980년	1980/SN+년/NNB
집안	집안/NNG
형편이	형편/NNG+이/JKS
어려워지자	어렵/VA+어/EC+지/VX+자/EC
자퇴한	자퇴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
검정고시를	검정고시/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.6.2
방위병으로 병역을 마친 아들은 인천의 엘피(LP) 가스 배달업체에서 일했다.

방위병으로	방위병/NNG+으로/JKB
병역을	병역/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
아들은	아들/NNG+은/JX
인천의	인천/NNP+의/JKG
엘피(LP)	엘피/NNG+(/SS+LP/SL+)/SS
가스	가스/NNG
배달업체에서	배달업체/NNG+에서/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.7.1
1986년 6월11일 서울 서부경찰서 대공과 소속 경찰관 3명이 아들을 찾아왔다.

1986년	1986/SN+년/NNB
6월11일	6/SN+월/NNB+11/SN+일/NNB
서울	서울/NNP
서부경찰서	서부/NNG+경찰서/NNG
대공과	대공/NNG+과/NNG
소속	소속/NNG
경찰관	경찰관/NNG
3명이	3/SN+명/NNB+이/JKS
아들을	아들/NNG+을/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.7.2
아들이 살던 장흥 자취집에서 ‘북한 삐라’가 발견됐다고 했다.

아들이	아들/NNG+이/JKS
살던	살/VV+던/ETM
장흥	장흥/NNP
자취집에서	자취/NNG+집/NNG+에서/JKB
‘북한	‘/SS+북한/NNP
삐라’가	삐라/NNG+’/SS+가/JKS
발견됐다고	발견/NNG+되/XSV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.7.3
아들의 군부대는 삐라를 모아오면 특별휴가를 주곤해 아들은 늘 삐라를 모았다.

아들의	아들/NNG+의/JKG
군부대는	군부대/NNG+는/JX
삐라를	삐라/NNG+를/JKO
모아오면	모으/VV+아/EC+오/VX+면/EC
특별휴가를	특별/NNG+휴가/NNG+를/JKO
주곤해	주/VV+곤/EC+하/VX+아/EC
아들은	아들/NNG+은/JX
늘	늘/MAG
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.7.4
하지만 경찰은 ‘장흥 공작’이라는 이름으로 아들을 간첩으로 몰아 연행했다.

하지만	하지만/MAJ
경찰은	경찰/NNG+은/JX
‘장흥	‘/SS+장흥/NNP
공작’이라는	공작/NNG+’/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
아들을	아들/NNG+을/JKO
간첩으로	간첩/NNG+으로/JKB
몰아	몰/VV+아/EC
연행했다.	연행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.7.5
경찰은 아들의 시신이 발견된 뒤 “연행 뒤 3시간 만에 풀어주었다”고 했지만, 이는 거짓이었다.

경찰은	경찰/NNG+은/JX
아들의	아들/NNG+의/JKG
시신이	시신/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
“연행	“/SS+연행/NNG
3시간	3/SN+시간/NNB
만에	만/NNB+에/JKB
풀어주었다”고	풀/VV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
이는	이/NP+는/JX
거짓이었다.	거짓/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.346.7.6
지난해 11월10일 진실·화해를 위한 과거사정리위원회는 아들이 간첩사건 조작에 나선 경찰의 가혹행위로 사망한 뒤 자살로 위장됐다는 내용을 확인하고 진실 규명 결정을 내렸다.

지난해	지난해/NNG
11월10일	11/SN+월/NNB+10/SN+일/NNB
진실·화해를	진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회는	과거사/NNG+정리/NNG+위원회/NNG+는/JX
아들이	아들/NNG+이/JKS
간첩사건	간첩/NNG+사건/NNG
조작에	조작/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
가혹행위로	가혹/NNG+행위/NNG+로/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
자살로	자살/NNG+로/JKB
위장됐다는	위장/NNG+되/XSV+었/EP+다는/ETM
내용을	내용/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
진실	진실/NNG
규명	규명/NNG
결정을	결정/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.346.8.1
하지만 법원은 경찰의 가혹행위로 아들이 죽었다고 볼 증거가 부족하다고 판단했다.

하지만	하지만/MAJ
법원은	법원/NNG+은/JX
경찰의	경찰/NNG+의/JKG
가혹행위로	가혹/NNG+행위/NNG+로/JKB
아들이	아들/NNG+이/JKS
죽었다고	죽/VV+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
증거가	증거/NNG+가/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.8.2
신씨는 항소하겠다고 했다.

신씨는	신/NNP+씨/NNB+는/JX
항소하겠다고	항소/NNG+하/XSV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.8.3
24년간 계속된 싸움은 아직 끝나지 않았다.

24년간	24/SN+년/NNB+간/XSN
계속된	계속/NNG+되/XSV+ㄴ/ETM
싸움은	싸움/NNG+은/JX
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


