# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.10
metadata : {}


# id : NWRW1800000033.10.1.1
엔터株 ‘고평가’ 논란

엔터株	엔터/NNG+株/SH
미래에셋증권이 ‘고성장을 감안해도 현재의 주가는 부담스러운 수준’이라며 목표주가 5만1000원과 투자의견 중립을 제시한 영향이 컸다.

미래에셋증권이	미래에셋증권/NNP+이/JKS
‘고성장을	‘/SS+고/XPN+성장/NNG+을/JKO
감안해도	감안/NNG+하/XSV+아도/EC
현재의	현재/NNG+의/JKG
주가는	주가/NNG+는/JX
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
수준’이라며	수준/NNG+’/SS+이/VCP+라며/EC
목표주가	목표/NNG+주가/NNG
5만1000원과	5/SN+만/NR+1000/SN+원/NNB+과/JC
투자의견	투자/NNG+의견/NNG
중립을	중립/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
영향이	영향/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.10.5.1
정우철 미래에셋증권 연구원은 “YG엔터의 사업은 실적 변동성이 높으며 최근 경쟁사 신규 아티스트들의 시장 진입으로 경쟁도 치열해지고 있다”며 “올해 엔터테인먼트 업종 주가수익비율(PER)이 15.9배인 반면에 YG엔터는 이미 25.1배에 이르고 있다는 점에서 현 주가를 차익 실현의 기회로 활용해야 할 것”이라고 내다봤다.

정우철	정우철/NNP
미래에셋증권	미래에셋증권/NNP
연구원은	연구원/NNG+은/JX
“YG엔터의	“/SS+YG엔터/NNP+의/JKG
사업은	사업/NNG+은/JX
실적	실적/NNG
변동성이	변동/NNG+성/XSN+이/JKS
높으며	높/VA+으며/EC
최근	최근/MAG
경쟁사	경쟁사/NNG
신규	신규/NNG
아티스트들의	아티스트/NNG+들/XSN+의/JKG
시장	시장/NNG
진입으로	진입/NNG+으로/JKB
경쟁도	경쟁/NNG+도/JX
치열해지고	치열/NNG+하/XSA+아/EC+지/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“올해	“/SS+올해/NNG
엔터테인먼트	엔터테인먼트/NNG
업종	업종/NNG
주가수익비율(PER)이	주가/NNG+수익/NNG+비율/NNG+(/SS+PER/SL+)/SS+이/JKS
15.9배인	15/SN+./SP+9/SN+배/NNG+이/VCP+ㄴ/ETM
반면에	반면/NNG+에/JKB
YG엔터는	YG엔터/NNP+는/JX
이미	이미/MAG
25.1배에	25/SN+./SP+1/SN+배/NNG+에/JKB
이르고	이르/VV+고/EC
있다는	있/VX+다는/ETM
점에서	점/NNG+에서/JKB
현	현/MMD
주가를	주가/NNG+를/JKO
차익	차익/NNG
실현의	실현/NNG+의/JKG
기회로	기회/NNG+로/JKB
활용해야	활용/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.10.5.2
한마디로 이젠 가격이 지나치게 높다는 얘기.

한마디로	한마디/NNG+로/JKB
이젠	이제/NNG+ㄴ/JX
가격이	가격/NNG+이/JKS
지나치게	지나치/VA+게/EC
높다는	높/VA+다는/ETM
얘기.	얘기/NNG+./SF


# id : NWRW1800000033.10.6.1
다만 정 연구원은 “(올해 복귀한 빅뱅의) 일본 콘서트 매출액은 40억∼50억 원 정도 발생할 것으로 보인다”며 “올해 총 16개국에서 콘서트를 할 예정인 빅뱅 관련 매출액은 전년 대비 67.8% 증가한 537억 원에 이를 것”이라고 성장성은 인정했다.

다만	다만/MAG
정	정/NNP
연구원은	연구원/NNG+은/JX
“(올해	“/SS+(/SS+올해/NNG
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
빅뱅의)	빅뱅/NNP+의/JKG+)/SS
일본	일본/NNP
콘서트	콘서트/NNG
매출액은	매출액/NNG+은/JX
40억∼50억	40/SN+억/NR+∼/SO+50/SN+억/NR
원	원/NNB
정도	정도/NNG
발생할	발생/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“올해	“/SS+올해/NNG
총	총/MMA
16개국에서	16/SN+개국/NNB+에서/JKB
콘서트를	콘서트/NNG+를/JKO
할	하/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
빅뱅	빅뱅/NNP
관련	관련/NNG
전년	전년/NNG
대비	대비/NNG
67.8%	67/SN+./SP+8/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
537억	537/SN+억/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
성장성은	성장/NNG+성/XSN+은/JX
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.10.7.1
고평가 논란은 YG에만 해당되는 사안이 아니다.

고평가	고/XPN+평가/NNG
논란은	논란/NNG+은/JX
YG에만	YG/SL+에/JKB+만/JX
해당되는	해당/NNG+되/XSV+는/ETM
사안이	사안/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.10.7.2
미래에셋증권에 따르면 올해 실적 기준 PER는 에스엠이 14.1배, 로엔이 16.2배다.

미래에셋증권에	미래에셋증권/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
실적	실적/NNG
기준	기준/NNG
PER는	PER/SL+는/JX
에스엠이	에스엠/NNP+이/JKS
14.1배,	14/SN+./SP+1/SN+배/NNG+,/SP
로엔이	로엔/NNP+이/JKS
16.2배다.	16/SN+./SP+2/SN+배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.10.7.3
일본 엔터테인먼트업종 내 1위 업체인 에이벡스그룹의 PER가 7.4배 수준에 불과한 것을 감안해보면 상당히 높은 수준인 셈이다.

일본	일본/NNP
엔터테인먼트업종	엔터테인먼트/NNG+업종/NNG
내	내/NNB
1위	1/SN+위/NNB
업체인	업체/NNG+이/VCP+ㄴ/ETM
에이벡스그룹의	에이벡스그룹/NNP+의/JKG
PER가	PER/SL+가/JKS
7.4배	7/SN+./SP+4/SN+배/NNG
수준에	수준/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
감안해보면	감안/NNG+하/XSV+아/EC+보/VX+면/EC
상당히	상당히/MAG
높은	높/VA+은/ETM
수준인	수준/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.10.8.1
정 연구원은 “엔터테인먼트 사업의 경쟁력은 소속 계약 아티스트에게 집중되어 있으며 아티스트들의 인기도 변화에 따라 영업실적 변동성이 클 수밖에 없다”며 “과도한 프리미엄 부여는 적절해 보이지 않는다”고 지적했다.

정	정/NNP
연구원은	연구원/NNG+은/JX
“엔터테인먼트	“/SS+엔터테인먼트/NNG
사업의	사업/NNG+의/JKG
경쟁력은	경쟁력/NNG+은/JX
소속	소속/NNG
계약	계약/NNG
아티스트에게	아티스트/NNG+에게/JKB
집중되어	집중/NNG+되/XSV+어/EC
있으며	있/VX+으며/EC
아티스트들의	아티스트/NNG+들/XSN+의/JKG
인기도	인기도/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
영업실적	영업/NNG+실적/NNG
변동성이	변동/NNG+성/XSN+이/JKS
클	크/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“과도한	“/SS+과도/NNG+하/XSA+ㄴ/ETM
프리미엄	프리미엄/NNG
부여는	부여/NNG+는/JX
적절해	적절하/VA+아/EC
보이지	보이/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.10.8.2
한편 에스엠은 이날 전 거래일보다 1.54% 상승한 5만2600원에 거래를 마치며 반등에 성공했다.

한편	한편/MAG
에스엠은	에스엠/NNP+은/JX
이날	이날/NNG
전	전/MMD
거래일보다	거래일/NNG+보다/JKB
1.54%	1/SN+./SP+54/SN+%/SW
상승한	상승/NNG+하/XSV+ㄴ/ETM
5만2600원에	5/SN+만/NR+2600/SN+원/NNB+에/JKB
거래를	거래/NNG+를/JKO
마치며	마치/VV+며/EC
반등에	반등/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


