# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.42
metadata : {}


# id : NWRW1800000053.42.1.1
“시신 겹겹 쌓인 방에 가둬 인간의 악마성 끝을 봤다”

“시신	“/SS+시신/NNG
고향을	고향/NNG+을/JKO
탈출했지.	탈출/NNG+하/XSV+았/EP+지/EF+./SF


# id : NWRW1800000053.42.5.3
레바논에 정착했지만 1년도 안 돼 가족들을 먹여 살리기 위해 학교를 떠나 일을 해야 했어.

레바논에	레바논/NNP+에/JKB
정착했지만	정착/NNG+하/XSV+았/EP+지만/EC
1년도	1/SN+년/NNB+도/JX
안	안/MAG
돼	되/VV+어/EC
가족들을	가족/NNG+들/XSN+을/JKO
먹여	먹이/VV+어/EC
살리기	살리/VV+기/ETN
위해	위하/VV+아/EC
학교를	학교/NNG+를/JKO
떠나	떠나/VV+아/EC
일을	일/NNG+을/JKO
해야	하/VV+아야/EC
했어.	하/VX+았/EP+어/EF+./SF


# id : NWRW1800000053.42.5.4
하지만 체류 허가를 받지 못하면서 그마저도 못 하고 다시 시리아로 쫓겨났어.

하지만	하지만/MAJ
체류	체류/NNG
허가를	허가/NNG+를/JKO
받지	받/VV+지/EC
못하면서	못하/VX+면서/EC
그마저도	그/NP+마저/JX+도/JX
못	못/MAG
하고	하/VV+고/EC
다시	다시/MAG
시리아로	시리아/NNP+로/JKB
쫓겨났어.	쫓겨나/VV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.6.1
2015년 1월쯤이었을 거야.

2015년	2015/SN+년/NNB
1월쯤이었을	1/SN+월/NNB+쯤/XSN+이/VCP+었/EP+을/ETM
거야.	거/NNB+이/VCP+야/EF+./SF


# id : NWRW1800000053.42.6.2
집으로 가려고 다마스쿠스를 지나가다 공안요원들에게 체포됐지.

집으로	집/NNG+으로/JKB
가려고	가/VV+려고/EC
다마스쿠스를	다마스쿠스/NNP+를/JKO
지나가다	지나가/VV+다/EC
공안요원들에게	공안/NNG+요원/NNG+들/XSN+에게/JKB
체포됐지.	체포/NNG+되/XSV+었/EP+지/EF+./SF


# id : NWRW1800000053.42.6.3
내가 바샤르 알 아사드 정권에 반대하는 시위에 참가했다는데 나는 그런 적이 없거든.

내가	내/NP+가/JKS
바샤르	바샤르/NNP
알	알/NNP
아사드	아사드/NNP
정권에	정권/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
시위에	시위/NNG+에/JKB
참가했다는데	참가/NNG+하/XSV+았/EP+다는데/EC
나는	나/NP+는/JX
그런	그런/MMD
적이	적/NNB+이/JKS
없거든.	없/VA+거든/EF+./SF


# id : NWRW1800000053.42.6.4
반군 점령지인 알레포 출신이라는 이유만으로 누명을 씌워 잡아넣은 거지.

반군	반군/NNG
점령지인	점령지/NNG+이/VCP+ㄴ/ETM
알레포	알레포/NNP
출신이라는	출신/NNG+이/VCP+라는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
누명을	누명/NNG+을/JKO
씌워	씌우/VV+어/EC
잡아넣은	잡아넣/VV+은/ETM
거지.	거/NNB+이/VCP+지/EF+./SF


# id : NWRW1800000053.42.7.1
아사드 정권은 당시 열다섯 살이던 나를 불법 체포해 고문하고 굶기며 육체적·정신적 트라우마를 안겨줬어.

아사드	아사드/NNP
정권은	정권/NNG+은/JX
당시	당시/NNG
열다섯	열다섯/NR
살이던	살/NNB+이/VCP+던/ETM
나를	나/NP+를/JKO
불법	불법/NNG
체포해	체포/NNG+하/XSV+아/EC
고문하고	고문/NNG+하/XSV+고/EC
굶기며	굶기/VV+며/EC
육체적·정신적	육체/NNG+적/XSN+·/SP+정신/NNG+적/XSN
트라우마를	트라우마/NNG+를/JKO
안겨줬어.	안기/VV+어/EC+주/VX+었/EP+어/EF+./SF


# id : NWRW1800000053.42.7.2
58일 동안 매일 고문과 신문을 당한 끝에 가짜 자백서에 서명해야 했어.

58일	58/SN+일/NNB
동안	동안/NNG
매일	매일/MAG
고문과	고문/NNG+과/JC
신문을	신문/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
가짜	가짜/NNG
자백서에	자백서/NNG+에/JKB
서명해야	서명/NNG+하/XSV+아야/EC
했어.	하/VX+았/EP+어/EF+./SF


# id : NWRW1800000053.42.7.3
신문하는 사람이 써준 종이에는 하지도 않은 일을 내가 자백하고 내가 알지도 못하는 사람들을 고발하는 내용이 적혀 있었어.

신문하는	신문/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
써준	쓰/VV+어/EC+주/VX+ㄴ/ETM
종이에는	종이/NNG+에/JKB+는/JX
하지도	하/VV+지/EC+도/JX
않은	않/VX+은/ETM
일을	일/NNG+을/JKO
내가	내/NP+가/JKS
자백하고	자백/NNG+하/XSV+고/EC
알지도	알/VV+지/EC+도/JX
못하는	못하/VX+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
고발하는	고발/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
적혀	적히/VV+어/EC
있었어.	있/VX+었/EP+어/EF+./SF


# id : NWRW1800000053.42.7.4
행방을 알 수 없는 내 친형제가 반군에 투신했다는 내용도 있었지.

행방을	행방/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
내	나/NP+의/JKG
친형제가	친/XPN+형제/NNG+가/JKS
반군에	반군/NNG+에/JKB
투신했다는	투신/NNG+하/XSV+았/EP+다는/ETM
내용도	내용/NNG+도/JX
있었지.	있/VA+었/EP+지/EF+./SF


# id : NWRW1800000053.42.8.1
나는 4개월 반 동안 너무 굶고 매일 두드려 맞아서 사람처럼 보이질 않았어.

나는	나/NP+는/JX
4개월	4/SN+개월/NNB
반	반/NNG
동안	동안/NNG
너무	너무/MAG
굶고	굶/VV+고/EC
매일	매일/MAG
두드려	두드리/VV+어/EC
맞아서	맞/VV+아서/EC
사람처럼	사람/NNG+처럼/JKB
보이질	보이/VV+지/EC+ㄹ/JX
않았어.	않/VX+았/EP+어/EF+./SF


# id : NWRW1800000053.42.8.2
그리고 다른 감옥으로 이감됐지.

그리고	그리고/MAJ
다른	다른/MMD
감옥으로	감옥/NNG+으로/JKB
이감됐지.	이감/NNG+되/XSV+었/EP+지/EF+./SF


# id : NWRW1800000053.42.8.3
거기는 더 끔찍했어.

거기는	거기/NP+는/JX
더	더/MAG
끔찍했어.	끔찍하/VA+았/EP+어/EF+./SF


# id : NWRW1800000053.42.8.4
신체 곳곳에 전기고문을 당했고 천장에 매달려 학대받았어.

신체	신체/NNG
곳곳에	곳곳/NNG+에/JKB
전기고문을	전기/NNG+고문/NNG+을/JKO
당했고	당하/VV+았/EP+고/EC
천장에	천장/NNG+에/JKB
매달려	매달리/VV+어/EC
학대받았어.	학대/NNG+받/XSV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.8.5
‘윈드 카펫’이라는 고문도 당했어.

‘윈드	‘/SS+윈드/NNG
카펫’이라는	카펫/NNG+’/SS+이/VCP+라는/ETM
고문도	고문/NNG+도/JX
당했어.	당하/VV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.8.6
내가 바닥에 깔린 널빤지 위에 엎드리면 팔을 위로, 다리를 아래로 묶고는 널빤지 앞부분을 치켜들어서 머리와 뒤꿈치가 맞닿게 하는 고문이야.

내가	내/NP+가/JKS
바닥에	바닥/NNG+에/JKB
깔린	깔리/VV+ㄴ/ETM
널빤지	널빤지/NNG
위에	위/NNG+에/JKB
엎드리면	엎드리/VV+면/EC
팔을	팔/NNG+을/JKO
위로,	위/NNG+로/JKB+,/SP
다리를	다리/NNG+를/JKO
아래로	아래/NNG+로/JKB
묶고는	묶/VV+고/EC+는/JX
앞부분을	앞/NNG+부분/NNG+을/JKO
치켜들어서	치켜들/VV+어서/EC
머리와	머리/NNG+와/JC
뒤꿈치가	뒤꿈치/NNG+가/JKS
맞닿게	맞닿/VV+게/EC
하는	하/VX+는/ETM
고문이야.	고문/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000053.42.8.7
척추가 활처럼 휘어지는데 아주 고통스럽지.

척추가	척추/NNG+가/JKS
활처럼	활/NNG+처럼/JKB
휘어지는데	휘어지/VV+는데/EC
아주	아주/MAG
고통스럽지.	고통/NNG+스럽/XSA+지/EF+./SF


# id : NWRW1800000053.42.8.8
이런 식의 고문이 3개월 동안 이어졌어.

이런	이런/MMD
식의	식/NNB+의/JKG
고문이	고문/NNG+이/JKS
3개월	3/SN+개월/NNB
동안	동안/NNG
이어졌어.	이어지/VV+었/EP+어/EF+./SF


# id : NWRW1800000053.42.9.1
여기서도 죽지 않고 버티니까 인간 도살장이라 불리는 사이드나야 군사감옥으로 옮겨졌어.

여기서도	여기/NP+서/JKB+도/JX
죽지	죽/VV+지/EC
않고	않/VX+고/EC
버티니까	버티/VV+니까/EC
인간	인간/NNG
도살장이라	도살장/NNG+이/VCP+라/EC
불리는	불리/VV+는/ETM
사이드나야	사이드나야/NNP
군사감옥으로	군사/NNG+감옥/NNG+으로/JKB
옮겨졌어.	옮기/VV+어/EC+지/VX+었/EP+어/EF+./SF


# id : NWRW1800000053.42.9.2
감옥 옆에 화형장을 마련해 두고 매일같이 시신을 불태운다고 미국이 위성사진을 찍어 폭로하기도 했던 곳이야.

감옥	감옥/NNG
옆에	옆/NNG+에/JKB
화형장을	화형장/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
두고	두/VX+고/EC
매일같이	매일/NNG+같이/JKB
시신을	시신/NNG+을/JKO
불태운다고	불태우/VV+ㄴ다고/EC
미국이	미국/NNP+이/JKS
위성사진을	위성/NNG+사진/NNG+을/JKO
찍어	찍/VV+어/EC
폭로하기도	폭로/NNG+하/XSV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
곳이야.	곳/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000053.42.9.3
그곳에서 나는 진정한 지옥을 경험했어.

그곳에서	그곳/NP+에서/JKB
나는	나/NP+는/JX
진정한	진정하/VA+ㄴ/ETM
지옥을	지옥/NNG+을/JKO
경험했어.	경험/NNG+하/XSV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.9.4
매일 아침 같은 방의 누군가가 죽어 나가는 장면을 보며 하루를 시작했어.

매일	매일/MAG
아침	아침/NNG
같은	같/VA+은/ETM
방의	방/NNG+의/JKG
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
죽어	죽/VV+어/EC
나가는	나가/VX+는/ETM
장면을	장면/NNG+을/JKO
보며	보/VV+며/EC
하루를	하루/NNG+를/JKO
시작했어.	시작/NNG+하/XSV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.9.5
오직 밤에 눈 감고 잠드는 때에야 비로소 내가 사람이라는 걸 느낄 수 있었어.

오직	오직/MAG
밤에	밤/NNG+에/JKB
눈	눈/NNG
감고	감/VV+고/EC
잠드는	잠들/VV+는/ETM
때에야	때/NNG+에/JKB+야/JX
비로소	비로소/MAG
내가	내/NP+가/JKS
사람이라는	사람/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었어.	있/VA+었/EP+어/EF+./SF


# id : NWRW1800000053.42.10.1
사이드나야 감옥에선 간수가 수감자끼리 서로 성폭행하도록 시키고 이 장면을 보는 걸 즐겨.

사이드나야	사이드나야/NNP
감옥에선	감옥/NNG+에서/JKB+ㄴ/JX
간수가	간수/NNG+가/JKS
수감자끼리	수감자/NNG+끼리/XSN
서로	서로/MAG
성폭행하도록	성폭행/NNG+하/XSV+도록/EC
시키고	시키/VV+고/EC
이	이/MMD
장면을	장면/NNG+을/JKO
보는	보/VV+는/ETM
걸	거/NNB+ㄹ/JKO
즐겨.	즐기/VV+어/EF+./SF


# id : NWRW1800000053.42.10.2
간수가 수감자를 성폭행하기도 하지.

간수가	간수/NNG+가/JKS
수감자를	수감자/NNG+를/JKO
성폭행하기도	성폭행/NNG+하/XSV+기/ETN+도/JX
하지.	하/VX+지/EF+./SF


# id : NWRW1800000053.42.10.3
어떤 간수는 수감자들에게 친구나 가족을 직접 죽이라고 강요해.

어떤	어떤/MMD
간수는	간수/NNG+는/JX
수감자들에게	수감자/NNG+들/XSN+에게/JKB
친구나	친구/NNG+나/JC
가족을	가족/NNG+을/JKO
직접	직접/MAG
죽이라고	죽이/VV+라고/EC
강요해.	강요/NNG+하/XSV+아/EF+./SF


# id : NWRW1800000053.42.10.4
거절하면 고문이나 처형을 당하지.

거절하면	거절/NNG+하/XSV+면/EC
고문이나	고문/NNG+이나/JC
처형을	처형/NNG+을/JKO
당하지.	당하/VV+지/EF+./SF


# id : NWRW1800000053.42.10.5
수감자들이 집단으로 교수형을 당했고, 간수가 수감자 목을 발로 짓눌러 죽이기도 했어.

수감자들이	수감자/NNG+들/XSN+이/JKS
집단으로	집단/NNG+으로/JKB
교수형을	교수형/NNG+을/JKO
당했고,	당하/VV+았/EP+고/EC+,/SP
간수가	간수/NNG+가/JKS
수감자	수감자/NNG
목을	목/NNG+을/JKO
발로	발/NNG+로/JKB
짓눌러	짓누르/VV+어/EC
죽이기도	죽이/VV+기/ETN+도/JX
했어.	하/VX+았/EP+어/EF+./SF


# id : NWRW1800000053.42.10.6
중간에 병원이라는 곳에 다녀왔는데, 시신들이 겹겹이 쌓여 있는 3m²짜리 방에 음식을 일절 주지 않고 이틀 동안 가둬뒀어.

중간에	중간/NNG+에/JKB
병원이라는	병원/NNG+이/VCP+라는/ETM
곳에	곳/NNG+에/JKB
다녀왔는데,	다녀오/VV+았/EP+는데/EC+,/SP
시신들이	시신/NNG+들/XSN+이/JKS
겹겹이	겹겹이/MAG
쌓여	쌓이/VV+어/EC
있는	있/VX+는/ETM
3m²짜리	3/SN+m²/SW+짜리/XSN
방에	방/NNG+에/JKB
음식을	음식/NNG+을/JKO
일절	일절/MAG
주지	주/VV+지/EC
않고	않/VX+고/EC
이틀	이틀/NNG
동안	동안/NNG
가둬뒀어.	가두/VV+어/EC+두/VX+었/EP+어/EF+./SF


# id : NWRW1800000053.42.11.1
나는 체포된 지 10개월 만인 2015년 11월에야 자유의 몸이 됐어(청년은 석방된 이유를 밝히지 않았다. 끝내 무고함이 밝혀졌거나, 원하는 정보를 얻지 못하자 풀어준 것으로 추정된다).

나는	나/NP+는/JX
체포된	체포/NNG+되/XSV+ㄴ/ETM
지	지/NNB
10개월	10/SN+개월/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
2015년	2015/SN+년/NNB
11월에야	11/SN+월/NNB+에/JKB+야/JX
자유의	자유/NNG+의/JKG
몸이	몸/NNG+이/JKC
됐어(청년은	되/VV+었/EP+어/EF+(/SS+청년/NNG+은/JX
석방된	석방/NNG+되/XSV+ㄴ/ETM
이유를	이유/NNG+를/JKO
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF
끝내	끝내/MAG
무고함이	무고하/VA+ㅁ/ETN+이/JKS
밝혀졌거나,	밝혀지/VV+었/EP+거나/EC+,/SP
원하는	원/NNG+하/XSV+는/ETM
정보를	정보/NNG+를/JKO
얻지	얻/VV+지/EC
못하자	못하/VX+자/EC
풀어준	풀/VV+어/EC+주/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다).	추정/NNG+되/XSV+ㄴ다/EF+)/SS+./SF


# id : NWRW1800000053.42.11.2
감옥에서 나오자마자 시리아를 탈출했지만 미래에 대한 희망은 전혀 없어.

감옥에서	감옥/NNG+에서/JKB
나오자마자	나오/VV+자마자/EC
시리아를	시리아/NNP+를/JKO
탈출했지만	탈출/NNG+하/XSV+았/EP+지만/EC
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망은	희망/NNG+은/JX
전혀	전혀/MAG
없어.	없/VA+어/EF+./SF


# id : NWRW1800000053.42.11.3
몸은 자유지만 마음은 여전히 수감 상태야.

몸은	몸/NNG+은/JX
자유지만	자유/NNG+이/VCP+지만/EC
마음은	마음/NNG+은/JX
여전히	여전히/MAG
수감	수감/NNG
상태야.	상태/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000053.42.11.4
동료 수감자들이 고문에 울부짖는 비명소리가 여전히 귀에 생생해.

동료	동료/NNG
수감자들이	수감자/NNG+들/XSN+이/JKS
고문에	고문/NNG+에/JKB
울부짖는	울부짖/VV+는/ETM
비명소리가	비명/NNG+소리/NNG+가/JKS
여전히	여전히/MAG
귀에	귀/NNG+에/JKB
생생해.	생생하/VA+아/EF+./SF


# id : NWRW1800000053.42.11.5
시리아 감옥에는 여전히 20만 명 넘는 사람이 갇혀 있어.

시리아	시리아/NNP
감옥에는	감옥/NNG+에/JKB+는/JX
여전히	여전히/MAG
20만	20/SN+만/NR
명	명/NNB
넘는	넘/VV+는/ETM
사람이	사람/NNG+이/JKS
갇혀	갇히/VV+어/EC
있어.	있/VX+어/EF+./SF


# id : NWRW1800000053.42.11.6
내 이야기는 수십만 시리아 사람들의 흔한 이야기 중 하나일 뿐이야.

내	나/NP+의/JKG
이야기는	이야기/NNG+는/JX
수십만	수십만/NR
시리아	시리아/NNP
사람들의	사람/NNG+들/XSN+의/JKG
흔한	흔하/VA+ㄴ/ETM
이야기	이야기/NNG
중	중/NNB
하나일	하나/NR+이/VCP+ㄹ/ETM
뿐이야.	뿐/NNB+이/VCP+야/EF+./SF


