# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.343
metadata : {}


# id : NWRW1800000029.343.1.1
[美, 대북 식량지원 재개 검토]“北 UEP, 6者서 다루면 회담 좌초될 수도”

[美,	[/SS+美/SH+,/SP
논의에	논의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지는	의지/NNG+는/JX
강력하다.	강력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.343.3.2
이명박 대통령은 15일 마에하라 세이지(前原誠司) 일본 외상을 만나 “UEP 문제는 안보리로 가져가야 한다”고 말했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
마에하라	마에하라/NNP
세이지(前原誠司)	세이지/NNP+(/SS+前原誠司/SH+)/SS
일본	일본/NNP
외상을	외상/NNG+을/JKO
만나	만나/VV+아/EC
“UEP	“/SS+UEP/SL
문제는	문제/NNG+는/JX
안보리로	안보리/NNG+로/JKB
가져가야	가져가/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.343.3.3
그럼에도 20일 미중 정상회담에서 UEP의 안보리 논의가 명시되지 않자 당국자들은 불만을 표시해왔다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
20일	20/SN+일/NNB
미중	미/NNP+중/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
UEP의	UEP/SL+의/JKG
안보리	안보리/NNG
논의가	논의/NNG+가/JKS
명시되지	명시/NNG+되/XSV+지/EC
않자	않/VX+자/EC
당국자들은	당국자/NNG+들/XSN+은/JX
불만을	불만/NNG+을/JKO
표시해왔다.	표시/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.343.4.1
정부는 북한이 ‘우라늄농축 시설은 9·19공동성명 등 과거에 합의된 것이 아니라 새로운 것’이라고 주장하면서 버틸 가능성이 크다고 판단하고 있다.

정부는	정부/NNG+는/JX
북한이	북한/NNP+이/JKS
‘우라늄농축	‘/SS+우라늄/NNG+농축/NNG
시설은	시설/NNG+은/JX
9·19공동성명	9/SN+·/SP+19/SN+공동/NNG+성명/NNG
등	등/NNB
과거에	과거/NNG+에/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
새로운	새롭/VA+ㄴ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
주장하면서	주장/NNG+하/XSV+면서/EC
버틸	버티/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.343.4.2
따라서 안보리에서 북한의 UEP가 안보리 결의 1718호와 1874호, 그리고 9·19공동성명 위반임을 명확히 할 필요가 있다는 설명이다.

따라서	따라서/MAJ
안보리에서	안보리/NNG+에서/JKB
북한의	북한/NNP+의/JKG
UEP가	UEP/SL+가/JKS
안보리	안보리/NNG
결의	결의/NNG
1718호와	1718/SN+호/NNB+와/JC
1874호,	1874/SN+호/NNB+,/SP
그리고	그리고/MAJ
9·19공동성명	9/SN+·/SP+19/SN+공동/NNG+성명/NNG
위반임을	위반/NNG+이/VCP+ㅁ/ETN+을/JKO
명확히	명확히/MAG
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VV+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.343.5.1
천영우 대통령 외교안보수석비서관은 27일 민주평화통일자문회의 회의에서 “(북핵 해결을 위한) 외교가 제대로 된 힘을 발휘하려면 강력한 제재가 있어야 하고 제재가 제대로 효과를 발휘하지 못하면 6자회담이 열려도 (북한이) 핵을 내놓지 않을 것”이라고 말했다.

천영우	천영우/NNP
대통령	대통령/NNG
외교안보수석비서관은	외교/NNG+안보/NNG+수석/NNG+비서관/NNG+은/JX
27일	27/SN+일/NNB
민주평화통일자문회의	민주/NNG+평화/NNG+통일/NNG+자문/NNG+회의/NNG
회의에서	회의/NNG+에서/JKB
“(북핵	“/SS+(/SS+북핵/NNG
해결을	해결/NNG+을/JKO
위한)	위하/VV+ㄴ/ETM+)/SS
외교가	외교/NNG+가/JKS
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
힘을	힘/NNG+을/JKO
발휘하려면	발휘/NNG+하/XSV+려면/EC
강력한	강력/NNG+하/XSA+ㄴ/ETM
제재가	제재/NNG+가/JKS
있어야	있/VV+어야/EC
하고	하/VX+고/EC
효과를	효과/NNG+를/JKO
발휘하지	발휘/NNG+하/XSV+지/EC
못하면	못하/VX+면/EC
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
열려도	열리/VV+어도/EC
(북한이)	(/SS+북한/NNP+이/JKS+)/SS
핵을	핵/NNG+을/JKO
내놓지	내놓/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.343.6.1
하지만 중국의 반대가 문제다.

하지만	하지만/MAJ
중국의	중국/NNP+의/JKG
반대가	반대/NNG+가/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.343.6.2
스타인버그 부장관은 이 점을 우려하며 28일 중국을 방문해 이 문제를 논의해보겠다고 밝혔지만 중국이 UEP의 안보리 논의를 받아들일 가능성은 크지 않다는 관측이다.

스타인버그	스타인버그/NNP
부장관은	부장관/NNG+은/JX
이	이/MMD
점을	점/NNG+을/JKO
우려하며	우려/NNG+하/XSV+며/EC
28일	28/SN+일/NNB
중국을	중국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
논의해보겠다고	논의/NNG+하/XSV+아/EC+보/VX+겠/EP+다고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
중국이	중국/NNP+이/JKS
UEP의	UEP/SL+의/JKG
안보리	안보리/NNG
논의를	논의/NNG+를/JKO
받아들일	받아들이/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
크지	크/VA+지/EC
않다는	않/VX+다는/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.343.7.1
정부 고위 당국자는 26일 “UEP에 대해 국제사회의 강력한 메시지가 필요하며 이 방법은 안보리를 포함해 여러 장(場)이 있다”고 말했다.

정부	정부/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
26일	26/SN+일/NNB
“UEP에	“/SS+UEP/SL+에/JKB
대해	대하/VV+아/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
메시지가	메시지/NNG+가/JKS
필요하며	필요/NNG+하/XSA+며/EC
이	이/MMD
방법은	방법/NNG+은/JX
안보리를	안보리/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
여러	여러/MMN
장(場)이	장/NNG+(/SS+場/SH+)/SS+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.343.7.2
하지만 안보리를 제외한 다른 ‘장’은 현실적으로 6자회담이 될 수밖에 없다는 분석이 나온다.

하지만	하지만/MAJ
안보리를	안보리/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
‘장’은	‘/SS+장/NNG+’/SS+은/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


