# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.233
metadata : {}


# id : NWRW1800000022.233.1.1
[눈에 띄는 신상품] '투기등급' 회사채에 집중적으로 투자… '고위험 고수익' 펀드;프랭클린템플턴투신서 출시

[눈에	[/SS+눈/NNG+에/JKB
오는	오/VV+는/ETM
6일부터	6/SN+일/NNB+부터/JX
하나은행	하나은행/NNP
골드클럽,	골드/NNG+클럽/NNG+,/SP
유진투자증권	유진투자증권/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
판매하며,	판매/NNG+하/XSV+며/EC+,/SP
7월	7/SN+월/NNB
중에	중/NNB+에/JKB
판매처를	판매처/NNG+를/JKO
SC제일은행	SC제일은행/NNP
등으로	등/NNB+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.233.4.1
◆상품 특징은

◆상품	◆/SW+상품/NNG
특징은	특징/NNG+은/JX


# id : NWRW1800000022.233.5.1
이 펀드는 국제 신용평가기관 S&P 기준으로 'BBB' 이하, 이른바 '투기등급' 회사채에 집중적으로 투자한다.

이	이/MMD
펀드는	펀드/NNG+는/JX
국제	국제/NNG
신용평가기관	신용/NNG+평가/NNG+기관/NNG
S&P	S/SL+&/SW+P/SL
기준으로	기준/NNG+으로/JKB
'BBB'	'/SS+BBB/SL+'/SS
이하,	이하/NNG+,/SP
이른바	이른바/MAG
'투기등급'	'/SS+투기/NNG+등급/NNG+'/SS
회사채에	회사채/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
투자한다.	투자/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.233.5.2
향후 3~5년간 기업의 추정수익이 예상 손실이나 부도 위험을 넘어서는 1500개 이상 종목을 투자대상으로 하여 철저한 개별 기업 분석을 통해 재무구조, 현금흐름, 시장점유율 등을 고려해 100~150개 종목 정도에 최종적으로 투자한다.

향후	향후/NNG
3~5년간	3/SN+~/SO+5/SN+년/NNB+간/XSN
기업의	기업/NNG+의/JKG
추정수익이	추정/NNG+수익/NNG+이/JKS
예상	예상/NNG
손실이나	손실/NNG+이나/JC
부도	부도/NNG
위험을	위험/NNG+을/JKO
넘어서는	넘어서/VV+는/ETM
1500개	1500/SN+개/NNB
이상	이상/NNG
종목을	종목/NNG+을/JKO
투자대상으로	투자/NNG+대상/NNG+으로/JKB
하여	하/VV+아/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
개별	개별/NNG
기업	기업/NNG
분석을	분석/NNG+을/JKO
통해	통하/VV+아/EC
재무구조,	재무/NNG+구조/NNG+,/SP
현금흐름,	현금/NNG+흐름/NNG+,/SP
시장점유율	시장/NNG+점유/NNG+율/XSN
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
100~150개	100/SN+~/SO+150/SN+개/NNB
종목	종목/NNG
정도에	정도/NNG+에/JKB
최종적으로	최종/NNG+적/XSN+으로/JKB
투자한다.	투자/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.233.6.1
이런 하이일드 채권의 특징은 수익률이 기준금리보다는 전반적인 경제상황과 개별 기업의 신용등급에 훨씬 민감하게 반응한다는 것이다.

이런	이런/MMD
하이일드	하이일드/NNG
채권의	채권/NNG+의/JKG
특징은	특징/NNG+은/JX
수익률이	수익/NNG+률/XSN+이/JKS
기준금리보다는	기준/NNG+금리/NNG+보다/JKB+는/JX
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
경제상황과	경제/NNG+상황/NNG+과/JKB
개별	개별/NNG
기업의	기업/NNG+의/JKG
신용등급에	신용/NNG+등급/NNG+에/JKB
훨씬	훨씬/MAG
민감하게	민감/NNG+하/XSA+게/EC
반응한다는	반응/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.233.7.1
지난 1996년 3월 설정돼 현재 약 17억 달러 규모로 운용되고 있는 'FTIF Franklin High Yield Fund'에 투자자금의 60% 이상을 투자하는 재간접펀드다.

지난	지나/VV+ㄴ/ETM
1996년	1996/SN+년/NNB
3월	3/SN+월/NNB
설정돼	설정/NNG+되/XSV+어/EC
현재	현재/MAG
약	약/MMA
17억	17/SN+억/NR
달러	달러/NNB
규모로	규모/NNG+로/JKB
운용되고	운용/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
'FTIF	'/SS+FTIF/SL
Franklin	Franklin/SL
High	High/SL
Yield	Yield/SL
Fund'에	Fund/SL+'/SS+에/JKB
투자자금의	투자/NNG+자금/NNG+의/JKG
60%	60/SN+%/SW
이상을	이상/NNG+을/JKO
투자하는	투자/NNG+하/XSV+는/ETM
재간접펀드다.	재/XPN+간접/NNG+펀드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.233.7.2
기존 역외펀드의 경우 환 헤지를 하려면 판매사에서 따로 선물환 계약을 맺어야 했지만, 이 펀드는 운용사에서 직접 환헤지를 담당하는 것이 특징이다.

기존	기존/NNG
역외펀드의	역외/NNG+펀드/NNG+의/JKG
경우	경우/NNG
환	환/NNG
헤지를	헤지/NNG+를/JKO
하려면	하/VV+려면/EC
판매사에서	판매사/NNG+에서/JKB
따로	따로/MAG
선물환	선물환/NNG
계약을	계약/NNG+을/JKO
맺어야	맺/VV+어야/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
이	이/MMD
펀드는	펀드/NNG+는/JX
운용사에서	운용사/NNG+에서/JKB
직접	직접/MAG
환헤지를	환/NNG+헤지/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.233.8.1
◆투자 위험은

◆투자	◆/SW+투자/NNG
위험은	위험/NNG+은/JX


# id : NWRW1800000022.233.9.1
신용등급이 낮은 기업에 투자하기 때문에 그만큼 부도 위험도 크다.

신용등급이	신용/NNG+등급/NNG+이/JKS
낮은	낮/VA+은/ETM
기업에	기업/NNG+에/JKB
투자하기	투자/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
그만큼	그만큼/MAG
부도	부도/NNG
위험도	위험/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000022.233.9.2
프랭클린템플턴투신운용에 따르면 올해 3월 말 이 펀드가 투자하는 기업들의 부도율은 6%를 웃돈 것으로 집계됐다.

프랭클린템플턴투신운용에	프랭클린템플턴투신운용/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
3월	3/SN+월/NNB
말	말/NNB
이	이/MMD
펀드가	펀드/NNG+가/JKS
투자하는	투자/NNG+하/XSV+는/ETM
기업들의	기업/NNG+들/XSN+의/JKG
부도율은	부도/NNG+율/XSN+은/JX
6%를	6/SN+%/SW+를/JKO
웃돈	웃돌/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.233.9.3
이 펀드를 운용하는 베시 호프만(Hofman) 포트폴리오매니저는 "앞으로 12~18개월 동안은 부도율이 상승할 것으로 전망한다"고 말했다.

이	이/MMD
펀드를	펀드/NNG+를/JKO
운용하는	운용/NNG+하/XSV+는/ETM
베시	베시/NNP
호프만(Hofman)	호프만/NNP+(/SS+Hofman/SL+)/SS
포트폴리오매니저는	포트폴리오/NNG+매니저/NNG+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
12~18개월	12/SN+~/SO+18/SN+개월/NNB
동안은	동안/NNG+은/JX
부도율이	부도/NNG+율/XSN+이/JKS
상승할	상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한다"고	전망/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


