# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.272
metadata : {}


# id : NWRW1800000049.272.1.1
[허문명의 프리킥]대한민국 모욕한 이우환 화백

[허문명의	[/SS+허문명/NNP+의/JKG
싸움을,	싸움/NNG+을/JKO+,/SP
그것도	그것/NP+도/JX
생존	생존/NNG
거장의	거장/NNG+의/JKG
작품을	작품/NNG+을/JKO
겨냥하는	겨냥/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
해봐야	하/VV+아/EC+보/VX+아야/EC
몸과	몸/NNG+과/JC
마음만	마음/NNG+만/JX
상한다는	상하/VV+ㄴ다는/ETM
생각	생각/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.272.3.5
수사가 제대로 이뤄질지 불신도 컸다고 했다.

수사가	수사/NNG+가/JKS
제대로	제대로/MAG
이뤄질지	이뤄지/VV+ㄹ지/EC
불신도	불신/NNG+도/JX
컸다고	크/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.272.3.6
국과수 감정이 나오고 위조단도 잡혔지만 선생은 여전히 편치 않아 보였다.

국과수	국과수/NNP
감정이	감정/NNG+이/JKS
나오고	나오/VV+고/EC
위조단도	위조단/NNG+도/JX
잡혔지만	잡히/VV+었/EP+지만/EC
선생은	선생/NNG+은/JX
여전히	여전히/MAG
편치	편하/VA+지/EC
않아	않/VX+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.272.3.7
그의 말이다.

그의	그/NP+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.272.4.1
“이번에 문제가 된 작품들은 새 캔버스를 헌것처럼, 새 틀을 헌 틀처럼 보이게 해 비전문가라도 의심할 수 있는 수준이었다.

“이번에	“/SS+이번/NNG+에/JKB
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
작품들은	작품/NNG+들/XSN+은/JX
새	새/MMA
캔버스를	캔버스/NNG+를/JKO
헌것처럼,	헌것/NNG+처럼/JKB+,/SP
틀을	틀/NNG+을/JKO
헌	헌/MMA
틀처럼	틀/NNG+처럼/JKB
보이게	보이/VV+게/EC
해	하/VX+아/EC
비전문가라도	비/XPN+전문가/NNG+이/VCP+라도/EC
의심할	의심/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.272.4.2
점과 선 몇 개뿐인 원작은 그리기도 쉽고 재료도 물감 하나로 너무 단순해 마음만 먹으면 얼마든지 위조가 가능하다.

점과	점/NNG+과/JC
선	선/NNG
몇	몇/NR
개뿐인	개/NNB+뿐/NNB+이/VCP+ㄴ/ETM
원작은	원작/NNG+은/JX
그리기도	그리/VV+기/ETN+도/JX
쉽고	쉽/VA+고/EC
재료도	재료/NNG+도/JX
물감	물감/NNG
하나로	하나/NR+로/JKB
너무	너무/MAG
단순해	단순/NNG+하/XSA+아/EC
마음만	마음/NNG+만/JX
먹으면	먹/VV+으면/EC
얼마든지	얼마/NNG+든지/JX
위조가	위조/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.272.4.3
… 위작을 솎아내면 진품의 가치가 올라가는데 작가 본인이 가짜를 진짜라 우기는 상황은 전혀 예상하지 못했다.”

…	…/SE
위작을	위작/NNG+을/JKO
솎아내면	솎/VV+아/EC+내/VX+면/EC
진품의	진품/NNG+의/JKG
가치가	가치/NNG+가/JKS
올라가는데	올라가/VV+는데/EC
작가	작가/NNG
본인이	본인/NNG+이/JKS
가짜를	가짜/NNG+를/JKO
진짜라	진짜/NNG+이/VCP+라/EC
우기는	우기/VV+는/ETM
상황은	상황/NNG+은/JX
전혀	전혀/MAG
예상하지	예상/NNG+하/XSV+지/EC
못했다.”	못하/VX+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.272.5.1
요즘 미술계는 이우환 화백 이야기만 나오면 자조와 탄식이 대세다.

요즘	요즘/NNG
미술계는	미술/NNG+계/XSN+는/JX
이우환	이우환/NNP
화백	화백/NNG
이야기만	이야기/NNG+만/JX
나오면	나오/VV+면/EC
자조와	자조/NNG+와/JC
탄식이	탄식/NNG+이/JKS
대세다.	대세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.272.5.2
무엇보다 이 화백이 대한민국 경찰과 국과수를 믿을 게 못 되는 집단으로 깔아뭉개는 태도에 분노하는 목소리가 높다.

무엇보다	무엇/NP+보다/JKB
이	이/NNP
화백이	화백/NNG+이/JKS
대한민국	대한민국/NNP
경찰과	경찰/NNG+과/JC
국과수를	국과수/NNP+를/JKO
믿을	믿/VV+을/ETM
게	거/NNB+이/JKS
못	못/MAG
되는	되/VV+는/ETM
집단으로	집단/NNG+으로/JKB
깔아뭉개는	깔아뭉개/VV+는/ETM
태도에	태도/NNG+에/JKB
분노하는	분노/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.272.5.3
60대의 중견 작가는 “그가 대한민국을 무시하고 있다는 모욕감을 느꼈다”며 이렇게 말했다.

60대의	60/SN+대/NNB+의/JKG
중견	중견/NNG
작가는	작가/NNG+는/JX
“그가	“/SS+그/NP+가/JKS
대한민국을	대한민국/NNP+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
모욕감을	모욕감/NNG+을/JKO
느꼈다”며	느끼/VV+었/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.272.6.1
“작품에서야 얼마든지 법과 공권력을 조롱할 수 있는 게 예술의 특권이라 하지만 예술가의 삶마저 법과 국가권력을 무시해도 좋다는 것은 아니지 않은가.

“작품에서야	“/SS+작품/NNG+에서/JKB+야/JX
얼마든지	얼마/NNG+든지/JX
법과	법/NNG+과/JC
공권력을	공권력/NNG+을/JKO
조롱할	조롱/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
예술의	예술/NNG+의/JKG
특권이라	특권/NNG+이/VCP+라/EC
하지만	하/VV+지만/EC
예술가의	예술가/NNG+의/JKG
삶마저	삶/NNG+마저/JX
국가권력을	국가/NNG+권력/NNG+을/JKO
무시해도	무시/NNG+하/XSV+아도/EC
좋다는	좋/VA+다는/ETM
것은	것/NNB+은/JX
아니지	아니/VCN+지/EC
않은가.	않/VX+은가/EF+./SF


# id : NWRW1800000049.272.6.2
그가 1950년대 후반 일본으로 밀항해 망명자처럼 살며 세계적 거장이 된 것에 무한한 경외감을 갖고 있지만 종종 그와 대화하다 보면 그의 조국은 50년대에 멈춰 있다는 느낌을 받았다.”

그가	그/NP+가/JKS
1950년대	1950/SN+년대/NNB
후반	후반/NNG
일본으로	일본/NNP+으로/JKB
밀항해	밀항/NNG+하/XSV+아/EC
망명자처럼	망명자/NNG+처럼/JKB
살며	살/VV+며/EC
세계적	세계/NNG+적/XSN
거장이	거장/NNG+이/JKC
된	되/VV+ㄴ/ETM
것에	것/NNB+에/JKB
무한한	무한/NNG+하/XSA+ㄴ/ETM
경외감을	경외감/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
종종	종종/MAG
그와	그/NP+와/JKB
대화하다	대화/NNG+하/XSV+다/EC
보면	보/VX+면/EC
그의	그/NP+의/JKG
조국은	조국/NNG+은/JX
50년대에	50/SN+년대/NNB+에/JKB
멈춰	멈추/VV+어/EC
있다는	있/VX+다는/ETM
느낌을	느낌/NNG+을/JKO
받았다.”	받/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.272.7.1
다시 최 선생 말이다.

다시	다시/MAG
최	최/NNP
선생	선생/NNG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.272.7.2
“위작들의 화풍(畵風)이 서로 다르다.

“위작들의	“/SS+위작/NNG+들/XSN+의/JKG
화풍(畵風)이	화풍/NNG+(/SS+畵風/SH+)/SS+이/JKS
서로	서로/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.272.7.3
위조단이 최소 5개, 유통시킨 위작만 최소 100점 이상으로 추정된다.

위조단이	위조단/NNG+이/JKS
최소	최소/NNG
5개,	5/SN+개/NNB+,/SP
유통시킨	유통/NNG+시키/XSV+ㄴ/ETM
위작만	위작/NNG+만/JX
100점	100/SN+점/NNB
이상으로	이상/NNG+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.272.7.4
이번에 압수된 위작 일부가 경찰의 자금 추적 결과 점당 5억∼10억 원에 팔린 것으로 미뤄 볼 때 피해 액수는 수백억 원대로 보인다.”

이번에	이번/NNG+에/JKB
압수된	압수/NNG+되/XSV+ㄴ/ETM
위작	위작/NNG
일부가	일부/NNG+가/JKS
경찰의	경찰/NNG+의/JKG
자금	자금/NNG
추적	추적/NNG
결과	결과/NNG
점당	점/NNB+당/XSN
5억∼10억	5/SN+억/NR+∼/SO+10/SN+억/NR
원에	원/NNB+에/JKB
팔린	팔리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
미뤄	미루/VV+어/EC
볼	보/VX+ㄹ/ETM
때	때/NNG
피해	피해/NNG
액수는	액수/NNG+는/JX
수백억	수백억/NR
원대로	원/NNB+대/XSN+로/JKB
보인다.”	보이/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.272.7.5
이쯤 되면 대형 사기 범죄다.

이쯤	이쯤/MAG
되면	되/VV+면/EC
대형	대형/NNG
사기	사기/NNG
범죄다.	범죄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.272.8.1
사정이 이런데도 이 화백이 대규모 변호인단까지 꾸려 경찰에 맞선다고 하니 상식적으로 납득이 가지 않는다.

사정이	사정/NNG+이/JKS
이런데도	이렇/VA+ㄴ데/EC+도/JX
이	이/NNP
화백이	화백/NNG+이/JKS
대규모	대/XPN+규모/NNG
변호인단까지	변호인단/NNG+까지/JX
꾸려	꾸리/VV+어/EC
경찰에	경찰/NNG+에/JKB
맞선다고	맞서/VV+ㄴ다고/EC
하니	하/VV+니/EC
상식적으로	상식/NNG+적/XSN+으로/JKB
납득이	납득/NNG+이/JKS
가지	가/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.272.8.2
부장판사 출신인 한 법조인은 “이 화백의 주장이 거짓일 경우 국가 감정기관에 대한 명예훼손은 물론이고 법정에서 위증죄로 처벌될 수도 있다.

부장판사	부장/NNG+판사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
한	한/MMN
법조인은	법조인/NNG+은/JX
“이	“/SS+이/NNP
화백의	화백/NNG+의/JKG
주장이	주장/NNG+이/JKS
거짓일	거짓/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
국가	국가/NNG
감정기관에	감정/NNG+기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명예훼손은	명예/NNG+훼손/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
법정에서	법정/NNG+에서/JKB
위증죄로	위증죄/NNG+로/JKB
처벌될	처벌/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.272.8.3
경우에 따라선 불법 거래로 컬렉터들에게 큰 손해를 입힌 화랑들과 공범으로 몰릴 수도 있으니 신중하게 처신해야 한다”고 조언했다.

경우에	경우/NNG+에/JKB
따라선	따르/VV+아서/EC+ㄴ/JX
불법	불법/NNG
거래로	거래/NNG+로/JKB
컬렉터들에게	컬렉터/NNG+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
입힌	입히/VV+ㄴ/ETM
화랑들과	화랑/NNG+들/XSN+과/JKB
공범으로	공범/NNG+으로/JKB
몰릴	몰리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있으니	있/VA+으니/EC
신중하게	신중/NNG+하/XSA+게/EC
처신해야	처신/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.272.9.1
진정한 예술 정신은 거짓을 벗겨내고 진실을 표현하는 것이 생명이다.

진정한	진정하/VA+ㄴ/ETM
예술	예술/NNG
정신은	정신/NNG+은/JX
거짓을	거짓/NNG+을/JKO
벗겨내고	벗기/VV+어/EC+내/VX+고/EC
진실을	진실/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
생명이다.	생명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.272.9.2
그래서 본질적으로 예술가들은 저항정신을 갖는다.

그래서	그래서/MAJ
본질적으로	본질/NNG+적/XSN+으로/JKB
예술가들은	예술가/NNG+들/XSN+은/JX
저항정신을	저항/NNG+정신/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000049.272.9.3
하지만 ‘명성=돈’이 되는 풍조는 종종 예술가들의 정신을 오염시켜 법과 도덕 감정을 무디게 만든다.

하지만	하지만/MAJ
‘명성=돈’이	‘/SS+명성/NNG+=/SW+돈/NNG+’/SS+이/JKC
되는	되/VV+는/ETM
풍조는	풍조/NNG+는/JX
종종	종종/MAG
예술가들의	예술가/NNG+들/XSN+의/JKG
정신을	정신/NNG+을/JKO
오염시켜	오염/NNG+시키/XSV+어/EC
법과	법/NNG+과/JC
도덕	도덕/NNG
감정을	감정/NNG+을/JKO
무디게	무디/VA+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.272.10.1
경찰은 이우환 위작 사건을 여기서 끝내서는 안 된다.

경찰은	경찰/NNG+은/JX
이우환	이우환/NNP
위작	위작/NNG
사건을	사건/NNG+을/JKO
여기서	여기/NP+서/JKB
끝내서는	끝내/VV+어서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.272.10.2
이 화백 본인은 물론이고 그의 작품을 팔아 온 관련 화랑들로까지 수사 폭을 확대해 엄정하게 진실을 밝혀야 한다.

이	이/NNP
화백	화백/NNG
본인은	본인/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
그의	그/NP+의/JKG
작품을	작품/NNG+을/JKO
팔아	팔/VV+아/EC
온	오/VX+ㄴ/ETM
관련	관련/NNG
화랑들로까지	화랑/NNG+들/XSN+로/JKB+까지/JX
수사	수사/NNG
폭을	폭/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
엄정하게	엄정/NNG+하/XSA+게/EC
진실을	진실/NNG+을/JKO
밝혀야	밝히/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.272.10.3
한 화가에 의해 모욕당한 대한민국 수사기관의 위신을 추스르고 싶다면 이번 사건에서 과학수사의 진수를 보여줘야 한다.

한	한/MMN
화가에	화가/NNG+에/JKB
의해	의하/VV+아/EC
모욕당한	모욕/NNG+당하/XSV+ㄴ/ETM
대한민국	대한민국/NNP
수사기관의	수사/NNG+기관/NNG+의/JKG
위신을	위신/NNG+을/JKO
추스르고	추스르/VV+고/EC
싶다면	싶/VX+다면/EC
이번	이번/NNG
사건에서	사건/NNG+에서/JKB
과학수사의	과학/NNG+수사/NNG+의/JKG
진수를	진수/NNG+를/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


