# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.403
metadata : {}


# id : NWRW1800000022.403.1.1
"법원 판결이 法 위반… 정정해달라";검찰, 2년만에 대법원에 비상上告

"법원	"/SS+법원/NNG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
협박메시지를	협박/NNG+메시지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
혐의와	혐의/NNG+와/JC
상해	상해/NNG
혐의로	혐의/NNG+로/JKB
벌금	벌금/NNG
100만원이	100/SN+만/NR+원/NNB+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
L(여·28)씨	L/SL+(/SS+여/NNG+·/SP+28/SN+)/SS+씨/NNB
사건에	사건/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
"재판과정에서	"/SS+재판/NNG+과정/NNG+에서/JKB
피해자가	피해자/NNG+가/JKS
고소를	고소/NNG+를/JKO
취하했기	취하/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
협박메시지	협박/NNG+메시지/NNG
발송	발송/NNG
부분은	부분/NNG+은/JX
공소기각	공소/NNG+기각/NNG
판결을	판결/NNG+을/JKO
해야만	하/VV+아야/EC+만/JX
법에	법/NNG+에/JKB
맞는데	맞/VV+는데/EC
수원지법이	수원지법/NNP+이/JKS
이를	이/NP+를/JKO
간과하고	간과/NNG+하/XSV+고/EC
유죄를	유죄/NNG+를/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
위법이	위법/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
지난	지나/VV+ㄴ/ETM
9월초	9/SN+월/NNB+초/NNB
대법원에	대/XPN+법원/NNG+에/JKB
비상상고했다.	비상/NNG+상고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.403.5.1
L씨는 지난 2007년 9월 약식기소된 뒤 이듬해 1월 정식재판을 청구했고, 재판이 진행되던 2008년 3월 피해자가 "처벌을 원치 않는다"는 내용의 고소취하서를 수원지법에 냈다.

L씨는	L/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
9월	9/SN+월/NNB
약식기소된	약식/NNG+기소/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
이듬해	이듬해/NNG
1월	1/SN+월/NNB
정식재판을	정식/NNG+재판/NNG+을/JKO
청구했고,	청구/NNG+하/XSV+았/EP+고/EC+,/SP
재판이	재판/NNG+이/JKS
진행되던	진행/NNG+되/XSV+던/ETM
2008년	2008/SN+년/NNB
3월	3/SN+월/NNB
피해자가	피해자/NNG+가/JKS
"처벌을	"/SS+처벌/NNG+을/JKO
원치	원/NNG+하/XSV+지/EC
않는다"는	않/VX+는다/EF+"/SS+는/ETM
내용의	내용/NNG+의/JKG
고소취하서를	고소/NNG+취하서/NNG+를/JKO
수원지법에	수원지법/NNP+에/JKB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.403.6.1
담당재판부는 상해와 정보통신망법 위반 부분을 모두 유죄로 판결해서 2008년 10월 29일 L씨에게 벌금 100만원을 선고했고, L씨는 항소를 포기해 벌금형이 그대로 확정됐다.

담당재판부는	담당/NNG+재판부/NNG+는/JX
상해와	상해/NNG+와/JC
정보통신망법	정보/NNG+통신망/NNG+법/NNG
위반	위반/NNG
부분을	부분/NNG+을/JKO
모두	모두/MAG
유죄로	유죄/NNG+로/JKB
판결해서	판결/NNG+하/XSV+아서/EC
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
29일	29/SN+일/NNB
L씨에게	L/SL+씨/NNB+에게/JKB
벌금	벌금/NNG
100만원을	100/SN+만/NR+원/NNB+을/JKO
선고했고,	선고/NNG+하/XSV+았/EP+고/EC+,/SP
L씨는	L/SL+씨/NNB+는/JX
항소를	항소/NNG+를/JKO
포기해	포기/NNG+하/XSV+아/EC
벌금형이	벌금형/NNG+이/JKS
그대로	그대로/MAG
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.403.7.1
검찰은 그러나 재판부가 L씨의 휴대전화 협박메시지 전송 혐의를 유죄로 판단한 근거가 되는 '정보통신망 이용촉진 및 정보보호에 관한 법률'의 해당조항은 피해자의 의사에 반(反)해서 가해자를 처벌할 수 없는 반의사불벌죄(反意思不罰罪)로 돼 있기 때문에, L씨를 처벌한 것은 법원이 명백하게 법을 어긴 것이라고 지적한 것이다.

검찰은	검찰/NNG+은/JX
그러나	그러나/MAJ
재판부가	재판부/NNG+가/JKS
L씨의	L/SL+씨/NNB+의/JKG
휴대전화	휴대/NNG+전화/NNG
협박메시지	협박/NNG+메시지/NNG
전송	전송/NNG
혐의를	혐의/NNG+를/JKO
유죄로	유죄/NNG+로/JKB
판단한	판단/NNG+하/XSV+ㄴ/ETM
근거가	근거/NNG+가/JKC
되는	되/VV+는/ETM
'정보통신망	'/SS+정보/NNG+통신망/NNG
이용촉진	이용/NNG+촉진/NNG
및	및/MAG
정보보호에	정보/NNG+보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'의	법률/NNG+'/SS+의/JKG
해당조항은	해당/NNG+조항/NNG+은/JX
피해자의	피해자/NNG+의/JKG
의사에	의사/NNG+에/JKB
반(反)해서	반/XR+(/SS+反/SH+)/SS+하/VV+아서/EC
가해자를	가해자/NNG+를/JKO
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
반의사불벌죄(反意思不罰罪)로	반의사/NNG+불벌죄/NNG+(/SS+反意思不罰罪/SH+)/SS+로/JKB
돼	되/VV+어/EC
있기	있/VX+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
L씨를	L/SL+씨/NNB+를/JKO
처벌한	처벌/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
법원이	법원/NNG+이/JKS
명백하게	명백하/VA+게/EC
법을	법/NNG+을/JKO
어긴	어기/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.403.8.1
대법원은 김 총장의 비상상고와 관련해 기존 확정판결을 바꿀지에 대한 판단은 아직 내리지 않은 상태다.

대법원은	대/XPN+법원/NNG+은/JX
김	김/NNP
총장의	총장/NNG+의/JKG
비상상고와	비상/NNG+상고/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
기존	기존/NNG
확정판결을	확정/NNG+판결/NNG+을/JKO
바꿀지에	바꾸/VV+ㄹ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
판단은	판단/NNG+은/JX
아직	아직/MAG
내리지	내리/VV+지/EC
않은	않/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.403.9.1
법조계에선 일반인의 상식범위를 벗어나는 전문영역인 법률사무와 관련해서 검찰의 잘못을 법원이 판결로 바로잡는 것처럼, 법원의 오판 가능성에 대해서도 검찰이 보다 적극적으로 대처할 의무가 있다고 말한다.

법조계에선	법조/NNG+계/XSN+에서/JKB+ㄴ/JX
일반인의	일반인/NNG+의/JKG
상식범위를	상식/NNG+범위/NNG+를/JKO
벗어나는	벗어나/VV+는/ETM
전문영역인	전문/NNG+영역/NNG+이/VCP+ㄴ/ETM
법률사무와	법률/NNG+사무/NNG+와/JKB
관련해서	관련/NNG+하/XSV+아서/EC
검찰의	검찰/NNG+의/JKG
잘못을	잘못/NNG+을/JKO
법원이	법원/NNG+이/JKS
판결로	판결/NNG+로/JKB
바로잡는	바로잡/VV+는/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
법원의	법원/NNG+의/JKG
오판	오판/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
검찰이	검찰/NNG+이/JKS
보다	보다/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다고	있/VA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.403.9.2
L씨 사건에 대해서도 검찰이 법원 판결의 문제점을 즉각 찾아내 항소했다면 결과가 달라질 수 있었다는 지적이다.

L씨	L/SL+씨/NNB
사건에	사건/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
검찰이	검찰/NNG+이/JKS
법원	법원/NNG
판결의	판결/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
즉각	즉각/MAG
찾아내	찾아내/VV+어/EC
항소했다면	항소/NNG+하/XSV+았/EP+다면/EC
결과가	결과/NNG+가/JKS
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있었다는	있/VA+었/EP+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.403.10.1
이번 비상상고는 지난 2007년 5월 제주지법 판결에 대해 "관할법원이 잘못됐다"는 이유로 정상명 당시 검찰총장이 비상상고한 이후 2년 4개월 만에 처음이다.

이번	이번/NNG
비상상고는	비상/NNG+상고/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
5월	5/SN+월/NNB
제주지법	제주지법/NNP
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
"관할법원이	"/SS+관할/NNG+법원/NNG+이/JKS
잘못됐다"는	잘못/MAG+되/XSV+었/EP+다/EF+"/SS+는/ETM
이유로	이유/NNG+로/JKB
정상명	정상명/NNP
당시	당시/NNG
검찰총장이	검찰/NNG+총장/NNG+이/JKS
비상상고한	비상/NNG+상고/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
2년	2/SN+년/NNB
4개월	4/SN+개월/NNB
만에	만/NNB+에/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


