# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.354
metadata : {}


# id : NWRW1800000036.354.1.1
[유레카] 슈퍼컴 ‘천둥’ / 이근영

[유레카]	[/SS+유레카/NNG+]/SS
영화	영화/NNG
<마이너리티	</SS+마이너리티/NNP
리포트>에서	리포트/NNP+>/SS+에서/JKB
범죄자를	범죄자/NNG+를/JKO
예지하는	예지/NNG+하/XSV+는/ETM
‘프리크라임’이	‘/SS+프리크라임/NNP+’/SS+이/JKS
상상이	상상/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
날도	날/NNG+도/JX
멀지	멀/VA+지/EC
않은	않/VX+은/ETM
듯싶다.	듯/NNB+싶/VX+다/EF+./SF


# id : NWRW1800000036.354.3.1
어느 지역에 독감이 유행하는지를 알아보려면 검색사이트 구글의 독감동향(google.com/flutrends)을 접속하면 된다.

어느	어느/MMD
지역에	지역/NNG+에/JKB
독감이	독감/NNG+이/JKS
유행하는지를	유행/NNG+하/XSV+는지/EF+를/JKO
알아보려면	알아보/VV+려면/EC
검색사이트	검색/NNG+사이트/NNG
구글의	구글/NNP+의/JKG
독감동향(google.com/flutrends)을	독감/NNG+동향/NNG+(/SS+google/SL+./SP+com/SL+//SP+flutrends/SL+)/SS+을/JKO
접속하면	접속/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.354.3.2
누리꾼(네티즌)이 사용한 대규모의 검색 용어를 모아 내놓는 예측은 실제 독감 유행과 거의 일치한다.

누리꾼(네티즌)이	누리/NNG+꾼/XSN+(/SS+네티즌/NNG+)/SS+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
대규모의	대/XPN+규모/NNG+의/JKG
검색	검색/NNG
용어를	용어/NNG+를/JKO
모아	모으/VV+아/EC
내놓는	내놓/VV+는/ETM
예측은	예측/NNG+은/JX
실제	실제/NNG
독감	독감/NNG
유행과	유행/NNG+과/JKB
거의	거의/MAG
일치한다.	일치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.354.3.3
미국 민간의료보험회사인 웰포인트는 아이비엠과 손잡고 3420만명의 등록환자 정보 2억페이지를 3초 만에 분석해 최적의 치료법을 제시해주는 ‘고급 의료정보 제공 서비스’를 체계화하고 있다.

미국	미국/NNP
민간의료보험회사인	민간/NNG+의료/NNG+보험/NNG+회사/NNG+이/VCP+ㄴ/ETM
웰포인트는	웰포인트/NNP+는/JX
아이비엠과	아이비엠/NNP+과/JKB
손잡고	손잡/VV+고/EC
3420만명의	3420/SN+만/NR+명/NNB+의/JKG
등록환자	등록/NNG+환자/NNG
정보	정보/NNG
2억페이지를	2/SN+억/NR+페이지/NNG+를/JKO
3초	3/SN+초/NNB
만에	만/NNB+에/JKB
분석해	분석/NNG+하/XSV+아/EC
최적의	최적/NNG+의/JKG
치료법을	치료법/NNG+을/JKO
제시해주는	제시/NNG+하/XSV+아/EC+주/VX+는/ETM
‘고급	‘/SS+고급/NNG
의료정보	의료/NNG+정보/NNG
제공	제공/NNG
서비스’를	서비스/NNG+’/SS+를/JKO
체계화하고	체계/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.354.4.1
이미 빅데이터 시대는 다가왔다.

이미	이미/MAG
빅데이터	빅데이터/NNG
시대는	시대/NNG+는/JX
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.354.4.2
시장조사업체 아이디시(IDC)가 집계한 바로는, 지난해에 생성된 전세계 정보량은 1.8제타바이트에 이른다.

시장조사업체	시장/NNG+조사/NNG+업체/NNG
아이디시(IDC)가	아이디시/NNP+(/SS+IDC/SL+)/SS+가/JKS
집계한	집계/NNG+하/XSV+ㄴ/ETM
바로는,	바/NNB+로/JKB+는/JX+,/SP
지난해에	지난해/NNG+에/JKB
생성된	생성/NNG+되/XSV+ㄴ/ETM
전세계	전/MMN+세계/NNG
정보량은	정보량/NNG+은/JX
1.8제타바이트에	1/SN+./SP+8/SN+제타바이트/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.354.4.3
1제타(Z)는 10의 21제곱, 곧 10해(1조의 10억배)를 가리킨다.

1제타(Z)는	1/SN+제타/NR+(/SS+Z/SL+)/SS+는/JX
10의	10/SN+의/JKG
21제곱,	21/SN+제곱/NNG+,/SP
곧	곧/MAG
10해(1조의	10/SN+해/NR+(/SS+1/SN+조/NR+의/JKG
10억배)를	10/SN+억/NR+배/NNG+)/SS+를/JKO
가리킨다.	가리키/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.354.4.4
이는 우리 국민이 18년 동안 쉬지 않고 1분마다 트위터에 3개의 글을 올리는 양으로, 32기가바이트짜리 아이패드를 만리장성의 두 배 높이로 쌓을 수 있는 양이라 한다.

이는	이/NP+는/JX
우리	우리/NP
국민이	국민/NNG+이/JKS
18년	18/SN+년/NNB
동안	동안/NNG
쉬지	쉬/VV+지/EC
않고	않/VX+고/EC
1분마다	1/SN+분/NNB+마다/JX
트위터에	트위터/NNP+에/JKB
3개의	3/SN+개/NNB+의/JKG
글을	글/NNG+을/JKO
올리는	올리/VV+는/ETM
양으로,	양/NNG+으로/JKB+,/SP
32기가바이트짜리	32/SN+기가바이트/NNB+짜리/XSN
아이패드를	아이패드/NNP+를/JKO
만리장성의	만리장성/NNP+의/JKG
두	두/MMN
배	배/NNG
높이로	높이/NNG+로/JKB
쌓을	쌓/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
양이라	양/NNG+이/VCP+라/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.354.5.1
올해 세계경제포럼(다보스포럼)은 ‘가장 주목할 기술’ 1위로 빅데이터 처리기술을 꼽았다.

올해	올해/NNG
세계경제포럼(다보스포럼)은	세계경제포럼/NNP+(/SS+다보스/NNP+포럼/NNG+)/SS+은/JX
‘가장	‘/SS+가장/MAG
주목할	주목/NNG+하/XSV+ㄹ/ETM
기술’	기술/NNG+’/SS
1위로	1/SN+위/NNB+로/JKB
빅데이터	빅데이터/NNG
처리기술을	처리/NNG+기술/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.354.5.2
빅데이터 시장은 내년에 102억달러에서 2017년에는 500억달러로 급성장할 것으로 전망되고 있다.

빅데이터	빅데이터/NNG
시장은	시장/NNG+은/JX
내년에	내년/NNG+에/JKB
102억달러에서	102/SN+억/NR+달러/NNB+에서/JKB
2017년에는	2017/SN+년/NNB+에/JKB+는/JX
500억달러로	500/SN+억/NR+달러/NNB+로/JKB
급성장할	급성장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되고	전망/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.354.5.3
빅데이터와 슈퍼컴퓨터는 바늘과 실이요, 콩과 깍지다.

빅데이터와	빅데이터/NNG+와/JC
슈퍼컴퓨터는	슈퍼컴퓨터/NNG+는/JX
바늘과	바늘/NNG+과/JC
실이요,	실/NNG+이/VCP+요/EC+,/SP
콩과	콩/NNG+과/JC
깍지다.	깍지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.354.5.4
국산 슈퍼컴퓨터 ‘천둥’이 13일 ‘세계 슈퍼컴퓨터 톱 500’에서 278위에 올랐다.

국산	국산/NNG
슈퍼컴퓨터	슈퍼컴퓨터/NNG
‘천둥’이	‘/SS+천둥/NNP+’/SS+이/JKS
13일	13/SN+일/NNB
‘세계	‘/SS+세계/NNG
톱	톱/NNG
500’에서	500/SN+’/SS+에서/JKB
278위에	278/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.354.5.5
원하든 않든 우리도 빅데이터 시대에 진입했음을 알리는 신호다.

원하든	원/NNG+하/XSA+든/EC
않든	않/VX+든/EC
우리도	우리/NP+도/JX
빅데이터	빅데이터/NNG
시대에	시대/NNG+에/JKB
진입했음을	진입/NNG+하/XSV+았/EP+음/ETN+을/JKO
알리는	알리/VV+는/ETM
신호다.	신호/NNG+이/VCP+다/EF+./SF


