# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.347
metadata : {}


# id : NWRW1800000041.347.1.1
[혼돈의 새정치聯]“文, 분란 일으키고 결정적일땐 발빼”

[혼돈의	[/SS+혼돈/NNG+의/JKG
“의원들을	“/SS+의원/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
의견을	의견/NNG+을/JKO
묻는	묻/VV+는/ETM
절차가	절차/NNG+가/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
이견을	이견/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.8.3
기초선거 공천 폐지는 당내의 거센 반발을 불러왔고, 전 당원 투표까지 가서 뒤집어졌다.

기초선거	기초/NNG+선거/NNG
공천	공천/NNG
폐지는	폐지/NNG+는/JX
당내의	당내/NNG+의/JKG
거센	거세/VA+ㄴ/ETM
반발을	반발/NNG+을/JKO
불러왔고,	불러오/VV+았/EP+고/EC+,/SP
전	전/MMN
당원	당원/NNG
투표까지	투표/NNG+까지/JX
가서	가/VV+아서/EC
뒤집어졌다.	뒤집/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.347.8.4
하지만 ‘기초선거 공천 폐지’는 대선후보 시절 문 의원의 공약이었다.

하지만	하지만/MAJ
‘기초선거	‘/SS+기초/NNG+선거/NNG
공천	공천/NNG
폐지’는	폐지/NNG+’/SS+는/JX
대선후보	대선/NNG+후보/NNG
시절	시절/NNG
문	문/NNP
의원의	의원/NNG+의/JKG
공약이었다.	공약/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.347.8.5
‘대선 공약 폐기 이유’에 대한 설명도 없었다.

‘대선	‘/SS+대선/NNG
공약	공약/NNG
폐기	폐기/NNG
이유’에	이유/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
설명도	설명/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.347.9.1
○ 당내 ‘문재인 책임론’ 공론화

○	○/SW
당내	당내/NNG
‘문재인	‘/SS+문재인/NNP
책임론’	책임/NNG+론/XSN+’/SS
공론화	공론/NNG+화/XSN


# id : NWRW1800000041.347.10.1
당내에선 ‘이상돈 영입 파동’에 대한 ‘문재인 공동 책임론’이 공론화됐다.

당내에선	당내/NNG+에서/JKB+ㄴ/JX
‘이상돈	‘/SS+이상돈/NNP
영입	영입/NNG
파동’에	파동/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
‘문재인	‘/SS+문재인/NNP
공동	공동/NNG
책임론’이	책임/NNG+론/XSN+’/SS+이/JKS
공론화됐다.	공론/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.347.11.1
조경태 전 최고위원은 16일 라디오에서 “이번 사태에는 문 의원도 책임이 있다”며 “지금 문 의원이 무슨 상왕이냐?

조경태	조경태/NNP
전	전/MMD
최고위원은	최고/NNG+위원/NNG+은/JX
16일	16/SN+일/NNB
라디오에서	라디오/NNG+에서/JKB
“이번	“/SS+이번/NNG
사태에는	사태/NNG+에/JKB+는/JX
문	문/NNP
의원도	의원/NNG+도/JX
책임이	책임/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“지금	“/SS+지금/MAG
의원이	의원/NNG+이/JKS
무슨	무슨/MMD
상왕이냐?	상왕/NNG+이/VCP+냐/EF+?/SF


# id : NWRW1800000041.347.11.2
수렴청정하는 듯한 이런 느낌을 주는 것은 매우 잘못된 것”이라고 비판했다.

수렴청정하는	수렴청정/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
이런	이런/MMD
느낌을	느낌/NNG+을/JKO
주는	주/VV+는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.11.3
그는 이어 “세월호와 관련해서도 당을 안정시키지 못하고 느닷없이 동조단식에 들어가면서 더욱 문제를 꼬이게 했다.

그는	그/NP+는/JX
이어	이어/MAG
“세월호와	“/SS+세월호/NNP+와/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
당을	당/NNG+을/JKO
안정시키지	안정/NNG+시키/XSV+지/EC
못하고	못하/VX+고/EC
느닷없이	느닷없이/MAG
동조단식에	동조/NNG+단식/NNG+에/JKB
들어가면서	들어가/VV+면서/EC
더욱	더욱/MAG
문제를	문제/NNG+를/JKO
꼬이게	꼬이/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.347.11.4
늘 분란을 야기시킨다”고까지 했다.

늘	늘/MAG
분란을	분란/NNG+을/JKO
야기시킨다”고까지	야기/NNG+시키/XSV+ㄴ다/EF+”/SS+고/JKQ+까지/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.12.1
설훈 의원도 한 라디오에서 “문 의원이 비판받을 지점이 충분히 있을 것이라고 생각한다.

설훈	설훈/NNP
의원도	의원/NNG+도/JX
한	한/MMN
라디오에서	라디오/NNG+에서/JKB
“문	“/SS+문/NNP
의원이	의원/NNG+이/JKS
비판받을	비판/NNG+받/XSV+을/ETM
지점이	지점/NNG+이/JKS
충분히	충분히/MAG
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.347.12.2
박 원내대표 입장에선 억울한 부분이 있을 수 있다”고 지적했다.

박	박/NNP
원내대표	원내/NNG+대표/NNG
입장에선	입장/NNG+에서/JKB+ㄴ/JX
억울한	억울/NNG+하/XSA+ㄴ/ETM
부분이	부분/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.12.3
이언주 의원도 “박 원내대표는 비대위원장 문제에 대해 (문 의원을 비롯한) 중진들에게 의견을 물었고, 문 의원도 동석해 합의를 했다”며 문 의원 책임론을 거론했다.

이언주	이언주/NNP
의원도	의원/NNG+도/JX
“박	“/SS+박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
비대위원장	비대위원장/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
(문	(/SS+문/NNP
의원을	의원/NNG+을/JKO
비롯한)	비롯하/VV+ㄴ/ETM+)/SS
중진들에게	중진/NNG+들/XSN+에게/JKB
의견을	의견/NNG+을/JKO
물었고,	묻/VV+었/EP+고/EC+,/SP
문	문/NNP
동석해	동석/NNG+하/XSV+아/EC
합의를	합의/NNG+를/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
의원	의원/NNG
책임론을	책임/NNG+론/XSN+을/JKO
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.13.1
이에 대해 문 의원의 대변인 격인 윤호중 의원은 “이 교수의 단독 비대위원장 추진 때와 공동위원장 추진 때, 무산되고 난 뒤 등 시기별로 입장 차이가 있다”며 “문 의원은 당내 문제에 무한 책임을 느끼고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
문	문/NNP
의원의	의원/NNG+의/JKG
대변인	대변인/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
윤호중	윤호중/NNP
의원은	의원/NNG+은/JX
“이	“/SS+이/NNP
교수의	교수/NNG+의/JKG
단독	단독/NNG
비대위원장	비대위원장/NNG
추진	추진/NNG
때와	때/NNG+와/JC
공동위원장	공동/NNG+위원장/NNG
때,	때/NNG+,/SP
무산되고	무산/NNG+되/XSV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
등	등/NNB
시기별로	시기/NNG+별/XSN+로/JKB
입장	입장/NNG
차이가	차이/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“문	“/SS+문/NNP
당내	당내/NNG
문제에	문제/NNG+에/JKB
무한	무한/NNG
책임을	책임/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.347.13.2
문제 해결을 위해 백방으로 노력하고 있다”고 주장했다.

문제	문제/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
백방으로	백방/NNG+으로/JKB
노력하고	노력/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


