# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.354
metadata : {}


# id : NWRW1800000054.354.1.1
非文의 반격… "안희정은 싸가지 있는 진보" 공개 지지

非文의	非文/SH+의/JKG
"꿈	"/SS+꿈/NNG
없는	없/VA+는/ETM
보수도	보수/NNG+도/JX
수구이지만	수구/NNG+이/VCP+지만/EC
품	품/NNG
진보	진보/NNG
역시	역시/MAG
수구"라며	수구/NNG+"/SS+이/VCP+라며/EC
"안	"/SS+안/NNP
후보는	후보/NNG+는/JX
품이	품/NNG+이/JKS
넓고	넓/VA+고/EC
싸가지가	싸가지/NNG+가/JKS
있는	있/VA+는/ETM
진보이기	진보/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
지지한다"고	지지/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.4.3
이들은 "우리 사회는 진보와 보수로 나뉘어 갈등하고 대립할 뿐 타협을 통한 해결을 모색하지 않았다"며 "이런 '제로섬'의 진영 대결 때문에 국민이 더 힘들어졌는데 비상한 결단이 필요하다"고도 했다.

이들은	이/NP+들/XSN+은/JX
"우리	"/SS+우리/NP
사회는	사회/NNG+는/JX
진보와	진보/NNG+와/JC
보수로	보수/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
갈등하고	갈등/NNG+하/XSV+고/EC
대립할	대립/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
타협을	타협/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
해결을	해결/NNG+을/JKO
모색하지	모색/NNG+하/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
'제로섬'의	'/SS+제로섬/NNG+'/SS+의/JKG
진영	진영/NNG
대결	대결/NNG
때문에	때문/NNB+에/JKB
국민이	국민/NNG+이/JKS
더	더/MAG
힘들어졌는데	힘들어지/VV+었/EP+는데/EC
비상한	비상/NNG+하/XSA+ㄴ/ETM
결단이	결단/NNG+이/JKS
필요하다"고도	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.4.4
박원순 서울시장을 도왔던 기 의원은 안 후보 비서실장, 정치 토론 방송으로 유명해진 이 의원은 전략팀장을 맡을 것으로 알려졌다.

박원순	박원순/NNP
서울시장을	서울시장/NNG+을/JKO
도왔던	돕/VV+았/EP+던/ETM
기	기/NNP
의원은	의원/NNG+은/JX
안	안/NNP
후보	후보/NNG
비서실장,	비서실장/NNG+,/SP
정치	정치/NNG
토론	토론/NNG
방송으로	방송/NNG+으로/JKB
유명해진	유명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
이	이/NNP
전략팀장을	전략/NNG+팀장/NNG+을/JKO
맡을	맡/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.354.5.1
당 안팎에서는 비문 의원 20여명이 다음 주까지 차례로 안 후보 지지를 표명할 것으로 알려지고 있다.

당	당/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
비문	비/XPN+문/NNP
의원	의원/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
다음	다음/NNG
주까지	주/NNG+까지/JX
차례로	차례/NNG+로/JKB
안	안/NNP
후보	후보/NNG
지지를	지지/NNG+를/JKO
표명할	표명/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려지고	알려지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.354.5.2
당 비대위원장과 원내대표를 지낸 박영선 의원 합류 여부도 거론된다.

당	당/NNG
비대위원장과	비대위원장/NNG+과/JKB
원내대표를	원내/NNG+대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
박영선	박영선/NNP
의원	의원/NNG
합류	합류/NNG
여부도	여부/NNG+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.354.5.3
최근 안 후보로부터 '의원 멘토단장'을 요청받은 박 의원은 이날 본지 통화에서 "안 후보의 포용력을 인정하기는 하지만 여전히 생각 중"이라며 "탈당을 고심 중인 김종인 의원 거취 문제가 마무리되면 입장을 밝히겠다"고 했다.

최근	최근/NNG
안	안/NNP
후보로부터	후보/NNG+로부터/JKB
'의원	'/SS+의원/NNG
멘토단장'을	멘토단장/NNG+'/SS+을/JKO
요청받은	요청/NNG+받/XSV+은/ETM
박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"안	"/SS+안/NNP
후보의	후보/NNG+의/JKG
포용력을	포용력/NNG+을/JKO
인정하기는	인정/NNG+하/XSV+기/ETN+는/JX
하지만	하/VX+지만/EC
여전히	여전히/MAG
생각	생각/NNG
중"이라며	중/NNB+"/SS+이/VCP+라며/EC
"탈당을	"/SS+탈당/NNG+을/JKO
고심	고심/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김종인	김종인/NNP
의원	의원/NNG
거취	거취/NNG
문제가	문제/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
입장을	입장/NNG+을/JKO
밝히겠다"고	밝히/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.6.1
탈당설이 돌고 있는 김종인 의원도 당내 상황의 변수다.

탈당설이	탈당설/NNG+이/JKS
돌고	돌/VV+고/EC
있는	있/VX+는/ETM
김종인	김종인/NNP
의원도	의원/NNG+도/JX
당내	당내/NNG
상황의	상황/NNG+의/JKG
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.354.6.2
김 의원이 탄핵 심판 이후 실제로 탈당할 경우, 동반 탈당을 언급하는 의원들도 있다.

김	김/NNP
의원이	의원/NNG+이/JKS
탄핵	탄핵/NNG
심판	심판/NNG
이후	이후/NNG
실제로	실제로/MAG
탈당할	탈당/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
동반	동반/NNG
탈당을	탈당/NNG+을/JKO
언급하는	언급/NNG+하/XSV+는/ETM
의원들도	의원/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.354.6.3
한 의원은 본지 통화에서 "이달 말 첫 순회 경선지인 호남에서 문재인 후보가 압도적으로 승리하면 몇몇 의원은 친문이 완벽하게 장악한 당에 더 이상 남아 있을 이유를 찾지 못할 것"이라며 "나도 탈당을 고심 중"이라고 했다.

한	한/MMN
의원은	의원/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"이달	"/SS+이달/NNG
말	말/NNB
첫	첫/MMN
순회	순회/NNG
경선지인	경선지/NNG+이/VCP+ㄴ/ETM
호남에서	호남/NNP+에서/JKB
문재인	문재인/NNP
후보가	후보/NNG+가/JKS
압도적으로	압도/NNG+적/XSN+으로/JKB
승리하면	승리/NNG+하/XSV+면/EC
몇몇	몇몇/NR
친문이	친/XPN+문/NNP+이/JKS
완벽하게	완벽/NNG+하/XSA+게/EC
장악한	장악/NNG+하/XSV+ㄴ/ETM
당에	당/NNG+에/JKB
더	더/MAG
이상	이상/NNG
남아	남/VV+아/EC
있을	있/VX+을/ETM
이유를	이유/NNG+를/JKO
찾지	찾/VV+지/EC
못할	못하/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"나도	"/SS+나/NP+도/JX
탈당을	탈당/NNG+을/JKO
고심	고심/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.6.4
그러나 문 후보 측은 "김 의원이 탈당하더라도 같이 나갈 사람은 1명도 없을 것"이라고 했다.

그러나	그러나/MAJ
문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"김	"/SS+김/NNP
의원이	의원/NNG+이/JKS
탈당하더라도	탈당/NNG+하/XSV+더라도/EC
같이	같이/MAG
나갈	나가/VV+ㄹ/ETM
사람은	사람/NNG+은/JX
1명도	1/SN+명/NNB+도/JX
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.7.1
지지율이 하락하고 있는 안 후보는 문 후보에 대한 비판 수위를 높였다.

지지율이	지지/NNG+율/XSN+이/JKS
하락하고	하락/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
안	안/NNP
후보는	후보/NNG+는/JX
문	문/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
수위를	수위/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.354.7.2
안 후보는 지난 4일 MBN 인터뷰에서는 "정의의 출발은 분노지만 정의의 실현과 실천은 사랑"이라며 "문재인 후보의 비전과 현재 리더십으로는 국민이 요구하는 새로운 대한민국을 만들기 어렵다"고 했다.

안	안/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
MBN	MBN/SL
인터뷰에서는	인터뷰/NNG+에서/JKB+는/JX
"정의의	"/SS+정의/NNG+의/JKG
출발은	출발/NNG+은/JX
분노지만	분노/NNG+이/VCP+지만/EC
정의의	정의/NNG+의/JKG
실현과	실현/NNG+과/JC
실천은	실천/NNG+은/JX
사랑"이라며	사랑/NNG+"/SS+이/VCP+라며/EC
"문재인	"/SS+문재인/NNP
후보의	후보/NNG+의/JKG
비전과	비전/NNG+과/JC
현재	현재/MAG
리더십으로는	리더십/NNG+으로/JKB+는/JX
국민이	국민/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
대한민국을	대한민국/NNP+을/JKO
만들기	만들/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.8.1
안 후보는 헌재의 탄핵 심판 직후 대선 후보들과 각계 지도자급 인사가 참여하는 사회대통합위원회 구성을 제안할 것으로 알려졌다.

안	안/NNP
후보는	후보/NNG+는/JX
헌재의	헌재/NNG+의/JKG
탄핵	탄핵/NNG
심판	심판/NNG
직후	직후/NNG
대선	대선/NNG
후보들과	후보/NNG+들/XSN+과/JKB
각계	각계/NNG
지도자급	지도자급/NNG
인사가	인사/NNG+가/JKS
참여하는	참여/NNG+하/XSV+는/ETM
사회대통합위원회	사회/NNG+대/XPN+통합/NNG+위원회/NNG
구성을	구성/NNG+을/JKO
제안할	제안/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.354.8.2
안 후보 캠프 핵심 관계자는 "탄핵에 대한 결론이 나온 이후에는 분열된 사회를 수습하고 어떻게 국가의 미래를 설계할 것인지에 대한 국민의 관심이 높아질 수밖에 없다"며 "사회대통합위원회를 통해 협치에 대한 의지를 보여줄 수 있을 것"이라고 했다.

안	안/NNP
후보	후보/NNG
캠프	캠프/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
"탄핵에	"/SS+탄핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결론이	결론/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
이후에는	이후/NNG+에/JKB+는/JX
분열된	분열/NNG+되/XSV+ㄴ/ETM
사회를	사회/NNG+를/JKO
수습하고	수습/NNG+하/XSV+고/EC
어떻게	어떻/VA+게/EC
국가의	국가/NNG+의/JKG
미래를	미래/NNG+를/JKO
설계할	설계/NNG+하/XSV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EC+에/JKB
국민의	국민/NNG+의/JKG
관심이	관심/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"사회대통합위원회를	"/SS+사회/NNG+대/XPN+통합/NNG+위원회/NNG+를/JKO
통해	통하/VV+아/EC
협치에	협치/NNG+에/JKB
의지를	의지/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.9.1
한편 국회 개헌특위 소속인 이종걸·이언주 의원을 중심으로 한 일부 개헌파 의원은 최근 분권형 개헌안 초안을 마련해 회람(回覽)을 진행 중인 것으로 알려졌다.

한편	한편/MAG
국회	국회/NNG
개헌특위	개헌/NNG+특위/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
이종걸·이언주	이종걸/NNP+·/SP+이언주/NNP
의원을	의원/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
일부	일부/NNG
개헌파	개헌/NNG+파/NNG
의원은	의원/NNG+은/JX
최근	최근/NNG
분권형	분권/NNG+형/XSN
개헌안	개헌안/NNG
초안을	초안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
회람(回覽)을	회람/NNG+(/SS+回覽/SH+)/SS+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.354.9.2
이종걸 의원은 본지 통화에서 "이원집정부제 권력구조를 중심으로 한 개헌안 초안을 마련해 6일과 7일 뜻을 같이하는 당내 개헌파 의원들과 모여 마무리 작업에 들어갈 것"이라고 했다.

이종걸	이종걸/NNP
의원은	의원/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"이원집정부제	"/SS+이원/NNG+집정부/NNG+제/XSN
권력구조를	권력/NNG+구조/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
개헌안	개헌안/NNG
초안을	초안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
6일과	6/SN+일/NNB+과/JC
7일	7/SN+일/NNB
뜻을	뜻/NNG+을/JKO
같이하는	같이/MAG+하/XSV+는/ETM
당내	당내/NNG
개헌파	개헌/NNG+파/NNG
의원들과	의원/NNG+들/XSN+과/JKB
모여	모이/VV+어/EC
마무리	마무리/NNG
작업에	작업/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.9.3
이들은 헌재의 탄핵 선고 직후 친문과 친박(親朴)을 제외한 여야(與野) 의원 150여명을 모아 공동으로 개헌안을 발의한다는 계획이다.

이들은	이/NP+들/XSN+은/JX
헌재의	헌재/NNG+의/JKG
탄핵	탄핵/NNG
선고	선고/NNG
직후	직후/NNG
친문과	친/XPN+문/NNP+과/JC
친박(親朴)을	친/XPN+박/NNP+(/SS+親朴/SH+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
여야(與野)	여야/NNG+(/SS+與野/SH+)/SS
의원	의원/NNG
150여명을	150/SN+여/XSN+명/NNB+을/JKO
모아	모으/VV+아/EC
공동으로	공동/NNG+으로/JKB
개헌안을	개헌안/NNG+을/JKO
발의한다는	발의/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.354.10.1
개헌파 의원들이 자체 개헌안을 마련하면서 행동에 나서게 된 것은 친문 성향 네티즌들의 개헌파 의원들에 대한 '문자 폭탄' 때문인 것으로 전해졌다.

개헌파	개헌/NNG+파/NNG
의원들이	의원/NNG+들/XSN+이/JKS
자체	자체/NNG
개헌안을	개헌안/NNG+을/JKO
마련하면서	마련/NNG+하/XSV+면서/EC
행동에	행동/NNG+에/JKB
나서게	나서/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
친문	친/XPN+문/NNP
성향	성향/NNG
네티즌들의	네티즌/NNG+들/XSN+의/JKG
의원들에	의원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
'문자	'/SS+문자/NNG
폭탄'	폭탄/NNG+'/SS
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.354.10.2
이들은 지난 2일 회동을 갖고 당 지도부에 이런 상황에 대한 대책 마련을 요구하기도 했다.

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
회동을	회동/NNG+을/JKO
갖고	갖/VV+고/EC
당	당/NNG
지도부에	지도부/NNG+에/JKB
이런	이런/MMD
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책	대책/NNG
마련을	마련/NNG+을/JKO
요구하기도	요구/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.354.10.3
한 개헌파 의원은 "외부의 압력이 거세질수록 개헌에 대한 소신을 지켜야한다는 강단이 생기고 있는 상황"이라고 말했다.

한	한/MMN
개헌파	개헌/NNG+파/NNG
의원은	의원/NNG+은/JX
"외부의	"/SS+외부/NNG+의/JKG
압력이	압력/NNG+이/JKS
거세질수록	거세지/VV+ㄹ수록/EC
개헌에	개헌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소신을	소신/NNG+을/JKO
지켜야한다는	지키/VV+어야/EC+하/VX+ㄴ다는/ETM
강단이	강단/NNG+이/JKS
생기고	생기/VV+고/EC
있는	있/VX+는/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


