# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.292
metadata : {}


# id : NWRW1800000021.292.1.1
北인권 전문가들 서울로 총집결

北인권	北/SH+인권/NNG
라지브	라지브/NNP
나라얀	나라얀/NNP
국제사면위원회	국제사면위원회/NNP
동북아시아	동북아시아/NNP
조사관	조사관/NNG
등이	등/NNB+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.292.3.3
현인택 통일부 장관과 현병철 국가인권위원장 등이 축사를 할 예정이다.

현인택	현인택/NNP
통일부	통일부/NNG
장관과	장관/NNG+과/JC
현병철	현병철/NNP
국가인권위원장	국가/NNG+인권/NNG+위원장/NNG
등이	등/NNB+이/JKS
축사를	축사/NNG+를/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.292.4.1
이에 앞서 24일 오후 2시 반부터 열리는 북한인권 전문가 워크숍에는 데이비드 호크 전 국제사면위원회 미국 지부장, 피에르 리굴로 프랑스 북한인권위원회 위원장 등이 참석해 △북한인권운동에 대한 평가와 향후 전망 △북한인권 개선 전략과 실천적 접근 방안 등에 대해 7개 논문을 발표한다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
24일	24/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
반부터	반/NNG+부터/JX
열리는	열리/VV+는/ETM
북한인권	북한/NNP+인권/NNG
전문가	전문가/NNG
워크숍에는	워크숍/NNG+에/JKB+는/JX
데이비드	데이비드/NNP
호크	호크/NNP
전	전/MMD
국제사면위원회	국제사면위원회/NNP
미국	미국/NNP
지부장,	지부장/NNG+,/SP
피에르	피에르/NNP
리굴로	리굴로/NNP
프랑스	프랑스/NNP
북한인권위원회	북한/NNP+인권/NNG+위원회/NNG
위원장	위원장/NNG
등이	등/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
△북한인권운동에	△/SW+북한/NNP+인권/NNG+운동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가와	평가/NNG+와/JC
향후	향후/NNG
전망	전망/NNG
△북한인권	△/SW+북한/NNP+인권/NNG
개선	개선/NNG
전략과	전략/NNG+과/JC
실천적	실천/NNG+적/XSN
접근	접근/NNG
방안	방안/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
7개	7/SN+개/NNB
논문을	논문/NNG+을/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


