# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.294
metadata : {}


# id : NWRW1800000048.294.1.1
학교 폭력 통계, 유리한 것만 발표한 교육당국

학교	학교/NNG
국회 교육문화체육관광위원회 소속 정진후 정의당 의원은 “최근 울산, 경북, 경기 등 지역 교육청들이 학교폭력 실태조사 결과를 발표하며 피해가 줄어든 것처럼 밝혔지만 공식통계는 이와 배치된다.

국회	국회/NNG
교육문화체육관광위원회	교육/NNG+문화/NNG+체육/NNG+관광/NNG+위원회/NNG
소속	소속/NNG
정진후	정진후/NNP
정의당	정의당/NNP
의원은	의원/NNG+은/JX
“최근	“/SS+최근/MAG
울산,	울산/NNP+,/SP
경북,	경북/NNP+,/SP
경기	경기/NNP
등	등/NNB
지역	지역/NNG
교육청들이	교육청/NNG+들/XSN+이/JKS
학교폭력	학교/NNG+폭력/NNG
실태조사	실태/NNG+조사/NNG
결과를	결과/NNG+를/JKO
발표하며	발표/NNG+하/XSV+며/EC
피해가	피해/NNG+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
밝혔지만	밝히/VV+었/EP+지만/EC
공식통계는	공식/NNG+통계/NNG+는/JX
이와	이/NP+와/JKB
배치된다.	배치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.294.7.2
치적쌓기에 급급해 학교폭력 피해를 왜곡한 것”이라고 25일 밝혔다.

치적쌓기에	치적/NNG+쌓/VV+기/ETN+에/JKB
급급해	급급하/VA+아/EC
학교폭력	학교/NNG+폭력/NNG
피해를	피해/NNG+를/JKO
왜곡한	왜곡/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.8.1
울산시교육청은 지난 8월 ‘2015년 1차 학교폭력 실태조사’ 결과를 발표하면서 “학교폭력 피해 응답률이 1.3%에서 0.8%로 감소했다”고 밝혔다.

울산시교육청은	울산시교육청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
‘2015년	‘/SS+2015/SN+년/NNB
1차	1/SN+차/NNB
학교폭력	학교/NNG+폭력/NNG
실태조사’	실태/NNG+조사/NNG+’/SS
결과를	결과/NNG+를/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
“학교폭력	“/SS+학교/NNG+폭력/NNG
피해	피해/NNG
응답률이	응답/NNG+률/XSN+이/JKS
1.3%에서	1/SN+./SP+3/SN+%/SW+에서/JKB
0.8%로	0/SN+./SP+8/SN+%/SW+로/JKB
감소했다”고	감소/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.8.2
하지만 학교폭력 공식통계인 ‘학교알리미’ 공시자료를 보면, 비슷한 기간 울산의 학교폭력 피해학생은 학생 1000명당 1.04명에서 1.54명으로 늘었다.

하지만	하지만/MAJ
학교폭력	학교/NNG+폭력/NNG
공식통계인	공식/NNG+통계/NNG+이/VCP+ㄴ/ETM
‘학교알리미’	‘/SS+학교알리미/NNP+’/SS
공시자료를	공시/NNG+자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
비슷한	비슷하/VA+ㄴ/ETM
기간	기간/NNG
울산의	울산/NNP+의/JKG
피해학생은	피해/NNG+학생/NNG+은/JX
학생	학생/NNG
1000명당	1000/SN+명/NNB+당/XSN
1.04명에서	1/SN+./SP+04/SN+명/NNB+에서/JKB
1.54명으로	1/SN+./SP+54/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.8.3
심의건수도 0.91건에서 1.16건으로 늘었고 가해학생도 1000명당 1.63명에서 2.00명으로 늘었다.

심의건수도	심의/NNG+건수/NNG+도/JX
0.91건에서	0/SN+./SP+91/SN+건/NNB+에서/JKB
1.16건으로	1/SN+./SP+16/SN+건/NNB+으로/JKB
늘었고	늘/VV+었/EP+고/EC
가해학생도	가해/NNG+학생/NNG+도/JX
1000명당	1000/SN+명/NNB+당/XSN
1.63명에서	1/SN+./SP+63/SN+명/NNB+에서/JKB
2.00명으로	2/SN+./SP+00/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.8.4
공식통계가 명백히 학교폭력 증가 추이를 뒷받침하고 있는데 실태조사 결과만 앞세운 것이다.

공식통계가	공식/NNG+통계/NNG+가/JKS
명백히	명백히/MAG
학교폭력	학교/NNG+폭력/NNG
증가	증가/NNG
추이를	추이/NNG+를/JKO
뒷받침하고	뒷받침/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
실태조사	실태/NNG+조사/NNG
결과만	결과/NNG+만/JX
앞세운	앞세우/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.294.8.5
학교폭력 실태조사는 일부 학교에 대한 표본조사와 온라인 설문조사로 이뤄진다.

학교폭력	학교/NNG+폭력/NNG
실태조사는	실태/NNG+조사/NNG+는/JX
일부	일부/NNG
학교에	학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
표본조사와	표본/NNG+조사/NNG+와/JC
온라인	온라인/NNG
설문조사로	설문/NNG+조사/NNG+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.294.9.1
비슷한 일은 경북과 경기 지역에서도 반복됐다.

비슷한	비슷하/VA+ㄴ/ETM
일은	일/NNG+은/JX
경북과	경북/NNP+과/JC
경기	경기/NNP
지역에서도	지역/NNG+에서/JKB+도/JX
반복됐다.	반복/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.9.2
경북도교육청은 올해 학교폭력 실태조사에서 학교폭력 피해 응답률이 1.4%에서 1.0%로 “꾸준히 감소했다”고 밝혔지만 실제 학교폭력 피해를 집계한 공시자료에선 피해학생이 2211명에서 2572명으로 늘었다.

경북도교육청은	경북도교육청/NNP+은/JX
올해	올해/NNG
학교폭력	학교/NNG+폭력/NNG
실태조사에서	실태/NNG+조사/NNG+에서/JKB
피해	피해/NNG
응답률이	응답/NNG+률/XSN+이/JKS
1.4%에서	1/SN+./SP+4/SN+%/SW+에서/JKB
1.0%로	1/SN+./SP+0/SN+%/SW+로/JKB
“꾸준히	“/SS+꾸준히/MAG
감소했다”고	감소/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔지만	밝히/VV+었/EP+지만/EC
실제	실제/NNG
피해를	피해/NNG+를/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
공시자료에선	공시/NNG+자료/NNG+에서/JKB+ㄴ/JX
피해학생이	피해/NNG+학생/NNG+이/JKS
2211명에서	2211/SN+명/NNB+에서/JKB
2572명으로	2572/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.294.9.3
경기도교육청도 ‘피해 응답률, 가해 응답률, 목격 응답률이 모두 감소했다’는 취지의 실태조사 결과를 발표했지만 공식통계에선 심의건수와 가해학생은 증가했고, 피해학생만 미미하게 감소한 걸로 나타났다.

경기도교육청도	경기도교육청/NNP+도/JX
‘피해	‘/SS+피해/NNG
응답률,	응답/NNG+률/XSN+,/SP
가해	가해/NNG
목격	목격/NNG
응답률이	응답/NNG+률/XSN+이/JKS
모두	모두/MAG
감소했다’는	감소/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
취지의	취지/NNG+의/JKG
실태조사	실태/NNG+조사/NNG
결과를	결과/NNG+를/JKO
발표했지만	발표/NNG+하/XSV+았/EP+지만/EC
공식통계에선	공식/NNG+통계/NNG+에서/JKB+ㄴ/JX
심의건수와	심의/NNG+건수/NNG+와/JC
가해학생은	가해/NNG+학생/NNG+은/JX
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
피해학생만	피해/NNG+학생/NNG+만/JX
미미하게	미미하/VA+게/EC
감소한	감소/NNG+하/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


