# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.400
metadata : {}


# id : NWRW1800000046.400.1.1
점심때 됐지만 함께 식사 안해… 배웅하던 朴대통령이 묻자, 아베 "숯불구이 먹으러…"

점심때	점심때/NNG
백악실에서	백악실/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
비공개	비/XPN+공개/NNG
단독	단독/NNG
정상회담에는	정상/NNG+회담/NNG+에/JKB+는/JX
외교장관	외교/NNG+장관/NNG
등	등/NNB
양측	양측/NNG
핵심	핵심/NNG
참모만	참모/NNG+만/JX
3명씩	3/SN+명/NNB+씩/XSN
배석했다.	배석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.6.2
일본군위안부 문제 등 민감한 현안을 두고 상당한 대화가 이뤄졌을 것이란 해석이 나왔다.

일본군위안부	일본군/NNG+위안부/NNG
문제	문제/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
현안을	현안/NNG+을/JKO
두고	두/VV+고/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
대화가	대화/NNG+가/JKS
이뤄졌을	이뤄지/VV+었/EP+을/ETM
것이란	것/NNB+이/VCP+란/ETM
해석이	해석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.6.3
두 정상은 장소를 집현실로 옮겨 확대 정상회담을 45분간 이어갔다.

두	두/MMN
정상은	정상/NNG+은/JX
장소를	장소/NNG+를/JKO
집현실로	집현실/NNG+로/JKB
옮겨	옮기/VV+어/EC
확대	확대/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
45분간	45/SN+분/NNB+간/XSN
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.400.6.4
윤병세 외교부 장관과 이병기 비서실장, 일본의 기시다 후미오(岸田文雄) 외무상과 하기우다 고이치(萩生田光一) 관방 부장관 등 양측에서 9명씩 배석했다.

윤병세	윤병세/NNP
외교부	외교부/NNG
장관과	장관/NNG+과/JC
이병기	이병기/NNP
비서실장,	비서실장/NNG+,/SP
일본의	일본/NNP+의/JKG
기시다	기시다/NNP
후미오(岸田文雄)	후미오/NNP+(/SS+岸田文雄/SH+)/SS
외무상과	외무상/NNG+과/JC
하기우다	하기우다/NNP
고이치(萩生田光一)	고이치/NNP+(/SS+萩生田光一/SH+)/SS
관방	관방/NNG
부장관	부장관/NNG
등	등/NNB
양측에서	양측/NNG+에서/JKB
9명씩	9/SN+명/NNB+씩/XSN
배석했다.	배석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.7.1
공개 발언에서 박 대통령은 "일본에도 한·일 관계는 진실과 신뢰에 기초해야 한다는 성신지교(誠信之交)를 말씀하신 선각자가 있는 것으로 알고 있다"며 "외교에서 신뢰를 가장 중요하게 생각한다"고 했다.

공개	공개/NNG
발언에서	발언/NNG+에서/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
"일본에도	"/SS+일본/NNP+에/JKB+도/JX
한·일	한/NNP+·/SP+일/NNP
관계는	관계/NNG+는/JX
진실과	진실/NNG+과/JC
신뢰에	신뢰/NNG+에/JKB
기초해야	기초/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
성신지교(誠信之交)를	성신지교/NNG+(/SS+誠信之交/SH+)/SS+를/JKO
말씀하신	말씀/NNG+하/XSV+시/EP+ㄴ/ETM
선각자가	선각자/NNG+가/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"외교에서	"/SS+외교/NNG+에서/JKB
신뢰를	신뢰/NNG+를/JKO
가장	가장/MAG
중요하게	중요/NNG+하/XSA+게/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.7.2
'성신지교'는 에도(江戶) 시대 외교관이자 유학자인 아메노모리 호슈(雨森芳洲·1668~1755)가 남긴 말로 그는 임진왜란을 비판하고 조선과 일본의 관계 회복을 주장했다.

'성신지교'는	'/SS+성신지교/NNG+'/SS+는/JX
에도(江戶)	에도/NNP+(/SS+江戶/SH+)/SS
시대	시대/NNG
외교관이자	외교관/NNG+이/VCP+자/EC
유학자인	유학자/NNG+이/VCP+ㄴ/ETM
아메노모리	아메노모리/NNP
호슈(雨森芳洲·1668~1755)가	호슈/NNP+(/SS+雨森芳洲/SH+·/SP+1668/SN+~/SO+1755/SN+)/SS+가/JKS
남긴	남기/VV+ㄴ/ETM
말로	말/NNG+로/JKB
그는	그/NP+는/JX
임진왜란을	임진왜란/NNG+을/JKO
비판하고	비판/NNG+하/XSV+고/EC
조선과	조선/NNP+과/JC
일본의	일본/NNP+의/JKG
관계	관계/NNG
회복을	회복/NNG+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


