# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.98
metadata : {}


# id : NWRW1800000046.98.1.1
"온난화가 파미르 고원까지 덮쳤어요"

"온난화가	"/SS+온난/NNG+화/XSN+가/JKS
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.98.4.1
영상에는 협곡에서 시커먼 흙더미가 떠밀려오는 모습, 산 아래 밭과 가옥들이 순식간에 묻혀버리는 모습 등이 담겼다.

영상에는	영상/NNG+에/JKB+는/JX
협곡에서	협곡/NNG+에서/JKB
시커먼	시커멓/VA+ㄴ/ETM
흙더미가	흙더미/NNG+가/JKS
떠밀려오는	떠밀리/VV+어/EC+오/VX+는/ETM
모습,	모습/NNG+,/SP
산	산/NNG
아래	아래/NNG
밭과	밭/NNG+과/JC
가옥들이	가옥/NNG+들/XSN+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
묻혀버리는	묻히/VV+어/EC+버리/VX+는/ETM
모습	모습/NNG
등이	등/NNB+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.98.4.2
지구온난화의 영향으로 산 정상 부근의 얼음이 급속히 녹아든 것이 원인이다.

지구온난화의	지구/NNG+온난/NNG+화/XSN+의/JKG
영향으로	영향/NNG+으로/JKB
산	산/NNG
정상	정상/NNG
부근의	부근/NNG+의/JKG
얼음이	얼음/NNG+이/JKS
급속히	급속히/MAG
녹아든	녹아들/VV+ㄴ/ETM
것이	것/NNB+이/JKS
원인이다.	원인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.98.4.3
평균 고도 5000m에 이르는 파미르 고원은 히말라야와 힌두쿠시·톈산 산맥 등을 품고 있다.

평균	평균/NNG
고도	고도/NNG
5000m에	5000/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
파미르	파미르/NNP
고원은	고원/NNG+은/JX
히말라야와	히말라야/NNP+와/JC
힌두쿠시·톈산	힌두쿠시/NNP+·/SP+톈산/NNP
산맥	산맥/NNG
등을	등/NNB+을/JKO
품고	품/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.98.5.1
지난 18일 서울 충무로 한국·중앙아시아 친선협회 사무실에서 만난 살로히딘 대사는 "국토의 93%가 산지인 우리나라는 잠재력이 무궁무진하다"며 '국가 세일즈'에 나섰다.

지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
서울	서울/NNP
충무로	충무로/NNP
한국·중앙아시아	한국/NNP+·/SP+중앙아시아/NNP
친선협회	친선/NNG+협회/NNG
사무실에서	사무실/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
살로히딘	살로히딘/NNP
대사는	대사/NNG+는/JX
"국토의	"/SS+국토/NNG+의/JKG
93%가	93/SN+%/SW+가/JKS
산지인	산지/NNG+이/VCP+ㄴ/ETM
우리나라는	우리나라/NNG+는/JX
잠재력이	잠재력/NNG+이/JKS
무궁무진하다"며	무궁무진/NNG+하/XSA+다/EF+"/SS+며/EC
'국가	'/SS+국가/NNG
세일즈'에	세일즈/NNG+'/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.98.5.2
"국민 대다수가 '산사람'이죠.

"국민	"/SS+국민/NNG
대다수가	대/XPN+다수/NNG+가/JKS
'산사람'이죠.	'/SS+산사람/NNG+'/SS+이/VCP+죠/EF+./SF


# id : NWRW1800000046.98.5.3
산에서 보석과 광물을 캐고, 수력으로 발전기를 돌립니다.

산에서	산/NNG+에서/JKB
보석과	보석/NNG+과/JC
광물을	광물/NNG+을/JKO
캐고,	캐/VV+고/EC+,/SP
수력으로	수력/NNG+으로/JKB
발전기를	발전기/NNG+를/JKO
돌립니다.	돌리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000046.98.5.4
자원은 부족해도 선진 경제를 이룩한 한국이 우리의 성장 모델입니다.

자원은	자원/NNG+은/JX
부족해도	부족/NNG+하/XSA+아도/EC
선진	선진/NNG
경제를	경제/NNG+를/JKO
이룩한	이룩하/VV+ㄴ/ETM
한국이	한국/NNP+이/JKS
우리의	우리/NP+의/JKG
성장	성장/NNG
모델입니다.	모델/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.98.5.5
앞으로 윈·윈 관계를 이룰 수 있을 겁니다."

앞으로	앞/NNG+으로/JKB
윈·윈	윈/NNG+·/SP+윈/NNG
관계를	관계/NNG+를/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000046.98.6.1
파미르 고원 지역을 관할하는 바다흐샨주(州)의 리요에프 누랄리 부주지사도 살로히딘 대사와 함께 만났다.

파미르	파미르/NNP
고원	고원/NNG
지역을	지역/NNG+을/JKO
관할하는	관할/NNG+하/XSV+는/ETM
바다흐샨주(州)의	바다흐샨주/NNP+(/SS+州/SH+)/SS+의/JKG
리요에프	리요에프/NNP
누랄리	누랄리/NNP
부주지사도	부주지사/NNG+도/JX
살로히딘	살로히딘/NNP
대사와	대사/NNG+와/JKB
함께	함께/MAG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.98.6.2
누랄리 부주지사는 새마을중앙회 초청 외국 공무원 행정 연수에 참여하기 위해 한국에 왔다.

누랄리	누랄리/NNP
부주지사는	부주지사/NNG+는/JX
새마을중앙회	새마을/NNG+중앙회/NNG
초청	초청/NNG
외국	외국/NNG
공무원	공무원/NNG
행정	행정/NNG
연수에	연수/NNG+에/JKB
참여하기	참여/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.98.6.3
두 사람은 "타지키스탄에서 산은 삶 그 자체"라고 했다.

두	두/MMN
사람은	사람/NNG+은/JX
"타지키스탄에서	"/SS+타지키스탄/NNP+에서/JKB
산은	산/NNG+은/JX
삶	삶/NNG
그	그/MMD
자체"라고	자체/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.98.6.4
누랄리 부주지사는 "이번 산사태로 학교와 병원, 도로 같은 기반 시설이 크게 파괴됐다"며 "아픔을 겪고 일어날 수 있도록 응원을 부탁한다.

누랄리	누랄리/NNP
부주지사는	부주지사/NNG+는/JX
"이번	"/SS+이번/NNG
산사태로	산사태/NNG+로/JKB
학교와	학교/NNG+와/JC
병원,	병원/NNG+,/SP
도로	도로/NNG
같은	같/VA+은/ETM
기반	기반/NNG
시설이	시설/NNG+이/JKS
크게	크/VA+게/EC
파괴됐다"며	파괴/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"아픔을	"/SS+아픔/NNG+을/JKO
겪고	겪/VV+고/EC
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
응원을	응원/NNG+을/JKO
부탁한다.	부탁/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.98.6.5
그리고 지구온난화의 결과가 얼마나 무서운지 모두가 새롭게 경각심을 가졌으면 좋겠다"고 했다.

그리고	그리고/MAJ
지구온난화의	지구/NNG+온난/NNG+화/XSN+의/JKG
결과가	결과/NNG+가/JKS
얼마나	얼마나/MAG
무서운지	무섭/VA+ㄴ지/EC
모두가	모두/NNG+가/JKS
새롭게	새롭/VA+게/EC
경각심을	경각심/NNG+을/JKO
가졌으면	가지/VV+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.98.7.1
1991년 구소련의 붕괴로 독립한 타지키스탄은 다른 중앙아시아 국가처럼 한국을 '경제 발전의 교과서'로 삼고 있다.

1991년	1991/SN+년/NNB
구소련의	구/XPN+소련/NNP+의/JKG
붕괴로	붕괴/NNG+로/JKB
독립한	독립/NNG+하/XSV+ㄴ/ETM
타지키스탄은	타지키스탄/NNP+은/JX
다른	다른/MMD
중앙아시아	중앙아시아/NNP
국가처럼	국가/NNG+처럼/JKB
한국을	한국/NNP+을/JKO
'경제	'/SS+경제/NNG
발전의	발전/NNG+의/JKG
교과서'로	교과서/NNG+'/SS+로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.98.7.2
지난 4월에는 에모말리 라흐몬 타지키스탄 대통령의 방한에 맞춰 서울에 대사관도 열었다.

지난	지나/VV+ㄴ/ETM
4월에는	4/SN+월/NNB+에/JKB+는/JX
에모말리	에모말리/NNP
라흐몬	라흐몬/NNP
타지키스탄	타지키스탄/NNP
대통령의	대통령/NNG+의/JKG
방한에	방한/NNG+에/JKB
맞춰	맞추/VV+어/EC
서울에	서울/NNP+에/JKB
대사관도	대사관/NNG+도/JX
열었다.	열/VV+었/EP+다/EF+./SF


