# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.289
metadata : {}


# id : NWRW1800000036.289.1.1
동부, 4년만에 정규리그 정상 탈환

동부,	동부/NNP+,/SP
# id : NWRW1800000036.289.6.1
동부는 또 파죽의 14연승을 달리면서 2004~2005 시즌 에스비에스(SBS·현 인삼공사)가 세운 역대 프로농구 최다 연승 기록에 1경기 차로 다가섰다.

동부는	동부/NNP+는/JX
또	또/MAG
파죽의	파죽/NNG+의/JKG
14연승을	14/SN+연승/NNG+을/JKO
달리면서	달리/VV+면서/EC
2004~2005	2004/SN+~/SO+2005/SN
시즌	시즌/NNG
에스비에스(SBS·현	에스비에스/NNP+(/SS+SBS/SL+·/SP+현/MMD
인삼공사)가	인삼공사/NNP+)/SS+가/JKS
세운	세우/VV+ㄴ/ETM
역대	역대/NNG
프로농구	프로/NNG+농구/NNG
최다	최다/NNG
연승	연승/NNG
기록에	기록/NNG+에/JKB
1경기	1/SN+경기/NNG
차로	차/NNG+로/JKB
다가섰다.	다가서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.6.2
동부는 16일 엘지(LG)와의 안방경기에서 타이 기록을 노리고, 여기서 이기면 18일 전주 원정경기에서 케이씨씨(KCC)를 상대로 역대 최다 16연승에 도전한다.

동부는	동부/NNP+는/JX
16일	16/SN+일/NNB
엘지(LG)와의	엘지/NNP+(/SS+LG/SL+)/SS+와/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
타이	타이/NNG
기록을	기록/NNG+을/JKO
노리고,	노리/VV+고/EC+,/SP
여기서	여기/NP+서/JKB
이기면	이기/VV+면/EC
18일	18/SN+일/NNB
전주	전주/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
케이씨씨(KCC)를	케이씨씨/NNP+(/SS+KCC/SL+)/SS+를/JKO
상대로	상대/NNG+로/JKB
역대	역대/NNG
최다	최다/NNG
16연승에	16/SN+연승/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.289.6.3
두 경기를 모두 이길 경우 42승으로 역대 프로농구 최다승 기록도 갈아치운다.

두	두/MMN
경기를	경기/NNG+를/JKO
모두	모두/MAG
이길	이기/VV+ㄹ/ETM
경우	경우/NNG
42승으로	42/SN+승/NNB+으로/JKB
역대	역대/NNG
프로농구	프로/NNG+농구/NNG
최다승	최/XPN+다승/NNG
기록도	기록/NNG+도/JX
갈아치운다.	갈/VV+아/EC+치우/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.289.7.1
경기는 손에 땀을 쥐게 했다.

경기는	경기/NNG+는/JX
손에	손/NNG+에/JKB
땀을	땀/NNG+을/JKO
쥐게	쥐/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.289.7.2
케이티 조성민은 경기 전 “동부가 연승 기록을 이으려고 최선을 다하겠지만 부산에서 정규리그 우승을 내주지 않겠다”고 각오를 밝혔다.

케이티	케이티/NNP
조성민은	조성민/NNP+은/JX
경기	경기/NNG
전	전/NNG
“동부가	“/SS+동부/NNP+가/JKS
연승	연승/NNG
기록을	기록/NNG+을/JKO
이으려고	잇/VV+으려고/EC
최선을	최선/NNG+을/JKO
다하겠지만	다/MAG+하/XSV+겠/EP+지만/EC
부산에서	부산/NNP+에서/JKB
정규리그	정규/NNG+리그/NNG
우승을	우승/NNG+을/JKO
내주지	내주/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.7.3
선수들의 신경전도 대단했다.

선수들의	선수/NNG+들/XSN+의/JKG
신경전도	신경전/NNG+도/JX
대단했다.	대단하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.289.7.4
표명일은 로드 벤슨의 스크린에 막혀 5반칙 퇴장당하자 벤슨과 험악한 얼굴로 마주섰다.

표명일은	표명일/NNP+은/JX
로드	로드/NNP
벤슨의	벤슨/NNP+의/JKG
스크린에	스크린/NNG+에/JKB
막혀	막히/VV+어/EC
5반칙	5/SN+반칙/NNG
퇴장당하자	퇴장/NNG+당하/XSV+자/EC
벤슨과	벤슨/NNP+과/JKB
험악한	험악하/VA+ㄴ/ETM
얼굴로	얼굴/NNG+로/JKB
마주섰다.	마주/MAG+서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.8.1
승부는 동부 이광재의 손에서 갈렸다.

승부는	승부/NNG+는/JX
동부	동부/NNP
이광재의	이광재/NNP+의/JKG
손에서	손/NNG+에서/JKB
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.8.2
이광재는 두팀 최다인 18점에 상대 주득점원 조성민을 8점으로 묶었다.

이광재는	이광재/NNP+는/JX
두팀	두/MMN+팀/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
18점에	18/SN+점/NNB+에/JKB
상대	상대/NNG
주득점원	주득점원/NNG
조성민을	조성민/NNP+을/JKO
8점으로	8/SN+점/NNB+으로/JKB
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.8.3
특히 종료 1분40초 전, 벼락같은 3점슛으로 68-58을 만들며 승부를 갈랐다.

특히	특히/MAG
종료	종료/NNG
1분40초	1/SN+분/NNB+40/SN+초/NNB
전,	전/NNG+,/SP
벼락같은	벼락/NNG+같/VA+은/ETM
3점슛으로	3/SN+점/NNB+슛/NNG+으로/JKB
68-58을	68/SN+-/SO+58/SN+을/JKO
만들며	만들/VV+며/EC
승부를	승부/NNG+를/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.289.9.1
동부 강동희 감독은 “이광재가 외곽에 대한 고민을 시원하게 해결해 줬다”며 “너무 기쁘다.

동부	동부/NNP
강동희	강동희/NNP
감독은	감독/NNG+은/JX
“이광재가	“/SS+이광재/NNP+가/JKS
외곽에	외곽/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고민을	고민/NNG+을/JKO
시원하게	시원하/VA+게/EC
해결해	해결/NNG+하/XSV+아/EC
줬다”며	주/VX+었/EP+다/EF+”/SS+며/EC
“너무	“/SS+너무/MAG
기쁘다.	기쁘/VA+다/EF+./SF


# id : NWRW1800000036.289.9.2
통합 우승에 도전하겠다”고 했다.

통합	통합/NNG
우승에	우승/NNG+에/JKB
도전하겠다”고	도전/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.289.9.3
이광재는 “형들이 차려놓은 밥상에 숟가락만 얹었다.

이광재는	이광재/NNP+는/JX
“형들이	“/SS+형/NNG+들/XSN+이/JKS
차려놓은	차리/VV+어/EC+놓/VX+은/ETM
밥상에	밥상/NNG+에/JKB
숟가락만	숟가락/NNG+만/JX
얹었다.	얹/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.9.4
기쁨을 같이 누릴 수 있어 고맙다”며 겸손해했다.

기쁨을	기쁨/NNG+을/JKO
같이	같이/MAG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
고맙다”며	고맙/VA+다/EF+”/SS+며/EC
겸손해했다.	겸손/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.289.10.1
한편 올 시즌 프로농구 관중은 이날까지 100만2608명을 기록하며, 역대 최소 경기(234경기) 100만 관중을 넘어섰다.

한편	한편/MAG
올	올/NNG
시즌	시즌/NNG
프로농구	프로/NNG+농구/NNG
관중은	관중/NNG+은/JX
이날까지	이날/NNG+까지/JX
100만2608명을	100/SN+만/NR+2608/SN+명/NNB+을/JKO
기록하며,	기록/NNG+하/XSV+며/EC+,/SP
역대	역대/NNG
최소	최소/NNG
경기(234경기)	경기/NNG+(/SS+234/SN+경기/NNG+)/SS
100만	100/SN+만/NR
관중을	관중/NNG+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.10.2
종전 기록은 2008~2009 시즌의 250경기이며, 100만 관중을 돌파한 시즌은 역대 6번째다.

종전	종전/NNG
기록은	기록/NNG+은/JX
2008~2009	2008/SN+~/SO+2009/SN
시즌의	시즌/NNG+의/JKG
250경기이며,	250/SN+경기/NNG+이/VCP+며/EC+,/SP
100만	100/SN+만/NR
관중을	관중/NNG+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
시즌은	시즌/NNG+은/JX
역대	역대/NNG
6번째다.	6/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


