# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.187
metadata : {}


# id : NWRW1800000041.187.1.1
[휴지통]시속 250km… 사패산터널서 ‘공포의 폭주게임’

[휴지통]시속	[/SS+휴지통/NNG+]/SS+시속/NNG
구간)을	구간/NNG+)/SS+을/JKO
지날	지나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
폭주	폭주/NNG
게임을	게임/NNG+을/JKO
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.187.4.5
동호회 사이트에 과시용으로 올릴 동영상도 직접 촬영했다.

동호회	동호회/NNG
사이트에	사이트/NNG+에/JKB
과시용으로	과시/NNG+용/XSN+으로/JKB
올릴	올리/VV+ㄹ/ETM
동영상도	동영상/NNG+도/JX
직접	직접/MAG
촬영했다.	촬영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.187.4.6
이날 모임에는 홍보를 위해 참석한 튜닝업체와 렌트업체, 정비업체 등 외제차 관련 업체 업주도 7, 8명 있었다.

이날	이날/NNG
모임에는	모임/NNG+에/JKB+는/JX
홍보를	홍보/NNG+를/JKO
위해	위하/VV+아/EC
참석한	참석/NNG+하/XSV+ㄴ/ETM
튜닝업체와	튜닝/NNG+업체/NNG+와/JC
렌트업체,	렌트/NNG+업체/NNG+,/SP
정비업체	정비업체/NNG
등	등/NNB
외제차	외제/NNG+차/NNG
관련	관련/NNG
업체	업체/NNG
업주도	업주/NNG+도/JX
7,	7/SN+,/SP
8명	8/SN+명/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.187.5.1
경찰은 이들이 인천 영종도, 경기 고양시 자유로 등에서 폭주를 하다 단속을 피해 사패산터널로 장소를 옮겼다는 첩보를 토대로 내사에 착수해 피의자들의 인적사항을 확인했다.

경찰은	경찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
인천	인천/NNP
영종도,	영종도/NNP+,/SP
경기	경기/NNP
고양시	고양시/NNP
자유로	자유로/NNP
등에서	등/NNB+에서/JKB
폭주를	폭주/NNG+를/JKO
하다	하/VV+다/EC
단속을	단속/NNG+을/JKO
피해	피하/VV+아/EC
사패산터널로	사패산터널/NNP+로/JKB
장소를	장소/NNG+를/JKO
옮겼다는	옮기/VV+었/EP+다는/ETM
첩보를	첩보/NNG+를/JKO
토대로	토대/NNG+로/JKB
내사에	내사/NNG+에/JKB
착수해	착수/NNG+하/XSV+아/EC
피의자들의	피의자/NNG+들/XSN+의/JKG
인적사항을	인/NNG+적/XSN+사항/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.187.5.2
서울 노원경찰서는 모임을 주도한 김모 씨(33) 등 25명을 도로교통법상 공동위험행위로 불구속 입건했다고 27일 밝혔다.

서울	서울/NNP
노원경찰서는	노원경찰서/NNP+는/JX
모임을	모임/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
김모	김/NNP+모/NP
씨(33)	씨/NNB+(/SS+33/SN+)/SS
등	등/NNB
25명을	25/SN+명/NNB+을/JKO
도로교통법상	도로/NNG+교통법/NNG+상/XSN
공동위험행위로	공동/NNG+위험/NNG+행위/NNG+로/JKB
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


