# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.78
metadata : {}


# id : NWRW1800000046.78.1.1
"2003년부터 쓴 '일제 강점기'란 용어, 北이 '미제 강점기'랑 짝 이뤄 만든 말"

"2003년부터	"/SS+2003/SN+년/NNB+부터/JX
역사서와	역사서/NNG+와/JKB
비슷해지고	비슷하/VA+아/EC+지/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.78.4.4
2003년 '한국 근현대사' 검정 교과서 이후 국사 교과서들이 사용하고 있는 '일제 강점기'란 용어는 광복 이후 시기를 가리키는 '미제 강점기'와 짝을 이뤄 북한이만든 것이며, 독립운동 서술에서 외교 운동과 미주 지역 독립운동을 경시하고 미군과 소련군 포고문을 대비시킨 것 등이 북한 역사서의 영향을 받은 것이라는 지적이다.

2003년	2003/SN+년/NNB
'한국	'/SS+한국/NNP
근현대사'	근현대사/NNG+'/SS
검정	검정/NNG
교과서	교과서/NNG
이후	이후/NNG
국사	국사/NNG
교과서들이	교과서/NNG+들/XSN+이/JKS
사용하고	사용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
'일제	'/SS+일제/NNG
강점기'란	강점기/NNG+'/SS+이/VCP+란/ETM
용어는	용어/NNG+는/JX
광복	광복/NNG
시기를	시기/NNG+를/JKO
가리키는	가리키/VV+는/ETM
'미제	'/SS+미제/NNG
강점기'와	강점기/NNG+'/SS+와/JKB
짝을	짝/NNG+을/JKO
이뤄	이루/VV+어/EC
북한이만든	북한/NNP+이/JKS+만들/VV+ㄴ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
독립운동	독립운동/NNG
서술에서	서술/NNG+에서/JKB
외교	외교/NNG
운동과	운동/NNG+과/JC
미주	미주/NNP
지역	지역/NNG
독립운동을	독립운동/NNG+을/JKO
경시하고	경시/NNG+하/XSV+고/EC
미군과	미군/NNG+과/JC
소련군	소련군/NNG
포고문을	포고문/NNG+을/JKO
대비시킨	대비/NNG+시키/XSV+ㄴ/ETM
것	것/NNB
등이	등/NNB+이/JKS
북한	북한/NNP
역사서의	역사서/NNG+의/JKG
영향을	영향/NNG+을/JKO
받은	받/VV+은/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.78.5.1
이 책은 현재 사용되는 한국사 교과서의 현대사 서술 분석에 별도의 한 장을 할애했다.

이	이/MMD
책은	책/NNG+은/JX
현재	현재/MAG
사용되는	사용/NNG+되/XSV+는/ETM
한국사	한국사/NNG
교과서의	교과서/NNG+의/JKG
현대사	현대사/NNG
서술	서술/NNG
분석에	분석/NNG+에/JKB
별도의	별도/NNG+의/JKG
한	한/MMN
장을	장/NNG+을/JKO
할애했다.	할애/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.78.5.2
보천보전투, 북한의 토지개혁, 천리마운동, 3대 세습과 독재 체제, 주체사상, 북한인권·핵 문제, 군사 도발 등 북한 부분과 대한민국 건국, 북한 정권 수립, 유엔의 대한민국 승인 등 대한민국 정통성 부분을 집중적으로 다뤘다.

보천보전투,	보천보/NNP+전투/NNG+,/SP
북한의	북한/NNP+의/JKG
토지개혁,	토지/NNG+개혁/NNG+,/SP
천리마운동,	천리마운동/NNG+,/SP
3대	3/SN+대/NNB
세습과	세습/NNG+과/JC
독재	독재/NNG
체제,	체제/NNG+,/SP
주체사상,	주체사상/NNG+,/SP
북한인권·핵	북한/NNP+인권/NNG+·/SP+핵/NNG
문제,	문제/NNG+,/SP
군사	군사/NNG
도발	도발/NNG
등	등/NNB
북한	북한/NNP
부분과	부분/NNG+과/JC
대한민국	대한민국/NNP
건국,	건국/NNG+,/SP
정권	정권/NNG
수립,	수립/NNG+,/SP
유엔의	유엔/NNP+의/JKG
승인	승인/NNG
정통성	정통/NNG+성/XSN
부분을	부분/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.78.5.3
저자는 "대한민국의 정통성을 폄훼하는 5종의 교과서들이 북한에 불리한 사실은 누락시키거나 북한의 주장을 되풀이하고 있다"며 "친북과 반(反)대한민국 성향은 동전의 양면과 같다"고 주장했다.

저자는	저자/NNG+는/JX
"대한민국의	"/SS+대한민국/NNP+의/JKG
정통성을	정통/NNG+성/XSN+을/JKO
폄훼하는	폄훼/NNG+하/XSV+는/ETM
5종의	5/SN+종/NNG+의/JKG
교과서들이	교과서/NNG+들/XSN+이/JKS
북한에	북한/NNP+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
사실은	사실/NNG+은/JX
누락시키거나	누락/NNG+시키/XSV+거나/EC
북한의	북한/NNP+의/JKG
주장을	주장/NNG+을/JKO
되풀이하고	되풀이/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"친북과	"/SS+친북/NNG+과/JC
반(反)대한민국	반/XPN+(/SS+反/SH+)/SS+대한민국/NNP
성향은	성향/NNG+은/JX
동전의	동전/NNG+의/JKG
양면과	양면/NNG+과/JKB
같다"고	같/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.78.6.1
'역사 의병, 한국사를 말한다'(매일P&I)는 매일신문 논설실장을 지낸 전직 언론인 박진용씨가 2010년 이후 간행된 국정·검정 한국사 교과서 11종을 분석·평가한 책이다.

'역사	'/SS+역사/NNG
의병,	의병/NNG+,/SP
한국사를	한국사/NNG+를/JKO
말한다'(매일P&I)는	말/NNG+하/XSV+ㄴ다/EF+'/SS+(/SS+매일P&I/NNP+)/SS+는/JX
매일신문	매일신문/NNP
논설실장을	논설실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
전직	전직/NNG
언론인	언론인/NNG
박진용씨가	박진용/NNP+씨/NNB+가/JKS
2010년	2010/SN+년/NNB
이후	이후/NNG
간행된	간행/NNG+되/XSV+ㄴ/ETM
국정·검정	국정/NNG+·/SP+검정/NNG
한국사	한국사/NNG
교과서	교과서/NNG
11종을	11/SN+종/NNG+을/JKO
분석·평가한	분석/NNG+·/SP+평가/NNG+하/XSV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.78.6.2
저자는 "역사학을 직업적 전문성으로 하는 관학(官學)이 스스로의 힘으로 역사를 정립하지 못하게 된 마당이니 역사 의병이 나서도 큰 흠이 되지 않을 것 같다"며 "좌파나 우파가 아닌 대한민국의 편에서, 세계인의 희망이 된 나라의 편에서 우리 역사를 살펴보고자 했다"고 밝혔다.

저자는	저자/NNG+는/JX
"역사학을	"/SS+역사학/NNG+을/JKO
직업적	직업/NNG+적/XSN
전문성으로	전문/NNG+성/XSN+으로/JKB
하는	하/VV+는/ETM
관학(官學)이	관학/NNG+(/SS+官學/SH+)/SS+이/JKS
스스로의	스스로/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
역사를	역사/NNG+를/JKO
정립하지	정립/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
된	되/VV+ㄴ/ETM
마당이니	마당/NNB+이/VCP+니/EC
역사	역사/NNG
의병이	의병/NNG+이/JKS
나서도	나서/VV+어도/EC
큰	크/VA+ㄴ/ETM
흠이	흠/NNG+이/JKC
되지	되/VV+지/EC
않을	않/VX+을/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"좌파나	"/SS+좌파/NNG+나/JC
우파가	우파/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
대한민국의	대한민국/NNP+의/JKG
편에서,	편/NNG+에서/JKB+,/SP
세계인의	세계인/NNG+의/JKG
희망이	희망/NNG+이/JKC
나라의	나라/NNG+의/JKG
편에서	편/NNG+에서/JKB
우리	우리/NP
살펴보고자	살펴보/VV+고자/EC
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.78.7.1
이 책은 교과서마다 현대사 부분의 구성·문장·디자인 등에 대한 평과 함께 주요 내용을 분석·평가하고 있다.

이	이/MMD
책은	책/NNG+은/JX
교과서마다	교과서/NNG+마다/JX
현대사	현대사/NNG
부분의	부분/NNG+의/JKG
구성·문장·디자인	구성/NNG+·/SP+문장/NNG+·/SP+디자인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
평과	평/NNG+과/JKB
함께	함께/MAG
주요	주요/NNG
내용을	내용/NNG+을/JKO
분석·평가하고	분석/NNG+·/SP+평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.78.7.2
또 이를 토대로 역사 인식과 역사 서술, 역사 용어, 국정과 검인정 문제 등을 다뤘다.

또	또/MAG
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
역사	역사/NNG
인식과	인식/NNG+과/JC
서술,	서술/NNG+,/SP
용어,	용어/NNG+,/SP
국정과	국정/NNG+과/JC
검인정	검인정/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.78.7.3
저자는 "현행 교과서들은 부정(否定) 사관이 어지럽히고 있어 전체적으로 불량품"이라며 "국가 지표를 구현하는 국정을 도입하고 검정을 강화해서 1국정 2검정 체제가 바람직하지만 심의 기준을 지킬 수 없는 현실적 한계가 있다면 국정 전환이 나을 것 같다"고 주장했다.

저자는	저자/NNG+는/JX
"현행	"/SS+현행/NNG
교과서들은	교과서/NNG+들/XSN+은/JX
부정(否定)	부정/NNG+(/SS+否定/SH+)/SS
사관이	사관/NNG+이/JKS
어지럽히고	어지럽히/VV+고/EC
있어	있/VX+어/EC
전체적으로	전체/NNG+적/XSN+으로/JKB
불량품"이라며	불량품/NNG+"/SS+이/VCP+라며/EC
"국가	"/SS+국가/NNG
지표를	지표/NNG+를/JKO
구현하는	구현/NNG+하/XSV+는/ETM
국정을	국정/NNG+을/JKO
도입하고	도입/NNG+하/XSV+고/EC
검정을	검정/NNG+을/JKO
강화해서	강화/NNG+하/XSV+아서/EC
1국정	1/SN+국정/NNG
2검정	2/SN+검정/NNG
체제가	체제/NNG+가/JKS
바람직하지만	바람직하/VA+지만/EC
심의	심의/NNG
기준을	기준/NNG+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
현실적	현실/NNG+적/XSN
한계가	한계/NNG+가/JKS
있다면	있/VA+다면/EC
국정	국정/NNG
전환이	전환/NNG+이/JKS
나을	낫/VA+을/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


