# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.375
metadata : {}


# id : NWRW1800000037.375.1.1
[8·28 전월세 대책]6억 아파트 취득세 1200만원→600만원

[8·28	[/SS+8/SN+·/SP+28/SN
주택은	주택/NNG+은/JX
서울	서울/NNP
20만9430채를	20/SN+만/NR+9430/SN+채/NNB+를/JKO
비롯해	비롯하/VV+아/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
30만4882채가	30/SN+만/NR+4882/SN+채/NNB+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.375.5.4
정부 당국자는 “올 상반기까지 지속된 취득세 감면세율은 단기적 조치”라며 “이를 정상적으로 되돌리는 과정으로 봐 달라”고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“올	“/SS+올/NNG
상반기까지	상반기/NNG+까지/JX
지속된	지속/NNG+되/XSV+ㄴ/ETM
취득세	취득세/NNG
감면세율은	감면/NNG+세율/NNG+은/JX
단기적	단기/NNG+적/XSN
조치”라며	조치/NNG+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
정상적으로	정상/NNG+적/XSN+으로/JKB
되돌리는	되돌리/VV+는/ETM
과정으로	과정/NNG+으로/JKB
봐	보/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.375.6.1
다주택자가 집을 살 때 취득세를 무겁게 물리는 중과제도도 폐지됐다.

다주택자가	다주택자/NNG+가/JKS
집을	집/NNG+을/JKO
살	사/VV+ㄹ/ETM
때	때/NNG
취득세를	취득세/NNG+를/JKO
무겁게	무겁/VA+게/EC
물리는	물리/VV+는/ETM
중과제도도	중과/NNG+제도/NNG+도/JX
폐지됐다.	폐지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.375.6.2
주택을 보유한 사람이 새로 주택을 사들일 경우 지금은 주택 매매가격에 상관없이 최고 세율인 4%의 취득세를 내왔다.

주택을	주택/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
새로	새로/MAG
사들일	사들이/VV+ㄹ/ETM
경우	경우/NNG
지금은	지금/NNG+은/JX
주택	주택/NNG
매매가격에	매매/NNG+가격/NNG+에/JKB
상관없이	상관없이/MAG
최고	최고/NNG
세율인	세율/NNG+이/VCP+ㄴ/ETM
4%의	4/SN+%/SW+의/JKG
취득세를	취득세/NNG+를/JKO
내왔다.	내/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.375.6.3
이 규정이 없어져 집을 가진 사람이 추가 주택을 구입해도 주택 매매가를 기준으로 취득세를 내면 된다.

이	이/MMD
규정이	규정/NNG+이/JKS
없어져	없어지/VV+어/EC
집을	집/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
추가	추가/NNG
주택을	주택/NNG+을/JKO
구입해도	구입/NNG+하/XSV+아도/EC
주택	주택/NNG
매매가를	매매/NNG+가/XSN+를/JKO
기준으로	기준/NNG+으로/JKB
취득세를	취득세/NNG+를/JKO
내면	내/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.6.4
조은상 부동산써브 팀장은 “이번 대책 중 다주택자 취득세 중과를 없앤 것이 시장 활성화 차원에서 긍정적으로 작용할 것”이라고 말했다.

조은상	조은상/NNP
부동산써브	부동산써브/NNP
팀장은	팀장/NNG+은/JX
“이번	“/SS+이번/NNG
대책	대책/NNG
중	중/NNB
다주택자	다주택자/NNG
취득세	취득세/NNG
중과를	중과/NNG+를/JKO
없앤	없애/VV+ㄴ/ETM
것이	것/NNB+이/JKS
시장	시장/NNG
활성화	활성/NNG+화/XSN
차원에서	차원/NNG+에서/JKB
긍정적으로	긍정/NNG+적/XSN+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.375.7.1
월세 세입자를 위해서는 소득공제 폭을 늘렸다.

월세	월세/NNG
세입자를	세입자/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
소득공제	소득/NNG+공제/NNG
폭을	폭/NNG+을/JKO
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.375.7.2
현재 총 급여 5000만 원 이하의 세입자가 85m² 이하 주택에서 월세로 살 때 월세로 낸 돈의 50%를 300만 원 한도 내에서 소득공제를 받을 수 있는데 소득공제율은 60%로, 공제한도는 500만 원으로 높아졌다.

현재	현재/MAG
총	총/MMA
급여	급여/NNG
5000만	5000/SN+만/NR
원	원/NNB
이하의	이하/NNG+의/JKG
세입자가	세입자/NNG+가/JKS
85m²	85/SN+m²/SW
이하	이하/NNG
주택에서	주택/NNG+에서/JKB
월세로	월세/NNG+로/JKB
살	살/VV+ㄹ/ETM
때	때/NNG
낸	내/VV+ㄴ/ETM
돈의	돈/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
300만	300/SN+만/NR
한도	한도/NNG
내에서	내/NNB+에서/JKB
소득공제를	소득/NNG+공제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는데	있/VA+는데/EC
소득공제율은	소득/NNG+공제/NNG+율/XSN+은/JX
60%로,	60/SN+%/SW+로/JKB+,/SP
공제한도는	공제/NNG+한도/NNG+는/JX
500만	500/SN+만/NR
원으로	원/NNB+으로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.375.7.3
예를 들어 월세 60만 원을 내는 세입자는 현재는 300만 원만 소득공제를 받지만 연간 월세금액(720만 원)의 60%인 432만 원을 소득공제 받을 수 있게 된다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
월세	월세/NNG
60만	60/SN+만/NR
원을	원/NNB+을/JKO
내는	내/VV+는/ETM
세입자는	세입자/NNG+는/JX
현재는	현재/NNG+는/JX
300만	300/SN+만/NR
원만	원/NNB+만/JX
소득공제를	소득/NNG+공제/NNG+를/JKO
받지만	받/VV+지만/EC
연간	연간/NNG
월세금액(720만	월세/NNG+금액/NNG+(/SS+720/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
60%인	60/SN+%/SW+이/VCP+ㄴ/ETM
432만	432/SN+만/NR
소득공제	소득/NNG+공제/NNG
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.7.4
내년에 내는 월세 금액부터 적용된다.

내년에	내년/NNG+에/JKB
내는	내/VV+는/ETM
월세	월세/NNG
금액부터	금액/NNG+부터/JX
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.8.1
장기 주택모기지에 대한 소득공제 요건도 확대된다.

장기	장기/NNG
주택모기지에	주택/NNG+모기지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소득공제	소득/NNG+공제/NNG
요건도	요건/NNG+도/JX
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.8.2
집을 구입하기 위해 15년 이상 장기 주택담보대출을 받은 사람들이 받는 소득공제는 현재 무주택자가 기준시가 3억 원 이하의 주택을 살 때만 해당됐지만 이를 기준시가 4억 원(매매가 5억∼6억 원)으로 올린다.

집을	집/NNG+을/JKO
구입하기	구입/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
15년	15/SN+년/NNB
이상	이상/NNG
장기	장기/NNG
주택담보대출을	주택/NNG+담보/NNG+대출/NNG+을/JKO
받은	받/VV+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
받는	받/VV+는/ETM
소득공제는	소득/NNG+공제/NNG+는/JX
현재	현재/MAG
무주택자가	무주택자/NNG+가/JKS
기준시가	기준/NNG+시가/NNG
3억	3/SN+억/NR
원	원/NNB
이하의	이하/NNG+의/JKG
주택을	주택/NNG+을/JKO
살	사/VV+ㄹ/ETM
때만	때/NNG+만/JX
해당됐지만	해당/NNG+되/XSV+었/EP+지만/EC
이를	이/NP+를/JKO
4억	4/SN+억/NR
원(매매가	원/NNB+(/SS+매매/NNG+가/XSN
5억∼6억	5/SN+억/NR+∼/SO+6/SN+억/NR
원)으로	원/NNB+)/SS+으로/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.8.3
이미 집을 가지고 있는 사람도 기존 집을 팔면 소득공제를 받을 수 있다.

이미	이미/MAG
집을	집/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
사람도	사람/NNG+도/JX
기존	기존/NNG
팔면	팔/VV+면/EC
소득공제를	소득/NNG+공제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


