# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.268
metadata : {}


# id : NWRW1800000056.268.1.1
“주거 안정되니 출산율 높아졌다네요”

“주거	“/SS+주거/NNG
그는 ‘경제적 시각’과 ‘사회적 시각’이 결코 동떨어진 것이 아니라고 강조한다.

그는	그/NP+는/JX
‘경제적	‘/SS+경제/NNG+적/XSN
시각’과	시각/NNG+’/SS+과/JC
‘사회적	‘/SS+사회/NNG+적/XSN
시각’이	시각/NNG+’/SS+이/JKS
결코	결코/MAG
동떨어진	동떨어지/VA+ㄴ/ETM
것이	것/NNB+이/JKC
아니라고	아니/VCN+라고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.268.9.1
“엘에이치가 관리하는 국민임대주택에 입주한 사람이 최근 수기에서 ‘임대아파트에 사는 사람들이 주거가 안정되니까 출산율이 높아졌다’는 경험담을 밝힌 바 있습니다.

“엘에이치가	“/SS+엘에이치/NNP+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
국민임대주택에	국민/NNG+임대/NNG+주택/NNG+에/JKB
입주한	입주/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
최근	최근/MAG
수기에서	수기/NNG+에서/JKB
‘임대아파트에	‘/SS+임대/NNG+아파트/NNG+에/JKB
사는	살/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
주거가	주거/NNG+가/JKS
안정되니까	안정/NNG+되/XSV+니까/EC
출산율이	출산/NNG+율/XSN+이/JKS
높아졌다’는	높아지/VV+었/EP+다/EF+’/SS+는/ETM
경험담을	경험담/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000056.268.9.2
주거정책이 어떻게 되느냐에 따라 우리 사회의 미래 경제적 잠재력이 변할 수 있음을 보여주는 대목입니다.”

주거정책이	주거/NNG+정책/NNG+이/JKS
어떻게	어떻/VA+게/EC
되느냐에	되/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
우리	우리/NP
사회의	사회/NNG+의/JKG
미래	미래/NNG
경제적	경제/NNG+적/XSN
잠재력이	잠재력/NNG+이/JKS
변할	변하/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
대목입니다.”	대목/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000056.268.10.1
배 센터장은 “집은 안정되면 서민들에게 기쁨의 장소가 될 수 있지만, 불안정하면 고통의 장소가 될 수 있다.

배	배/NNP
센터장은	센터장/NNG+은/JX
“집은	“/SS+집/NNG+은/JX
안정되면	안정/NNG+되/XSV+면/EC
서민들에게	서민/NNG+들/XSN+에게/JKB
기쁨의	기쁨/NNG+의/JKG
장소가	장소/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
불안정하면	불/XPN+안정/NNG+하/XSA+면/EC
고통의	고통/NNG+의/JKG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.268.10.2
마이홈 상담센터의 전문 상담사들이 더 많은 사람에게 집이 기쁨과 희망의 장소가 되도록 노력하고 있다”고 설명했다.

마이홈	마이홈/NNP
상담센터의	상담/NNG+센터/NNG+의/JKG
전문	전문/NNG
상담사들이	상담사/NNG+들/XSN+이/JKS
더	더/MAG
많은	많/VA+은/ETM
사람에게	사람/NNG+에게/JKB
집이	집/NNG+이/JKS
기쁨과	기쁨/NNG+과/JC
희망의	희망/NNG+의/JKG
장소가	장소/NNG+가/JKC
되도록	되/VV+도록/EC
노력하고	노력/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.268.10.3
그것은 또한 우리나라의 잠재력을 높이는 일이기도 하단다.

그것은	그것/NP+은/JX
또한	또한/MAG
우리나라의	우리나라/NNG+의/JKG
잠재력을	잠재력/NNG+을/JKO
높이는	높이/VV+는/ETM
일이기도	일/NNG+이/VCP+기/ETN+도/JX
하단다.	하/VV+단다/EF+./SF


# id : NWRW1800000056.268.11.1
하지만 그는 주거복지에서도 가장 중요한 부분은 ‘본인의 의지’라고 강조한다.

하지만	하지만/MAJ
그는	그/NP+는/JX
주거복지에서도	주거/NNG+복지/NNG+에서/JKB+도/JX
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
부분은	부분/NNG+은/JX
‘본인의	‘/SS+본인/NNG+의/JKG
의지’라고	의지/NNG+’/SS+라고/JKQ
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.268.11.2
“자기가 더 나은 주거환경으로 가려고 노력하는 경우, 다양한 지원제도 가운데 자기에게 가장 적합한 부분을 어떻게 해서든 찾을 수 있습니다.

“자기가	“/SS+자기/NNG+가/JKS
더	더/MAG
나은	낫/VA+은/ETM
주거환경으로	주거/NNG+환경/NNG+으로/JKB
가려고	가/VV+려고/EC
노력하는	노력/NNG+하/XSV+는/ETM
경우,	경우/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
지원제도	지원/NNG+제도/NNG
가운데	가운데/NNG
자기에게	자기/NNG+에게/JKB
가장	가장/MAG
적합한	적합/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
어떻게	어떻/VA+게/EC
해서든	하/VV+아서/EC+든/JX
찾을	찾/VV+을/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000056.268.11.3
반면 상담사 등이 다 해주기를 바라는 사람은 지원받을 확률이 그만큼 낮아집니다.”

반면	반면/NNG
상담사	상담사/NNG
등이	등/NNB+이/JKS
다	다/MAG
해주기를	하/VV+아/EC+주/VX+기/ETN+를/JKO
바라는	바라/VV+는/ETM
사람은	사람/NNG+은/JX
지원받을	지원/NNG+받/XSV+을/ETM
확률이	확률/NNG+이/JKS
그만큼	그만큼/MAG
낮아집니다.”	낮/VA+아/EC+지/VX+ㅂ니다/EF+./SF+”/SS


