# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.174
metadata : {}


# id : NWRW1800000025.174.1.1
CIA, 6·25때 유엔군 북진 반대했다

CIA,	CIA/SL+,/SP
대해	대하/VV+아/EC
불가	불가/NNG
결론을	결론/NNG+을/JKO
내린다.	내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.174.5.2
첫 번째 이유는 미국이 유엔에서 북진 결정에 대한 승인을 받지 못할 가능성이 높다는 점을 꼽았다.

첫	첫/MMN
번째	번/NNB+째/XSN
이유는	이유/NNG+는/JX
미국이	미국/NNP+이/JKS
유엔에서	유엔/NNP+에서/JKB
북진	북진/NNG
결정에	결정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
승인을	승인/NNG+을/JKO
받지	받/VV+지/EC
못할	못하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
점을	점/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.5.3
유엔군 파견의 이유는 침략군 북한을 남한에서 몰아내는 것이지 북한을 점령하는 것이 아니라는 것.

유엔군	유엔군/NNG
파견의	파견/NNG+의/JKG
이유는	이유/NNG+는/JX
침략군	침략군/NNG
북한을	북한/NNP+을/JKO
남한에서	남한/NNP+에서/JKB
몰아내는	몰아내/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
점령하는	점령/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라는	아니/VCN+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.174.5.4
두 번째로는 중공군과의 교전 가능성을 들었다.

두	두/MMN
번째로는	번/NNB+째/XSN+로/JKB+는/JX
중공군과의	중공군/NNG+과/JKB+의/JKG
교전	교전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.174.5.5
미국과 중공의 군사적 충돌을 내심 바라는 소련은 이 같은 방향으로 상황이 전개될 경우 쌍수를 들고 환영할 가능성이 높다는 우려도 나왔다.

미국과	미국/NNP+과/JC
중공의	중공/NNP+의/JKG
군사적	군사/NNG+적/XSN
충돌을	충돌/NNG+을/JKO
내심	내심/NNG
바라는	바라/VV+는/ETM
소련은	소련/NNP+은/JX
이	이/NP
같은	같/VA+은/ETM
방향으로	방향/NNG+으로/JKB
상황이	상황/NNG+이/JKS
전개될	전개/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
쌍수를	쌍수/NNG+를/JKO
들고	들/VV+고/EC
환영할	환영/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
우려도	우려/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.5.6
궁극적으로 미국은 소련과의 전면전 가능성에 대한 우려도 숨기지 않았다.

궁극적으로	궁극/NNG+적/XSN+으로/JKB
미국은	미국/NNP+은/JX
소련과의	소련/NNP+과/JKB+의/JKG
전면전	전면전/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
숨기지	숨기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.174.5.7
마지막으로 38선 이북에 대한 군사공격이 지속적인 한반도 안보 불안의 도화선이 될 가능성도 내다봤다.

마지막으로	마지막/NNG+으로/JKB
38선	38/SN+선/NNG
이북에	이북/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
군사공격이	군사/NNG+공격/NNG+이/JKS
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
한반도	한반도/NNP
안보	안보/NNG
불안의	불안/NNG+의/JKG
도화선이	도화선/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.6.1
CIA는 이날 북한의 남침과 중공군 개입 가능성을 낮게 평가함으로써 결정적 오판을 했다는 자기반성 보고서도 공개했다.

CIA는	CIA/SL+는/JX
이날	이날/NNG
북한의	북한/NNP+의/JKG
남침과	남침/NNG+과/JC
중공군	중공군/NNG
개입	개입/NNG
가능성을	가능/NNG+성/XSN+을/JKO
낮게	낮/VA+게/EC
평가함으로써	평가/NNG+하/XSV+ㅁ/ETN+으로써/JKB
결정적	결정/NNG+적/XSN
오판을	오판/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
자기반성	자기반성/NNG
보고서도	보고서/NNG+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.6.2
CIA는 9월 8일 보고서에서 “중국의 전쟁 개입을 추정할 직접적인 근거는 없다”고 단언했다.

CIA는	CIA/SL+는/JX
9월	9/SN+월/NNB
8일	8/SN+일/NNB
보고서에서	보고서/NNG+에서/JKB
“중국의	“/SS+중국/NNP+의/JKG
전쟁	전쟁/NNG
개입을	개입/NNG+을/JKO
추정할	추정/NNG+하/XSV+ㄹ/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
근거는	근거/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
단언했다.	단언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.6.3
또 인천상륙작전 성공 이후 북한군의 전황이 불리해졌을 때도 중공군이 대응의 기미를 보이지 않자 점점 중공군 개입을 배제하는 쪽으로 기울었다.

또	또/MAG
인천상륙작전	인천/NNP+상륙/NNG+작전/NNG
성공	성공/NNG
이후	이후/NNG
북한군의	북한군/NNG+의/JKG
전황이	전황/NNG+이/JKS
불리해졌을	불리/NNG+하/XSA+아/EC+지/VX+었/EP+을/ETM
때도	때/NNG+도/JX
중공군이	중공군/NNG+이/JKS
대응의	대응/NNG+의/JKG
기미를	기미/NNG+를/JKO
보이지	보이/VV+지/EC
않자	않/VX+자/EC
점점	점점/MAG
중공군	중공군/NNG
개입을	개입/NNG+을/JKO
배제하는	배제/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
기울었다.	기울/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.174.6.4
결국 10월 12일 “중공군의 개입이 1950년에는 일어나지 않을 것”이라고 단언했고 “군사적 견지에서 볼 때 중국이 한국전쟁에 개입할 절호의 시기는 지나갔다”고 보고하기에 이르렀다.

결국	결국/MAG
10월	10/SN+월/NNB
12일	12/SN+일/NNB
“중공군의	“/SS+중공군/NNG+의/JKG
개입이	개입/NNG+이/JKS
1950년에는	1950/SN+년/NNB+에/JKB+는/JX
일어나지	일어나/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
단언했고	단언/NNG+하/XSV+았/EP+고/EC
“군사적	“/SS+군사/NNG+적/XSN
견지에서	견지/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
중국이	중국/NNP+이/JKS
한국전쟁에	한국/NNP+전쟁/NNG+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
절호의	절호/NNG+의/JKG
시기는	시기/NNG+는/JX
지나갔다”고	지나가/VV+았/EP+다/EF+”/SS+고/JKQ
보고하기에	보고/NNG+하/XSV+기에/EC
이르렀다.	이르/VV+었/EP+다/EF+./SF


