# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.278
metadata : {}


# id : NWRW1800000044.278.1.1
추신수, 좀처럼 나오지 않는 방망이가 문제다

추신수,	추신수/NNP+,/SP
스윙한	스윙/NNG+하/XSV+ㄴ/ETM
구역은	구역/NNG+은/JX
23곳이다.	23/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.278.7.3
툴로위츠키는 37개 구역에 달해 무려 14곳이나 차이가 났다.

툴로위츠키는	툴로위츠키/NNP+는/JX
37개	37/SN+개/NNB
구역에	구역/NNG+에/JKB
달해	달하/VV+아/EC
무려	무려/MAG
14곳이나	14/SN+곳/NNG+이나/JX
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.7.4
추신수의 스윙이 한가운데와 바깥쪽 낮은 공에 몰려 있는 반면 툴로위츠키의 스윙은 전 구역에 골고루 분포했다.

추신수의	추신수/NNP+의/JKG
스윙이	스윙/NNG+이/JKS
한가운데와	한/XPN+가운데/NNG+와/JC
바깥쪽	바깥쪽/NNG
낮은	낮/VA+은/ETM
공에	공/NNG+에/JKB
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
반면	반면/NNG
툴로위츠키의	툴로위츠키/NNP+의/JKG
스윙은	스윙/NNG+은/JX
전	전/MMN
구역에	구역/NNG+에/JKB
골고루	골고루/MAG
분포했다.	분포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.8.1
추신수가 볼에는 좀처럼 스윙을 하지 않는 스타일인 점도 증명됐다.

추신수가	추신수/NNP+가/JKS
볼에는	볼/NNG+에/JKB+는/JX
좀처럼	좀처럼/MAG
스윙을	스윙/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
스타일인	스타일/NNG+이/VCP+ㄴ/ETM
점도	점/NNG+도/JX
증명됐다.	증명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.278.8.2
스트라이크 존이 아닌 곳에서 투구 수의 50% 이상 스윙을 한 구역은 단 2곳이었다.

스트라이크	스트라이크/NNG
존이	존/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
투구	투구/NNG
수의	수/NNG+의/JKG
50%	50/SN+%/SW
이상	이상/NNG
스윙을	스윙/NNG+을/JKO
한	하/VV+ㄴ/ETM
구역은	구역/NNG+은/JX
단	단/MMA
2곳이었다.	2/SN+곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.278.8.3
선구안이 좋아 볼넷을 많이 얻는 건 추신수의 장점이기도 하다.

선구안이	선구안/NNG+이/JKS
좋아	좋/VA+아/EC
볼넷을	볼넷/NNG+을/JKO
많이	많이/MAG
얻는	얻/VV+는/ETM
건	거/NNB+ㄴ/JX
추신수의	추신수/NNP+의/JKG
장점이기도	장점/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000044.278.8.4
하지만 타격 1위 툴로위츠키가 스트라이크 존이 아닌 9개 구역에서 50% 이상 스윙을 한다는 점은 눈여겨볼 만하다.

하지만	하지만/MAJ
타격	타격/NNG
1위	1/SN+위/NNB
툴로위츠키가	툴로위츠키/NNP+가/JKS
스트라이크	스트라이크/NNG
존이	존/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
9개	9/SN+개/NNB
구역에서	구역/NNG+에서/JKB
50%	50/SN+%/SW
이상	이상/NNG
스윙을	스윙/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
점은	점/NNG+은/JX
눈여겨볼	눈여겨보/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000044.278.8.5
텍사스의 데이브 매거던 타격 코치는 “너무 완벽한 공을 기다리다간 아마도 안타를 못 칠 것이다.

텍사스의	텍사스/NNP+의/JKG
데이브	데이브/NNP
매거던	매거던/NNP
타격	타격/NNG
코치는	코치/NNG+는/JX
“너무	“/SS+너무/MAG
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
공을	공/NNG+을/JKO
기다리다간	기다리/VV+다가/EC+ㄴ/JX
아마도	아마도/MAG
안타를	안타/NNG+를/JKO
못	못/MAG
칠	치/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.278.8.6
눈이 무언가를 말하기 전에 스윙을 먼저 생각해야 한다”고 조언한 바 있다.

눈이	눈/NNG+이/JKS
무언가를	무어/NP+이/VCP+ㄴ가/EF+를/JKO
말하기	말/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
스윙을	스윙/NNG+을/JKO
먼저	먼저/MAG
생각해야	생각/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언한	조언/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.278.9.1
스트라이크 존에서도 추신수는 소극적으로 타격했다.

스트라이크	스트라이크/NNG
존에서도	존/NNG+에서/JKB+도/JX
추신수는	추신수/NNP+는/JX
소극적으로	소극/NNG+적/XSN+으로/JKB
타격했다.	타격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.9.2
스트라이크 존을 36개 구역으로 나눴을 때 절반에 가까운 15곳에서 투구 수의 50% 미만만 스윙했다.

스트라이크	스트라이크/NNG
존을	존/NNG+을/JKO
36개	36/SN+개/NNB
구역으로	구역/NNG+으로/JKB
나눴을	나누/VV+었/EP+을/ETM
때	때/NNG
절반에	절반/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
15곳에서	15/SN+곳/NNG+에서/JKB
투구	투구/NNG
수의	수/NNG+의/JKG
50%	50/SN+%/SW
미만만	미만/NNG+만/JX
스윙했다.	스윙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.9.3
박재홍 <엠비시 스포츠플러스> 해설위원은 “안타를 못 치면 타석에서 소극적으로 변할 수밖에 없다.

박재홍	박재홍/NNP
<엠비시	</SS+엠비시/NNP
스포츠플러스>	스포츠플러스/NNP+>/SS
해설위원은	해설/NNG+위원/NNG+은/JX
“안타를	“/SS+안타/NNG+를/JKO
못	못/MAG
치면	치/VV+면/EC
타석에서	타석/NNG+에서/JKB
소극적으로	소극/NNG+적/XSN+으로/JKB
변할	변하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.278.9.4
잘못 건드려 아웃당하면 타율이 더 떨어지고 스트레스도 더 받게 되기 때문”이라고 말했다.

잘못	잘못/MAG
건드려	건드리/VV+어/EC
아웃당하면	아웃/NNG+당하/XSV+면/EC
타율이	타율/NNG+이/JKS
더	더/MAG
떨어지고	떨어지/VV+고/EC
스트레스도	스트레스/NNG+도/JX
받게	받/VV+게/EC
되기	되/VV+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


