# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.375
metadata : {}


# id : NWRW1800000036.375.1.1
‘선거인단 부정’ 광주 동구, 전략공천은커녕…민주당 ‘무공천’으로 후퇴

‘선거인단	‘/SS+선거인단/NNG
협의회가	협의회/NNG+가/JKS
운영됐음을	운영/NNG+되/XSV+었/EP+음/ETN+을/JKO
추정케	추정/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
대목도	대목/NNG+도/JX
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.375.7.1
한편, 민주통합당은 광주 동구를 당 차원의 후보를 내지 않는 ‘무공천 지역’으로 지정했다.

한편,	한편/MAG+,/SP
민주통합당은	민주통합당/NNP+은/JX
광주	광주/NNP
동구를	동구/NNP+를/JKO
당	당/NNG
차원의	차원/NNG+의/JKG
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않는	않/VX+는/ETM
‘무공천	‘/SS+무/XPN+공천/NNG
지역’으로	지역/NNG+’/SS+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.375.7.2
민주당은 제3의 인물로 ‘전략공천’을 검토했으나, 박주선 의원과 일부 최고위원의 반발로 무공천으로 변경한 것으로 알려졌다.

민주당은	민주당/NNP+은/JX
제3의	제/XPN+3/SN+의/JKG
인물로	인물/NNG+로/JKB
‘전략공천’을	‘/SS+전략/NNG+공천/NNG+’/SS+을/JKO
검토했으나,	검토/NNG+하/XSV+았/EP+으나/EC+,/SP
박주선	박주선/NNP
의원과	의원/NNG+과/JC
일부	일부/NNG
최고위원의	최고/NNG+위원/NNG+의/JKG
반발로	반발/NNG+로/JKB
무공천으로	무/XPN+공천/NNG+으로/JKB
변경한	변경/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.375.7.3
민주당 내에서는 ‘후퇴’라는 비판이 나오고 있다.

민주당	민주당/NNP
내에서는	내/NNB+에서/JKB+는/JX
‘후퇴’라는	‘/SS+후퇴/NNG+’/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.375.7.4
박주선 의원과 양형일 전 의원 등 현재 후보들이 민주당 후보 없이 무소속으로 총선을 치를 수 있기 때문이다.

박주선	박주선/NNP
의원과	의원/NNG+과/JC
양형일	양형일/NNP
전	전/MMD
의원	의원/NNG
등	등/NNB
현재	현재/MAG
후보들이	후보/NNG+들/XSN+이/JKS
민주당	민주당/NNP
후보	후보/NNG
없이	없이/MAG
무소속으로	무/XPN+소속/NNG+으로/JKB
총선을	총선/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


