# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.422
metadata : {}


# id : NWRW1800000038.422.1.1
OECD도 새마을운동 연구한다

OECD도	OECD/SL+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.422.6.3
전 세계 공무원, 학자 등 외국 인사 500명과 국내 인사 1500명 등 2000명 이상이 참가할 예정이다.

전	전/MMN
세계	세계/NNG
공무원,	공무원/NNG+,/SP
학자	학자/NNG
등	등/NNB
외국	외국/NNG
인사	인사/NNG
500명과	500/SN+명/NNB+과/JC
국내	국내/NNG
1500명	1500/SN+명/NNB
2000명	2000/SN+명/NNB
이상이	이상/NNG+이/JKS
참가할	참가/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.422.7.1
정부는 새마을운동을 받아들이려는 나라를 특성별로 나눠 국가별 상황에 맞게 집중 지원할 방침이다.

정부는	정부/NNG+는/JX
새마을운동을	새마을/NNG+운동/NNG+을/JKO
받아들이려는	받아들이/VV+려는/ETM
나라를	나라/NNG+를/JKO
특성별로	특성/NNG+별/XSN+로/JKB
나눠	나누/VV+어/EC
국가별	국가/NNG+별/XSN
상황에	상황/NNG+에/JKB
맞게	맞/VV+게/EC
집중	집중/NNG
지원할	지원/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


