# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.188
metadata : {}


# id : NWRW1800000021.188.1.1
갓난아기를 결혼식장에 데려가?

갓난아기를	갓난아기/NNG+를/JKO
강 씨가 연예계 선배들에게 육아 비결을 배우겠다며 분장실로 찾아갔지만 제대로 된 육아정보는 찾아볼 수 없었다.

강	강/NNP
씨가	씨/NNB+가/JKS
연예계	연예/NNG+계/XSN
선배들에게	선배/NNG+들/XSN+에게/JKB
육아	육아/NNG
비결을	비결/NNG+을/JKO
배우겠다며	배우/VV+겠/EP+다며/EC
분장실로	분장실/NNG+로/JKB
찾아갔지만	찾아가/VV+았/EP+지만/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
육아정보는	육아/NNG+정보/NNG+는/JX
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.188.4.2
한 개그맨은 모유 수유법을 알려주겠다면서 장난하는 태도로 일관했고, 한 개그우먼은 아기 트림 시키는 법을 간단히 일러준 뒤 강 씨가 출연하는 개그 프로그램의 유행어를 주고받는 데 치중했다.

한	한/MMN
개그맨은	개그맨/NNG+은/JX
모유	모유/NNG
수유법을	수유/NNG+법/NNG+을/JKO
알려주겠다면서	알리/VV+어/EC+주/VX+겠/EP+다면서/EC
장난하는	장난/NNG+하/XSV+는/ETM
태도로	태도/NNG+로/JKB
일관했고,	일관/NNG+하/XSV+았/EP+고/EC+,/SP
개그우먼은	개그우먼/NNG+은/JX
아기	아기/NNG
트림	트림/NNG
시키는	시키/VV+는/ETM
법을	법/NNG+을/JKO
간단히	간단히/MAG
일러준	이르/VV+어/EC+주/VX+ㄴ/ETM
뒤	뒤/NNG
강	강/NNP
씨가	씨/NNB+가/JKS
출연하는	출연/NNG+하/XSV+는/ETM
개그	개그/NNG
프로그램의	프로그램/NNG+의/JKG
유행어를	유행어/NNG+를/JKO
주고받는	주고받/VV+는/ETM
데	데/NNB
치중했다.	치중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.188.5.1
이어 이 프로그램에서 MC를 맡은 개그맨 지상렬이 중간점검을 한다며 이들의 집으로 찾아왔다.

이어	이어/MAG
이	이/MMD
프로그램에서	프로그램/NNG+에서/JKB
MC를	MC/SL+를/JKO
맡은	맡/VV+은/ETM
개그맨	개그맨/NNG
지상렬이	지상렬/NNP+이/JKS
중간점검을	중간/NNG+점검/NNG+을/JKO
한다며	하/VV+ㄴ다며/EC
이들의	이/NP+들/XSN+의/JKG
집으로	집/NNG+으로/JKB
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.188.5.2
그는 육아 책에 소개된 아기 마사지 하는 법을 읽어주더니 강유미와 안영미는 누가 아기에게 마사지를 해줄 것이냐를 두고 ‘스타 문자 받기’ 대결을 벌이게 했다.

그는	그/NP+는/JX
육아	육아/NNG
책에	책/NNG+에/JKB
소개된	소개/NNG+되/XSV+ㄴ/ETM
아기	아기/NNG
마사지	마사지/NNG
하는	하/VV+는/ETM
법을	법/NNG+을/JKO
읽어주더니	읽/VV+어/EC+주/VX+더니/EC
강유미와	강유미/NNP+와/JC
안영미는	안영미/NNP+는/JX
누가	누구/NP+가/JKS
아기에게	아기/NNG+에게/JKB
마사지를	마사지/NNG+를/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
것이냐를	것/NNB+이/VCP+냐/EF+를/JKO
두고	두/VV+고/EC
‘스타	‘/SS+스타/NNG
문자	문자/NNG
받기’	받/VV+기/ETN+’/SS
대결을	대결/NNG+을/JKO
벌이게	벌이/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.188.5.3
또 두 개그우먼이 바쁜 스케줄에도 불구하고 아기를 돌보느라 고생한다면서 요리를 해주는 장면이 방송을 탔다.

또	또/MAG
두	두/MMN
개그우먼이	개그우먼/NNG+이/JKS
바쁜	바쁘/VA+ㄴ/ETM
스케줄에도	스케줄/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
아기를	아기/NNG+를/JKO
돌보느라	돌보/VV+느라/EC
고생한다면서	고생/NNG+하/XSV+ㄴ다면서/EC
요리를	요리/NNG+를/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
장면이	장면/NNG+이/JKS
방송을	방송/NNG+을/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.188.5.4
지상렬의 방문을 다룬 10여 분 중 아기 마사지에 할애한 시간은 2분에 불과했다.

지상렬의	지상렬/NNP+의/JKG
방문을	방문/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
10여	10/SN+여/XSN
분	분/NNB
중	중/NNB
아기	아기/NNG
마사지에	마사지/NNG+에/JKB
할애한	할애/NNG+하/XSV+ㄴ/ETM
시간은	시간/NNG+은/JX
2분에	2/SN+분/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000021.188.6.1
갓난아이를 붐비는 장소에 데리고 가는 장면에선 걱정이 앞섰다.

갓난아이를	갓난아이/NNG+를/JKO
붐비는	붐비/VV+는/ETM
장소에	장소/NNG+에/JKB
데리고	데리/VV+고/EC
가는	가/VV+는/ETM
장면에선	장면/NNG+에서/JKB+ㄴ/JX
걱정이	걱정/NNG+이/JKS
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.188.6.2
사람 많고 소음 가득한 미용실과 개그맨 유세윤의 결혼식장에 아기와 동행한 것이다.

사람	사람/NNG
많고	많/VA+고/EC
소음	소음/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
미용실과	미용실/NNG+과/JC
개그맨	개그맨/NNG
유세윤의	유세윤/NNP+의/JKG
결혼식장에	결혼식장/NNG+에/JKB
아기와	아기/NNG+와/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.188.6.3
문제가 될 만한 장면에서는 어김없이 ‘사회복지단체 관계자와 전문위탁모의 입회하에 촬영되고 있습니다’라는 자막을 내보냈지만 시청자를 안심시키지는 못했다.

문제가	문제/NNG+가/JKC
될	되/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
장면에서는	장면/NNG+에서/JKB+는/JX
어김없이	어김없이/MAG
‘사회복지단체	‘/SS+사회/NNG+복지/NNG+단체/NNG
관계자와	관계자/NNG+와/JC
전문위탁모의	전문/NNG+위탁모/NNG+의/JKG
입회하에	입회/NNG+하/XSN+에/JKB
촬영되고	촬영/NNG+되/XSV+고/EC
있습니다’라는	있/VX+습니다/EF+’/SS+이/VCP+라는/ETM
자막을	자막/NNG+을/JKO
내보냈지만	내보내/VV+었/EP+지만/EC
시청자를	시청자/NNG+를/JKO
안심시키지는	안심/NNG+시키/XSV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.188.7.1
시청자 게시판에는 ‘한창 사랑받고 보살핌 받아야 하는 아기가 프로그램에 이끌려 다니는 모습을 보니 찝찝함과 눈물밖에 안 남았다’(김형선), ‘생후 1개월 아기를 침대에 눕힌 채로 수유하거나 사람 많은 결혼식장에 데려가면 안 된다.

시청자	시청자/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
‘한창	‘/SS+한창/MAG
사랑받고	사랑/NNG+받/XSV+고/EC
보살핌	보살핌/NNG
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
아기가	아기/NNG+가/JKS
프로그램에	프로그램/NNG+에/JKB
이끌려	이끌리/VV+어/EC
다니는	다니/VV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
찝찝함과	찝찝하/VA+ㅁ/ETN+과/JC
눈물밖에	눈물/NNG+밖에/JX
안	안/MAG
남았다’(김형선),	남/VV+았/EP+다/EF+’/SS+(/SS+김형선/NNP+)/SS+,/SP
‘생후	‘/SS+생후/NNG
1개월	1/SN+개월/NNB
아기를	아기/NNG+를/JKO
침대에	침대/NNG+에/JKB
눕힌	눕히/VV+ㄴ/ETM
채로	채/NNB+로/JKB
수유하거나	수유/NNG+하/XSV+거나/EC
사람	사람/NNG
많은	많/VA+은/ETM
결혼식장에	결혼식장/NNG+에/JKB
데려가면	데려가/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.188.7.2
아기 키우는 엄마로서 가슴이 조마조마했다’(최연주)는 의견이 잇따랐다.

아기	아기/NNG
키우는	키우/VV+는/ETM
엄마로서	엄마/NNG+로서/JKB
가슴이	가슴/NNG+이/JKS
조마조마했다’(최연주)는	조마조마/MAG+하/XSA+았/EP+다/EF+’/SS+(/SS+최연주/NNP+)/SS+는/JX
의견이	의견/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.188.8.1
아기를 양부모에게 보내는 마지막 날은 슬픈 음악과 자막으로 ‘신파’ 일색이었다.

아기를	아기/NNG+를/JKO
양부모에게	양부모/NNG+에게/JKB
보내는	보내/VV+는/ETM
마지막	마지막/NNG
날은	날/NNG+은/JX
슬픈	슬프/VA+ㄴ/ETM
음악과	음악/NNG+과/JC
자막으로	자막/NNG+으로/JKB
‘신파’	‘/SS+신파/NNG+’/SS
일색이었다.	일색/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.188.8.2
아기와의 이별 파티를 비롯해 연예인의 눈물, ‘비가 내려 더욱 슬픈 이별의 아침’이라는 자막까지.

아기와의	아기/NNG+와/JKB+의/JKG
이별	이별/NNG
파티를	파티/NNG+를/JKO
비롯해	비롯하/VV+아/EC
연예인의	연예인/NNG+의/JKG
눈물,	눈물/NNG+,/SP
‘비가	‘/SS+비/NNG+가/JKS
내려	내리/VV+어/EC
더욱	더욱/MAG
슬픈	슬프/VA+ㄴ/ETM
이별의	이별/NNG+의/JKG
아침’이라는	아침/NNG+’/SS+이/VCP+라는/ETM
자막까지.	자막/NNG+까지/JX+./SF


# id : NWRW1800000021.188.8.3
입양이라는 소재를 이런 식으로 ‘소비’하는 것은 분명 다시 한번 생각해볼 문제다.

입양이라는	입양/NNG+이/VCP+라는/ETM
소재를	소재/NNG+를/JKO
이런	이런/MMD
식으로	식/NNB+으로/JKB
‘소비’하는	‘/SS+소비/NNG+’/SS+하/XSV+는/ETM
것은	것/NNB+은/JX
분명	분명/MAG
다시	다시/MAG
한번	한번/NNG
생각해볼	생각/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


