# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.129
metadata : {}


# id : NWRW1800000029.129.1.1
카다피에겐 양대 버팀목 있기에…

카다피에겐	카다피/NNP+에게/JKB+ㄴ/JX
튀니지에는 전국적으로 1만2000명의 국민방위군이, 이집트는 인권 탄압으로 악명 높은 중앙보안대(CSF·35만 명)가 내무부 산하에 있었다.

튀니지에는	튀니지/NNP+에/JKB+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
1만2000명의	1/SN+만/NR+2000/SN+명/NNB+의/JKG
국민방위군이,	국민/NNG+방위군/NNG+이/JKS+,/SP
이집트는	이집트/NNP+는/JX
인권	인권/NNG
탄압으로	탄압/NNG+으로/JKB
악명	악명/NNG
높은	높/VA+은/ETM
중앙보안대(CSF·35만	중앙/NNG+보안대/NNG+(/SS+CSF/SL+·/SP+35/SN+만/NR
명)가	명/NNB+)/SS+가/JKS
내무부	내무부/NNG
산하에	산하/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.129.4.3
그러나 두 나라의 친위대는 정규군이 국민 쪽으로 등을 돌리자 그 거대한 힘 앞에 쉽게 압도됐다.

그러나	그러나/MAJ
두	두/MMN
나라의	나라/NNG+의/JKG
친위대는	친위대/NNG+는/JX
정규군이	정규군/NNG+이/JKS
국민	국민/NNG
쪽으로	쪽/NNB+으로/JKB
등을	등/NNG+을/JKO
돌리자	돌리/VV+자/EC
그	그/MMD
거대한	거대/NNG+하/XSA+ㄴ/ETM
힘	힘/NNG
앞에	앞/NNG+에/JKB
쉽게	쉽/VA+게/EC
압도됐다.	압도/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.129.5.1
두 국가의 친위대가 방대한 조직에 충성심도 느슨했다면 리비아의 친위대는 정예부대의 성격이 강하다.

두	두/MMN
국가의	국가/NNG+의/JKG
친위대가	친위대/NNG+가/JKS
방대한	방대하/VA+ㄴ/ETM
조직에	조직/NNG+에/JKB
충성심도	충성심/NNG+도/JX
느슨했다면	느슨하/VA+았/EP+다면/EC
리비아의	리비아/NNP+의/JKG
친위대는	친위대/NNG+는/JX
정예부대의	정예/NNG+부대/NNG+의/JKG
성격이	성격/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000029.129.5.2
11만9000여 명의 리비아 전체 병력 가운데 친위대는 1만∼1만5000명으로 추산된다.

11만9000여	11/SN+만/NR+9000/SN+여/XSN
명의	명/NNB+의/JKG
리비아	리비아/NNP
전체	전체/NNG
병력	병력/NNG
가운데	가운데/NNG
친위대는	친위대/NNG+는/JX
1만∼1만5000명으로	1/SN+만/NR+∼/SO+1/SN+만/NR+5000/SN+명/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.129.5.3
북한 김정일 국방위원장의 친위부대인 호위총국과 비슷한 규모다.

북한	북한/NNP
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
친위부대인	친위/NNG+부대/NNG+이/VCP+ㄴ/ETM
호위총국과	호위/NNG+총국/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.129.5.4
7남 카미스가 이끄는 32여단, 5남 무타심의 대통령경호대, 용병부대 범아프리카군단, 청년 민병대 조직 ‘혁명위원회’가 수도 트리폴리를 방어하고 있다.

7남	7/SN+남/NNG
카미스가	카미스/NNP+가/JKS
이끄는	이끌/VV+는/ETM
32여단,	32/SN+여단/NNG+,/SP
5남	5/SN+남/NNG
무타심의	무타심/NNP+의/JKG
대통령경호대,	대통령/NNG+경호대/NNG+,/SP
용병부대	용병/NNG+부대/NNG
범아프리카군단,	범/XPN+아프리카/NNP+군단/NNG+,/SP
청년	청년/NNG
민병대	민병대/NNG
조직	조직/NNG
‘혁명위원회’가	‘/SS+혁명/NNG+위원회/NNG+’/SS+가/JKS
수도	수도/NNG
트리폴리를	트리폴리/NNP+를/JKO
방어하고	방어/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.129.5.5
반정부세력으로 이탈한 정규군도 이들을 당해내기는 쉽지 않아 보인다.

반정부세력으로	반/XPN+정부/NNG+세력/NNG+으로/JKB
이탈한	이탈/NNG+하/XSV+ㄴ/ETM
정규군도	정규군/NNG+도/JX
이들을	이/NP+들/XSN+을/JKO
당해내기는	당하/VV+아/EC+내/VX+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.129.6.1
○ 끈끈한 부족애

○	○/SW
끈끈한	끈끈하/VA+ㄴ/ETM
부족애	부족애/NNG


# id : NWRW1800000029.129.7.1
리비아 사회를 이집트 튀니지와 결정적으로 다르게 만드는 것은 부족 간 역학관계다.

리비아	리비아/NNP
사회를	사회/NNG+를/JKO
이집트	이집트/NNP
튀니지와	튀니지/NNP+와/JKB
결정적으로	결정/NNG+적/XSN+으로/JKB
다르게	다르/VA+게/EC
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
부족	부족/NNG
간	간/NNB
역학관계다.	역학/NNG+관계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.129.7.2
32여단이나 대통령경호대는 모두 카다피 원수의 부족인 카다파 출신이 주를 이루고 있다.

32여단이나	32/SN+여단/NNG+이나/JC
대통령경호대는	대통령/NNG+경호대/NNG+는/JX
모두	모두/MAG
카다피	카다피/NNP
원수의	원수/NNG+의/JKG
부족인	부족/NNG+이/VCP+ㄴ/ETM
카다파	카다파/NNP
출신이	출신/NNG+이/JKS
주를	주/NNG+를/JKO
이루고	이루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.129.7.3
카다파가 상대적으로 소수이기 때문에 카다피 원수는 1969년 쿠데타 이후 인구 100만 명을 넘는 리비아 최대 부족인 와팔라, 그리고 다음 가는 부족 마가리하와 깊은 관계를 맺었다.

카다파가	카다파/NNP+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
소수이기	소수/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
카다피	카다피/NNP
원수는	원수/NNG+는/JX
1969년	1969/SN+년/NNB
쿠데타	쿠데타/NNG
이후	이후/NNG
인구	인구/NNG
100만	100/SN+만/NR
명을	명/NNB+을/JKO
넘는	넘/VV+는/ETM
리비아	리비아/NNP
최대	최대/NNG
부족인	부족/NNG+이/VCP+ㄴ/ETM
와팔라,	와팔라/NNP+,/SP
그리고	그리고/MAJ
다음	다음/NNG
가는	가/VV+는/ETM
부족	부족/NNG
마가리하와	마가리하/NNP+와/JKB
깊은	깊/VA+은/ETM
관계를	관계/NNG+를/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.129.7.4
카다파와 와팔라의 관계는 ‘혈맹’이라고 불릴 정도다.

카다파와	카다파/NNP+와/JC
와팔라의	와팔라/NNP+의/JKG
관계는	관계/NNG+는/JX
‘혈맹’이라고	‘/SS+혈맹/NNG+’/SS+이라고/JKQ
불릴	불리/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.129.8.1
이들 부족은 모두 리비아를 동서로 나누는 시드라 만 서쪽의 연안과 중부에서 발원했다.

이들	이/NP+들/XSN
부족은	부족/NNG+은/JX
모두	모두/MAG
리비아를	리비아/NNP+를/JKO
동서로	동서/NNG+로/JKB
나누는	나누/VV+는/ETM
시드라	시드라/NNP
만	만/NNG
서쪽의	서쪽/NNG+의/JKG
연안과	연안/NNG+과/JC
중부에서	중부/NNG+에서/JKB
발원했다.	발원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.129.8.2
반정부세력이 장악한 시드라 만 동쪽 지역의 부족과는 전통적으로 대립하고 있다.

반정부세력이	반/XPN+정부/NNG+세력/NNG+이/JKS
장악한	장악/NNG+하/XSV+ㄴ/ETM
시드라	시드라/NNP
만	만/NNG
동쪽	동쪽/NNG
지역의	지역/NNG+의/JKG
부족과는	부족/NNG+과/JKB+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
대립하고	대립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.129.8.3
이들 세 부족민이 트리폴리를 중심으로 하는 지역에 몰려 있다.

이들	이/NP+들/XSN
세	세/MMN
부족민이	부족민/NNG+이/JKS
트리폴리를	트리폴리/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
하는	하/VV+는/ETM
지역에	지역/NNG+에/JKB
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.129.8.4
비록 지난달 21일 와팔라 원로그룹과 마가리하 일부 세력이 카다피 원수를 비난하고 나섰지만 이들 부족 전체가 카다피 원수에게 등을 돌렸다고 보기는 어렵다.

비록	비록/MAG
지난달	지난달/NNG
21일	21/SN+일/NNB
와팔라	와팔라/NNP
원로그룹과	원로/NNG+그룹/NNG+과/JC
마가리하	마가리하/NNP
일부	일부/NNG
세력이	세력/NNG+이/JKS
카다피	카다피/NNP
원수를	원수/NNG+를/JKO
비난하고	비난/NNG+하/XSV+고/EC
나섰지만	나서/VV+었/EP+지만/EC
이들	이/NP+들/XSN
부족	부족/NNG
전체가	전체/NNG+가/JKS
원수에게	원수/NNG+에게/JKB
등을	등/NNG+을/JKO
돌렸다고	돌리/VV+었/EP+다고/EC
보기는	보/VV+기/ETN+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000029.129.8.5
카다피 원수의 학정과 시민학살에도 불구하고 카다피 체제하에서 이권과 기득권을 누려온 전체 인구의 5분의 2가량을 차지하는 이들 세 부족 출신의 주민들은 반정부시위대에 냉담한 반응을 보이고 있다.

카다피	카다피/NNP
원수의	원수/NNG+의/JKG
학정과	학정/NNG+과/JC
시민학살에도	시민/NNG+학살/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
체제하에서	체제/NNG+하/XSN+에서/JKB
이권과	이권/NNG+과/JC
기득권을	기득/NNG+권/XSN+을/JKO
누려온	누리/VV+어/EC+오/VX+ㄴ/ETM
전체	전체/NNG
인구의	인구/NNG+의/JKG
5분의	5/SN+분/XSN+의/JKG
2가량을	2/SN+가량/XSN+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
이들	이/NP+들/XSN
세	세/MMN
부족	부족/NNG
출신의	출신/NNG+의/JKG
주민들은	주민/NNG+들/XSN+은/JX
반정부시위대에	반/XPN+정부/NNG+시위대/NNG+에/JKB
냉담한	냉담/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


