# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.352
metadata : {}


# id : NWRW1800000032.352.1.1
북, 남북 당국자간 /무조건 회담 제안

북,	북/NNP+,/SP
접촉에서	접촉/NNG+에서/JKB
긴장완화와	긴장/NNG+완화/NNG+와/JC
평화,	평화/NNG+,/SP
화해와	화해/NNG+와/JC
단합,	단합/NNG+,/SP
협력사업을	협력/NNG+사업/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
민족의	민족/NNG+의/JKG
중대사와	중대사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
문제들을	문제/NNG+들/XSN+을/JKO
협의·해결해	협의/NNG+·/SP+해결/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.352.5.3
북쪽은 “비방중상과 자극적인 행동은 북남관계를 해치는 불씨이며 군사적 충돌을 유발할 수 있는 위험한 도화선”이라며 “우리는 북남관계 개선의 분위기 조성을 위해 서로의 비방중상을 중지하며 상대방을 자극하는 행동을 하지 않을 것을 제기한다”고 밝혔다.

북쪽은	북쪽/NNG+은/JX
“비방중상과	“/SS+비방/NNG+중상/NNG+과/JC
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
행동은	행동/NNG+은/JX
북남관계를	북남/NNP+관계/NNG+를/JKO
해치는	해치/VV+는/ETM
불씨이며	불씨/NNG+이/VCP+며/EC
군사적	군사/NNG+적/XSN
충돌을	충돌/NNG+을/JKO
유발할	유발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
위험한	위험/NNG+하/XSA+ㄴ/ETM
도화선”이라며	도화선/NNG+”/SS+이/VCP+라며/EC
“우리는	“/SS+우리/NP+는/JX
북남관계	북남/NNP+관계/NNG
개선의	개선/NNG+의/JKG
분위기	분위기/NNG
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
서로의	서로/NNG+의/JKG
비방중상을	비방/NNG+중상/NNG+을/JKO
중지하며	중지/NNG+하/XSV+며/EC
상대방을	상대방/NNG+을/JKO
자극하는	자극/NNG+하/XSV+는/ETM
행동을	행동/NNG+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
것을	것/NNB+을/JKO
제기한다”고	제기/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.352.6.1
북쪽의 이런 대화 제의에 대해, 통일부 당국자는 “북쪽의 통일전선전술 차원의 연례적 조처”라며 “진정성 있는 대화 제의로 보지 않는다”고 밝혔다.

북쪽의	북쪽/NNG+의/JKG
이런	이런/MMD
대화	대화/NNG
제의에	제의/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
“북쪽의	“/SS+북쪽/NNG+의/JKG
통일전선전술	통일/NNG+전선/NNG+전술/NNG
차원의	차원/NNG+의/JKG
연례적	연례/NNG+적/XSN
조처”라며	조처/NNG+”/SS+이/VCP+라며/EC
“진정성	“/SS+진정/NNG+성/XSN
있는	있/VA+는/ETM
제의로	제의/NNG+로/JKB
보지	보/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.352.6.2
하지만 청와대 핵심 관계자는 정부의 대응 방침을 확정하는 데 “시간이 좀 필요하다”며 여지를 뒀다.

하지만	하지만/MAJ
청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
정부의	정부/NNG+의/JKG
대응	대응/NNG
방침을	방침/NNG+을/JKO
확정하는	확정/NNG+하/XSV+는/ETM
데	데/NNB
“시간이	“/SS+시간/NNG+이/JKS
좀	좀/MAG
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
여지를	여지/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.352.7.1
북쪽은 매년 1월 새해 공동사설 발표 뒤 ‘정부·정당·단체 연합회의’를 열어 남쪽 정부와 정당, 사회단체 등을 상대로 대화 제의 등을 해왔으나 2008년 이명박 정부 출범 뒤 이를 중단한 바 있다.

북쪽은	북쪽/NNG+은/JX
매년	매년/MAG
1월	1/SN+월/NNB
새해	새해/NNG
공동사설	공동/NNG+사설/NNG
발표	발표/NNG
뒤	뒤/NNG
‘정부·정당·단체	‘/SS+정부/NNG+·/SP+정당/NNG+·/SP+단체/NNG
연합회의’를	연합/NNG+회의/NNG+’/SS+를/JKO
열어	열/VV+어/EC
남쪽	남쪽/NNG
정부와	정부/NNG+와/JC
정당,	정당/NNG+,/SP
사회단체	사회단체/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
대화	대화/NNG
제의	제의/NNG
해왔으나	하/VV+아/EC+오/VX+았/EP+으나/EC
2008년	2008/SN+년/NNB
이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
이를	이/NP+를/JKO
중단한	중단/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.352.8.1
북쪽의 이 연합성명은 지난 1일 새해 공동사설에서 ‘남북의 대결 해소와 대화·협력사업 적극 추진’을 제기한 직후이자 스티븐 보즈워스 미국 국무부 대북정책 특별대표가 서울을 거쳐 베이징에 간 5일 오후 나온 것으로, 우선 연평도 포격 사태 등으로 경색된 남북관계를 대화로 풀자는 메시지로 풀이된다.

북쪽의	북쪽/NNG+의/JKG
이	이/MMD
연합성명은	연합/NNG+성명/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
새해	새해/NNG
공동사설에서	공동/NNG+사설/NNG+에서/JKB
‘남북의	‘/SS+남북/NNP+의/JKG
대결	대결/NNG
해소와	해소/NNG+와/JC
대화·협력사업	대화/NNG+·/SP+협력/NNG+사업/NNG
적극	적극/NNG
추진’을	추진/NNG+’/SS+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
직후이자	직후/NNG+이/VCP+자/EC
스티븐	스티븐/NNP
보즈워스	보즈워스/NNP
미국	미국/NNP
국무부	국무부/NNG
대북정책	대북/NNG+정책/NNG
특별대표가	특별/NNG+대표/NNG+가/JKS
서울을	서울/NNP+을/JKO
거쳐	거치/VV+어/EC
베이징에	베이징/NNP+에/JKB
간	가/VV+ㄴ/ETM
5일	5/SN+일/NNB
오후	오후/NNG
나온	나오/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
우선	우선/MAG
연평도	연평도/NNP
포격	포격/NNG
사태	사태/NNG
등으로	등/NNB+으로/JKB
경색된	경색/NNG+되/XSV+ㄴ/ETM
남북관계를	남북/NNP+관계/NNG+를/JKO
대화로	대화/NNG+로/JKB
풀자는	풀/VV+자는/ETM
메시지로	메시지/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.352.8.2
특히 북쪽의 “민족의 중대사와 관련한 모든 문제들을 협의·해결해 나갈 것”이라는 언급은, 남쪽 당국이 제기해온 ‘남북대화에서 핵문제 논의’ 방침을 염두에 둔 것으로 해석될 소지가 있어 정부의 대응이 주목된다.

특히	특히/MAG
북쪽의	북쪽/NNG+의/JKG
“민족의	“/SS+민족/NNG+의/JKG
중대사와	중대사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
문제들을	문제/NNG+들/XSN+을/JKO
협의·해결해	협의/NNG+·/SP+해결/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
언급은,	언급/NNG+은/JX+,/SP
남쪽	남쪽/NNG
당국이	당국/NNG+이/JKS
제기해온	제기/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘남북대화에서	‘/SS+남북/NNP+대화/NNG+에서/JKB
핵문제	핵/NNG+문제/NNG
논의’	논의/NNG+’/SS
방침을	방침/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석될	해석/NNG+되/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있어	있/VA+어/EC
정부의	정부/NNG+의/JKG
대응이	대응/NNG+이/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.352.9.1
북쪽이 이렇게 연초부터 거듭 대화 메시지를 밝히고 나선 것은 ‘6자회담을 재개하려면 남북관계 개선이 선행돼야 한다’는 미국 정부의 태도를 의식한 측면이 강한 것으로 보인다.

북쪽이	북쪽/NNG+이/JKS
이렇게	이렇/VA+게/EC
연초부터	연초/NNG+부터/JX
거듭	거듭/MAG
대화	대화/NNG
메시지를	메시지/NNG+를/JKO
밝히고	밝히/VV+고/EC
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
‘6자회담을	‘/SS+6/SN+자/NNB+회담/NNG+을/JKO
재개하려면	재개/NNG+하/XSV+려면/EC
남북관계	남북/NNP+관계/NNG
개선이	개선/NNG+이/JKS
선행돼야	선행/NNG+되/XSV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
미국	미국/NNP
정부의	정부/NNG+의/JKG
태도를	태도/NNG+를/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
측면이	측면/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.352.9.2
6자회담 재개 및 북-미 양자접촉 환경 조성용 ‘명분 축적’인 셈이다.

6자회담	6/SN+자/NNB+회담/NNG
재개	재개/NNG
및	및/MAG
북-미	북/NNP+-/SO+미/NNP
양자접촉	양자/NNG+접촉/NNG
환경	환경/NNG
조성용	조성/NNG+용/XSN
‘명분	‘/SS+명분/NNG
축적’인	축적/NNG+’/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.352.9.3
북쪽으로선 남쪽의 거부로 대화가 이뤄지지 않더라도 크게 손해볼 게 없다는 판단이 깔려 있을 수 있다.

북쪽으로선	북쪽/NNG+으로서/JKB+ㄴ/JX
남쪽의	남쪽/NNG+의/JKG
거부로	거부/NNG+로/JKB
대화가	대화/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않더라도	않/VX+더라도/EC
크게	크/VA+게/EC
손해볼	손해/NNG+보/VV+ㄹ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
판단이	판단/NNG+이/JKS
깔려	깔리/VV+어/EC
있을	있/VX+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.352.10.1
북쪽은 이 연합성명에서 “우리는 최악의 상태에 이른 북남관계를 풀기 위해 당국이든 민간이든, 여당이든 야당이든, 진보이든 보수이든 남조선당국을 포함한 정당, 단체들과 적극 대화하고 협상할 것”이라며 “우리와 손잡고 나가려는 사람이라면 과거를 불문하고 언제 어디서 누구와도 만날 용의가 있다”고 밝혔다.

북쪽은	북쪽/NNG+은/JX
이	이/MMD
연합성명에서	연합/NNG+성명/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
최악의	최악/NNG+의/JKG
상태에	상태/NNG+에/JKB
이른	이르/VV+ㄴ/ETM
북남관계를	북남/NNP+관계/NNG+를/JKO
풀기	풀/VV+기/ETN
위해	위하/VV+아/EC
당국이든	당국/NNG+이든/JX
민간이든,	민간/NNG+이든/JX+,/SP
여당이든	여당/NNG+이든/JX
야당이든,	야당/NNG+이든/JX+,/SP
진보이든	진보/NNG+이든/JX
보수이든	보수/NNG+이든/JX
남조선당국을	남조선/NNP+당국/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
정당,	정당/NNG+,/SP
단체들과	단체/NNG+들/XSN+과/JKB
적극	적극/NNG
대화하고	대화/NNG+하/XSV+고/EC
협상할	협상/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“우리와	“/SS+우리/NP+와/JKB
손잡고	손잡/VV+고/EC
나가려는	나가/VV+려는/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
과거를	과거/NNG+를/JKO
불문하고	불문/NNG+하/XSV+고/EC
언제	언제/MAG
어디서	어디/NP+서/JKB
누구와도	누구/NP+와/JKB+도/JX
만날	만나/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.352.10.2
북쪽은 특히 “북남관계를 개선하고 민족의 화해와 단합을 도모하며 대화와 협상을 통해 조선반도의 평화와 통일의 전환적 국면을 열어나가려는 우리의 립장은 시종일관하다”고 강조했다.

북쪽은	북쪽/NNG+은/JX
특히	특히/MAG
“북남관계를	“/SS+북남/NNP+관계/NNG+를/JKO
개선하고	개선/NNG+하/XSV+고/EC
민족의	민족/NNG+의/JKG
화해와	화해/NNG+와/JC
단합을	단합/NNG+을/JKO
도모하며	도모/NNG+하/XSV+며/EC
대화와	대화/NNG+와/JC
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
조선반도의	조선반도/NNP+의/JKG
평화와	평화/NNG+와/JC
통일의	통일/NNG+의/JKG
전환적	전환/NNG+적/XSN
국면을	국면/NNG+을/JKO
열어나가려는	열/VV+어/EC+나가/VX+려는/ETM
우리의	우리/NP+의/JKG
립장은	립장/NNG+은/JX
시종일관하다”고	시종일관/NNG+하/XSV+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


