# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.53
metadata : {}


# id : NWRW1800000053.53.1.1
빈라덴 “서양은 도덕적 느슨” 일기에 기록

빈라덴	빈라덴/NNP
느끼지	느끼/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.53.6.3
우리 사회와는 다른 사회라는 것을 봤다.

우리	우리/NP
사회와는	사회/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
사회라는	사회/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.53.6.4
거기는 도덕적으로 느슨한 사회였다”고 서술했다.

거기는	거기/NP+는/JX
도덕적으로	도덕/NNG+적/XSN+으로/JKB
느슨한	느슨하/VA+ㄴ/ETM
사회였다”고	사회/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
서술했다.	서술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.53.6.5
빈라덴이 영국을 방문했다는 사실은 이날 공개된 일기를 통해 처음 확인된 것이다.

빈라덴이	빈라덴/NNP+이/JKS
영국을	영국/NNP+을/JKO
방문했다는	방문/NNG+하/XSV+았/EP+다는/ETM
사실은	사실/NNG+은/JX
이날	이날/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
일기를	일기/NNG+를/JKO
통해	통하/VV+아/EC
처음	처음/NNG
확인된	확인/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.53.6.6
영국 일간 가디언은 “빈라덴이 10대 때 여름 영국을 여행하면서 서양이 타락한 곳이라는 확신을 갖게 된 것 같다”고 전했다.

영국	영국/NNP
일간	일간/NNG
가디언은	가디언/NNP+은/JX
“빈라덴이	“/SS+빈라덴/NNP+이/JKS
10대	10/SN+대/NNB
때	때/NNG
여름	여름/NNG
영국을	영국/NNP+을/JKO
여행하면서	여행/NNG+하/XSV+면서/EC
서양이	서양/NNG+이/JKS
타락한	타락/NNG+하/XSV+ㄴ/ETM
곳이라는	곳/NNG+이/VCP+라는/ETM
확신을	확신/NNG+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.53.7.1
또 빈라덴의 컴퓨터에는 미국 애니메이션 ‘톰과 제리’, 유튜브의 세계적 화제 영상인 ‘찰리가 내 손가락을 물었어요’ 등의 영상물과 뜨개질 교육 영상 등이 들어 있었다.

또	또/MAG
빈라덴의	빈라덴/NNP+의/JKG
컴퓨터에는	컴퓨터/NNG+에/JKB+는/JX
미국	미국/NNP
애니메이션	애니메이션/NNG
‘톰과	‘/SS+톰/NNP+과/JC
제리’,	제리/NNP+’/SS+,/SP
유튜브의	유튜브/NNP+의/JKG
세계적	세계/NNG+적/XSN
화제	화제/NNG
영상인	영상/NNG+이/VCP+ㄴ/ETM
‘찰리가	‘/SS+찰리/NNP+가/JKS
내	나/NP+의/JKG
손가락을	손가락/NNG+을/JKO
물었어요’	물/VV+었/EP+어요/EF+’/SS
등의	등/NNB+의/JKG
영상물과	영상물/NNG+과/JC
뜨개질	뜨개질/NNG
교육	교육/NNG
영상	영상/NNG
등이	등/NNB+이/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.53.8.1
CIA는 저작권과 음란물 등의 이유로 아직 공개하지 않은 자료의 목록도 이날 함께 공개했다.

CIA는	CIA/SL+는/JX
저작권과	저작/NNG+권/XSN+과/JC
음란물	음란물/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
아직	아직/MAG
공개하지	공개/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
자료의	자료/NNG+의/JKG
목록도	목록/NNG+도/JX
이날	이날/NNG
함께	함께/MAG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.53.9.1
빈라덴은 다큐멘터리 형식으로 제작된 영화 ‘오사마 빈라덴을 찾아서’(2008년)와 CNN이 방영한 ‘세계 최악의 현상수배범’ 등 자신을 다룬 영상물을 가득 갖고 있었다.

빈라덴은	빈라덴/NNP+은/JX
다큐멘터리	다큐멘터리/NNG
형식으로	형식/NNG+으로/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
영화	영화/NNG
‘오사마	‘/SS+오사마/NNP
빈라덴을	빈라덴/NNP+을/JKO
찾아서’(2008년)와	찾/VV+아서/EC+’/SS+(/SS+2008/SN+년/NNB+)/SS+와/JC
CNN이	CNN/SL+이/JKS
방영한	방영/NNG+하/XSV+ㄴ/ETM
‘세계	‘/SS+세계/NNG
최악의	최악/NNG+의/JKG
현상수배범’	현상/NNG+수배범/NNG+’/SS
등	등/NNB
자신을	자신/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
영상물을	영상물/NNG+을/JKO
가득	가득/MAG
갖고	갖/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.53.9.2
이 밖에 비디오게임인 ‘레지던트 이블’ ‘파이널 판타지7’ 등과 다수의 음란 동영상도 이날 리스트만 공개됐다.

이	이/MMD
밖에	밖/NNG+에/JKB
비디오게임인	비디오/NNG+게임/NNG+이/VCP+ㄴ/ETM
‘레지던트	‘/SS+레지던트/NNG
이블’	이블/NNP+’/SS
‘파이널	‘/SS+파이널/NNG
판타지7’	판타지/NNG+7/SN+’/SS
등과	등/NNB+과/JC
다수의	다수/NNG+의/JKG
음란	음란/NNG
동영상도	동영상/NNG+도/JX
이날	이날/NNG
리스트만	리스트/NNG+만/JX
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


