# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.264
metadata : {}


# id : NWRW1800000022.264.1.1
[한국만의 문화] 디지털 도어록(door lock);디지털 맹신… 대문 열쇠 사라진 나라

[한국만의	[/SS+한국/NNP+만/JX+의/JKG
경험을	경험/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.3.2
직원이 건넨 기계식 옛날 열쇠로 호텔 방문을 여는데 도무지 문을 열 수가 없는 것이었다.

직원이	직원/NNG+이/JKS
건넨	건네/VV+ㄴ/ETM
기계식	기계식/NNG
옛날	옛날/NNG
열쇠로	열쇠/NNG+로/JKB
호텔	호텔/NNG
방문을	방문/NNG+을/JKO
여는데	열/VV+는데/EC
도무지	도무지/MAG
문을	문/NNG+을/JKO
열	열/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없는	없/VA+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.264.3.3
몇 분간 쩔쩔매다 벨보이를 불렀다.

몇	몇/NR
분간	분/NNB+간/XSN
쩔쩔매다	쩔쩔매/VV+다/EC
벨보이를	벨보이/NNG+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.264.3.4
벨보이가 문을 미니 그대로 열렸다.

벨보이가	벨보이/NNG+가/JKS
문을	문/NNG+을/JKO
미니	밀/VV+니/EC
그대로	그대로/MAG
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.264.3.5
알고 보니 이미 열린 문에 대고 이씨가 계속 열쇠를 돌리고 있었던 거였다.

알고	알/VV+고/EC
보니	보/VX+니/EC
이미	이미/MAG
열린	열리/VV+ㄴ/ETM
문에	문/NNG+에/JKB
대고	대/VV+고/EC
이씨가	이/NNP+씨/NNB+가/JKS
계속	계속/MAG
열쇠를	열쇠/NNG+를/JKO
돌리고	돌리/VV+고/EC
있었던	있/VX+었/EP+던/ETM
거였다.	거/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.264.3.6
"그제서야 알았어요.

"그제서야	"/SS+그제서야/MAG
알았어요.	알/VV+았/EP+어요/EF+./SF


# id : NWRW1800000022.264.3.7
열쇠로 문을 열 때 손으로 느끼는 '딸깍'하는 미묘한 느낌을 한참 동안 잊었다는 사실을."

열쇠로	열쇠/NNG+로/JKB
문을	문/NNG+을/JKO
열	열/VV+ㄹ/ETM
때	때/NNG
손으로	손/NNG+으로/JKB
느끼는	느끼/VV+는/ETM
'딸깍'하는	'/SS+딸깍/MAG+'/SS+하/VV+는/ETM
미묘한	미묘하/VA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
한참	한참/NNG
동안	동안/NNG
잊었다는	잊/VV+었/EP+다는/ETM
사실을."	사실/NNG+을/JKO+./SF+"/SS


# id : NWRW1800000022.264.4.1
요즘 한국에선 집 열쇠를 가지고 다니는 사람 구경하기가 힘들다.

요즘	요즘/NNG
한국에선	한국/NNP+에서/JKB+ㄴ/JX
집	집/NNG
열쇠를	열쇠/NNG+를/JKO
가지고	가지/VV+고/EC
다니는	다니/VV+는/ETM
사람	사람/NNG
구경하기가	구경/NNG+하/XSV+기/ETN+가/JKS
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000022.264.4.2
간단히 버튼만 누르면 '삐리리~' 경쾌한 전자음을 내며 스스로 문을 여는 '친절한' 디지털 도어록(digital door lock) 덕에 열쇠고리에 대롱대롱 집 열쇠를 매달고 다니는 사람은 거의 없다.

간단히	간단히/MAG
버튼만	버튼/NNG+만/JX
누르면	누르/VV+면/EC
'삐리리~'	'/SS+삐리리/MAG+~/SO+'/SS
경쾌한	경쾌하/VA+ㄴ/ETM
전자음을	전자음/NNG+을/JKO
내며	내/VV+며/EC
스스로	스스로/MAG
문을	문/NNG+을/JKO
여는	열/VV+는/ETM
'친절한'	'/SS+친절/NNG+하/XSA+ㄴ/ETM+'/SS
디지털	디지털/NNG
도어록(digital	도어록/NNG+(/SS+digital/SL
door	door/SL
lock)	lock/SL+)/SS
덕에	덕/NNG+에/JKB
열쇠고리에	열쇠고리/NNG+에/JKB
대롱대롱	대롱대롱/MAG
집	집/NNG
열쇠를	열쇠/NNG+를/JKO
매달고	매/VV+어/EC+달/VX+고/EC
다니는	다니/VV+는/ETM
사람은	사람/NNG+은/JX
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.264.4.3
심지어 원격으로 시동을 걸어주는 자동차 스마트키까지 나와 열쇠가 전혀 없이도 생활이 가능할 정도다.

심지어	심지어/MAG
원격으로	원격/NNG+으로/JKB
시동을	시동/NNG+을/JKO
걸어주는	걸/VV+어/EC+주/VX+는/ETM
자동차	자동차/NNG
스마트키까지	스마트키/NNG+까지/JX
나와	나오/VV+아/EC
열쇠가	열쇠/NNG+가/JKS
전혀	전혀/MAG
없이도	없이/MAG+도/JX
생활이	생활/NNG+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.264.5.1
열쇠가 사라지니 부가상품도 위기를 맞고 있다.

열쇠가	열쇠/NNG+가/JKS
사라지니	사라지/VV+니/EC
부가상품도	부가/NNG+상품/NNG+도/JX
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.264.5.2
이탈리아 명품업체의 간부는 "유럽에선 명품을 처음 사는 사람들이 사는 물건(엔트리 상품) 중 단골 품목이 열쇠고리와 열쇠지갑인데 한국에선 거의 안 팔린다"고 전했다.

이탈리아	이탈리아/NNP
명품업체의	명품/NNG+업체/NNG+의/JKG
간부는	간부/NNG+는/JX
"유럽에선	"/SS+유럽/NNP+에서/JKB+ㄴ/JX
명품을	명품/NNG+을/JKO
처음	처음/NNG
사는	사/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
물건(엔트리	물건/NNG+(/SS+엔트리/NNG
상품)	상품/NNG+)/SS
중	중/NNB
단골	단골/NNG
품목이	품목/NNG+이/JKS
열쇠고리와	열쇠고리/NNG+와/JC
열쇠지갑인데	열쇠/NNG+지갑/NNG+이/VCP+ㄴ데/EC
한국에선	한국/NNP+에서/JKB+ㄴ/JX
거의	거의/MAG
안	안/MAG
팔린다"고	팔리/VV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.6.1
디지털 도어록이 나온 시기는 1997년 즈음.

디지털	디지털/NNG
도어록이	도어록/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
시기는	시기/NNG+는/JX
1997년	1997/SN+년/NNB
즈음.	즈음/NNB+./SF


# id : NWRW1800000022.264.6.2
한국디지털도어록 제조사협회 김지향 사업팀장은 "97년 전후로 한 업체가 일본에서 디지털 잠금 기술을 배웠고 이를 한국식으로 바꿔 디지털 도어록을 만들었다"고 말했다.

한국디지털도어록	한국/NNP+디지털도어록/NNG
제조사협회	제조사협회/NNP
김지향	김지향/NNP
사업팀장은	사업/NNG+팀장/NNG+은/JX
"97년	"/SS+97/SN+년/NNB
전후로	전후/NNG+로/JKB
한	한/MMN
업체가	업체/NNG+가/JKS
일본에서	일본/NNP+에서/JKB
디지털	디지털/NNG
잠금	잠금/NNG
기술을	기술/NNG+을/JKO
배웠고	배우/VV+었/EP+고/EC
이를	이/NP+를/JKO
한국식으로	한국식/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
도어록을	도어록/NNG+을/JKO
만들었다"고	만들/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.6.3
협회에 따르면 디지털록을 이용하는 가구는 전체의 40% 정도.

협회에	협회/NNG+에/JKB
따르면	따르/VV+면/EC
디지털록을	디지털록/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
가구는	가구/NNG+는/JX
전체의	전체/NNG+의/JKG
40%	40/SN+%/SW
정도.	정도/NNG+./SF


# id : NWRW1800000022.264.6.4
아파트의 경우 약 80%, 2000년 이후 지은 아파트는 100% 디지털록을 장착하고 있다.

아파트의	아파트/NNG+의/JKG
경우	경우/NNG
약	약/MMA
80%,	80/SN+%/SW+,/SP
2000년	2000/SN+년/NNB
이후	이후/NNG
지은	짓/VV+은/ETM
아파트는	아파트/NNG+는/JX
100%	100/SN+%/SW
디지털록을	디지털록/NNG+을/JKO
장착하고	장착/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.264.6.5
2009년 시장규모는 약 1800억원.

2009년	2009/SN+년/NNB
시장규모는	시장/NNG+규모/NNG+는/JX
약	약/MMA
1800억원.	1800/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.264.6.6
매해 8~12%의 성장세를 보이고 있을 만큼 시장이 급팽창하고 있다.

매해	매해/MAG
8~12%의	8/SN+~/SO+12/SN+%/SW+의/JKG
성장세를	성장세/NNG+를/JKO
보이고	보이/VV+고/EC
있을	있/VX+을/ETM
만큼	만큼/NNB
시장이	시장/NNG+이/JKS
급팽창하고	급팽창/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.264.7.1
반면 유럽이나 미국에선 디지털록을 한 가정을 거의 찾아볼 수 없다.

반면	반면/NNG
유럽이나	유럽/NNP+이나/JC
미국에선	미국/NNP+에서/JKB+ㄴ/JX
디지털록을	디지털록/NNG+을/JKO
한	하/VV+ㄴ/ETM
가정을	가정/NNG+을/JKO
거의	거의/MAG
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.264.7.2
이탈리아 교민 여미영씨는 "유럽에선 아직도 피아노 열쇠처럼 커다란 옛날 열쇠를 사용하는 가정이 태반"이라고 했다.

이탈리아	이탈리아/NNP
교민	교민/NNG
여미영씨는	여미영/NNP+씨/NNB+는/JX
"유럽에선	"/SS+유럽/NNP+에서/JKB+ㄴ/JX
아직도	아직/MAG+도/JX
피아노	피아노/NNG
열쇠처럼	열쇠/NNG+처럼/JKB
커다란	커다랗/VA+ㄴ/ETM
옛날	옛날/NNG
열쇠를	열쇠/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
가정이	가정/NNG+이/JKS
태반"이라고	태반/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.7.3
디지털 잠금 기술을 개발한 일본에서도 디지털록을 보조키로 하는 경우는 있지만, 열쇠 없이 디지털록만 설치한 집은 보기 드물다.

디지털	디지털/NNG
잠금	잠금/NNG
기술을	기술/NNG+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
일본에서도	일본/NNP+에서/JKB+도/JX
디지털록을	디지털록/NNG+을/JKO
보조키로	보조/NNG+키/NNG+로/JKB
하는	하/VV+는/ETM
경우는	경우/NNG+는/JX
있지만,	있/VA+지만/EC+,/SP
열쇠	열쇠/NNG
없이	없이/MAG
디지털록만	디지털록/NNG+만/JX
설치한	설치/NNG+하/XSV+ㄴ/ETM
집은	집/NNG+은/JX
보기	보/VV+기/ETN
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000022.264.8.1
디지털록이 한국에서만 맹위를 떨치고 있는 이유는 무엇일까.

디지털록이	디지털록/NNG+이/JKS
한국에서만	한국/NNP+에서/JKB+만/JX
맹위를	맹위/NNG+를/JKO
떨치고	떨치/VV+고/EC
있는	있/VX+는/ETM
이유는	이유/NNG+는/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000022.264.8.2
전문가들이 꼽는 디지털록 확산의 일등공신은 한국의 특수한 아파트 문화와 IT 붐.

전문가들이	전문가/NNG+들/XSN+이/JKS
꼽는	꼽/VV+는/ETM
디지털록	디지털록/NNG
확산의	확산/NNG+의/JKG
일등공신은	일등/NNG+공신/NNG+은/JX
한국의	한국/NNP+의/JKG
특수한	특수/NNG+하/XSA+ㄴ/ETM
아파트	아파트/NNG
문화와	문화/NNG+와/JC
IT	IT/SL
붐.	붐/NNG+./SF


# id : NWRW1800000022.264.8.3
부동산 붐이 불붙어 아파트가 대량 공급되고 IT 벤처산업이 호황을 맞은 2001년이 디지털록 시장이 급성장한 기점이라는 사실이 이를 입증한다.

부동산	부동산/NNG
붐이	붐/NNG+이/JKS
불붙어	불붙/VV+어/EC
아파트가	아파트/NNG+가/JKS
대량	대량/NNG
공급되고	공급/NNG+되/XSV+고/EC
IT	IT/SL
벤처산업이	벤처/NNG+산업/NNG+이/JKS
호황을	호황/NNG+을/JKO
맞은	맞/VV+은/ETM
2001년이	2001/SN+년/NNB+이/JKS
디지털록	디지털록/NNG
시장이	시장/NNG+이/JKS
급성장한	급성장/NNG+하/XSV+ㄴ/ETM
기점이라는	기점/NNG+이/VCP+라는/ETM
사실이	사실/NNG+이/JKS
이를	이/NP+를/JKO
입증한다.	입증/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.264.8.4
한국인 특유의 '디지털 맹신(盲信)'도 요인이다.

한국인	한국인/NNG
특유의	특유/NNG+의/JKG
'디지털	'/SS+디지털/NNG
맹신(盲信)'도	맹신/NNG+(/SS+盲信/SH+)/SS+'/SS+도/JX
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.264.8.5
디지털록 업체 대양D&T 이행문 대리는 "한국에선 열쇠공들이 해정구(열쇠 따는 만능 기계)를 이용해 저지르는 범죄가 많아서인지 기계식 열쇠가 안전하지 않다고 여긴다. 첨단 디지털 기술에 대한 신뢰도 높아 초반부터 디지털록에 대한 불신이 작았다"고 말했다.

디지털록	디지털록/NNG
업체	업체/NNG
대양D&T	대양D&T/NNP
이행문	이행문/NNP
대리는	대리/NNG+는/JX
"한국에선	"/SS+한국/NNP+에서/JKB+ㄴ/JX
열쇠공들이	열쇠공/NNG+들/XSN+이/JKS
해정구(열쇠	해정구/NNG+(/SS+열쇠/NNG
따는	따/VV+는/ETM
만능	만능/NNG
기계)를	기계/NNG+)/SS+를/JKO
이용해	이용/NNG+하/XSV+아/EC
저지르는	저지르/VV+는/ETM
범죄가	범죄/NNG+가/JKS
많아서인지	많/VA+아서/EC+이/VCP+ㄴ지/EC
기계식	기계식/NNG
열쇠가	열쇠/NNG+가/JKS
안전하지	안전/NNG+하/XSA+지/EC
않다고	않/VX+다고/EC
여긴다.	여기/VV+ㄴ다/EF+./SF
첨단	첨단/NNG
디지털	디지털/NNG
기술에	기술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰도	신뢰/NNG+도/JX
높아	높/VA+아/EC
초반부터	초반/NNG+부터/JX
디지털록에	디지털록/NNG+에/JKB
불신이	불신/NNG+이/JKS
작았다"고	작/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.9.1
국산 디지털 도어록 기술은 명실상부 세계 최고 수준.

국산	국산/NNG
디지털	디지털/NNG
도어록	도어록/NNG
기술은	기술/NNG+은/JX
명실상부	명실상부/NNG
세계	세계/NNG
최고	최고/NNG
수준.	수준/NNG+./SF


# id : NWRW1800000022.264.9.2
최근엔 문에 손을 대지 않고 리모컨처럼 열쇠에 달린 버튼 하나만 누르면 자동으로 문이 열리는 '도어록 스마트키'까지 나왔다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
문에	문/NNG+에/JKB
손을	손/NNG+을/JKO
대지	대/VV+지/EC
않고	않/VX+고/EC
리모컨처럼	리모컨/NNG+처럼/JKB
열쇠에	열쇠/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
버튼	버튼/NNG
하나만	하나/NR+만/JX
누르면	누르/VV+면/EC
자동으로	자동/NNG+으로/JKB
문이	문/NNG+이/JKS
열리는	열리/VV+는/ETM
'도어록	'/SS+도어록/NNG
스마트키'까지	스마트키/NNG+'/SS+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.264.9.3
마술처럼 문을 건드리지 않고도 문을 열 수 있는 나라, 2009년 한국의 풍속도다.

마술처럼	마술/NNG+처럼/JKB
문을	문/NNG+을/JKO
건드리지	건드리/VV+지/EC
않고도	않/VX+고/EC+도/JX
열	열/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
나라,	나라/NNG+,/SP
2009년	2009/SN+년/NNB
한국의	한국/NNP+의/JKG
풍속도다.	풍속도/NNG+이/VCP+다/EF+./SF


