# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.7
metadata : {}


# id : NWRW1800000032.7.1.1
동물병원도 ‘SSM<기업형 슈퍼> 논쟁’

동물병원도	동물/NNG+병원/NNG+도/JX
트레이너가	트레이너/NNG+가/JKS
놀이·산책을	놀이/NNG+·/SP+산책/NNG+을/JKO
시켜주는	시키/VV+어/EC+주/VX+는/ETM
유치원,	유치원/NNG+,/SP
주인과	주인/NNG+과/JC
반려동물이	반려동물/NNG+이/JKS
함께	함께/MAG
있을	있/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
카페,	카페/NNG+,/SP
스파	스파/NNG
서비스가	서비스/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
미용실,	미용실/NNG+,/SP
그리고	그리고/MAJ
반려동물	반려동물/NNG
용품	용품/NNG
매장이	매장/NNG+이/JKS
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.7.4.3
2층에는 디지털 엑스레이·컴퓨터단층촬영(CT) 등 전문 설비로 내과·신경외과·치과·재활의학과 등 대학 동물병원의 의료 서비스 수준을 제공하는 동물병원과 고양이 전용 호텔·클리닉이 있다.

2층에는	2/SN+층/NNG+에/JKB+는/JX
디지털	디지털/NNG
엑스레이·컴퓨터단층촬영(CT)	엑스레이/NNG+·/SP+컴퓨터/NNG+단층/NNG+촬영/NNG+(/SS+CT/SL+)/SS
등	등/NNB
전문	전문/NNG
설비로	설비/NNG+로/JKB
내과·신경외과·치과·재활의학과	내과/NNG+·/SP+신경외과/NNG+·/SP+치과/NNG+·/SP+재활/NNG+의학과/NNG
대학	대학/NNG
동물병원의	동물/NNG+병원/NNG+의/JKG
의료	의료/NNG
서비스	서비스/NNG
수준을	수준/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
동물병원과	동물/NNG+병원/NNG+과/JC
고양이	고양이/NNG
전용	전용/NNG
호텔·클리닉이	호텔/NNG+·/SP+클리닉/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.7.4.4
국내에 처음 선보이는 이 매장은 국내 유명 제분업체인 대한제분이 100%(약 15억원) 출자해 세운 별도법인인 디비에스㈜(DBS)가 운영한다.

국내에	국내/NNG+에/JKB
처음	처음/NNG
선보이는	선보이/VV+는/ETM
이	이/MMD
매장은	매장/NNG+은/JX
국내	국내/NNG
유명	유명/NNG
제분업체인	제분업체/NNG+이/VCP+ㄴ/ETM
대한제분이	대한제분/NNP+이/JKS
100%(약	100/SN+%/SW+(/SS+약/MMA
15억원)	15/SN+억/NR+원/NNB+)/SS
출자해	출자/NNG+하/XSV+아/EC
세운	세우/VV+ㄴ/ETM
별도법인인	별도/NNG+법인/NNG+이/VCP+ㄴ/ETM
디비에스㈜(DBS)가	디비에스/NNP+㈜/SW+(/SS+DBS/SL+)/SS+가/JKS
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.7.5.1
이처럼 대한제분이 주력 사업인 제분과 거리가 먼 반려동물 사업에 뛰어든 데에는 ‘소비자와의 접점 확대’라는 목적이 크다.

이처럼	이/NP+처럼/JKB
대한제분이	대한제분/NNP+이/JKS
주력	주력/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
제분과	제분/NNG+과/JKB
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
반려동물	반려동물/NNG
사업에	사업/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
‘소비자와의	‘/SS+소비자/NNG+와/JKB+의/JKG
접점	접점/NNG
확대’라는	확대/NNG+’/SS+이/VCP+라는/ETM
목적이	목적/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.7.5.2
기업 간 거래(B2B)가 대부분인 제분업체로서 고령화·핵가족화 시대에 대비해 성장 잠재력이 있는 기업 대 소비자 거래(B2C)를 바탕으로 하는 새 사업이 필요했다는 것이다.

기업	기업/NNG
간	간/NNB
거래(B2B)가	거래/NNG+(/SS+B/SL+2/SN+B/SL+)/SS+가/JKS
대부분인	대/XPN+부분/NNG+이/VCP+ㄴ/ETM
제분업체로서	제분업체/NNG+로서/JKB
고령화·핵가족화	고령/NNG+화/XSN+·/SP+핵가족/NNG+화/XSN
시대에	시대/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
성장	성장/NNG
잠재력이	잠재력/NNG+이/JKS
있는	있/VA+는/ETM
대	대/NNB
소비자	소비자/NNG
거래(B2C)를	거래/NNG+(/SS+B/SL+2/SN+C/SL+)/SS+를/JKO
바탕으로	바탕/NNG+으로/JKB
하는	하/VV+는/ETM
새	새/MMA
사업이	사업/NNG+이/JKS
필요했다는	필요/NNG+하/XSA+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.7.5.3
이러한 점에서 회사 쪽은 지난 3년 동안 해마다 10% 가까이 성장해 지난해 약 1조원 규모로 커진 반려동물 시장을 매력적으로 봤다.

이러한	이러하/VA+ㄴ/ETM
점에서	점/NNG+에서/JKB
회사	회사/NNG
쪽은	쪽/NNB+은/JX
지난	지나/VV+ㄴ/ETM
3년	3/SN+년/NNB
동안	동안/NNG
해마다	해마다/MAG
10%	10/SN+%/SW
가까이	가까이/MAG
성장해	성장/NNG+하/XSV+아/EC
지난해	지난해/NNG
약	약/MMA
1조원	1/SN+조/NR+원/NNB
규모로	규모/NNG+로/JKB
커진	커지/VV+ㄴ/ETM
반려동물	반려동물/NNG
시장을	시장/NNG+을/JKO
매력적으로	매력/NNG+적/XSN+으로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.7.5.4
이리온에서는 미용·진료 등 반려동물의 월평균 관리 비용이 기존 동물병원 등과 견줘 20% 이상 비싸지만, 다른 곳과는 차별화된 ‘프리미엄급’ 서비스를 누릴 수 있다는 게 디비에스의 설명이다.

이리온에서는	이리온/NNP+에서/JKB+는/JX
미용·진료	미용/NNG+·/SP+진료/NNG
등	등/NNB
반려동물의	반려동물/NNG+의/JKG
월평균	월평균/NNG
관리	관리/NNG
비용이	비용/NNG+이/JKS
기존	기존/NNG
동물병원	동물/NNG+병원/NNG
등과	등/NNB+과/JKB
견줘	견주/VV+어/EC
20%	20/SN+%/SW
이상	이상/NNG
비싸지만,	비싸/VA+지만/EC+,/SP
다른	다른/MMD
곳과는	곳/NNG+과/JKB+는/JX
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
‘프리미엄급’	‘/SS+프리미엄급/NNG+’/SS
서비스를	서비스/NNG+를/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
디비에스의	디비에스/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.7.6.1
그러나 이리온의 등장에 대해 지난달 서울시수의사협회가 공개적으로 비판에 나서는 등 자본력을 앞세워 중소 동물병원을 밀어내는 이른바 ‘동물병원판 기업형 슈퍼(SSM)’가 될 것이라는 우려도 나오고 있다.

그러나	그러나/MAJ
이리온의	이리온/NNP+의/JKG
등장에	등장/NNG+에/JKB
대해	대하/VV+아/EC
지난달	지난달/NNG
서울시수의사협회가	서울시수의사협회/NNP+가/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
비판에	비판/NNG+에/JKB
나서는	나서/VV+는/ETM
등	등/NNB
자본력을	자본력/NNG+을/JKO
앞세워	앞세우/VV+어/EC
중소	중소/NNG
동물병원을	동물/NNG+병원/NNG+을/JKO
밀어내는	밀어내/VV+는/ETM
이른바	이른바/MAG
‘동물병원판	‘/SS+동물병원판/NNG
기업형	기업/NNG+형/XSN
슈퍼(SSM)’가	슈퍼/NNG+(/SS+SSM/SL+)/SS+’/SS+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.7.6.2
이에 대해 박소연 디비에스 대표이사는 “자격증이 있는 수의사가 필요한 동물병원 운영은 자본력을 앞세우면 가능한 기업형 슈퍼 논란과는 다르다고 본다”며 “이리온은 소형 동물병원처럼 ‘1차 병원’을 표방하지 않고 동네병원에서 못 고치는 동물을 치료하는 역할을 할 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
박소연	박소연/NNP
디비에스	디비에스/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
“자격증이	“/SS+자격증/NNG+이/JKS
있는	있/VA+는/ETM
수의사가	수의사/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
동물병원	동물/NNG+병원/NNG
운영은	운영/NNG+은/JX
자본력을	자본력/NNG+을/JKO
앞세우면	앞세우/VV+면/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
기업형	기업/NNG+형/XSN
슈퍼	슈퍼/NNG
논란과는	논란/NNG+과/JKB+는/JX
다르다고	다르/VA+다고/EC
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“이리온은	“/SS+이리온/NNP+은/JX
소형	소형/NNG
동물병원처럼	동물/NNG+병원/NNG+처럼/JKB
‘1차	‘/SS+1/SN+차/NNB
병원’을	병원/NNG+’/SS+을/JKO
표방하지	표방/NNG+하/XSV+지/EC
않고	않/VX+고/EC
동네병원에서	동네/NNG+병원/NNG+에서/JKB
못	못/MAG
고치는	고치/VV+는/ETM
동물을	동물/NNG+을/JKO
치료하는	치료/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.7.6.3
디비에스는 조만간 서울이나 수도권에 2호점을 낼 예정이다.

디비에스는	디비에스/NNP+는/JX
조만간	조만간/MAG
서울이나	서울/NNP+이나/JC
수도권에	수도/NNG+권/XSN+에/JKB
2호점을	2/SN+호점/NNB+을/JKO
낼	내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


