# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.32
metadata : {}


# id : NWRW1800000036.32.1.1
현대차, 피아트의 실패에서 배운다

현대차,	현대차/NNP+,/SP
지난 12일 서울 한 호텔에서 열린 ‘2012년 현대차 하반기 판매 촉진 대회’에서 한 정의선 현대차 부회장의 발언에는 내수 시장을 바라보는 현대차 최고경영진의 시각이 고스란히 담겨 있다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
서울	서울/NNP
한	하/VV+ㄴ/ETM
호텔에서	호텔/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2012년	‘/SS+2012/SN+년/NNB
현대차	현대차/NNP
하반기	하반기/NNG
판매	판매/NNG
촉진	촉진/NNG
대회’에서	대회/NNG+’/SS+에서/JKB
정의선	정의선/NNP
부회장의	부회장/NNG+의/JKG
발언에는	발언/NNG+에/JKB+는/JX
내수	내수/NNG
시장을	시장/NNG+을/JKO
바라보는	바라보/VV+는/ETM
최고경영진의	최고/NNG+경영진/NNG+의/JKG
시각이	시각/NNG+이/JKS
고스란히	고스란히/MAG
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.32.6.1
실제로 2000년대 중반까지만 해도 점유율 45%에 육박하던 현대차의 국내시장 점유율은 2010년 30%대 중반으로 급락한 뒤 40% 벽을 넘지 못하고 있다.

실제로	실제로/MAG
2000년대	2000/SN+년대/NNB
중반까지만	중반/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
점유율	점유/NNG+율/XSN
45%에	45/SN+%/SW+에/JKB
육박하던	육박/NNG+하/XSV+던/ETM
현대차의	현대차/NNP+의/JKG
국내시장	국내/NNG+시장/NNG
점유율은	점유/NNG+율/XSN+은/JX
2010년	2010/SN+년/NNB
30%대	30/SN+%/SW+대/XSN
중반으로	중반/NNG+으로/JKB
급락한	급락/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
40%	40/SN+%/SW
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.32.6.2
기아차가 2007년 이후 부쩍 성장한 탓도 있지만, 무엇보다 수입브랜드의 세 확대가 현대차 입지를 흔들고 있다.

기아차가	기아차/NNP+가/JKS
2007년	2007/SN+년/NNB
이후	이후/NNG
부쩍	부쩍/MAG
성장한	성장/NNG+하/XSV+ㄴ/ETM
탓도	탓/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
무엇보다	무엇/NP+보다/JKB
수입브랜드의	수입/NNG+브랜드/NNG+의/JKG
세	세/NNG
확대가	확대/NNG+가/JKS
현대차	현대차/NNP
입지를	입지/NNG+를/JKO
흔들고	흔들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.32.6.3
수입차 점유율은 최근 5년 새 두 배 가까이 늘어나, 지난 5월 말 현재 누적 점유율이 9.9%에 이른다.

수입차	수입차/NNG
점유율은	점유/NNG+율/XSN+은/JX
최근	최근/NNG
5년	5/SN+년/NNB
새	새/NNG
두	두/MMN
배	배/NNG
가까이	가까이/MAG
늘어나,	늘어나/VV+아/EC+,/SP
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
말	말/NNB
현재	현재/MAG
누적	누적/NNG
점유율이	점유/NNG+율/XSN+이/JKS
9.9%에	9/SN+./SP+9/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.32.7.1
지난해 말 기준 현대차의 국내 판매 비중은 10% 조금 넘는 수준이다.

지난해	지난해/NNG
말	말/NNB
기준	기준/NNG
현대차의	현대차/NNP+의/JKG
국내	국내/NNG
판매	판매/NNG
비중은	비중/NNG+은/JX
10%	10/SN+%/SW
조금	조금/MAG
넘는	넘/VV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.7.2
한 마디로 현대차의 주력 시장은 북미와 유럽, 중국 등 국외 시장이다.

한	한/MMN
마디로	마디/NNG+로/JKB
현대차의	현대차/NNP+의/JKG
주력	주력/NNG
시장은	시장/NNG+은/JX
북미와	북미/NNP+와/JC
유럽,	유럽/NNP+,/SP
중국	중국/NNP
등	등/NNB
국외	국외/NNG
시장이다.	시장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.7.3
이처럼 국내 시장 비중이 줄어든 상황에서 정의선 부회장까지 나서 내수 시장 공략에 관심을 두는 이유는 뭘까?

이처럼	이/NP+처럼/JKB
국내	국내/NNG
시장	시장/NNG
비중이	비중/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
정의선	정의선/NNP
부회장까지	부회장/NNG+까지/JX
나서	나/VV+아서/EC
내수	내수/NNG
공략에	공략/NNG+에/JKB
관심을	관심/NNG+을/JKO
두는	두/VV+는/ETM
이유는	이유/NNG+는/JX
뭘까?	뭐/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000036.32.8.1
16일 만난 김충호 현대차 사장은 이에 대해 “이탈리아 피아트는 한 때 내수 시장 점유율이 40% 넘어섰지만, 고객들 불만을 제대로 해소하지 못한 탓에 지금은 20%도 되지 않는다”며 “내수 시장에서 몰락하면서 다른 시장에서도 힘을 발휘하지 못하고 있다”고 답했다.

16일	16/SN+일/NNB
만난	만나/VV+ㄴ/ETM
김충호	김충호/NNP
현대차	현대차/NNP
사장은	사장/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“이탈리아	“/SS+이탈리아/NNP
피아트는	피아트/NNP+는/JX
한	한/MMN
때	때/NNG
내수	내수/NNG
시장	시장/NNG
점유율이	점유/NNG+율/XSN+이/JKS
40%	40/SN+%/SW
넘어섰지만,	넘어서/VV+었/EP+지만/EC+,/SP
고객들	고객/NNG+들/XSN
불만을	불만/NNG+을/JKO
제대로	제대로/MAG
해소하지	해소/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
탓에	탓/NNG+에/JKB
지금은	지금/NNG+은/JX
20%도	20/SN+%/SW+도/JX
되지	되/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“내수	“/SS+내수/NNG
시장에서	시장/NNG+에서/JKB
몰락하면서	몰락/NNG+하/XSV+면서/EC
다른	다른/MMD
시장에서도	시장/NNG+에서/JKB+도/JX
힘을	힘/NNG+을/JKO
발휘하지	발휘/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.32.8.2
그는 “(현대차의) 신형 싼타페(3000만원 안팎)를 타봤는데 정말 좋더라.

그는	그/NP+는/JX
“(현대차의)	“/SS+(/SS+현대차/NNP+의/JKG+)/SS
신형	신형/NNG
싼타페(3000만원	싼타페/NNP+(/SS+3000/SN+만/NR+원/NNB
안팎)를	안팎/NNG+)/SS+를/JKO
타봤는데	타/VV+아/EC+보/VX+았/EP+는데/EC
정말	정말/MAG
좋더라.	좋/VA+더라/EF+./SF


# id : NWRW1800000036.32.8.3
솔직히 수입차라면 7000만∼8000만원은 줘야 이같은 차를 살 수 있지 않나 생각했다”며 “이제 현대차는 국내 고객에게 신뢰와 감동을 줘야 할 때”라고 강조했다.

솔직히	솔직히/MAG
수입차라면	수입차/NNG+이/VCP+라면/EC
7000만∼8000만원은	7000/SN+만/NR+∼/SO+8000/SN+만/NR+원/NNB+은/JX
줘야	주/VV+어야/EC
이같은	이/NP+같/VA+은/ETM
차를	차/NNG+를/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않나	않/VX+나/EC
생각했다”며	생각/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
현대차는	현대차/NNP+는/JX
국내	국내/NNG
고객에게	고객/NNG+에게/JKB
신뢰와	신뢰/NNG+와/JC
감동을	감동/NNG+을/JKO
할	하/VX+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.32.8.4
차 품질이 어느 정도 수준에 오른 만큼 판매·정비 등 사전·사후 서비스를 대폭 끌어올리겠다는 의미다.

차	차/NNG
품질이	품질/NNG+이/JKS
어느	어느/MMD
정도	정도/NNG
수준에	수준/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
만큼	만큼/NNB
판매·정비	판매/NNG+·/SP+정비/NNG
등	등/NNB
사전·사후	사전/NNG+·/SP+사후/NNG
서비스를	서비스/NNG+를/JKO
대폭	대폭/MAG
끌어올리겠다는	끌어올리/VV+겠/EP+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.9.1
이날 현대차는 차량을 필요 이상으로 정비했을 경우, 과청구 금액의 최대 세 배까지 보상해주는 ‘과잉 정비 예방 프로그램’을 발표했다.

이날	이날/NNG
현대차는	현대차/NNP+는/JX
차량을	차량/NNG+을/JKO
필요	필요/NNG
이상으로	이상/NNG+으로/JKB
정비했을	정비/NNG+하/XSV+았/EP+을/ETM
경우,	경우/NNG+,/SP
과청구	과/XPN+청구/NNG
금액의	금액/NNG+의/JKG
최대	최대/NNG
세	세/MMN
배까지	배/NNG+까지/JX
보상해주는	보상/NNG+하/XSV+아/EC+주/VX+는/ETM
‘과잉	‘/SS+과잉/NNG
정비	정비/NNG
예방	예방/NNG
프로그램’을	프로그램/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.32.9.2
김충호 사장이 말한 ‘고객 감동, 신뢰 구축’을 위한 구체적인 정책이 과잉 정비 근절인 셈이다.

김충호	김충호/NNP
사장이	사장/NNG+이/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
‘고객	‘/SS+고객/NNG
감동,	감동/NNG+,/SP
신뢰	신뢰/NNG
구축’을	구축/NNG+’/SS+을/JKO
위한	위하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정책이	정책/NNG+이/JKS
과잉	과잉/NNG
정비	정비/NNG
근절인	근절/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.9.3
과잉 정비는 줄곧 현대차 고객의 핵심 불만 사항으로 꼽혀왔다.

과잉	과잉/NNG
정비는	정비/NNG+는/JX
줄곧	줄곧/MAG
현대차	현대차/NNP
고객의	고객/NNG+의/JKG
핵심	핵심/NNG
불만	불만/NNG
사항으로	사항/NNG+으로/JKB
꼽혀왔다.	꼽히/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.32.9.4
나종덕 현대차 고객서비스2팀장은 “고객이 과잉 정비가 의심될 경우 상담센터에 신고하면 독립적인 전문가들이 조사를 해 그 결과를 일주일 내에 알려준다”며 “과거와는 차원이 다른 사후 서비스를 경험할 수 있을 것”이라고 말했다.

나종덕	나종덕/NNP
현대차	현대차/NNP
고객서비스2팀장은	고객/NNG+서비스/NNG+2/SN+팀장/NNG+은/JX
“고객이	“/SS+고객/NNG+이/JKS
과잉	과잉/NNG
정비가	정비/NNG+가/JKS
의심될	의심/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
상담센터에	상담/NNG+센터/NNG+에/JKB
신고하면	신고/NNG+하/XSV+면/EC
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
전문가들이	전문가/NNG+들/XSN+이/JKS
조사를	조사/NNG+를/JKO
해	하/VV+아/EC
그	그/MMD
결과를	결과/NNG+를/JKO
일주일	일주일/NNG
내에	내/NNB+에/JKB
알려준다”며	알리/VV+어/EC+주/VX+ㄴ다/EF+”/SS+며/EC
“과거와는	“/SS+과거/NNG+와/JKB+는/JX
차원이	차원/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
사후	사후/NNG
서비스를	서비스/NNG+를/JKO
경험할	경험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.32.10.1
이외에 서비스센터와 판매 전시장을 보다 고급스럽게 만드는 작업도 확대한다.

이외에	이외/NNG+에/JKB
서비스센터와	서비스/NNG+센터/NNG+와/JC
판매	판매/NNG
전시장을	전시장/NNG+을/JKO
보다	보다/MAG
고급스럽게	고급/NNG+스럽/XSA+게/EC
만드는	만들/VV+는/ETM
작업도	작업/NNG+도/JX
확대한다.	확대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.32.10.2
최근 리모델링이 끝난 서울 대방동 남부서비스센터에는 스크린 골프연습장, 자동 안마기 등이 마련돼 있다.

최근	최근/NNG
리모델링이	리모델링/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
서울	서울/NNP
대방동	대방동/NNP
남부서비스센터에는	남부서비스센터/NNP+에/JKB+는/JX
스크린	스크린/NNG
골프연습장,	골프/NNG+연습장/NNG+,/SP
자동	자동/NNG
안마기	안마기/NNG
등이	등/NNB+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.32.10.3
종전 정비소 냄새를 빼고 깔끔한 백화점이나 호텔 로비 같은 분위기로 실내를 꾸몄다.

종전	종전/NNG
정비소	정비소/NNG
냄새를	냄새/NNG+를/JKO
빼고	빼/VV+고/EC
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
백화점이나	백화점/NNG+이나/JC
호텔	호텔/NNG
로비	로비/NNG
같은	같/VA+은/ETM
분위기로	분위기/NNG+로/JKB
실내를	실내/NNG+를/JKO
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.32.10.4
김상대 현대차 국내마케팅실장은 “현대차 창립 이후 사전·사후 서비스에 이렇게 많은 돈을 쏟아부은 적은 없다”며 “지난해 들어간 관련 예산만 500억원이 훌쩍 넘는다”고 말했다.

김상대	김상대/NNP
현대차	현대차/NNP
국내마케팅실장은	국내/NNG+마케팅실장/NNG+은/JX
“현대차	“/SS+현대차/NNP
창립	창립/NNG
이후	이후/NNG
사전·사후	사전/NNG+·/SP+사후/NNG
서비스에	서비스/NNG+에/JKB
이렇게	이렇/VA+게/EC
많은	많/VA+은/ETM
돈을	돈/NNG+을/JKO
쏟아부은	쏟아붓/VV+은/ETM
적은	적/NNB+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“지난해	“/SS+지난해/NNG
들어간	들어가/VV+ㄴ/ETM
관련	관련/NNG
예산만	예산/NNG+만/JX
500억원이	500/SN+억/NR+원/NNB+이/JKS
훌쩍	훌쩍/MAG
넘는다”고	넘/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


