# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.166
metadata : {}


# id : NWRW1800000053.166.1.1
경고그림 효과… 담배 판매량 석달째 감소

경고그림	경고/NNG+그림/NNG
2억8000만	2/SN+억/NR+8000/SN+만/NR
판매됐다.	판매/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.166.4.3
2016년 2월(2억8000만 갑)과 비교하면 14% 줄어든 수준이다.

2016년	2016/SN+년/NNB
2월(2억8000만	2/SN+월/NNB+(/SS+2/SN+억/NR+8000/SN+만/NR
갑)과	갑/NNG+)/SS+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
14%	14/SN+%/SW
줄어든	줄어들/VV+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.166.4.4
지난달 반출량도 2억3000만 갑으로 1년 전보다 13.7% 감소했다.

지난달	지난달/NNG
반출량도	반출량/NNG+도/JX
2억3000만	2/SN+억/NR+3000/SN+만/NR
갑으로	갑/NNG+으로/JKB
1년	1/SN+년/NNB
전보다	전/NNG+보다/JKB
13.7%	13/SN+./SP+7/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.5.1
기재부는 “지난해 12월 흡연 경고 그림이 전면 도입된 후 담배 판매량이 계속 감소하고 있다”고 설명했다.

기재부는	기재부/NNG+는/JX
“지난해	“/SS+지난해/NNG
12월	12/SN+월/NNB
흡연	흡연/NNG
경고	경고/NNG
그림이	그림/NNG+이/JKS
전면	전면/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
후	후/NNG
담배	담배/NNG
판매량이	판매량/NNG+이/JKS
계속	계속/MAG
감소하고	감소/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.5.2
전국의 금연 클리닉 등록자 수가 한 달 만에 2배 가까이로 늘어난 것도 흡연 경고 그림의 효과로 분석했다.

전국의	전국/NNG+의/JKG
금연	금연/NNG
클리닉	클리닉/NNG
등록자	등록자/NNG
수가	수/NNG+가/JKS
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
2배	2/SN+배/NNG
가까이로	가까이/NNG+로/JKB
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
흡연	흡연/NNG
경고	경고/NNG
그림의	그림/NNG+의/JKG
효과로	효과/NNG+로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.5.3
지난해 12월 2만6000명이었던 금연 클리닉 등록자 수는 올해 1월 5만1000명으로 증가했다.

지난해	지난해/NNG
12월	12/SN+월/NNB
2만6000명이었던	2/SN+만/NR+6000/SN+명/NNB+이/VCP+었/EP+던/ETM
금연	금연/NNG
클리닉	클리닉/NNG
등록자	등록자/NNG
수는	수/NNG+는/JX
올해	올해/NNG
1월	1/SN+월/NNB
5만1000명으로	5/SN+만/NR+1000/SN+명/NNB+으로/JKB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.6.1
정부가 흡연율을 떨어뜨리기 위해 도입한 흡연 경고 그림에는 폐암으로 가슴이 절개된 모습, 구강암으로 입술이 썩은 모습 등이 담겨 있다.

정부가	정부/NNG+가/JKS
흡연율을	흡연/NNG+율/XSN+을/JKO
떨어뜨리기	떨어뜨리/VV+기/ETN
위해	위하/VV+아/EC
도입한	도입/NNG+하/XSV+ㄴ/ETM
흡연	흡연/NNG
경고	경고/NNG
그림에는	그림/NNG+에/JKB+는/JX
폐암으로	폐암/NNG+으로/JKB
가슴이	가슴/NNG+이/JKS
절개된	절개/NNG+되/XSV+ㄴ/ETM
모습,	모습/NNG+,/SP
구강암으로	구강암/NNG+으로/JKB
입술이	입술/NNG+이/JKS
썩은	썩/VV+은/ETM
모습	모습/NNG
등이	등/NNB+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.166.6.2
2001년 처음으로 흡연 경고 그림을 도입한 캐나다를 비롯해 영국 호주 스위스 등 주요 10개국의 경우 도입 1년 차에 인구 1인당 담배 소비량은 평균 8.4% 감소했다.

2001년	2001/SN+년/NNB
처음으로	처음/NNG+으로/JKB
흡연	흡연/NNG
경고	경고/NNG
그림을	그림/NNG+을/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
캐나다를	캐나다/NNP+를/JKO
비롯해	비롯하/VV+아/EC
영국	영국/NNP
호주	호주/NNP
스위스	스위스/NNP
등	등/NNB
주요	주요/NNG
10개국의	10/SN+개국/NNB+의/JKG
경우	경우/NNG
도입	도입/NNG
1년	1/SN+년/NNB
차에	차/NNG+에/JKB
인구	인구/NNG
1인당	1/SN+인/NNG+당/XSN
담배	담배/NNG
소비량은	소비량/NNG+은/JX
평균	평균/NNG
8.4%	8/SN+./SP+4/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


