# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.113
metadata : {}


# id : NWRW1800000032.113.1.1
푸틴·메드베데프, 사진 집착 까닭은

푸틴·메드베데프,	푸틴/NNP+·/SP+메드베데프/NNP+,/SP
사실	사실/MAG
이런	이런/MMD
사진은	사진/NNG+은/JX
하루가	하루/NNG+가/JKS
멀다	멀/VA+다/EF
하고	하/VV+고/EC
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.113.5.2
지난주 푸틴은 스쿠버 장비를 갖추고 바다에 뛰어들어 6세기로 추정된다는 항아리를 들고 나왔는데, 크레믈 누리집은 뒤질세라 잠수복을 입은 메드베데프 사진을 게재했다고 통신은 전했다.

지난주	지난주/NNG
푸틴은	푸틴/NNP+은/JX
스쿠버	스쿠버/NNG
장비를	장비/NNG+를/JKO
갖추고	갖추/VV+고/EC
바다에	바다/NNG+에/JKB
뛰어들어	뛰어들/VV+어/EC
6세기로	6/SN+세기/NNG+로/JKB
추정된다는	추정/NNG+되/XSV+ㄴ다는/ETM
항아리를	항아리/NNG+를/JKO
들고	들/VV+고/EC
나왔는데,	나오/VV+았/EP+는데/EC+,/SP
크레믈	크레믈/NNP
누리집은	누리집/NNG+은/JX
뒤질세라	뒤지/VV+ㄹ세라/EC
잠수복을	잠수복/NNG+을/JKO
입은	입/VV+은/ETM
메드베데프	메드베데프/NNP
사진을	사진/NNG+을/JKO
게재했다고	게재/NNG+하/XSV+았/EP+다고/EC
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.113.6.1
의 17일 기사는 그 이유를 일부나마 짐작하게 한다.

의	의/NA
17일	17/SN+일/NNB
기사는	기사/NNG+는/JX
그	그/MMD
이유를	이유/NNG+를/JKO
일부나마	일부/NNG+나마/JX
짐작하게	짐작/NNG+하/XSV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.113.6.2
매주 목요일 크레믈의 주요 정책 집행자들은 한 방에 모여 러시아인 6만명을 대상으로 한 여론조사 결과를 기다린다.

매주	매주/MAG
목요일	목요일/NNG
크레믈의	크레믈/NNP+의/JKG
주요	주요/NNG
정책	정책/NNG
집행자들은	집행자/NNG+들/XSN+은/JX
한	하/VV+ㄴ/ETM
방에	방/NNG+에/JKB
모여	모이/VV+어/EC
러시아인	러시아인/NNG
6만명을	6/SN+만/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
기다린다.	기다리/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.113.6.3
매주 푸틴과 메드베데프 직속팀에만 보고되는 3000명 대상의 별도 비밀조사도 있다.

매주	매주/MAG
푸틴과	푸틴/NNP+과/JC
메드베데프	메드베데프/NNP
직속팀에만	직속/NNG+팀/NNG+에/JKB+만/JX
보고되는	보고/NNG+되/XSV+는/ETM
3000명	3000/SN+명/NNB
대상의	대상/NNG+의/JKG
별도	별도/NNG
비밀조사도	비밀/NNG+조사/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.113.6.4
이런 여론조사 ‘집착’에 대해 신문은 “크레믈 쪽이 (1991년 8월18일 쿠데타 이후) 20년간 안정적 기반을 다지지 못한 러시아 정부에 지도자의 개인적 인기는 절대적이라 보기 때문”이라고 전했다.

이런	이런/MMD
여론조사	여론/NNG+조사/NNG
‘집착’에	‘/SS+집착/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
신문은	신문/NNG+은/JX
“크레믈	“/SS+크레믈/NNP
쪽이	쪽/NNB+이/JKS
(1991년	(/SS+1991/SN+년/NNB
8월18일	8/SN+월/NNB+18/SN+일/NNB
쿠데타	쿠데타/NNG
이후)	이후/NNG+)/SS
20년간	20/SN+년/NNB+간/XSN
안정적	안정/NNG+적/XSN
기반을	기반/NNG+을/JKO
다지지	다지/VV+지/EC
못한	못하/VX+ㄴ/ETM
러시아	러시아/NNP
정부에	정부/NNG+에/JKB
지도자의	지도자/NNG+의/JKG
개인적	개인/NNG+적/XSN
인기는	인기/NNG+는/JX
절대적이라	절대/NNG+적/XSN+이/VCP+라/EC
보기	보/VV+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.113.7.1
터프한 푸틴이 11년 전 대통령으로 선택된 것도, 러시아인들이 가장 좋아하는 캐릭터가 비밀경찰 막스 오토 폰 슈티를리츠와 살인탐정 글레프 제글로프라는 사실이 작용했다.

터프한	터프하/VA+ㄴ/ETM
푸틴이	푸틴/NNP+이/JKS
11년	11/SN+년/NNB
전	전/NNG
대통령으로	대통령/NNG+으로/JKB
선택된	선택/NNG+되/XSV+ㄴ/ETM
것도,	것/NNB+도/JX+,/SP
러시아인들이	러시아인/NNG+들/XSN+이/JKS
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
캐릭터가	캐릭터/NNG+가/JKS
비밀경찰	비밀경찰/NNG
막스	막스/NNP
오토	오토/NNP
폰	폰/NNP
슈티를리츠와	슈티를리츠/NNP+와/JC
살인탐정	살인/NNG+탐정/NNG
글레프	글레프/NNP
제글로프라는	제글로프/NNP+이/VCP+라는/ETM
사실이	사실/NNG+이/JKS
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.113.7.2
메드베데프가 ‘현대화’ 구호를 포기하고 아동복지를 내건 것도 여론조사에 따른 것이었다.

메드베데프가	메드베데프/NNP+가/JKS
‘현대화’	‘/SS+현대/NNG+화/XSN+’/SS
구호를	구호/NNG+를/JKO
포기하고	포기/NNG+하/XSV+고/EC
아동복지를	아동/NNG+복지/NNG+를/JKO
내건	내걸/VV+ㄴ/ETM
것도	것/NNB+도/JX
여론조사에	여론/NNG+조사/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.113.8.1
물론 이미지만 있고 정책은 부재한 데 대한 러시아 중산층의 불만은 상당하다.

물론	물론/MAG
이미지만	이미지/NNG+만/JX
있고	있/VA+고/EC
정책은	정책/NNG+은/JX
부재한	부재/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
러시아	러시아/NNP
중산층의	중산/NNG+층/XSN+의/JKG
불만은	불만/NNG+은/JX
상당하다.	상당/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000032.113.8.2
최근 조사는 러시아인들이 개방되고 경쟁력 있는 정치 모델을 원하고 있음을 보여준다는 지적도 나온다.

최근	최근/MAG
조사는	조사/NNG+는/JX
러시아인들이	러시아인/NNG+들/XSN+이/JKS
개방되고	개방/NNG+되/XSV+고/EC
경쟁력	경쟁력/NNG
있는	있/VV+는/ETM
정치	정치/NNG
모델을	모델/NNG+을/JKO
원하고	원/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여준다는	보이/VV+어/EC+주/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.113.8.3
하지만 푸틴의 전략담당자는 “건강하고 강인한 지도자의 모습은 분명 먹혀왔다”며 “대선운동에 들어가 티브이에 본격적으로 나오면 15~20% 지지율 상승은 금방”이라고 말했다.

하지만	하지만/MAJ
푸틴의	푸틴/NNP+의/JKG
전략담당자는	전략/NNG+담당자/NNG+는/JX
“건강하고	“/SS+건강/NNG+하/XSA+고/EC
강인한	강인하/VA+ㄴ/ETM
지도자의	지도자/NNG+의/JKG
모습은	모습/NNG+은/JX
분명	분명/MAG
먹혀왔다”며	먹히/VV+어/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“대선운동에	“/SS+대선/NNG+운동/NNG+에/JKB
들어가	들어가/VV+아/EC
티브이에	티브이/NNG+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
나오면	나오/VV+면/EC
15~20%	15/SN+~/SO+20/SN+%/SW
지지율	지지/NNG+율/XSN
상승은	상승/NNG+은/JX
금방”이라고	금방/MAG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.113.8.4
최근 메드베데프의 지지율이 푸틴에 근접했다는 보도도 나오는데, 결국 이 운명도 최종 여론조사가 좌우할 듯하다.

최근	최근/MAG
메드베데프의	메드베데프/NNP+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
푸틴에	푸틴/NNP+에/JKB
근접했다는	근접/NNG+하/XSV+았/EP+다는/ETM
보도도	보도/NNG+도/JX
나오는데,	나오/VV+는데/EC+,/SP
결국	결국/NNG
이	이/MMD
운명도	운명/NNG+도/JX
최종	최종/NNG
여론조사가	여론/NNG+조사/NNG+가/JKS
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


