# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.243
metadata : {}


# id : NWRW1800000054.243.1.1
[행복한 기부, 아너 소사이어티 10년] (3) 파급력 10배… 스타들의 기부

[행복한	[/SS+행복/NNG+하/XSA+ㄴ/ETM
가입한	가입/NNG+하/XSV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
삼성	삼성/NNP
라이온즈	라이온즈/NNP
투수	투수/NNG
우규민(32)은	우규민/NNP+(/SS+32/SN+)/SS+은/JX
"야구를	"/SS+야구/NNG+를/JKO
하면서	하/VV+면서/EC
혼자서는	혼자/NNG+서/JKS+는/JX
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
느꼈다"며	느끼/VV+었/EP+다/EF+"/SS+며/EC
"우리	"/SS+우리/NP
사회도	사회/NNG+도/JX
혼자만	혼자/NNG+만/JX
잘사는	잘살/VV+는/ETM
것보다	것/NNB+보다/JKB
서로서로	서로서로/MAG
도울	돕/VV+ㄹ/ETM
때	때/NNG
이상적이라고	이상/NNG+적/XSN+이/VCP+라고/EC
생각했다"고	생각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.7.3
아너 10주년 행사장에서 만났던 배우 김보성(51)은 자신을 '나눔·의리 계몽운동가'라고 소개했다.

아너	아너/NNG
10주년	10/SN+주년/NNB
행사장에서	행사장/NNG+에서/JKB
만났던	만나/VV+았/EP+던/ETM
배우	배우/NNG
김보성(51)은	김보성/NNP+(/SS+51/SN+)/SS+은/JX
자신을	자신/NNG+을/JKO
'나눔·의리	'/SS+나눔/NNG+·/SP+의리/NNG
계몽운동가'라고	계몽/NNG+운동가/NNG+'/SS+라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.7.4
"제가 생각하는 가장 궁극적인 의리가 바로 나눔의 의리입니다.

"제가	"/SS+제/NP+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
가장	가장/MAG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
의리가	의리/NNG+가/JKS
바로	바로/MAG
나눔의	나눔/NNG+의/JKG
의리입니다.	의리/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.243.7.5
세상에 나눔의 의리가 조금이라도 퍼질 수 있다면 평생 의리를 외칠 겁니다.

세상에	세상/NNG+에/JKB
나눔의	나눔/NNG+의/JKG
의리가	의리/NNG+가/JKS
조금이라도	조금/NNG+이라도/JX
퍼질	퍼지/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
평생	평생/NNG
의리를	의리/NNG+를/JKO
외칠	외치/VV+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.243.7.6
의~리!"

의~리!"	의~리/NNG+!/SF+"/SS


