# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.281
metadata : {}


# id : NWRW1800000048.281.1.1
“질병관리본부, 차관급으로 격상해야”

“질병관리본부,	“/SS+질병/NNG+관리/NNG+본부/NNG+,/SP
되풀이하지	되풀이/NNG+하/XSV+지/EC
않으려면	않/VX+으려면/EC
대규모	대/XPN+규모/NNG
유행이	유행/NNG+이/JKS
나타나게	나타나/VV+게/EC
된	되/VV+ㄴ/ETM
문제점부터	문제점/NNG+부터/JX
제대로	제대로/MAG
파악해야	파악/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.281.6.3
국민연대 간사를 맡고 있는 김윤 서울대 의대 교수는 “초기방역 실패와 비밀주의 행정 탓에 비판의 대상이 된 복지부가 진상 규명차원의 백서발간을 준비하고 있는데 스스로 자신의 잘못을 엄밀하게 진단할 수 있을 지 의구심이 든다”며 “중립적인 위원회를 구성해 백서작업을 맡겨야 한다”고 말했다.

국민연대	국민/NNG+연대/NNG
간사를	간사/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
김윤	김윤/NNP
서울대	서울대/NNP
의대	의대/NNG
교수는	교수/NNG+는/JX
“초기방역	“/SS+초기/NNG+방역/NNG
실패와	실패/NNG+와/JC
비밀주의	비밀주의/NNG
행정	행정/NNG
탓에	탓/NNG+에/JKB
비판의	비판/NNG+의/JKG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
복지부가	복지부/NNG+가/JKS
진상	진상/NNG
규명차원의	규명/NNG+차원/NNG+의/JKG
백서발간을	백서/NNG+발간/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
스스로	스스로/MAG
자신의	자신/NNG+의/JKG
잘못을	잘못/NNG+을/JKO
엄밀하게	엄밀하/VA+게/EC
진단할	진단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
지	지/NNB
의구심이	의구심/NNG+이/JKS
든다”며	들/VV+ㄴ다/EF+”/SS+며/EC
“중립적인	“/SS+중립/NNG+적/XSN+이/VCP+ㄴ/ETM
위원회를	위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
백서작업을	백서/NNG+작업/NNG+을/JKO
맡겨야	맡기/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


