# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.336
metadata : {}


# id : NWRW1800000030.336.1.1
흔들리는 청와대… "좋은 뉴스라곤 배추값 떨어진 것뿐"

흔들리는	흔들리/VV+는/ETM
터져나온,	터지/VV+어/EC+나오/VV+ㄴ/ETM+,/SP
신재민	신재민/NNP
전	전/MMD
문화부차관이	문화부/NNG+차관/NNG+이/JKS
이국철	이국철/NNP
SLS	SLS/SL
회장에게서	회장/NNG+에게서/JKB
수년간	수년/NNG+간/XSN
지속적으로	지속/NNG+적/XSN+으로/JKB
경제적	경제/NNG+적/XSN
도움을	도움/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
보고를	보고/NNG+를/JKO
받고는	받/VV+고/EC+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받은	받/VV+은/ETM
듯했다고	듯/NNB+하/XSA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.336.5.2
끝까지 믿었던 김두우 전 홍보수석에 대해 검찰이 구속영장을 청구했고, 또 다른 전직 수석비서관도 수사 선상에 올라있다.

끝까지	끝/NNG+까지/JX
믿었던	믿/VV+었/EP+던/ETM
김두우	김두우/NNP
전	전/MMD
홍보수석에	홍보/NNG+수석/NNG+에/JKB
대해	대하/VV+아/EC
검찰이	검찰/NNG+이/JKS
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했고,	청구/NNG+하/XSV+았/EP+고/EC+,/SP
또	또/MAG
다른	다른/MMD
전직	전직/NNG
수석비서관도	수석/NNG+비서관/NNG+도/JX
수사	수사/NNG
선상에	선상/NNG+에/JKB
올라있다.	오르/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000030.336.5.3
박영준 전 지식경제부 차관 등 다른 측근들 이름이 이런저런 의혹에 줄줄이 거론되는 것도 청와대로선 곤혹스럽다.

박영준	박영준/NNP
전	전/MMD
지식경제부	지식/NNG+경제부/NNG
차관	차관/NNG
등	등/NNB
다른	다른/MMD
측근들	측근/NNG+들/XSN
이름이	이름/NNG+이/JKS
이런저런	이런저런/MMD
의혹에	의혹/NNG+에/JKB
줄줄이	줄줄이/MAG
거론되는	거론/NNG+되/XSV+는/ETM
것도	것/NNB+도/JX
청와대로선	청와대/NNP+로서/JKB+ㄴ/JX
곤혹스럽다.	곤혹/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000030.336.6.1
한 관계자는 "대통령에게 좋은 소식을 보고하려고 아무리 챙겨봐도 좋은 날씨 때문에 배추 등 농산물 가격이 떨어졌다는 것말고는 없는 것 같더라"고 했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
"대통령에게	"/SS+대통령/NNG+에게/JKB
좋은	좋/VA+은/ETM
소식을	소식/NNG+을/JKO
보고하려고	보고/NNG+하/XSV+려고/EC
아무리	아무리/MAG
챙겨봐도	챙기/VV+어/EC+보/VX+아도/EC
날씨	날씨/NNG
때문에	때문/NNB+에/JKB
배추	배추/NNG
등	등/NNB
농산물	농산물/NNG
가격이	가격/NNG+이/JKS
떨어졌다는	떨어지/VV+었/EP+다는/ETM
것말고는	것/NNB+말/VV+고/EC+는/JX
없는	없/VA+는/ETM
것	것/NNB
같더라"고	같/VA+더라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.336.7.1
경제 위기 역시 청와대를 흔들고 있다.

경제	경제/NNG
위기	위기/NNG
역시	역시/MAG
청와대를	청와대/NNP+를/JKO
흔들고	흔들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.336.8.1
한 핵심 관계자는 "국제적인 위기 상황이 국내에까지 영향을 미치면서 이 대통령의 업적이었던 2008년 경제 위기 극복도 이젠 잊히게 됐다"며 "이 대통령이 가장 듣고 싶어했던 '경제를 살린 정권' '측근·친인척 비리 없는 정권'이라는 두 가지 목표가 전부 무너지는 상황이 돼버렸다"고 했다.

한	한/MMN
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
"국제적인	"/SS+국제/NNG+적/XSN+이/VCP+ㄴ/ETM
위기	위기/NNG
상황이	상황/NNG+이/JKC
국내에까지	국내/NNG+에/JKB+까지/JX
영향을	영향/NNG+을/JKO
미치면서	미치/VV+면서/EC
이	이/NNP
대통령의	대통령/NNG+의/JKG
업적이었던	업적/NNG+이/VCP+었/EP+던/ETM
2008년	2008/SN+년/NNB
경제	경제/NNG
극복도	극복/NNG+도/JX
이젠	이제/NNG+ㄴ/JX
잊히게	잊히/VV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"이	"/SS+이/NNP
대통령이	대통령/NNG+이/JKS
가장	가장/MAG
듣고	듣/VV+고/EC
싶어했던	싶/VX+어/EC+하/VX+았/EP+던/ETM
'경제를	'/SS+경제/NNG+를/JKO
살린	살리/VV+ㄴ/ETM
정권'	정권/NNG+'/SS
'측근·친인척	'/SS+측근/NNG+·/SP+친인척/NNG
비리	비리/NNG
없는	없/VA+는/ETM
정권'이라는	정권/NNG+'/SS+이/VCP+라는/ETM
두	두/MMN
가지	가지/NNB
목표가	목표/NNG+가/JKS
전부	전부/MAG
무너지는	무너지/VV+는/ETM
돼버렸다"고	되/VV+어/EC+버리/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.336.9.1
문제는 이를 수습할 중심 인물도, 방안도 마땅히 보이지 않는다는 점이다.

문제는	문제/NNG+는/JX
이를	이/NP+를/JKO
수습할	수습/NNG+하/XSV+ㄹ/ETM
중심	중심/NNG
인물도,	인물/NNG+도/JX+,/SP
방안도	방안/NNG+도/JX
마땅히	마땅히/MAG
보이지	보이/VV+지/EC
않는다는	않/VX+는다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.336.9.2
김두우 전 수석이 물러난 홍보수석 자리는 여전히 공석이고, 김효재 정무수석이나 정진영 민정수석은 임명된 지 얼마 되지 않는다.

김두우	김두우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
물러난	물러나/VV+ㄴ/ETM
홍보수석	홍보/NNG+수석/NNG
자리는	자리/NNG+는/JX
여전히	여전히/MAG
공석이고,	공석/NNG+이/VCP+고/EC+,/SP
김효재	김효재/NNP
정무수석이나	정무/NNG+수석/NNG+이나/JC
정진영	정진영/NNP
민정수석은	민정/NNG+수석/NNG+은/JX
임명된	임명/NNG+되/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.336.9.3
여당은 '친이(親李)' 그룹이 해체된 상태이고, 어떻게든 청와대와 거리를 두려는 것이 당의 분위기다.

여당은	여당/NNG+은/JX
'친이(親李)'	'/SS+친/XPN+이/NNP+(/SS+親李/SH+)/SS+'/SS
그룹이	그룹/NNG+이/JKS
해체된	해체/NNG+되/XSV+ㄴ/ETM
상태이고,	상태/NNG+이/VCP+고/EC+,/SP
어떻게든	어떻/VA+게/EC+든/JX
청와대와	청와대/NNP+와/JKB
거리를	거리/NNG+를/JKO
두려는	두/VV+려는/ETM
것이	것/NNB+이/JKS
당의	당/NNG+의/JKG
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.336.10.1
청와대 직원들은 "공무원들이 청와대 지시를 신경 안 쓴 지도 이미 상당히 됐다"고 하고 있다.

청와대	청와대/NNP
직원들은	직원/NNG+들/XSN+은/JX
"공무원들이	"/SS+공무원/NNG+들/XSN+이/JKS
지시를	지시/NNG+를/JKO
신경	신경/NNG
안	안/MAG
쓴	쓰/VV+ㄴ/ETM
지도	지/NNB+도/JX
이미	이미/MAG
상당히	상당히/MAG
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.336.11.1
이 대통령이 한전에서 불호령을 내린 지 열흘도 안 됐지만 후속 조치를 신경 쓰는 공무원도 없다고 한다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
한전에서	한전/NNP+에서/JKB
불호령을	불호령/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
지	지/NNB
열흘도	열흘/NNG+도/JX
안	안/MAG
됐지만	되/VV+었/EP+지만/EC
후속	후속/NNG
조치를	조치/NNG+를/JKO
신경	신경/NNG
쓰는	쓰/VV+는/ETM
공무원도	공무원/NNG+도/JX
없다고	없/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.336.11.2
청와대 직원들마저도 산하 공기업이나 내년도 대선 캠프로 나갈 궁리만 하는 분위기여서 청와대 직원을 충원하기도 힘든 상황이다.

청와대	청와대/NNP
직원들마저도	직원/NNG+들/XSN+마저/JX+도/JX
산하	산하/NNG
공기업이나	공기업/NNG+이나/JC
내년도	내년도/NNG
대선	대선/NNG
캠프로	캠프/NNG+로/JKB
나갈	나가/VV+ㄹ/ETM
궁리만	궁리/NNG+만/JX
하는	하/VV+는/ETM
분위기여서	분위기/NNG+이/VCP+어서/EC
직원을	직원/NNG+을/JKO
충원하기도	충원/NNG+하/XSV+기/ETN+도/JX
힘든	힘들/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.336.12.1
청와대는 이번 주부터는 어떻게든 하나씩 현안을 정리해갈 계획이다.

청와대는	청와대/NNP+는/JX
이번	이번/NNG
주부터는	주/NNG+부터/JX+는/JX
어떻게든	어떻/VA+게/EC+든/JX
하나씩	하나/NR+씩/XSN
현안을	현안/NNG+을/JKO
정리해갈	정리/NNG+하/XSV+아/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.336.12.2
홍보수석 인선부터 서두르고 있다.

홍보수석	홍보/NNG+수석/NNG
인선부터	인선/NNG+부터/JX
서두르고	서두르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.336.12.3
방송 출신 언론인이 2~3일 내로 임명될 것으로 알려졌다.

방송	방송/NNG
출신	출신/NNG
언론인이	언론인/NNG+이/JKS
2~3일	2/SN+~/SO+3/SN+일/NNB
내로	내/NNB+로/JKB
임명될	임명/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.336.12.4
검찰에도 신속한 수사를 통해 측근들의 유·무죄를 가려줬으면 한다는 뜻을 전할 것으로 보인다.

검찰에도	검찰/NNG+에/JKB+도/JX
신속한	신속/NNG+하/XSA+ㄴ/ETM
수사를	수사/NNG+를/JKO
통해	통하/VV+아/EC
측근들의	측근/NNG+들/XSN+의/JKG
유·무죄를	유·무죄/NNG+를/JKO
가려줬으면	가리/VV+어/EC+주/VX+었/EP+으면/EC
한다는	하/VX+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
전할	전하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.336.13.1
이 대통령은 경제 상황을 직접 챙기며 위기를 넘기는 데 업무의 최우선 순위를 둘 것이라고 참모들은 전했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
경제	경제/NNG
상황을	상황/NNG+을/JKO
직접	직접/MAG
챙기며	챙기/VV+며/EC
위기를	위기/NNG+를/JKO
넘기는	넘기/VV+는/ETM
데	데/NNB
업무의	업무/NNG+의/JKG
최우선	최/XPN+우선/NNG
순위를	순위/NNG+를/JKO
둘	두/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
참모들은	참모/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


