# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.253
metadata : {}


# id : NWRW1800000038.253.1.1
LG, 삼성과 안타 33개 난타전 끝 대파… 승차없는 2위

LG,	LG/SL+,/SP
듯한	듯/NNB+하/XSA+ㄴ/ETM
타구를	타구/NNG+를/JKO
SK	SK/SL
좌익수	좌익수/NNG
김상현이	김상현/NNP+이/JKS
뛰어올라	뛰어오르/VV+아/EC
건져냈다.	건지/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.253.4.5
김광현은 이 호수비 덕분에 1점만 내주고 한숨을 돌렸다.

김광현은	김광현/NNP+은/JX
이	이/MMD
호수비	호수비/NNG
덕분에	덕분/NNG+에/JKB
1점만	1/SN+점/NNB+만/JX
내주고	내주/VV+고/EC
한숨을	한/XPN+숨/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.4.6
SK 최정은 4회 솔로 홈런을 치며 삼성 최형우, 넥센 박병호와 홈런 공동 선두(이상 22개)를 이뤘다.

SK	SK/SL
최정은	최정/NNP+은/JX
4회	4/SN+회/NNB
솔로	솔로/NNG
홈런을	홈런/NNG+을/JKO
치며	치/VV+며/EC
삼성	삼성/NNP
최형우,	최형우/NNP+,/SP
넥센	넥센/NNP
박병호와	박병호/NNP+와/JKB
홈런	홈런/NNG
공동	공동/NNG
선두(이상	선두/NNG+(/SS+이상/NNG
22개)를	22/SN+개/NNB+)/SS+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.5.1
KIA는 6위에서 7위로 떨어졌다.

KIA는	KIA/SL+는/JX
6위에서	6/SN+위/NNB+에서/JKB
7위로	7/SN+위/NNB+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.5.2
KIA 선발 투수 양현종은 2이닝 동안 5점을 내주고 패전 투수가 됐다.

KIA	KIA/SL
선발	선발/NNG
투수	투수/NNG
양현종은	양현종/NNP+은/JX
2이닝	2/SN+이닝/NNG
동안	동안/NNG
5점을	5/SN+점/NNB+을/JKO
내주고	내주/VV+고/EC
패전	패전/NNG
투수가	투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.5.3
옆구리 부상에서 회복해 돌아온 다음 2경기 연속 패배이다.

옆구리	옆구리/NNG
부상에서	부상/NNG+에서/JKB
회복해	회복/NNG+하/XSV+아/EC
돌아온	돌아오/VV+ㄴ/ETM
다음	다음/NNG
2경기	2/SN+경기/NNG
연속	연속/NNG
패배이다.	패배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.253.6.1
1위와 2위의 대결로 관심을 끈 대구에선 2위 LG가 선두 삼성을 16대9로 완파했다.

1위와	1/SN+위/NNB+와/JC
2위의	2/SN+위/NNB+의/JKG
대결로	대결/NNG+로/JKB
관심을	관심/NNG+을/JKO
끈	끌/VV+ㄴ/ETM
대구에선	대구/NNP+에서/JKB+ㄴ/JX
2위	2/SN+위/NNB
LG가	LG/SL+가/JKS
선두	선두/NNG
삼성을	삼성/NNP+을/JKO
16대9로	16/SN+대/NNB+9/SN+로/JKB
완파했다.	완파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.253.6.2
안타 33개를 주고받는 난타전이었다.

안타	안타/NNG
33개를	33/SN+개/NNB+를/JKO
주고받는	주고받/VV+는/ETM
난타전이었다.	난타전/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.253.6.3
이번 시즌 첫 선발 전원 안타·전원 득점을 한 LG(56승36패·승률 0.609)는 삼성(54승34패2무·승률 0.614)과의 승차를 없앴다.

이번	이번/NNG
시즌	시즌/NNG
첫	첫/MMN
선발	선발/NNG
전원	전원/NNG
안타·전원	안타/NNG+·/SP+전원/NNG
득점을	득점/NNG+을/JKO
한	하/VV+ㄴ/ETM
LG(56승36패·승률	LG/SL+(/SS+56/SN+승/NNB+36/SN+패/NNB+·/SP+승률/NNG
0.609)는	0/SN+./SP+609/SN+)/SS+는/JX
삼성(54승34패2무·승률	삼성/NNP+(/SS+54/SN+승/NNB+34/SN+패/NNB+2/SN+무/NNB+·/SP+승률/NNG
0.614)과의	0/SN+./SP+614/SN+)/SS+과/JKB+의/JKG
승차를	승차/NNG+를/JKO
없앴다.	없애/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.7.1
3위 두산은 잠실에서 롯데를 3대2로 따돌리고 50승(40패2무)을 채웠다.

3위	3/SN+위/NNB
두산은	두산/NNP+은/JX
잠실에서	잠실/NNP+에서/JKB
롯데를	롯데/NNP+를/JKO
3대2로	3/SN+대/NNB+2/SN+로/JKB
따돌리고	따돌리/VV+고/EC
50승(40패2무)을	50/SN+승/NNB+(/SS+40/SN+패/NNB+2/SN+무/NNB+)/SS+을/JKO
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.7.2
두산 투수 홍상삼은 2―0으로 앞서던 8회 구원 등판해 롯데 대타 박준서에게 2점 홈런을 맞았지만, 팀이 이겨 쑥스러운 승리투수가 됐다.

두산	두산/NNP
투수	투수/NNG
홍상삼은	홍상삼/NNP+은/JX
2―0으로	2/SN+―/SS+0/SN+으로/JKB
앞서던	앞서/VV+던/ETM
8회	8/SN+회/NNB
구원	구원/NNG
등판해	등판/NNG+하/XSV+아/EC
롯데	롯데/NNP
대타	대타/NNG
박준서에게	박준서/NNP+에게/JKB
2점	2/SN+점/NNB
홈런을	홈런/NNG+을/JKO
맞았지만,	맞/VV+았/EP+지만/EC+,/SP
팀이	팀/NNG+이/JKS
이겨	이기/VV+어/EC
쑥스러운	쑥스럽/VA+ㄴ/ETM
승리투수가	승리/NNG+투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.7.3
청주에선 NC가 한화를 3대1로 눌렀다.

청주에선	청주/NNP+에서/JKB+ㄴ/JX
NC가	NC/SL+가/JKS
한화를	한화/NNP+를/JKO
3대1로	3/SN+대/NNB+1/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


