# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.139
metadata : {}


# id : NWRW1800000022.139.1.1
[특파원칼럼]나가타와 이종걸

[특파원칼럼]나가타와	[/SS+특파원/NNG+칼럼/NNG+]/SS+나가타/NNP+와/JC
간략한	간략하/VA+ㄴ/ETM
인물	인물/NNG
소개를	소개/NNG+를/JKO
곁들여	곁들이/VV+어/EC
사회면	사회면/NNG
1·2단	1/SN+·/SP+2/SN+단/NNG
기사로	기사/NNG+로/JKB
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.2.4
다음날 "국민을 대표한 사람이 그런 수단을 택한 것은 극히 유감"이란 민주당 대표의 짤막한 코멘트를 끝으로 그의 이름은 신문에서 사라졌다.

다음날	다음날/NNG
"국민을	"/SS+국민/NNG+을/JKO
대표한	대표/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
그런	그런/MMD
수단을	수단/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
것은	것/NNB+은/JX
극히	극히/MAG
유감"이란	유감/NNG+"/SS+이/VCP+란/ETM
민주당	민주당/NNP
대표의	대표/NNG+의/JKG
짤막한	짤막하/VA+ㄴ/ETM
코멘트를	코멘트/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
그의	그/NP+의/JKG
이름은	이름/NNG+은/JX
신문에서	신문/NNG+에서/JKB
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.3.1
섬뜩했던 것은 자살 사실보다 그의 자살을 대하는 일본 사회의 차가움을 느낀 탓이었다.

섬뜩했던	섬뜩/MAG+하/XSA+았/EP+던/ETM
것은	것/NNB+은/JX
자살	자살/NNG
사실보다	사실/NNG+보다/JKB
그의	그/NP+의/JKG
자살을	자살/NNG+을/JKO
대하는	대하/VV+는/ETM
일본	일본/NNP
사회의	사회/NNG+의/JKG
차가움을	차갑/VA+ㅁ/ETN+을/JKO
느낀	느끼/VV+ㄴ/ETM
탓이었다.	탓/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.139.3.2
사회적 악영향 탓에 자살 뉴스를 금기시하는 관행을 고려해도, '일본 사회가 그의 죽음조차 외면한 것이 아닌가' 하는 생각을 지울 수 없었다.

사회적	사회/NNG+적/XSN
악영향	악영향/NNG
탓에	탓/NNG+에/JKB
자살	자살/NNG
뉴스를	뉴스/NNG+를/JKO
금기시하는	금기/NNG+시/XSN+하/XSV+는/ETM
관행을	관행/NNG+을/JKO
고려해도,	고려/NNG+하/XSV+아도/EC+,/SP
'일본	'/SS+일본/NNP
사회가	사회/NNG+가/JKS
그의	그/NP+의/JKG
죽음조차	죽음/NNG+조차/JX
외면한	외면/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌가'	아니/VCN+ㄴ가/EF+'/SS
하는	하/VV+는/ETM
생각을	생각/NNG+을/JKO
지울	지우/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.139.3.3
마을 주민들이 '산 자들의 무덤' 나라야마(楢山)에 노인을 버린 뒤 태연히 일상을 맞는 영화 '나라야마부시코'의 라스트신을 보는 듯했다.

마을	마을/NNG
주민들이	주민/NNG+들/XSN+이/JKS
'산	'/SS+살/VV+ㄴ/ETM
자들의	자/NNB+들/XSN+의/JKG
무덤'	무덤/NNG+'/SS
나라야마(楢山)에	나라야마/NNP+(/SS+楢山/SH+)/SS+에/JKB
노인을	노인/NNG+을/JKO
버린	버리/VV+ㄴ/ETM
뒤	뒤/NNG
태연히	태연히/MAG
일상을	일상/NNG+을/JKO
맞는	맞/VV+는/ETM
영화	영화/NNG
'나라야마부시코'의	'/SS+나라야마부시코/NNG+'/SS+의/JKG
라스트신을	라스트/NNG+신/NNG+을/JKO
보는	보/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.139.3.4
실존의 나가타는 '나라야마'에 버려진 뒤 추억에서도 지워지는 형벌까지 당한 것이다.

실존의	실존/NNG+의/JKG
나가타는	나가타/NNP+는/JX
'나라야마'에	'/SS+나라야마/NNP+'/SS+에/JKB
버려진	버리/VV+어/EC+지/VX+ㄴ/ETM
뒤	뒤/NNG
추억에서도	추억/NNG+에서/JKB+도/JX
지워지는	지우/VV+어/EC+지/VX+는/ETM
형벌까지	형벌/NNG+까지/JX
당한	당하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.4.1
지난 2006년 진위가 불분명한 이메일 사본을 내세우면서 "자민당 전 간부의 아들이 총선거에 출마한 기업가의 돈을 받았다"고 국회에서 주장한 것이 발단이었다.

지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
진위가	진위/NNG+가/JKS
불분명한	불분명하/VA+ㄴ/ETM
이메일	이메일/NNG
사본을	사본/NNG+을/JKO
내세우면서	내세우/VV+면서/EC
"자민당	"/SS+자민당/NNP
전	전/MMD
간부의	간부/NNG+의/JKG
아들이	아들/NNG+이/JKS
총선거에	총선거/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
기업가의	기업가/NNG+의/JKG
돈을	돈/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
국회에서	국회/NNG+에서/JKB
주장한	주장/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
발단이었다.	발단/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.139.4.2
훗날 그의 말대로 "공(功)에 초조했던" 나머지, 상대의 명예와 진실의 중요성을 살피지 않은 것이다.

훗날	훗날/NNG
그의	그/NP+의/JKG
말대로	말/NNG+대로/JX
"공(功)에	"/SS+공/NNG+(/SS+功/SH+)/SS+에/JKB
초조했던"	초조/NNG+하/XSA+았/EP+던/ETM+"/SS
나머지,	나머지/NNG+,/SP
상대의	상대/NNG+의/JKG
명예와	명예/NNG+와/JC
진실의	진실/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
살피지	살피/VV+지/EC
않은	않/VX+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.4.3
한국이라면 모욕을 당한 정당이나 당사자의 고발로 사법당국이 진실을 가릴 때를 기다렸겠지만 일본은 달랐다.

한국이라면	한국/NNP+이/VCP+라면/EC
모욕을	모욕/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
정당이나	정당/NNG+이나/JC
당사자의	당사자/NNG+의/JKG
고발로	고발/NNG+로/JKB
사법당국이	사법/NNG+당국/NNG+이/JKS
진실을	진실/NNG+을/JKO
가릴	가리/VV+ㄹ/ETM
때를	때/NNG+를/JKO
기다렸겠지만	기다리/VV+었/EP+겠/EP+지만/EC
일본은	일본/NNP+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.139.5.1
자민당 총재인 고이즈미 당시 총리는 "허위 메일"이라고 규정한 뒤 순리(順理)를 주장했다.

자민당	자민당/NNP
총재인	총재/NNG+이/VCP+ㄴ/ETM
고이즈미	고이즈미/NNP
당시	당시/NNG
총리는	총리/NNG+는/JX
"허위	"/SS+허위/NNG
메일"이라고	메일/NNG+"/SS+이라고/JKQ
규정한	규정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
순리(順理)를	순리/NNG+(/SS+順理/SH+)/SS+를/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.5.2
"허위란 증거를 대라"는 나가타의 추궁에, "메일을 공개한 당신 먼저 진위를 밝히는 것이 당연하지 않으냐"며 허허 웃었다.

"허위란	"/SS+허위/NNG+란/JX
증거를	증거/NNG+를/JKO
대라"는	대/VV+어라/EF+"/SS+는/ETM
나가타의	나가타/NNP+의/JKG
추궁에,	추궁/NNG+에/JKB+,/SP
"메일을	"/SS+메일/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
당신	당신/NP
먼저	먼저/MAG
진위를	진위/NNG+를/JKO
밝히는	밝히/VV+는/ETM
것이	것/NNB+이/JKS
당연하지	당연/NNG+하/XSA+지/EC
않으냐"며	않/VX+으냐/EF+"/SS+며/EC
허허	허허/IC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.5.3
얼마 후 메일은 허위 판정을 받았다.

얼마	얼마/NNG
후	후/NNG
메일은	메일/NNG+은/JX
허위	허위/NNG
판정을	판정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.5.4
검찰이나 자민당이 아니라 민주당 스스로 결론을 내렸다.

검찰이나	검찰/NNG+이나/JC
자민당이	자민당/NNP+이/JKC
아니라	아니/VCN+라/EC
민주당	민주당/NNP
스스로	스스로/MAG
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.5.5
남을 모욕해 놓고 '모욕당한 근거를 밝히라'는 황당한 주장에 여론이 등을 돌리자, 서둘러 입증에 나선 것이다.

남을	남/NNG+을/JKO
모욕해	모욕/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
'모욕당한	'/SS+모욕/NNG+당하/XSV+ㄴ/ETM
근거를	근거/NNG+를/JKO
밝히라'는	밝히/VV+라/EF+'/SS+는/ETM
황당한	황당하/VA+ㄴ/ETM
주장에	주장/NNG+에/JKB
여론이	여론/NNG+이/JKS
등을	등/NNG+을/JKO
돌리자,	돌리/VV+자/EC+,/SP
서둘러	서두르/VV+어/EC
입증에	입증/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.6.1
나가타는 면책특권 뒤에 숨으려 했다.

나가타는	나가타/NNP+는/JX
면책특권	면책/NNG+특권/NNG
뒤에	뒤/NNG+에/JKB
숨으려	숨/VV+으려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.139.6.2
남의 명예는 과감하게 밟았지만 정작 자신에게는 비겁했던 것이다.

남의	남/NNG+의/JKG
명예는	명예/NNG+는/JX
과감하게	과감하/VA+게/EC
밟았지만	밟/VV+았/EP+지만/EC
정작	정작/MAG
자신에게는	자신/NNG+에게/JKB+는/JX
비겁했던	비겁하/VA+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.6.3
몸부림치는 나가타를 '나라야마'로 가는 지게에 억지로 태운 것도 검찰이나 자민당이 아닌 민주당이었다.

몸부림치는	몸부림치/VV+는/ETM
나가타를	나가타/NNP+를/JKO
'나라야마'로	'/SS+나라야마/NNP+'/SS+로/JKB
가는	가/VV+는/ETM
지게에	지게/NNG+에/JKB
억지로	억지로/MAG
태운	태우/VV+ㄴ/ETM
것도	것/NNB+도/JX
검찰이나	검찰/NNG+이나/JC
자민당이	자민당/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
민주당이었다.	민주당/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.139.6.4
하강하는 지지율이 그렇게 만들었다.

하강하는	하강/NNG+하/XSV+는/ETM
지지율이	지지/NNG+율/XSN+이/JKS
그렇게	그렇/VA+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.6.5
당시 마에하라 당 대표는 "대표로서 나가타의 책임을 못 물은 책임을 진다"며 먼저 옷을 벗어 압박했다.

당시	당시/NNG
마에하라	마에하라/NNP
당	당/NNG
대표는	대표/NNG+는/JX
"대표로서	"/SS+대표/NNG+로서/JKB
나가타의	나가타/NNP+의/JKG
책임을	책임/NNG+을/JKO
못	못/MAG
물은	묻/VV+은/ETM
진다"며	지/VV+ㄴ다/EF+"/SS+며/EC
먼저	먼저/MAG
옷을	옷/NNG+을/JKO
벗어	벗/VV+어/EC
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.6.6
남의 명예를 부정한 나가타의 정치적 존엄 역시 철저히 부정당한 것이다.

남의	남/NNG+의/JKG
명예를	명예/NNG+를/JKO
부정한	부정/NNG+하/XSV+ㄴ/ETM
나가타의	나가타/NNP+의/JKG
정치적	정치/NNG+적/XSN
존엄	존엄/NNG
역시	역시/MAG
철저히	철저히/MAG
부정당한	부정/NNG+당하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.6.7
그는 36세에 의원직을 사퇴했다.

그는	그/NP+는/JX
36세에	36/SN+세/NNB+에/JKB
의원직을	의원직/NNG+을/JKO
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.6.8
당은 그를 제명했다.

당은	당/NNG+은/JX
그를	그/NP+를/JKO
제명했다.	제명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.6.9
지역구도 그를 외면했다.

지역구도	지역구/NNG+도/JX
그를	그/NP+를/JKO
외면했다.	외면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.139.6.10
아내마저 그를 버렸다.

아내마저	아내/NNG+마저/JX
그를	그/NP+를/JKO
버렸다.	버리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.7.1
나가타는 일본 최고의 관청 대장성 관료 출신이다.

나가타는	나가타/NNP+는/JX
일본	일본/NNP
최고의	최고/NNG+의/JKG
관청	관청/NNG
대장성	대장성/NNP
관료	관료/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.7.2
유명한 의사 집안에서 태어나 도쿄대 공대를 졸업한 뒤 미국 MBA를 마쳤다.

유명한	유명/NNG+하/XSA+ㄴ/ETM
의사	의사/NNG
집안에서	집안/NNG+에서/JKB
태어나	태어나/VV+아/EC
도쿄대	도쿄대/NNP
공대를	공대/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
미국	미국/NNP
MBA를	MBA/SL+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.7.3
화려한 경력과 재력을 바탕으로 고향이 아닌 수도권에서 야당 간판으로 내리 3선(選)을 기록한 유능한 인물이었다.

화려한	화려하/VA+ㄴ/ETM
경력과	경력/NNG+과/JC
재력을	재력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
고향이	고향/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
수도권에서	수도/NNG+권/XSN+에서/JKB
야당	야당/NNG
간판으로	간판/NNG+으로/JKB
내리	내리/MAG
3선(選)을	3선/NNG+(/SS+選/SH+)/SS+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
유능한	유능/NNG+하/XSA+ㄴ/ETM
인물이었다.	인물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.139.7.4
아버지 지역구를 공짜로 물려받는 '바보 2세'들이 판을 치는 일본 정가에서 몇 안 되는 수재로 꼽혔다.

아버지	아버지/NNG
지역구를	지역구/NNG+를/JKO
공짜로	공짜/NNG+로/JKB
물려받는	물려받/VV+는/ETM
'바보	'/SS+바보/NNG
2세'들이	2/SN+세/NNB+'/SS+들/XSN+이/JKS
판을	판/NNG+을/JKO
치는	치/VV+는/ETM
일본	일본/NNP
정가에서	정가/NNG+에서/JKB
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
수재로	수재/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.7.5
그래도 일본은 가차없이 그를 내쳤다.

그래도	그래도/MAJ
일본은	일본/NNP+은/JX
가차없이	가차/NNG+없이/MAG
그를	그/NP+를/JKO
내쳤다.	내치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.7.6
남의 명예를 짓밟았고, 사과에 인색했고, 무엇보다 비겁했기 때문이다.

남의	남/NNG+의/JKG
명예를	명예/NNG+를/JKO
짓밟았고,	짓밟/VV+았/EP+고/EC+,/SP
사과에	사과/NNG+에/JKB
인색했고,	인색/NNG+하/XSA+았/EP+고/EC+,/SP
무엇보다	무엇/NP+보다/JKB
비겁했기	비겁하/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.8.1
일본은 차가운 사회다.

일본은	일본/NNP+은/JX
차가운	차갑/VA+ㄴ/ETM
사회다.	사회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.139.8.2
관대한 듯하면서도 결정적인 순간엔 원칙과 벌칙의 시스템이 여지없이 작동한다.

관대한	관대하/VA+ㄴ/ETM
듯하면서도	듯/NNB+하/XSA+면서/EC+도/JX
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
순간엔	순간/NNG+에/JKB+ㄴ/JX
원칙과	원칙/NNG+과/JC
벌칙의	벌칙/NNG+의/JKG
시스템이	시스템/NNG+이/JKS
여지없이	여지없이/MAG
작동한다.	작동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.139.8.3
배제된 자에 대한 동정 따윈 존재하지 않는다.

배제된	배제/NNG+되/XSV+ㄴ/ETM
자에	자/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
동정	동정/NNG
따윈	따위/NNB+ㄴ/JX
존재하지	존재/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.139.8.4
냉혹하지만 일본적 질서는 그래서 유지된다.

냉혹하지만	냉혹하/VA+지만/EC
일본적	일본/NNP+적/XSN
질서는	질서/NNG+는/JX
그래서	그렇/VA+어서/EC
유지된다.	유지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.139.8.5
일본 정치는 나가타 같은 인물 탓에 "삼류" 소리를 듣지만, 나가타를 내치는 냉혹한 질서가 작동하는 덕분에 한국 정치처럼 "막장" 소리까지는 듣지 않는다.

일본	일본/NNP
정치는	정치/NNG+는/JX
나가타	나가타/NNP
같은	같/VA+은/ETM
인물	인물/NNG
탓에	탓/NNG+에/JKB
"삼류"	"/SS+삼류/NNG+"/SS
소리를	소리/NNG+를/JKO
듣지만,	듣/VV+지만/EC+,/SP
나가타를	나가타/NNP+를/JKO
내치는	내치/VV+는/ETM
냉혹한	냉혹하/VA+ㄴ/ETM
질서가	질서/NNG+가/JKS
작동하는	작동/NNG+하/XSV+는/ETM
덕분에	덕분/NNG+에/JKB
한국	한국/NNP
정치처럼	정치/NNG+처럼/JKB
"막장"	"/SS+막장/NNG+"/SS
소리까지는	소리/NNG+까지/JX+는/JX
듣지	듣/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.139.8.6
면책특권이란 방패 뒤에 숨어 무책임한 발언을 한 한국 민주당의 이종걸 의원이 나가타 소식을 알고 있는지 궁금하다.

면책특권이란	면책/NNG+특권/NNG+이/VCP+란/ETM
방패	방패/NNG
뒤에	뒤/NNG+에/JKB
숨어	숨/VV+어/EC
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
한국	한국/NNP
민주당의	민주당/NNP+의/JKG
이종걸	이종걸/NNP
의원이	의원/NNG+이/JKS
나가타	나가타/NNP
소식을	소식/NNG+을/JKO
알고	알/VV+고/EC
있는지	있/VX+는지/EC
궁금하다.	궁금하/VA+다/EF+./SF


