# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.308
metadata : {}


# id : NWRW1800000022.308.1.1
[수도권Ⅱ] 상조업체 소비자 피해 급증;계약해지 안되고 폐업까지

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
납부한	납부/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
4개	4/SN+개/NNB
계좌를	계좌/NNG+를/JKO
한	한/MMN
계좌로	계좌/NNG+로/JKB
통합해	통합/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
상조업체에	상조업체/NNG+에/JKB
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
거절당했다.	거절/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.308.5.3
이에 중도 해지를 요구했으나 업체는 납입금의 33%만 환급이 가능하다고 해 상담을 요청해왔다.

이에	이/NP+에/JKB
중도	중도/NNG
해지를	해지/NNG+를/JKO
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
업체는	업체/NNG+는/JX
납입금의	납입금/NNG+의/JKG
33%만	33/SN+%/SW+만/JX
환급이	환급/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
해	하/VV+아/EC
상담을	상담/NNG+을/JKO
요청해왔다.	요청/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.308.6.1
도2청은 상조업체가 늘어나면서 무분별하게 회원을 모집하는 과정에서 피해 사례가 늘고 있다며 판매사원의 허위·과장광고에 주의하고 계약서의 내용을 꼼꼼히 확인하는 한편 파산시 납입금 환불 보장장치를 갖췄는지 확인할 것을 당부했다.

도2청은	도/NNG+2/SN+청/NNG+은/JX
상조업체가	상조업체/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
무분별하게	무/XPN+분별/NNG+하/XSA+게/EC
회원을	회원/NNG+을/JKO
모집하는	모집/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
피해	피해/NNG
사례가	사례/NNG+가/JKS
늘고	늘/VV+고/EC
있다며	있/VX+다며/EC
판매사원의	판매/NNG+사원/NNG+의/JKG
허위·과장광고에	허위/NNG+·/SP+과장/NNG+광고/NNG+에/JKB
주의하고	주의/NNG+하/XSV+고/EC
계약서의	계약서/NNG+의/JKG
내용을	내용/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
확인하는	확인/NNG+하/XSV+는/ETM
한편	한편/NNG
파산시	파산/NNG+시/NNB
납입금	납입금/NNG
환불	환불/NNG
보장장치를	보장/NNG+장치/NNG+를/JKO
갖췄는지	갖추/VV+었/EP+는지/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


