# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.237
metadata : {}


# id : NWRW1800000038.237.1.1
쾅쾅쾅… 화끈하게 문 열었다

쾅쾅쾅…	쾅쾅쾅/MAG+…/SE
처음이고,	처음/NNG+이/VCP+고/EC+,/SP
한	한/MMN
팀이	팀/NNG+이/JKS
만루홈런	만루/NNG+홈런/NNG
2개를	2/SN+개/NNB+를/JKO
때린	때리/VV+ㄴ/ETM
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.237.10.1
31일 2차전에선 불펜이 위력을 발휘했다.

31일	31/SN+일/NNB
2차전에선	2/SN+차전/NNB+에서/JKB+ㄴ/JX
불펜이	불펜/NNG+이/JKS
위력을	위력/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.10.2
선발 올슨이 3이닝 3실점으로 일찍 물러났지만, 김상현-윤명준-이혜천-정재훈이 이어 던지면서 삼성 타선을 꽁꽁 묶었다.

선발	선발/NNG
올슨이	올슨/NNP+이/JKS
3이닝	3/SN+이닝/NNG
3실점으로	3/SN+실점/NNG+으로/JKB
일찍	일찍/MAG
물러났지만,	물러나/VV+았/EP+지만/EC+,/SP
김상현-윤명준-이혜천-정재훈이	김상현/NNP+-/SO+윤명준/NNP+-/SO+이혜천/NNP+-/SO+정재훈/NNP+이/JKS
이어	잇/VV+어/EC
던지면서	던지/VV+면서/EC
삼성	삼성/NNP
타선을	타선/NNG+을/JKO
꽁꽁	꽁꽁/MAG
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.10.3
두산 김진욱 감독은 "선수들이 자신감에 넘친다"고 말했다.

두산	두산/NNP
김진욱	김진욱/NNP
감독은	감독/NNG+은/JX
"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
자신감에	자신감/NNG+에/JKB
넘친다"고	넘치/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.11.1
◇롯데, 이틀 연속 '끝내기 쇼'

◇롯데,	◇/SW+롯데/NNP+,/SP
이틀	이틀/NNG
연속	연속/NNG
'끝내기	'/SS+끝내기/NNG
쇼'	쇼/NNG+'/SS


# id : NWRW1800000038.237.12.1
롯데는 이틀 연속 한화를 9회말에 울렸다.

롯데는	롯데/NNP+는/JX
이틀	이틀/NNG
연속	연속/NNG
한화를	한화/NNP+를/JKO
9회말에	9/SN+회/NNB+말/NNB+에/JKB
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.12.2
프로야구 역사상 첫 개막 2연전 '9회말 1점차' 승리였다.

프로야구	프로/NNG+야구/NNG
역사상	역사/NNG+상/XSN
첫	첫/MMN
개막	개막/NNG
2연전	2/SN+연전/NNG
'9회말	'/SS+9/SN+회/NNB+말/NNB
1점차'	1/SN+점/NNB+차/NNG+'/SS
승리였다.	승리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.237.13.1
30일 경기에선 4―5로 뒤지던 9회말 장성호의 적시타와 박종윤의 희생플라이로 2점을 뽑아 6대5로 이겼고, 31일엔 5―5로 맞선 9회말 무사 1·2루에서 손아섭이 우익수 키를 넘기는 안타로 경기를 마무리했다.

30일	30/SN+일/NNB
경기에선	경기/NNG+에서/JKB+ㄴ/JX
4―5로	4/SN+―/SS+5/SN+로/JKB
뒤지던	뒤지/VV+던/ETM
9회말	9/SN+회/NNB+말/NNB
장성호의	장성호/NNP+의/JKG
적시타와	적시타/NNG+와/JC
박종윤의	박종윤/NNP+의/JKG
희생플라이로	희생/NNG+플라이/NNG+로/JKB
2점을	2/SN+점/NNB+을/JKO
뽑아	뽑/VV+아/EC
6대5로	6/SN+대/NNB+5/SN+로/JKB
이겼고,	이기/VV+었/EP+고/EC+,/SP
31일엔	31/SN+일/NNB+에/JKB+ㄴ/JX
5―5로	5/SN+―/SS+5/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
무사	무사/NNG
1·2루에서	1·2루/NNG+에서/JKB
손아섭이	손아섭/NNP+이/JKS
우익수	우익수/NNG
키를	키/NNG+를/JKO
넘기는	넘기/VV+는/ETM
안타로	안타/NNG+로/JKB
경기를	경기/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.13.2
롯데는 한화를 상대로 홈 16연승 행진을 이어갔다.

롯데는	롯데/NNP+는/JX
한화를	한화/NNP+를/JKO
상대로	상대/NNG+로/JKB
홈	홈/NNG
16연승	16/SN+연승/NNG
행진을	행진/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.237.14.1
광주에선 넥센의 김병현이 KIA를 상대로 시즌 첫 승을 올렸다.

광주에선	광주/NNP+에서/JKB+ㄴ/JX
넥센의	넥센/NNP+의/JKG
김병현이	김병현/NNP+이/JKS
KIA를	KIA/SL+를/JKO
상대로	상대/NNG+로/JKB
시즌	시즌/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.14.2
선발 등판해 5와 3분의 2이닝 2실점으로 팀의 6대4 승리를 이끌었다.

선발	선발/NNG
등판해	등판/NNG+하/XSV+아/EC
5와	5/SN+와/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
2실점으로	2/SN+실점/NNG+으로/JKB
팀의	팀/NNG+의/JKG
6대4	6/SN+대/NNB+4/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.14.3
작년 홈런왕인 넥센 박병호는 1회 솔로홈런을 쳐 올 시즌 첫 홈런을 신고했다.

작년	작년/NNG
홈런왕인	홈런왕/NNG+이/VCP+ㄴ/ETM
넥센	넥센/NNP
박병호는	박병호/NNP+는/JX
1회	1/SN+회/NNB
솔로홈런을	솔로홈런/NNG+을/JKO
쳐	치/VV+어/EC
올	올/NNG
시즌	시즌/NNG
첫	첫/MMN
홈런을	홈런/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.15.1
◇개막 2연전은 '타고투저'

◇개막	◇/SW+개막/NNG
2연전은	2/SN+연전/NNG+은/JX
'타고투저'	'/SS+타고투저/NNG+'/SS


# id : NWRW1800000038.237.16.1
지난해 프로야구는 2007년 이후 5년 만에 3점대의 리그 방어율(3.82)을 찍었다.

지난해	지난해/NNG
프로야구는	프로/NNG+야구/NNG+는/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
3점대의	3/SN+점/NNB+대/XSN+의/JKG
리그	리그/NNG
방어율(3.82)을	방어/NNG+율/XSN+(/SS+3/SN+./SP+82/SN+)/SS+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.16.2
전문가들은 올해 조조 레이예스(SK) 등 수준급 외국인 투수들이 가세하고, 시즌 중 휴식일이 많아 '투고타저(投高打低)' 경향이 심해질 것이라고 전망했다.

전문가들은	전문가/NNG+들/XSN+은/JX
올해	올해/NNG
조조	조조/NNP
레이예스(SK)	레이예스/NNP+(/SS+SK/SL+)/SS
등	등/NNB
수준급	수준급/NNG
외국인	외국인/NNG
투수들이	투수/NNG+들/XSN+이/JKS
가세하고,	가세/NNG+하/XSV+고/EC+,/SP
시즌	시즌/NNG
중	중/NNB
휴식일이	휴식일/NNG+이/JKS
많아	많/VA+아/EC
'투고타저(投高打低)'	'/SS+투고타저/NNG+(/SS+投高打低/SH+)/SS+'/SS
경향이	경향/NNG+이/JKS
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.16.3
뚜껑을 열어보니 달랐다.

뚜껑을	뚜껑/NNG+을/JKO
열어보니	열/VV+어/EC+보/VX+니/EC
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.237.17.1
각 팀 1~2선발이 총출동한 개막 8경기에서 90점(경기 평균 11.3점)이 나왔다.

각	각/MMD
팀	팀/NNG
1~2선발이	1/SN+~/SO+2/SN+선발/NNG+이/JKS
총출동한	총출동/NNG+하/XSV+ㄴ/ETM
개막	개막/NNG
8경기에서	8/SN+경기/NNG+에서/JKB
90점(경기	90/SN+점/NNB+(/SS+경기/NNG
평균	평균/NNG
11.3점)이	11/SN+./SP+3/SN+점/NNB+)/SS+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.17.2
30일 KIA와 넥센전에선 19점을 주고받았다.

30일	30/SN+일/NNB
KIA와	KIA/SL+와/JKB
넥센전에선	넥센전/NNG+에서/JKB+ㄴ/JX
19점을	19/SN+점/NNB+을/JKO
주고받았다.	주고받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.17.3
8경기에서 홈런이 9개 터졌고, 그중 3개가 만루포였다.

8경기에서	8/SN+경기/NNG+에서/JKB
홈런이	홈런/NNG+이/JKS
9개	9/SN+개/NNB
터졌고,	터지/VV+었/EP+고/EC+,/SP
그중	그중/NNG
3개가	3/SN+개/NNB+가/JKS
만루포였다.	만루포/NNG+이/VCP+었/EP+다/EF+./SF


