# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.54
metadata : {}


# id : NWRW1800000038.54.1.1
툭하면 파업 佛 노조들, 올해는 협상 테이블로

툭하면	툭하면/MAG
생각이	생각/NNG+이/JKS
프랑스	프랑스/NNP
노동자들	노동자/NNG+들/XSN
사이에	사이/NNG+에/JKB
확산하고	확산/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
24일	24/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.5.1
푸조 노조는 내년도 임금을 동결하고 회사의 필요에 따라 근무교대 시간과 생산라인 투입을 탄력적으로 적용하자는 경영진의 요구를 받아들였다.

푸조	푸조/NNP
노조는	노조/NNG+는/JX
내년도	내년도/NNG
임금을	임금/NNG+을/JKO
동결하고	동결/NNG+하/XSV+고/EC
회사의	회사/NNG+의/JKG
필요에	필요/NNG+에/JKB
따라	따르/VV+아/EC
근무교대	근무/NNG+교대/NNG
시간과	시간/NNG+과/JC
생산라인	생산/NNG+라인/NNG
투입을	투입/NNG+을/JKO
탄력적으로	탄력/NNG+적/XSN+으로/JKB
적용하자는	적용/NNG+하/XSV+자는/ETM
경영진의	경영진/NNG+의/JKG
요구를	요구/NNG+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.54.5.2
대신 경영진은 25일 문을 닫는 '올내-수-부아' 공장 이후 2016년까지 추가적인 사업장 폐쇄는 없다고 약속했다.

대신	대신/NNG
경영진은	경영진/NNG+은/JX
25일	25/SN+일/NNB
문을	문/NNG+을/JKO
닫는	닫/VV+는/ETM
'올내-수-부아'	'/SS+올내/NNP+-/SO+수/NNP+-/SO+부아/NNP+'/SS
공장	공장/NNG
이후	이후/NNG
2016년까지	2016/SN+년/NNB+까지/JX
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
사업장	사업장/NNG
폐쇄는	폐쇄/NNG+는/JX
없다고	없/VA+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.6.1
이번 협상 타결로 푸조는 파업 손실 없이 1억유로(약 1470억원)의 경비를 절감하게 됐다.

이번	이번/NNG
협상	협상/NNG
타결로	타결/NNG+로/JKB
푸조는	푸조/NNP+는/JX
파업	파업/NNG
손실	손실/NNG
없이	없이/MAG
1억유로(약	1/SN+억/NR+유로/NNB+(/SS+약/MMA
1470억원)의	1470/SN+억/NR+원/NNB+)/SS+의/JKG
경비를	경비/NNG+를/JKO
절감하게	절감/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.54.6.2
푸조뿐 아니라 자동차회사 르노와 타이어회사 미슐랭, 제약회사 사노피 등 프랑스 대표 기업들이 올해는 대규모 파업 없이 노사 협상을 마무리 지었다.

푸조뿐	푸조/NNP+뿐/JX
아니라	아니/VCN+라/EC
자동차회사	자동차/NNG+회사/NNG
르노와	르노/NNP+와/JC
타이어회사	타이어/NNG+회사/NNG
미슐랭,	미슐랭/NNP+,/SP
제약회사	제약/NNG+회사/NNG
사노피	사노피/NNP
등	등/NNB
프랑스	프랑스/NNP
대표	대표/NNG
기업들이	기업/NNG+들/XSN+이/JKS
올해는	올해/NNG+는/JX
대규모	대/XPN+규모/NNG
파업	파업/NNG
없이	없이/MAG
노사	노사/NNG
협상을	협상/NNG+을/JKO
마무리	마무리/NNG
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.54.7.1
프랑스 노조가 파업을 자제하게 된 이유는 파업이 기업 경쟁력을 약화시켜 결국 일자리 감소로 이어진다는 판단 때문이다.

프랑스	프랑스/NNP
노조가	노조/NNG+가/JKS
파업을	파업/NNG+을/JKO
자제하게	자제/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
파업이	파업/NNG+이/JKS
기업	기업/NNG
경쟁력을	경쟁력/NNG+을/JKO
약화시켜	약화/NNG+시키/XSV+어/EC
결국	결국/MAG
일자리	일자리/NNG
감소로	감소/NNG+로/JKB
이어진다는	이어지/VV+ㄴ다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.54.7.2
사회조사기관 입소스(Ipsos)의 노사관계 전문가인 앙투안 소롱은 "노사 합의가 경제 성장에 기여한 독일 시스템을 프랑스가 따라 하기 시작했다"고 분석했다.

사회조사기관	사회/NNG+조사/NNG+기관/NNG
입소스(Ipsos)의	입소스/NNP+(/SS+Ipsos/SL+)/SS+의/JKG
노사관계	노사/NNG+관계/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
앙투안	앙투안/NNP
소롱은	소롱/NNP+은/JX
"노사	"/SS+노사/NNG
합의가	합의/NNG+가/JKS
경제	경제/NNG
성장에	성장/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
독일	독일/NNP
시스템을	시스템/NNG+을/JKO
프랑스가	프랑스/NNP+가/JKS
따라	따르/VV+아/EC
하기	하/VX+기/ETN
시작했다"고	시작/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.8.1
프랑스 정부도 노사관계 개선을 위한 정책을 도입하고 있다.

프랑스	프랑스/NNP
정부도	정부/NNG+도/JX
노사관계	노사/NNG+관계/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책을	정책/NNG+을/JKO
도입하고	도입/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.54.8.2
그동안 프랑스에선 대량해고를 하는 경우에도 회사가 개별 노동자로부터 모두 동의서를 받아야 했다.

그동안	그동안/NNG
프랑스에선	프랑스/NNP+에서/JKB+ㄴ/JX
대량해고를	대량/NNG+해고/NNG+를/JKO
하는	하/VV+는/ETM
경우에도	경우/NNG+에/JKB+도/JX
회사가	회사/NNG+가/JKS
개별	개별/NNG
노동자로부터	노동자/NNG+로부터/JKB
모두	모두/MAG
동의서를	동의서/NNG+를/JKO
받아야	받/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.54.9.1
하지만 지난 5월에는 노조 대표와 협상만으로도 대량해고가 가능하도록 노동법을 개정했다.

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
5월에는	5/SN+월/NNB+에/JKB+는/JX
노조	노조/NNG
대표와	대표/NNG+와/JKB
협상만으로도	협상/NNG+만/JX+으로/JKB+도/JX
대량해고가	대량/NNG+해고/NNG+가/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
노동법을	노동법/NNG+을/JKO
개정했다.	개정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.9.2
대신 개정된 노동법은 경영진이 노조와 더 많은 경영 정보를 공유하고 이사회에 노조 대표를 포함하도록 했다.

대신	대신/NNG
개정된	개정/NNG+되/XSV+ㄴ/ETM
노동법은	노동법/NNG+은/JX
경영진이	경영진/NNG+이/JKS
노조와	노조/NNG+와/JKB
더	더/MAG
많은	많/VA+은/ETM
경영	경영/NNG
정보를	정보/NNG+를/JKO
공유하고	공유/NNG+하/XSV+고/EC
이사회에	이사회/NNG+에/JKB
노조	노조/NNG
대표를	대표/NNG+를/JKO
포함하도록	포함/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


