# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.41
metadata : {}


# id : NWRW1800000054.41.1.1
"트럼프, 26일 이후 존 F 케네디 암살 관련 기밀문서 수천건 공개"

"트럼프,	"/SS+트럼프/NNP+,/SP
봉인됐던	봉인/NNG+되/XSV+었/EP+던/ETM
JFK	JFK/SL
기밀	기밀/NNG
파일	파일/NNG
공개를	공개/NNG+를/JKO
허가하겠다"고	허가/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.4.2
NYT는 "오는 26일로 미 국립기록보관소가 보관 중인 케네디 암살 관련 문건의 기밀 기한이 해제된다"며 "트럼프 대통령이 케네디 암살과 관련한 기밀 문서를 공개하겠다는 의미"라고 전했다.

NYT는	NYT/SL+는/JX
"오는	"/SS+오/VV+는/ETM
26일로	26/SN+일/NNB+로/JKB
미	미/NNP
국립기록보관소가	국립/NNG+기록/NNG+보관소/NNG+가/JKS
보관	보관/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
케네디	케네디/NNP
암살	암살/NNG
관련	관련/NNG
문건의	문건/NNG+의/JKG
기밀	기밀/NNG
기한이	기한/NNG+이/JKS
해제된다"며	해제/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
"트럼프	"/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
암살과	암살/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문서를	문서/NNG+를/JKO
공개하겠다는	공개/NNG+하/XSV+겠/EP+다는/ETM
의미"라고	의미/NNG+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.5.1
백악관은 미 정치 매체 폴리티코에 보낸 성명에서 "케네디 암살과 관련해 가능한 한 많은 자료가 대중에게 공개될 수 있도록 노력하고 있다"고 말했다.

백악관은	백악관/NNP+은/JX
미	미/NNP
정치	정치/NNG
매체	매체/NNG
폴리티코에	폴리티코/NNP+에/JKB
보낸	보내/VV+ㄴ/ETM
성명에서	성명/NNG+에서/JKB
"케네디	"/SS+케네디/NNP
암살과	암살/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
많은	많/VA+은/ETM
자료가	자료/NNG+가/JKS
대중에게	대중/NNG+에게/JKB
공개될	공개/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하고	노력/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.5.2
워싱턴포스트(WP)는 "트럼프 대통령의 트윗은 케네디 관련 문서 공개 범위를 대폭 넓히겠다는 의사를 드러낸 것이지만 모든 문서를 완전히 공개할지, 일부를 편집해 공개할지는 아직 명확하지 않다"고 했다.

워싱턴포스트(WP)는	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+는/JX
"트럼프	"/SS+트럼프/NNP
대통령의	대통령/NNG+의/JKG
트윗은	트윗/NNG+은/JX
케네디	케네디/NNP
관련	관련/NNG
문서	문서/NNG
공개	공개/NNG
범위를	범위/NNG+를/JKO
대폭	대폭/MAG
넓히겠다는	넓히/VV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
모든	모든/MMN
문서를	문서/NNG+를/JKO
완전히	완전히/MAG
공개할지,	공개/NNG+하/XSV+ㄹ지/EF+,/SP
일부를	일부/NNG+를/JKO
편집해	편집/NNG+하/XSV+아/EC
공개할지는	공개/NNG+하/XSV+ㄹ지/EF+는/JX
아직	아직/MAG
명확하지	명확하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.6.1
케네디 전 대통령은 지난 1963년 11월 22일 텍사스주(州) 댈러스 시내에서 열린 카퍼레이드 도중 암살범 리 하비 오즈월드의 총에 맞아 사망했다.

케네디	케네디/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1963년	1963/SN+년/NNB
11월	11/SN+월/NNB
22일	22/SN+일/NNB
텍사스주(州)	텍사스주/NNP+(/SS+州/SH+)/SS
댈러스	댈러스/NNP
시내에서	시내/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
카퍼레이드	카퍼레이드/NNG
도중	도중/NNG
암살범	암살범/NNG
리	리/NNP
하비	하비/NNP
오즈월드의	오즈월드/NNP+의/JKG
총에	총/NNG+에/JKB
맞아	맞/VV+아/EC
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.6.2
그러나 케네디 암살은 오즈월드의 단독 범행이 아니라 그 배후에 구소련의 국가보안위원회(KGB), 미 중앙정보국(CIA), 마약 카르텔, 쿠바 정부, 유대계 금융자본 등이 있을 것이란 다양한 음모론이 끊임없이 제기돼왔다.

그러나	그러나/MAJ
케네디	케네디/NNP
암살은	암살/NNG+은/JX
오즈월드의	오즈월드/NNP+의/JKG
단독	단독/NNG
범행이	범행/NNG+이/JKC
아니라	아니/VCN+라/EC
그	그/MMD
배후에	배후/NNG+에/JKB
구소련의	구/XPN+소련/NNP+의/JKG
국가보안위원회(KGB),	국가보안위원회/NNP+(/SS+KGB/SL+)/SS+,/SP
미	미/NNP
중앙정보국(CIA),	중앙정보국/NNP+(/SS+CIA/SL+)/SS+,/SP
마약	마약/NNG
카르텔,	카르텔/NNG+,/SP
쿠바	쿠바/NNP
정부,	정부/NNG+,/SP
유대계	유대/NNP+계/XSN
금융자본	금융/NNG+자본/NNG
등이	등/NNB+이/JKS
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
음모론이	음모/NNG+론/XSN+이/JKS
끊임없이	끊임없이/MAG
제기돼왔다.	제기/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.41.6.3
지난 2013년 갤럽 여론조사에서도 미국인의 60%는 '단독 범행이 아니라 거대한 배후가 있다고 생각한다'고 답했다.

지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
갤럽	갤럽/NNP
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
미국인의	미국인/NNG+의/JKG
60%는	60/SN+%/SW+는/JX
'단독	'/SS+단독/NNG
범행이	범행/NNG+이/JKC
아니라	아니/VCN+라/EC
거대한	거대/NNG+하/XSA+ㄴ/ETM
배후가	배후/NNG+가/JKS
있다고	있/VA+다고/EC
생각한다'고	생각/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.7.1
NYT는 이날 "역사학자들은 기밀 파일이 공개돼도 공식 수사 결과를 뒤집을 만한 충격적 내용이 있을 것이라는 예상은 하지 않는다"고 전했다.

NYT는	NYT/SL+는/JX
이날	이날/NNG
"역사학자들은	"/SS+역사학자/NNG+들/XSN+은/JX
기밀	기밀/NNG
파일이	파일/NNG+이/JKS
공개돼도	공개/NNG+되/XSV+어도/EC
공식	공식/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
뒤집을	뒤집/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
충격적	충격/NNG+적/XSN
내용이	내용/NNG+이/JKS
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예상은	예상/NNG+은/JX
하지	하/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


