# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.359
metadata : {}


# id : NWRW1800000052.359.1.1
“새누리, 청와대 조사 제외하면 특조위 연장 제안”

“새누리,	“/SS+새누리/NNP+,/SP
더민주는 세월호 태스크포스(TF)를 발족하고 특조위 활동 기간 보장을 위한 세월호특별법 개정에 힘을 쏟기로 했다.

더민주는	더민주/NNP+는/JX
세월호	세월호/NNP
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
발족하고	발족/NNG+하/XSV+고/EC
특조위	특조위/NNG
활동	활동/NNG
기간	기간/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세월호특별법	세월호/NNP+특별법/NNG
개정에	개정/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟기로	쏟/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.359.6.1
22일 국회 원내대표 회의실에서 열린 세월호 티에프 발족식에서 우 원내대표는 이같이 밝히며 “성역없는 조사가 진행돼야지, 어디는 빼자는 게 세월호 문제를 둘러싸고 여야가 할 이야기냐”고 비판했다.

22일	22/SN+일/NNB
국회	국회/NNG
원내대표	원내/NNG+대표/NNG
회의실에서	회의실/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
세월호	세월호/NNP
티에프	티에프/NNG
발족식에서	발족식/NNG+에서/JKB
우	우/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이같이	이/NP+같이/JKB
밝히며	밝히/VV+며/EC
“성역없는	“/SS+성역/NNG+없/VA+는/ETM
조사가	조사/NNG+가/JKS
진행돼야지,	진행/NNG+되/XSV+어야지/EC+,/SP
어디는	어디/NP+는/JX
빼자는	빼/VV+자는/ETM
게	거/NNB+이/JKS
문제를	문제/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
여야가	여야/NNG+가/JKS
할	하/VV+ㄹ/ETM
이야기냐”고	이야기/NNG+이/VCP+냐/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.359.6.2
우 원내대표는 “그동안 새누리당과 특조위 활동 기간 연장에 관해 물밑 협상을 해왔지만 새누리당이 전혀 성의를 보이지 않았다.

우	우/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“그동안	“/SS+그동안/NNG
새누리당과	새누리당/NNP+과/JC
특조위	특조위/NNG
활동	활동/NNG
기간	기간/NNG
연장에	연장/NNG+에/JKB
관해	관하/VV+아/EC
물밑	물밑/NNG
협상을	협상/NNG+을/JKO
해왔지만	하/VV+아/EC+오/VX+았/EP+지만/EC
새누리당이	새누리당/NNP+이/JKS
전혀	전혀/MAG
성의를	성의/NNG+를/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.359.6.3
더이상 물밑 협상만으로는 새누리당과 협조가 불가능하다고 판단했다”고 티에프 발족 배경을 설명했다.

더이상	더/MAG+이상/NNG
물밑	물밑/NNG
협상만으로는	협상/NNG+만/JX+으로/JKB+는/JX
새누리당과	새누리당/NNP+과/JC
협조가	협조/NNG+가/JKS
불가능하다고	불/XPN+가능/NNG+하/XSA+다고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
티에프	티에프/NNG
발족	발족/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.359.6.4
이날 발족식에는 박주민·박광온·전해철·이개호 의원 등이 참석했다.

이날	이날/NNG
발족식에는	발족식/NNG+에/JKB+는/JX
박주민·박광온·전해철·이개호	박주민/NNP+·/SP+박광온/NNP+·/SP+전해철/NNP+·/SP+이개호/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.359.7.1
앞서 세월호특별법 소관 상임위인 농림축산식품해양수산위의 김영춘 위원장(더민주)은 ‘대통령 7시간 행적’을 특조위 조사 대상에서 일단 보류하자는 의견을 표명한 바 있다.

앞서	앞서/MAG
세월호특별법	세월호/NNP+특별법/NNG
소관	소관/NNG
상임위인	상임위/NNG+이/VCP+ㄴ/ETM
농림축산식품해양수산위의	농림/NNG+축산/NNG+식품/NNG+해양/NNG+수산위/NNG+의/JKG
김영춘	김영춘/NNP
위원장(더민주)은	위원장/NNG+(/SS+더민주/NNP+)/SS+은/JX
‘대통령	‘/SS+대통령/NNG
7시간	7/SN+시간/NNB
행적’을	행적/NNG+’/SS+을/JKO
특조위	특조위/NNG
조사	조사/NNG
대상에서	대상/NNG+에서/JKB
일단	일단/MAG
보류하자는	보류/NNG+하/XSV+자는/ETM
의견을	의견/NNG+을/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.359.7.2
그러나 유족들과 특조위의 반대로 대통령에 대한 조사까지 포함하는 것으로 더민주의 당론이 정리된 것으로 보인다.

그러나	그러나/MAJ
유족들과	유족/NNG+들/XSN+과/JKB
특조위의	특조위/NNG+의/JKG
반대로	반대/NNG+로/JKB
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사까지	조사/NNG+까지/JX
포함하는	포함/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
더민주의	더민주/NNP+의/JKG
당론이	당론/NNG+이/JKS
정리된	정리/NNG+되/XSV+ㄴ/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.359.8.1
우 원내대표는 “특조위 기간을 연말까지 연장해줄 것을 호소했지만, 해양수산부는 ‘3개월 연장’이라는 안을 내놨다”면서 “3개월 보고서 작성 기간은 이미 보장돼 있는데 뭘 연장했다는 것이냐”고 반문했다.

우	우/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“특조위	“/SS+특조위/NNG
기간을	기간/NNG+을/JKO
연말까지	연말/NNG+까지/JX
연장해줄	연장/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
호소했지만,	호소/NNG+하/XSV+았/EP+지만/EC+,/SP
해양수산부는	해양/NNG+수산부/NNG+는/JX
‘3개월	‘/SS+3/SN+개월/NNB
연장’이라는	연장/NNG+’/SS+이/VCP+라는/ETM
안을	안/NNG+을/JKO
내놨다”면서	내놓/VV+았/EP+다/EF+”/SS+면서/EC
“3개월	“/SS+3/SN+개월/NNB
보고서	보고서/NNG
작성	작성/NNG
기간은	기간/NNG+은/JX
이미	이미/MAG
보장돼	보장/NNG+되/XSV+어/EC
있는데	있/VX+는데/EC
뭘	뭐/NP+ㄹ/JKO
연장했다는	연장/NNG+하/XSV+았/EP+다는/ETM
것이냐”고	것/NNB+이/VCP+냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.359.8.2
전날 해수부는 특조위 조사 활동 기간이 6월말로 만료된다고 못 박으면서 , 앞으로 3개월 은 종합보고서 작성 기간이라고 발표한 바 있다 .

전날	전날/NNG
해수부는	해수부/NNG+는/JX
특조위	특조위/NNG
조사	조사/NNG
활동	활동/NNG
기간이	기간/NNG+이/JKS
6월말로	6/SN+월/NNB+말/NNB+로/JKB
만료된다고	만료/NNG+되/XSV+ㄴ다고/EC
못	못/MAG
박으면서	박/VV+으면서/EC
,	,/SP
앞으로	앞/NNG+으로/JKB
3개월	3/SN+개월/NNB
은	은/JX
종합보고서	종합/NNG+보고서/NNG
작성	작성/NNG
기간이라고	기간/NNG+이/VCP+라고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF
.	./SF


# id : NWRW1800000052.359.9.1
더민주 소속 의원 전원은 ‘위원회 구성을 마친 뒤’부터 특조위 활동이 시작된다고 규정한 현행 법을 ‘조직 구성을 마치고 예산을 배정한 날(2015년8월7일)로부터 1년’으로 고치고, 선체 정밀 조사가 완료되지 않을 경우 선체가 인양돼 육상에 거치된 때로부터 1년간 조사 기간을 추가로 연장할 수 있게 하는 세월호특별법 개정안을 제출한 바 있다.

더민주	더민주/NNP
소속	소속/NNG
의원	의원/NNG
전원은	전원/NNG+은/JX
‘위원회	‘/SS+위원회/NNG
구성을	구성/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤’부터	뒤/NNG+’/SS+부터/JX
특조위	특조위/NNG
활동이	활동/NNG+이/JKS
시작된다고	시작/NNG+되/XSV+ㄴ다고/EC
규정한	규정/NNG+하/XSV+ㄴ/ETM
현행	현행/NNG
법을	법/NNG+을/JKO
‘조직	‘/SS+조직/NNG
마치고	마치/VV+고/EC
예산을	예산/NNG+을/JKO
배정한	배정/NNG+하/XSV+ㄴ/ETM
날(2015년8월7일)로부터	날/NNG+(/SS+2015/SN+년/NNB+8/SN+월/NNB+7/SN+일/NNB+)/SS+로부터/JKB
1년’으로	1/SN+년/NNB+’/SS+으로/JKB
고치고,	고치/VV+고/EC+,/SP
선체	선체/NNG
정밀	정밀/NNG
조사가	조사/NNG+가/JKS
완료되지	완료/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
선체가	선체/NNG+가/JKS
인양돼	인양/NNG+되/XSV+어/EC
육상에	육상/NNG+에/JKB
거치된	거치/NNG+되/XSV+ㄴ/ETM
때로부터	때/NNG+로부터/JKB
1년간	1/SN+년/NNB+간/XSN
조사	조사/NNG
기간을	기간/NNG+을/JKO
추가로	추가/NNG+로/JKB
연장할	연장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
세월호특별법	세월호/NNP+특별법/NNG
개정안을	개정안/NNG+을/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


