# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.17
metadata : {}


# id : NWRW1800000036.17.1.1
큰누나 만난 이건희, 소송전 ‘대열 정비’

큰누나	큰누나/NNG
이숙희(구자학	이숙희/NNP+(/SS+구자학/NNP
아워홈	아워홈/NNP
회장	회장/NNG
부인)씨가	부인/NNG+)/SS+씨/NNB+가/JKS
걸어온	걸어오/VV+ㄴ/ETM
유산소송과	유산/NNG+소송/NNG+과/JC
하와이	하와이/NNP
방문이	방문/NNG+이/JKS
무관치	무관하/VA+지/EC
않다는	않/VX+다는/ETM
해석을	해석/NNG+을/JKO
뒷받침한다.	뒷받침/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.17.6.3
이인희 고문은 소송에서 이 회장의 손을 들어줬다.

이인희	이인희/NNP
고문은	고문/NNG+은/JX
소송에서	소송/NNG+에서/JKB
이	이/NNP
회장의	회장/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들어주/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.7.1
더 큰 관심사는 막내동생인 이명희 신세계 회장과의 회동 여부다.

더	더/MAG
큰	크/VA+ㄴ/ETM
관심사는	관심사/NNG+는/JX
막내동생인	막내동생/NNG+이/VCP+ㄴ/ETM
이명희	이명희/NNP
신세계	신세계/NNP
회장과의	회장/NNG+과/JKB+의/JKG
회동	회동/NNG
여부다.	여부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.17.7.2
이명희 회장은 지난해 12월 출국해, 현재 미국 로스앤젤레스에 머물고 있다.

이명희	이명희/NNP
회장은	회장/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
출국해,	출국/NNG+하/XSV+아/EC+,/SP
현재	현재/MAG
미국	미국/NNP
로스앤젤레스에	로스앤젤레스/NNP+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.17.7.3
소송전에서 ‘캐스팅 보트’를 쥐고 있는 것으로 평가되는 이명희 회장은 입장 표명을 하지 않고 있다.

소송전에서	소송전/NNG+에서/JKB
‘캐스팅	‘/SS+캐스팅/NNG
보트’를	보트/NNG+’/SS+를/JKO
쥐고	쥐/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
평가되는	평가/NNG+되/XSV+는/ETM
이명희	이명희/NNP
회장은	회장/NNG+은/JX
입장	입장/NNG
표명을	표명/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.17.8.1
이 회장이 전용기에서 내릴 즈음, 삼성그룹은 이 회장의 변호인단 선임 보도자료를 냈다.

이	이/NNP
회장이	회장/NNG+이/JKS
전용기에서	전용기/NNG+에서/JKB
내릴	내리/VV+ㄹ/ETM
즈음,	즈음/NNB+,/SP
삼성그룹은	삼성그룹/NNP+은/JX
회장의	회장/NNG+의/JKG
변호인단	변호인단/NNG
선임	선임/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.8.2
김순택 삼성 미래전략실장(부회장)은 ‘변호사 선임이 하와이 회동과 관련 있냐’는 질문에 “모른다”라고 답했다.

김순택	김순택/NNP
삼성	삼성/NNP
미래전략실장(부회장)은	미래/NNG+전략실장/NNG+(/SS+부회장/NNG+)/SS+은/JX
‘변호사	‘/SS+변호사/NNG
선임이	선임/NNG+이/JKS
하와이	하와이/NNP
회동과	회동/NNG+과/JKB
관련	관련/NNG
있냐’는	있/VA+냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“모른다”라고	“/SS+모르/VV+ㄴ다/EF+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.8.3
앞서 재계에선 ‘이 회장이 (하와이 방문 등) 직접 움직였다는 건 소송이 (합의 등으로) 빨리 해결될 조짐’이라는 의견이 많았다.

앞서	앞서/MAG
재계에선	재계/NNG+에서/JKB+ㄴ/JX
‘이	‘/SS+이/NNP
회장이	회장/NNG+이/JKS
(하와이	(/SS+하와이/NNP
방문	방문/NNG
등)	등/NNB+)/SS
직접	직접/MAG
움직였다는	움직이/VV+었/EP+다는/ETM
건	거/NNB+ㄴ/JX
소송이	소송/NNG+이/JKS
(합의	(/SS+합의/NNG
등으로)	등/NNB+으로/JKB+)/SS
빨리	빨리/MAG
해결될	해결/NNG+되/XSV+ㄹ/ETM
조짐’이라는	조짐/NNG+’/SS+이/VCP+라는/ETM
의견이	의견/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.17.8.4
이 회장이 형제들을 직접 만나 원만하게 해결하려 하지 않겠느냐는 것이었다.

이	이/NNP
회장이	회장/NNG+이/JKS
형제들을	형제/NNG+들/XSN+을/JKO
직접	직접/MAG
만나	만나/VV+아/EC
원만하게	원만하/VA+게/EC
해결하려	해결/NNG+하/XSV+려/EC
하지	하/VX+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.17.8.5
그러나 이 회장의 귀국과 동시에 변호인단이 공개돼 본격 소송전을 예고했다.

그러나	그러나/MAJ
이	이/NNP
회장의	회장/NNG+의/JKG
귀국과	귀국/NNG+과/JKB
동시에	동시/NNG+에/JKB
변호인단이	변호인단/NNG+이/JKS
공개돼	공개/NNG+되/XSV+어/EC
본격	본격/NNG
소송전을	소송전/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.9.1
이맹희 전 회장 쪽은 이보다 앞서 공세를 강화했다.

이맹희	이맹희/NNP
전	전/MMD
회장	회장/NNG
쪽은	쪽/NNB+은/JX
이보다	이/NP+보다/JKB
앞서	앞서/MAG
공세를	공세/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.9.2
지난 15일 이 전 회장의 소송을 대리하는 법무법인 화우는 재판부에 ‘2008년 삼성 비자금 특검’ 자료 등을 증거로 신청했다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
이	이/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
소송을	소송/NNG+을/JKO
대리하는	대리/NNG+하/XSV+는/ETM
법무법인	법무/NNG+법인/NNG
화우는	화우/NNP+는/JX
재판부에	재판부/NNG+에/JKB
‘2008년	‘/SS+2008/SN+년/NNB
삼성	삼성/NNP
비자금	비자금/NNG
특검’	특검/NNG+’/SS
자료	자료/NNG
등을	등/NNB+을/JKO
증거로	증거/NNG+로/JKB
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.9.3
소송을 시작할 당시 이건희 회장이 실명전환한 삼성생명 주식에 대해서만 구체적인 요구 내용을 담고, 이건희 회장이 실명전환한 삼성전자 주식과 삼성에버랜드 명의로 전환한 삼성생명 주식에 대해선 향후 추가 청구할 계획이라고 했었다.

소송을	소송/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
이건희	이건희/NNP
회장이	회장/NNG+이/JKS
실명전환한	실명/NNG+전환/NNG+하/XSV+ㄴ/ETM
삼성생명	삼성생명/NNP
주식에	주식/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
요구	요구/NNG
내용을	내용/NNG+을/JKO
담고,	담/VV+고/EC+,/SP
삼성전자	삼성전자/NNP
주식과	주식/NNG+과/JC
삼성에버랜드	삼성에버랜드/NNP
명의로	명의/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
대해선	대하/VV+아서/EC+ㄴ/JX
향후	향후/NNG
추가	추가/NNG
청구할	청구/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000036.17.10.1
화우 관계자는 “이번 증거신청은 청구취지 확장을 위한 것”이라고 설명했다.

화우	화우/NNP
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
증거신청은	증거/NNG+신청/NNG+은/JX
청구취지	청구/NNG+취지/NNG
확장을	확장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.10.2
애초 7000억원대로 예상됐던 소송이 2조3000억~2조4000억원 규모로 커지게 됐다.

애초	애초/NNG
7000억원대로	7000/SN+억/NR+원/NNB+대/XSN+로/JKB
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
소송이	소송/NNG+이/JKS
2조3000억~2조4000억원	2/SN+조/NR+3000/SN+억/NR+~/SO+2/SN+조/NR+4000/SN+억/NR+원/NNB
규모로	규모/NNG+로/JKB
커지게	커지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.10.3
삼성그룹 관계자는 “이숙희씨 등이 추가 소송에 나설 가능성과 이맹희씨가 소송을 확장한다는 것 등은 가정에 불과하다”고 말해왔다.

삼성그룹	삼성그룹/NNP
관계자는	관계자/NNG+는/JX
“이숙희씨	“/SS+이숙희/NNP+씨/NNB
등이	등/NNB+이/JKS
추가	추가/NNG
소송에	소송/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성과	가능/NNG+성/XSN+과/JC
이맹희씨가	이맹희/NNP+씨/NNB+가/JKS
소송을	소송/NNG+을/JKO
확장한다는	확장/NNG+하/XSV+ㄴ다는/ETM
것	것/NNB
등은	등/NNB+은/JX
가정에	가정/NNG+에/JKB
불과하다”고	불과/MAG+하/XSA+다/EF+”/SS+고/JKQ
말해왔다.	말/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.17.10.4
최소한 두가지 ‘가정’은 모두 현실로 나타났다.

최소한	최소한/MAG
두가지	두/MMN+가지/NNB
‘가정’은	‘/SS+가정/NNG+’/SS+은/JX
모두	모두/MAG
현실로	현실/NNG+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.11.1
이건희 회장의 변호인단은 법무법인 태평양 소속의 강용현·권순익, 세종의 윤재윤·오종한, 원 소속의 유선영·홍용호 변호사 등 6명이다.

이건희	이건희/NNP
회장의	회장/NNG+의/JKG
변호인단은	변호인단/NNG+은/JX
법무법인	법무/NNG+법인/NNG
태평양	태평양/NNP
소속의	소속/NNG+의/JKG
강용현·권순익,	강용현/NNP+·/SP+권순익/NNP+,/SP
세종의	세종/NNP+의/JKG
윤재윤·오종한,	윤재윤/NNP+·/SP+오종한/NNP+,/SP
원	원/NNP
유선영·홍용호	유선영/NNP+·/SP+홍용호/NNP
변호사	변호사/NNG
등	등/NNB
6명이다.	6/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.17.11.2
삼성그룹 관계자는 “전문 분야와 실무 역량을 고려해 법무법인에 관계없이 개별적으로 선임했다”고 설명했다.

삼성그룹	삼성그룹/NNP
관계자는	관계자/NNG+는/JX
“전문	“/SS+전문/NNG
분야와	분야/NNG+와/JC
실무	실무/NNG
역량을	역량/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
법무법인에	법무/NNG+법인/NNG+에/JKB
관계없이	관계없이/MAG
개별적으로	개별/NNG+적/XSN+으로/JKB
선임했다”고	선임/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.12.1
법조계에선 민사소송 전문가인 강용현 변호사를 제외하면, 윤재윤·유선영 변호사는 회사간 소송, 오종한·홍용호 변호사는 기업 인수합병(M&A;) 등에 더 전문적이라고 평가했다.

법조계에선	법조/NNG+계/XSN+에서/JKB+ㄴ/JX
민사소송	민사/NNG+소송/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
강용현	강용현/NNP
변호사를	변호사/NNG+를/JKO
제외하면,	제외/NNG+하/XSV+면/EC+,/SP
윤재윤·유선영	윤재윤/NNP+·/SP+유선영/NNP
변호사는	변호사/NNG+는/JX
회사간	회사/NNG+간/NNB
소송,	소송/NNG+,/SP
오종한·홍용호	오종한/NNP+·/SP+홍용호/NNP
기업	기업/NNG
인수합병(M&A;)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+;/SP+)/SS
등에	등/NNB+에/JKB
더	더/MAG
전문적이라고	전문/NNG+적/XSN+이/VCP+라고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.12.2
한 변호사는 “삼성 쪽이 이번 소송을 단순한 상속권 소송이 아닌 기업지배와 관련된 소송으로 파악하고 있는 것 같다”고 풀이했다.

한	한/MMN
변호사는	변호사/NNG+는/JX
“삼성	“/SS+삼성/NNP
쪽이	쪽/NNB+이/JKS
이번	이번/NNG
소송을	소송/NNG+을/JKO
단순한	단순/NNG+하/XSA+ㄴ/ETM
상속권	상속/NNG+권/XSN
소송이	소송/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
기업지배와	기업/NNG+지배/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
소송으로	소송/NNG+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.12.3
실제로 재판 결과에 따라 삼성그룹의 지배구조에 영향을 끼칠 수 있다.

실제로	실제로/MAG
재판	재판/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
삼성그룹의	삼성그룹/NNP+의/JKG
지배구조에	지배/NNG+구조/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.17.13.1
이건희 회장 쪽 변호인단이 이맹희 전 회장 쪽에 견줘 경력 측면에서 다소 밀리는 것 아니냐는 해석도 나온다.

이건희	이건희/NNP
회장	회장/NNG
쪽	쪽/NNB
변호인단이	변호인단/NNG+이/JKS
이맹희	이맹희/NNP
전	전/MMD
쪽에	쪽/NNB+에/JKB
견줘	견주/VV+어/EC
경력	경력/NNG
측면에서	측면/NNG+에서/JKB
다소	다소/MAG
밀리는	밀리/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
해석도	해석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.17.13.2
화우 쪽에선 이주흥·임승순·김대휘 등 판사 출신의 거물급 변호사 등 모두 14명의 변호사가 투입됐다.

화우	화우/NNP
쪽에선	쪽/NNB+에서/JKB+ㄴ/JX
이주흥·임승순·김대휘	이주흥/NNP+·/SP+임승순/NNP+·/SP+김대휘/NNP
등	등/NNB
판사	판사/NNG
출신의	출신/NNG+의/JKG
거물급	거물급/NNG
변호사	변호사/NNG
모두	모두/MAG
14명의	14/SN+명/NNB+의/JKG
변호사가	변호사/NNG+가/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.13.3
이에 대해 4대그룹의 한 관계자는 “삼성그룹에 수백명의 법조인이 몸담고 있는 것을 간과해선 안된다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
4대그룹의	4/SN+대/NNG+그룹/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“삼성그룹에	“/SS+삼성그룹/NNP+에/JKB
수백명의	수백/NR+명/NNB+의/JKG
법조인이	법조인/NNG+이/JKS
몸담고	몸담/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
간과해선	간과/NNG+하/XSV+아서/EC+ㄴ/JX
안된다”고	안/MAG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.13.4
국내 기업 법무팀 중 최강인 삼성그룹 소속 변호사들이 일정한 역할을 하지 않겠냐는 것이다.

국내	국내/NNG
기업	기업/NNG
법무팀	법무/NNG+팀/NNG
중	중/NNB
최강인	최강/NNG+이/VCP+ㄴ/ETM
삼성그룹	삼성그룹/NNP
소속	소속/NNG
변호사들이	변호사/NNG+들/XSN+이/JKS
일정한	일정/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하지	하/VV+지/EC
않겠냐는	않/VX+겠/EP+냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.17.13.5
이건희 회장 쪽 변호인단도 판사 출신인 김상균 사장이 이끄는 삼성그룹 준법경영실에서 추천한 것으로 알려졌다.

이건희	이건희/NNP
회장	회장/NNG
쪽	쪽/NNB
변호인단도	변호인단/NNG+도/JX
판사	판사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
김상균	김상균/NNP
사장이	사장/NNG+이/JKS
이끄는	이끌/VV+는/ETM
삼성그룹	삼성그룹/NNP
준법경영실에서	준법/NNG+경영실/NNG+에서/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.13.6
다만, 이번 소송은 이건희 회장 개인의 소송이므로 삼성 소속 변호사들이 공개적으로 나섰다가는 ‘배임’ 논란을 부를 수 있다.

다만,	다만/MAG+,/SP
이번	이번/NNG
소송은	소송/NNG+은/JX
이건희	이건희/NNP
회장	회장/NNG
개인의	개인/NNG+의/JKG
소송이므로	소송/NNG+이/VCP+므로/EC
삼성	삼성/NNP
소속	소속/NNG
변호사들이	변호사/NNG+들/XSN+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
나섰다가는	나서/VV+었/EP+다가/EC+는/JX
‘배임’	‘/SS+배임/NNG+’/SS
논란을	논란/NNG+을/JKO
부를	부르/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


