# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.243
metadata : {}


# id : NWRW1800000037.243.1.1
‘광’내고 다듬은 ‘종’횡무진 패스

‘광’내고	‘/SS+광/NNG+’/SS+내/VV+고/EC
B조에서	B/SL+조/NNG+에서/JKB
쿠바를	쿠바/NNP+를/JKO
2-1로	2/SN+-/SO+1/SN+로/JKB
꺾었고	꺾/VV+었/EP+고/EC
강호	강호/NNG
포르투갈과는	포르투갈/NNP+과/JKB+는/JX
2-2로	2/SN+-/SO+2/SN+로/JKB
비겼다.	비기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.243.6.1
이 감독이 가장 강조하는 게 패싱 플레이다.

이	이/NNP
감독이	감독/NNG+이/JKS
가장	가장/MAG
강조하는	강조/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
패싱	패싱/NNG
플레이다.	플레이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.243.6.2
쿠바와 포르투갈 경기에서 봤듯 볼을 잡았을 경우 수비에서 미드필드, 공격으로 이어지는 짧고 정확한 패스가 일품이다.

쿠바와	쿠바/NNP+와/JC
포르투갈	포르투갈/NNP
경기에서	경기/NNG+에서/JKB
봤듯	보/VV+았/EP+듯/EC
볼을	볼/NNG+을/JKO
잡았을	잡/VV+았/EP+을/ETM
경우	경우/NNG
수비에서	수비/NNG+에서/JKB
미드필드,	미드필드/NNG+,/SP
공격으로	공격/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
짧고	짧/VA+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
패스가	패스/NNG+가/JKS
일품이다.	일품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.243.6.3
포르투갈전에서 1-2로 뒤지던 후반 31분 왼쪽 윙백 심상민(중앙대)이 왼쪽을 돌파하며 한성규(광운대)와 2 대 1 패스를 주고받은 뒤 김현(성남)에게 연결해 골을 뽑아낸 패싱 플레이는 압권이었다.

포르투갈전에서	포르투갈전/NNG+에서/JKB
1-2로	1/SN+-/SO+2/SN+로/JKB
뒤지던	뒤지/VV+던/ETM
후반	후반/NNG
31분	31/SN+분/NNB
왼쪽	왼쪽/NNG
윙백	윙/NNG+백/NNG
심상민(중앙대)이	심상민/NNP+(/SS+중앙대/NNP+)/SS+이/JKS
왼쪽을	왼쪽/NNG+을/JKO
돌파하며	돌파/NNG+하/XSV+며/EC
한성규(광운대)와	한성규/NNP+(/SS+광운대/NNP+)/SS+와/JKB
2	2/SN
대	대/NNB
1	1/SN
패스를	패스/NNG+를/JKO
주고받은	주고받/VV+은/ETM
뒤	뒤/NNG
김현(성남)에게	김현/NNP+(/SS+성남/NNP+)/SS+에게/JKB
연결해	연결/NNG+하/XSV+아/EC
골을	골/NNG+을/JKO
뽑아낸	뽑/VV+아/EC+내/VX+ㄴ/ETM
패싱	패싱/NNG
플레이는	플레이/NNG+는/JX
압권이었다.	압권/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.243.6.4
포르투갈전에서 감각적인 트래핑에 이은 중거리 ‘캐넌 슛’으로 골을 터뜨린 공격형 미드필더 류승우(중앙대), 오른쪽 날개 강상우(경희대) 등 센스 있는 선수도 이 감독이 19세 때부터 발굴해 키우고 있다.

포르투갈전에서	포르투갈전/NNG+에서/JKB
감각적인	감각/NNG+적/XSN+이/VCP+ㄴ/ETM
트래핑에	트래핑/NNG+에/JKB
이은	잇/VV+은/ETM
중거리	중거리/NNG
‘캐넌	‘/SS+캐넌/NNG
슛’으로	슛/NNG+’/SS+으로/JKB
골을	골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
공격형	공격/NNG+형/XSN
미드필더	미드필더/NNG
류승우(중앙대),	류승우/NNP+(/SS+중앙대/NNP+)/SS+,/SP
오른쪽	오른쪽/NNG
날개	날개/NNG
강상우(경희대)	강상우/NNP+(/SS+경희대/NNP+)/SS
등	등/NNB
센스	센스/NNG
있는	있/VA+는/ETM
선수도	선수/NNG+도/JX
이	이/NNP
감독이	감독/NNG+이/JKS
19세	19/SN+세/NNB
때부터	때/NNG+부터/JX
발굴해	발굴/NNG+하/XSV+아/EC
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.243.6.5
김선우(울산대)는 후반 플레이메이커로 위기의 팀을 조율하는 능력이 뛰어나다.

김선우(울산대)는	김선우/NNP+(/SS+울산대/NNP+)/SS+는/JX
후반	후반/NNG
플레이메이커로	플레이메이커/NNG+로/JKB
위기의	위기/NNG+의/JKG
팀을	팀/NNG+을/JKO
조율하는	조율/NNG+하/XSV+는/ETM
능력이	능력/NNG+이/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000037.243.7.1
이 감독은 27일 오후 11시(한국 시간) ‘난적’ 나이지리아를 상대로 지도력을 제대로 검증받는다.

이	이/NNP
감독은	감독/NNG+은/JX
27일	27/SN+일/NNB
오후	오후/NNG
11시(한국	11/SN+시/NNB+(/SS+한국/NNP
시간)	시간/NNG+)/SS
‘난적’	‘/SS+난적/NNG+’/SS
나이지리아를	나이지리아/NNP+를/JKO
상대로	상대/NNG+로/JKB
지도력을	지도력/NNG+을/JKO
제대로	제대로/MAG
검증받는다.	검증/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000037.243.7.2
지난해 19세 대표를 이끌고 아시아선수권에서 8년 만에 정상에 섰지만 세계무대는 차원이 다르다.

지난해	지난해/NNG
19세	19/SN+세/NNB
대표를	대표/NNG+를/JKO
이끌고	이끌/VV+고/EC
아시아선수권에서	아시아/NNP+선수/NNG+권/XSN+에서/JKB
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
정상에	정상/NNG+에/JKB
섰지만	서/VV+었/EP+지만/EC
세계무대는	세계/NNG+무대/NNG+는/JX
차원이	차원/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000037.243.7.3
한국은 1승 1무(승점 4, 골득실 +1)로 2위에 올라 있다.

한국은	한국/NNP+은/JX
1승	1/SN+승/NNB
1무(승점	1/SN+무/NNB+(/SS+승점/NNG
4,	4/SN+,/SP
골득실	골/NNG+득실/NNG
+1)로	+/SW+1/SN+)/SS+로/JKB
2위에	2/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.243.7.4
나이지리아에 이기면 1위 포르투갈과 쿠바 경기 결과에 따라 조 1위까지 오를 수 있고 비기더라도 조 2위를 확보해 16강에 진출한다.

나이지리아에	나이지리아/NNP+에/JKB
이기면	이기/VV+면/EC
1위	1/SN+위/NNB
포르투갈과	포르투갈/NNP+과/JC
쿠바	쿠바/NNP
경기	경기/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
조	조/NNG
1위까지	1/SN+위/NNB+까지/JX
오를	오르/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
비기더라도	비기/VV+더라도/EC
2위를	2/SN+위/NNB+를/JKO
확보해	확보/NNG+하/XSV+아/EC
16강에	16/SN+강/NNB+에/JKB
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.243.7.5
하지만 한국이 전통적으로 아프리카 축구에 약해 승리가 쉽진 않을 것으로 보인다.

하지만	하지만/MAJ
한국이	한국/NNP+이/JKS
전통적으로	전통/NNG+적/XSN+으로/JKB
아프리카	아프리카/NNP
축구에	축구/NNG+에/JKB
약해	약하/VA+아/EC
승리가	승리/NNG+가/JKS
쉽진	쉽/VA+지/EC+ㄴ/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.243.7.6
한국이 화끈하게 이긴다면 ‘이광종표 축구’도 한국 축구의 새로운 화두로 떠오를 것으로 전망된다.

한국이	한국/NNP+이/JKS
화끈하게	화끈/MAG+하/XSA+게/EC
이긴다면	이기/VV+ㄴ다면/EC
‘이광종표	‘/SS+이광종/NNP+표/NNG
축구’도	축구/NNG+’/SS+도/JX
한국	한국/NNP
축구의	축구/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
화두로	화두/NNG+로/JKB
떠오를	떠오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


