# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.97
metadata : {}


# id : NWRW1800000033.97.1.1
[LH 3주년]풍부한 경험으로 남수단 신수도건설 계약

[LH	[/SS+LH/SL
사업	사업/NNG
발굴	발굴/NNG
등을	등/NNB+을/JKO
공동으로	공동/NNG+으로/JKB
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.97.5.4
특히 LH는 영세한 엔지니어링 업체들의 여건을 감안해 직접 경비의 50%를 지원하기로 했다.

특히	특히/MAG
LH는	LH/SL+는/JX
영세한	영세/NNG+하/XSA+ㄴ/ETM
엔지니어링	엔지니어링/NNG
업체들의	업체/NNG+들/XSN+의/JKG
여건을	여건/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
직접	직접/MAG
경비의	경비/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.97.6.1
또 다음 달에는 해외 진출 엔지니어링사에 대한 보다 효율적인 지원을 위해 ‘해외도시개발 지원센터’도 개설해 운영해 나갈 계획이다.

또	또/MAG
다음	다음/NNG
달에는	달/NNG+에/JKB+는/JX
해외	해외/NNG
진출	진출/NNG
엔지니어링사에	엔지니어링/NNG+사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보다	보다/MAG
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
위해	위하/VV+아/EC
‘해외도시개발	‘/SS+해외/NNG+도시/NNG+개발/NNG
지원센터’도	지원/NNG+센터/NNG+’/SS+도/JX
개설해	개설/NNG+하/XSV+아/EC
운영해	운영/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.6.2
지원센터는 해외건설촉진법 개정에 따라 국토해양부로부터 업무를 위탁받아 운영되며 해외도시 개발을 위한 정보제공, 사업발굴, 진출지원 등의 업무를 수행할 예정이다.

지원센터는	지원/NNG+센터/NNG+는/JX
해외건설촉진법	해외/NNG+건설/NNG+촉진법/NNG
개정에	개정/NNG+에/JKB
따라	따르/VV+아/EC
국토해양부로부터	국토/NNG+해양부/NNG+로부터/JKB
업무를	업무/NNG+를/JKO
위탁받아	위탁/NNG+받/XSV+아/EC
운영되며	운영/NNG+되/XSV+며/EC
해외도시	해외/NNG+도시/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정보제공,	정보/NNG+제공/NNG+,/SP
사업발굴,	사업/NNG+발굴/NNG+,/SP
진출지원	진출/NNG+지원/NNG
등의	등/NNB+의/JKG
수행할	수행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.7.1
LH의 해외 도시개발 업무협약은 이번이 처음은 아니다.

LH의	LH/SL+의/JKG
해외	해외/NNG
도시개발	도시/NNG+개발/NNG
업무협약은	업무/NNG+협약/NNG+은/JX
이번이	이번/NNG+이/JKS
처음은	처음/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.97.7.2
지난해 5월 25개 엔지니어링 업체들과 ‘민관 협력 기획제안형사업 업무협약’을 체결하고, 아시아 중동·아프리카 중남미 등에서 기획제안형 해외도시개발 사업을 공동 추진하고 있다.

지난해	지난해/NNG
5월	5/SN+월/NNB
25개	25/SN+개/NNB
엔지니어링	엔지니어링/NNG
업체들과	업체/NNG+들/XSN+과/JKB
‘민관	‘/SS+민관/NNG
협력	협력/NNG
기획제안형사업	기획/NNG+제안/NNG+형/XSN+사업/NNG
업무협약’을	업무/NNG+협약/NNG+’/SS+을/JKO
체결하고,	체결/NNG+하/XSV+고/EC+,/SP
아시아	아시아/NNP
중동·아프리카	중동/NNP+·/SP+아프리카/NNP
중남미	중남미/NNP
등에서	등/NNB+에서/JKB
기획제안형	기획/NNG+제안/NNG+형/XSN
해외도시개발	해외/NNG+도시/NNG+개발/NNG
사업을	사업/NNG+을/JKO
공동	공동/NNG
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.8.1
그 결과 지난해 남수단 정부와 신수도건설 협력에 관한 양해각서(MOU)를 체결했다.

그	그/MMD
결과	결과/NNG
지난해	지난해/NNG
남수단	남수단/NNP
정부와	정부/NNG+와/JKB
신수도건설	신/XPN+수도/NNG+건설/NNG
협력에	협력/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.97.8.2
남수단은 북수단과의 오랜 내전 끝에 2011년 분리독립한 신생국가다.

남수단은	남수단/NNP+은/JX
북수단과의	북수단/NNP+과/JKB+의/JKG
오랜	오랜/MMA
내전	내전/NNG
끝에	끝/NNG+에/JKB
2011년	2011/SN+년/NNB
분리독립한	분리/NNG+독립/NNG+하/XSV+ㄴ/ETM
신생국가다.	신생/NNG+국가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.8.3
남수단은 인구 100만 명 규모의 신수도 건설을 계획하고 있다.

남수단은	남수단/NNP+은/JX
인구	인구/NNG
100만	100/SN+만/NR
명	명/NNB
규모의	규모/NNG+의/JKG
신수도	신/XPN+수도/NNG
건설을	건설/NNG+을/JKO
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.8.4
신수도 건설은 남수단 최초의 국가적 프로젝트다.

신수도	신/XPN+수도/NNG
건설은	건설/NNG+은/JX
남수단	남수단/NNP
최초의	최초/NNG+의/JKG
국가적	국가/NNG+적/XSN
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.9.1
LH 관계자는 “글로벌 경쟁력을 갖춘 해외도시개발자이자 코디네이터를 지향한다”며 “보다 체계적이고 전문적인 시스템과 노하우로 국내 기업의 해외진출을 적극 지원하고, 국가 간 협력사업 및 개발원조사업에 적극 참여함으로써 국가의 위상을 높이는 한편 한국의 도시·주택 개발경험을 개발도상국에 전수할 것”이라고 밝혔다.

LH	LH/SL
관계자는	관계자/NNG+는/JX
“글로벌	“/SS+글로벌/NNG
경쟁력을	경쟁력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
해외도시개발자이자	해외/NNG+도시/NNG+개발자/NNG+이/VCP+자/EC
코디네이터를	코디네이터/NNG+를/JKO
지향한다”며	지향/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“보다	“/SS+보다/MAG
체계적이고	체계/NNG+적/XSN+이/VCP+고/EC
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
시스템과	시스템/NNG+과/JC
노하우로	노하우/NNG+로/JKB
국내	국내/NNG
기업의	기업/NNG+의/JKG
해외진출을	해외/NNG+진출/NNG+을/JKO
적극	적극/NNG
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
국가	국가/NNG
간	간/NNB
협력사업	협력/NNG+사업/NNG
및	및/MAG
개발원조사업에	개발/NNG+원조/NNG+사업/NNG+에/JKB
참여함으로써	참여/NNG+하/XSV+ㅁ/ETN+으로써/JKB
국가의	국가/NNG+의/JKG
위상을	위상/NNG+을/JKO
높이는	높이/VV+는/ETM
한편	한편/NNG
한국의	한국/NNP+의/JKG
도시·주택	도시/NNG+·/SP+주택/NNG
개발경험을	개발/NNG+경험/NNG+을/JKO
개발도상국에	개발/NNG+도상국/NNG+에/JKB
전수할	전수/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


