# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.48
metadata : {}


# id : NWRW1800000030.48.1.1
獨·佛 "유로존 財政동맹 맺자"

獨·佛	獨/SH+·/SP+佛/SH
사용하는	사용/NNG+하/XSV+는/ETM
17개국	17/SN+개국/NNB
외에도	외/NNB+에/JKB+도/JX
영국	영국/NNP
등	등/NNB
사용하지	사용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
나머지	나머지/NNG
10개국의	10/SN+개국/NNB+의/JKG
동의를	동의/NNG+를/JKO
얻어야	얻/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


