# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.233
metadata : {}


# id : NWRW1800000049.233.1.1
천지개벽 세계수영, 박태환만 몰랐다

천지개벽	천지개벽/NNG
올림픽	올림픽/NNG
자유형	자유/NNG+형/XSN
200m	200/SN+m/SW
예선에서	예선/NNG+에서/JKB
1분46초79를	1/SN+분/NNB+46/SN+초/NNB+79/SN+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
41명	41/SN+명/NNB
중	중/NNB
5위로	5/SN+위/NNB+로/JKB
준결선에	준/XPN+결선/NNG+에/JKB
진출했고,	진출/NNG+하/XSV+았/EP+고/EC+,/SP
준결선에서도	준/XPN+결선/NNG+에서/JKB+도/JX
1분46초02로	1/SN+분/NNB+46/SN+초/NNB+02/SN+로/JKB
16명	16/SN+명/NNB
3위로	3/SN+위/NNB+로/JKB
결승에	결승/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.5.4
하지만 이날 벌어진 자유형 200m 준결선에서는 결선에 오른 8명 중 7명이 1분44∼45초대에 결승점을 찍었다.

하지만	하지만/MAJ
이날	이날/NNG
벌어진	벌어지/VV+ㄴ/ETM
자유형	자유/NNG+형/XSN
200m	200/SN+m/SW
준결선에서는	준/XPN+결선/NNG+에서/JKB+는/JX
결선에	결선/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
8명	8/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
1분44∼45초대에	1/SN+분/NNB+44/SN+∼/SO+45/SN+초/NNB+대/XSN+에/JKB
결승점을	결승점/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.233.5.5
자유형 400m 예선에서도 박태환은 런던 올림픽 때 3분46초88로 예선 전체 4위에 오르며 여유 있게 결선에 진출했다.

자유형	자유/NNG+형/XSN
400m	400/SN+m/SW
예선에서도	예선/NNG+에서/JKB+도/JX
박태환은	박태환/NNP+은/JX
런던	런던/NNP
올림픽	올림픽/NNG
때	때/NNG
3분46초88로	3/SN+분/NNB+46/SN+초/NNB+88/SN+로/JKB
예선	예선/NNG
전체	전체/NNG
4위에	4/SN+위/NNB+에/JKB
오르며	오르/VV+며/EC
여유	여유/NNG
있게	있/VA+게/EC
결선에	결선/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.5.6
당시에는 3분47초대 중반도 결선에 올랐다.

당시에는	당시/NNG+에/JKB+는/JX
3분47초대	3/SN+분/NNB+47/SN+초/NNB+대/XSN
중반도	중반/NNG+도/JX
결선에	결선/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.5.7
하지만 리우 올림픽 자유형 400m 예선에서는 8명이 겨루는 결선에 간신히 턱걸이한 조르당 포탱(프랑스)의 기록이 3분45초25였다.

하지만	하지만/MAJ
리우	리우/NNP
올림픽	올림픽/NNG
자유형	자유/NNG+형/XSN
400m	400/SN+m/SW
예선에서는	예선/NNG+에서/JKB+는/JX
8명이	8/SN+명/NNB+이/JKS
겨루는	겨루/VV+는/ETM
결선에	결선/NNG+에/JKB
간신히	간신히/MAG
턱걸이한	턱걸이/NNG+하/XSV+ㄴ/ETM
조르당	조르당/NNP
포탱(프랑스)의	포탱/NNP+(/SS+프랑스/NNP+)/SS+의/JKG
기록이	기록/NNG+이/JKS
3분45초25였다.	3/SN+분/NNB+45/SN+초/NNB+25/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.233.6.1
안종택 수영 대표팀 감독은 “최근 세계 남자 수영은 구간에 관계없이 파워 수영을 통해 폭발적인 속도전을 펼치는 경향이다.

안종택	안종택/NNP
수영	수영/NNG
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
“최근	“/SS+최근/NNG
세계	세계/NNG
남자	남자/NNG
수영은	수영/NNG+은/JX
구간에	구간/NNG+에/JKB
관계없이	관계없이/MAG
파워	파워/NNG
수영을	수영/NNG+을/JKO
통해	통하/VV+아/EC
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
속도전을	속도전/NNG+을/JKO
펼치는	펼치/VV+는/ETM
경향이다.	경향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.233.6.2
특히 20세 초반의 젊은 선수들이 자기 기록을 단축해 나가는 시기가 점차 짧아지는 추세”라며 “아직 우리 남자 수영은 이런 흐름을 따라가지 못하고 있다”고 말했다.

특히	특히/MAG
20세	20/SN+세/NNB
초반의	초반/NNG+의/JKG
젊은	젊/VA+은/ETM
선수들이	선수/NNG+들/XSN+이/JKS
자기	자기/NP
기록을	기록/NNG+을/JKO
단축해	단축/NNG+하/XSV+아/EC
나가는	나가/VX+는/ETM
시기가	시기/NNG+가/JKS
점차	점차/MAG
짧아지는	짧아지/VV+는/ETM
추세”라며	추세/NNG+”/SS+이/VCP+라며/EC
“아직	“/SS+아직/MAG
우리	우리/NP
남자	남자/NNG
수영은	수영/NNG+은/JX
이런	이런/MMD
흐름을	흐름/NNG+을/JKO
따라가지	따라가/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.7.1
이날 참가 47명 중 29위로 경기를 마친 박태환은 “기록을 보기 두려웠다.

이날	이날/NNG
참가	참가/NNG
47명	47/SN+명/NNB
중	중/NNB
29위로	29/SN+위/NNB+로/JKB
경기를	경기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
박태환은	박태환/NNP+은/JX
“기록을	“/SS+기록/NNG+을/JKO
보기	보/VV+기/ETN
두려웠다.	두렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.233.7.2
많이 답답하다.

많이	많이/MAG
답답하다.	답답하/VA+다/EF+./SF


# id : NWRW1800000049.233.7.3
올림픽에서 나의 이런 모습에 적응할 수가 없다.

올림픽에서	올림픽/NNG+에서/JKB
나의	나/NP+의/JKG
이런	이런/MMD
모습에	모습/NNG+에/JKB
적응할	적응/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.233.7.4
무슨 말을 해야 할지 모르겠다”고 말했다.

무슨	무슨/MMD
말을	말/NNG+을/JKO
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.7.5
4월 동아수영대회와 비교해 이날은 막판 스퍼트를 위한 힘 배분 조절과 영법 리듬도 완전히 깨졌다.

4월	4/SN+월/NNB
동아수영대회와	동아/NNP+수영/NNG+대회/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
이날은	이날/NNG+은/JX
막판	막판/NNG
스퍼트를	스퍼트/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
힘	힘/NNG
배분	배분/NNG
조절과	조절/NNG+과/JC
영법	영법/NNG
리듬도	리듬/NNG+도/JX
완전히	완전히/MAG
깨졌다.	깨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.233.7.6
수영 해설위원으로 현장에서 경기를 지켜보고 있는 스승 노민상 전 수영 대표팀 감독도 박태환의 부진 이유를 정확하게 진단하지 못하고 있다.

수영	수영/NNG
해설위원으로	해설/NNG+위원/NNG+으로/JKB
현장에서	현장/NNG+에서/JKB
경기를	경기/NNG+를/JKO
지켜보고	지켜보/VV+고/EC
있는	있/VX+는/ETM
스승	스승/NNG
노민상	노민상/NNP
전	전/MMD
대표팀	대표/NNG+팀/NNG
감독도	감독/NNG+도/JX
박태환의	박태환/NNP+의/JKG
부진	부진/NNG
이유를	이유/NNG+를/JKO
정확하게	정확/NNG+하/XSA+게/EC
진단하지	진단/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.233.7.7
박태환은 “400m의 아쉬움을 만회하려고 했는데 어깨가 마음대로 안 움직였다”며 “올림픽과 같이 큰 국제대회를 2년 만에 치르다 보니 신예 선수 등에 대해 내가 파악하지 못한 부분이 많았다”고 말했다.

박태환은	박태환/NNP+은/JX
“400m의	“/SS+400/SN+m/SW+의/JKG
아쉬움을	아쉬움/NNG+을/JKO
만회하려고	만회/NNG+하/XSV+려고/EC
했는데	하/VX+았/EP+는데/EC
어깨가	어깨/NNG+가/JKS
마음대로	마음대로/MAG
안	안/MAG
움직였다”며	움직이/VV+었/EP+다/EF+”/SS+며/EC
“올림픽과	“/SS+올림픽/NNG+과/JKB
같이	같이/MAG
큰	크/VA+ㄴ/ETM
국제대회를	국제/NNG+대회/NNG+를/JKO
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
치르다	치르/VV+다/EC
보니	보/VX+니/EC
신예	신예/NNG
선수	선수/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
내가	내/NP+가/JKS
파악하지	파악/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
부분이	부분/NNG+이/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.233.8.1
박태환은 자유형 100m, 1500m를 남겨두고 있다.

박태환은	박태환/NNP+은/JX
자유형	자유/NNG+형/XSN
100m,	100/SN+m/SW+,/SP
1500m를	1500/SN+m/SW+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.233.8.2
그러나 자유형 100m에서도 참가자 59명 중 28명이 박태환의 100m 기록(48초91)보다 앞서 있어 결선 진출이 쉽지 않다.

그러나	그러나/MAJ
자유형	자유/NNG+형/XSN
100m에서도	100/SN+m/SW+에서/JKB+도/JX
참가자	참가자/NNG
59명	59/SN+명/NNB
중	중/NNB
28명이	28/SN+명/NNB+이/JKS
박태환의	박태환/NNP+의/JKG
100m	100/SN+m/SW
기록(48초91)보다	기록/NNG+(/SS+48/SN+초/NNB+91/SN+)/SS+보다/JKB
앞서	앞서/VV+어/EC
있어	있/VX+어/EC
결선	결선/NNG
진출이	진출/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.233.8.3
박태환은 “꼴찌를 하니 물 밖에 못 나오겠더라.

박태환은	박태환/NNP+은/JX
“꼴찌를	“/SS+꼴찌/NNG+를/JKO
하니	하/VV+니/EC
물	물/NNG
밖에	밖/NNG+에/JKB
못	못/MAG
나오겠더라.	나오/VV+겠/EP+더라/EF+./SF


# id : NWRW1800000049.233.8.4
레이스를 하면서 ‘외국 친구들이 무슨 생각을 할까’라는 생각이 들었다”면서도 “더 잘할 수 있게 도와 달라.

레이스를	레이스/NNG+를/JKO
하면서	하/VV+면서/EC
‘외국	‘/SS+외국/NNG
친구들이	친구/NNG+들/XSN+이/JKS
무슨	무슨/MMD
생각을	생각/NNG+을/JKO
할까’라는	하/VV+ㄹ까/EF+’/SS+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들었다”면서도	들/VV+었/EP+다/EF+”/SS+면서/EC+도/JX
“더	“/SS+더/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
도와	돕/VV+아/EC
달라.	달/VX+라/EF+./SF


# id : NWRW1800000049.233.8.5
최선을 다하겠다”고 말했다.

최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


