# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.59
metadata : {}


# id : NWRW1800000029.59.1.1
도요타 하이브리드 기술이 포드 트럭에… 하이브리드車 공동개발 합의

도요타	도요타/NNP
도요타의	도요타/NNP+의/JKG
도요다	도요다/NNP
아키오	아키오/NNP
사장	사장/NNG
역시	역시/MAG
제휴는	제휴/NNG+는/JX
확실히	확실히/MAG
‘더	‘/SS+더/MAG
좋은	좋/VA+은/ETM
자동차’를	자동차/NNG+’/SS+를/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
제휴”라고	제휴/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


