# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.19
metadata : {}


# id : NWRW1800000041.19.1.1
“벤츠 新車 반응 좋아… 2014년 한국시장에서 3만대 판매할 것”

“벤츠	“/SS+벤츠/NNP
관심이	관심/NNG+이/JKS
없던	없/VA+던/ETM
새로운	새롭/VA+ㄴ/ETM
고객들도	고객/NNG+들/XSN+도/JX
눈을	눈/NNG+을/JKO
돌리기	돌리/VV+기/ETN
시작했다”며	시작/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.19.4.2
사실상 국내 수입차 업체 선두 자리를 노리겠다는 것이다.

사실상	사실/NNG+상/XSN
국내	국내/NNG
수입차	수입차/NNG
업체	업체/NNG
선두	선두/NNG
자리를	자리/NNG+를/JKO
노리겠다는	노리/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.19.5.1
국내 수입차 업체 중 연간 3만 대 판매 실적을 올린 곳은 현재 BMW코리아가 유일하다.

국내	국내/NNG
수입차	수입차/NNG
업체	업체/NNG
중	중/NNB
연간	연간/NNG
3만	3/SN+만/NR
대	대/NNB
판매	판매/NNG
실적을	실적/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
현재	현재/MAG
BMW코리아가	BMW코리아/NNP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.19.5.2
BMW코리아는 지난해 3만3066대를 팔아 수입차 시장 점유율 1위 자리를 수 년째 지켰다.

BMW코리아는	BMW코리아/NNP+는/JX
지난해	지난해/NNG
3만3066대를	3/SN+만/NR+3066/SN+대/NNB+를/JKO
팔아	팔/VV+아/EC
수입차	수입차/NNG
시장	시장/NNG
점유율	점유/NNG+율/XSN
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
수	수/MMN
년째	년/NNB+째/XSN
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.19.5.3
폭스바겐코리아가 2만5649대를 팔아 2위를 차지했다.

폭스바겐코리아가	폭스바겐코리아/NNP+가/JKS
2만5649대를	2/SN+만/NR+5649/SN+대/NNB+를/JKO
팔아	팔/VV+아/EC
2위를	2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.19.5.4
메르세데스벤츠코리아는 2만4780대로 3위에 머물렀다.

메르세데스벤츠코리아는	메르세데스벤츠코리아/NNP+는/JX
2만4780대로	2/SN+만/NR+4780/SN+대/NNB+로/JKB
3위에	3/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.19.6.1
하지만 올해는 상황이 달라졌다.

하지만	하지만/MAJ
올해는	올해/NNG+는/JX
상황이	상황/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.19.6.2
폭스바겐코리아도 올해 3만 대 판매를 목표로 삼고 있지만 1∼5월 판매량은 메르세데스벤츠코리아가 추월했다.

폭스바겐코리아도	폭스바겐코리아/NNP+도/JX
올해	올해/NNG
3만	3/SN+만/NR
대	대/NNB
판매를	판매/NNG+를/JKO
목표로	목표/NNG+로/JKB
삼고	삼/VV+고/EC
있지만	있/VX+지만/EC
1∼5월	1/SN+∼/SO+5/SN+월/NNB
판매량은	판매량/NNG+은/JX
메르세데스벤츠코리아가	메르세데스벤츠코리아/NNP+가/JKS
추월했다.	추월/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.19.6.3
메르세데스벤츠코리아는 올해 초부터 5월 말까지 전년 동기보다 40.4% 늘어난 1만3735대를 팔아 1만6910대를 판 BMW코리아에 이어 2위다.

메르세데스벤츠코리아는	메르세데스벤츠코리아/NNP+는/JX
올해	올해/NNG
초부터	초/NNB+부터/JX
5월	5/SN+월/NNB
말까지	말/NNB+까지/JX
전년	전년/NNG
동기보다	동기/NNG+보다/JKB
40.4%	40/SN+./SP+4/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
1만3735대를	1/SN+만/NR+3735/SN+대/NNB+를/JKO
팔아	팔/VV+아/EC
1만6910대를	1/SN+만/NR+6910/SN+대/NNB+를/JKO
판	팔/VV+ㄴ/ETM
BMW코리아에	BMW코리아/NNP+에/JKB
이어	잇/VV+어/EC
2위다.	2/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.19.6.4
폭스바겐코리아는 같은 기간 판매량이 1만2358대에 그쳤다.

폭스바겐코리아는	폭스바겐코리아/NNP+는/JX
같은	같/VA+은/ETM
기간	기간/NNG
판매량이	판매량/NNG+이/JKS
1만2358대에	1/SN+만/NR+2358/SN+대/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.19.7.1
제에거 사장은 “1등을 하기 위해 경쟁을 하기보다는 고객 만족도를 높이는 데 주력할 것”이라면서도 “(벤츠 모델에 대한) 반응이 매우 좋아 추가로 물량을 확보하는 만큼 판매량 성장도 가능할 것”이라고 강조했다.

제에거	제에거/NNP
사장은	사장/NNG+은/JX
“1등을	“/SS+1/SN+등/NNB+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
경쟁을	경쟁/NNG+을/JKO
하기보다는	하/VV+기/ETN+보다/JKB+는/JX
고객	고객/NNG
만족도를	만족도/NNG+를/JKO
높이는	높이/VV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“(벤츠	“/SS+(/SS+벤츠/NNP
모델에	모델/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
반응이	반응/NNG+이/JKS
매우	매우/MAG
좋아	좋/VA+아/EC
추가로	추가/NNG+로/JKB
물량을	물량/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
만큼	만큼/NNB
판매량	판매량/NNG
성장도	성장/NNG+도/JX
가능할	가능/NNG+하/XSA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.19.8.1
이를 위해 메르세데스벤츠코리아는 올해 하반기(7∼12월) ‘GLA 클래스’와 ‘S 클래스 쿠페’ 등을 선보일 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
메르세데스벤츠코리아는	메르세데스벤츠코리아/NNP+는/JX
올해	올해/NNG
하반기(7∼12월)	하반기/NNG+(/SS+7/SN+∼/SO+12/SN+월/NNB+)/SS
‘GLA	‘/SS+GLA/SL
클래스’와	클래스/NNP+’/SS+와/JC
‘S	‘/SS+S/SL
클래스	클래스/NNP
쿠페’	쿠페/NNP+’/SS
등을	등/NNB+을/JKO
선보일	선보이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.19.8.2
GLA 클래스는 소형 스포츠유틸리티차량(SUV)으로 현재 유럽에서 인기를 얻고 있다.

GLA	GLA/SL
클래스는	클래스/NNP+는/JX
소형	소형/NNG
스포츠유틸리티차량(SUV)으로	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+으로/JKB
현재	현재/MAG
유럽에서	유럽/NNP+에서/JKB
인기를	인기/NNG+를/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.19.9.1
제에거 사장은 수입차 부품 가격 논란에 관한 의견도 내놨다.

제에거	제에거/NNP
사장은	사장/NNG+은/JX
수입차	수입차/NNG
부품	부품/NNG
가격	가격/NNG
논란에	논란/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
의견도	의견/NNG+도/JX
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.19.9.2
그는 “애프터서비스(AS)에서 가장 중요한 사항은 한국 고객에게 가장 잘 맞는 서비스를 제공하는 것”이라면서도 “부품 가격 인하도 한 방법이 될 수 있겠지만 고객에게 제공하는 서비스 품질이나 조건도 함께 고려할 필요가 있다”고 말했다.

그는	그/NP+는/JX
“애프터서비스(AS)에서	“/SS+애프터서비스/NNG+(/SS+AS/SL+)/SS+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
사항은	사항/NNG+은/JX
한국	한국/NNP
고객에게	고객/NNG+에게/JKB
잘	잘/MAG
맞는	맞/VV+는/ETM
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“부품	“/SS+부품/NNG
가격	가격/NNG
인하도	인하/NNG+도/JX
한	한/MMN
방법이	방법/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있겠지만	있/VA+겠/EP+지만/EC
서비스	서비스/NNG
품질이나	품질/NNG+이나/JC
조건도	조건/NNG+도/JX
함께	함께/MAG
고려할	고려/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


