# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.312
metadata : {}


# id : NWRW1800000046.312.1.1
[연말정산 보완 대책] 전문가들은 "미봉책"

[연말정산	[/SS+연말/NNG+정산/NNG
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.312.5.1
세수(稅收) 감소도 불가피할 전망이다.

세수(稅收)	세수/NNG+(/SS+稅收/SH+)/SS
감소도	감소/NNG+도/JX
불가피할	불가피하/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.312.5.2
작년에 경기 침체로 11조원 이상의 세수 결손이 발생할 전망이다.

작년에	작년/NNG+에/JKB
경기	경기/NNG
침체로	침체/NNG+로/JKB
11조원	11/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
세수	세수/NNG
결손이	결손/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.312.5.3
정부는 당초 세액공제 전환에 따라 9300억원의 재원을 확보하고, 여기에 별도 재원을 더해 1조4000억원 규모의 자녀장려금과 근로장려금 신규 증가분을 메울 계획이었다.

정부는	정부/NNG+는/JX
당초	당초/NNG
세액공제	세액/NNG+공제/NNG
전환에	전환/NNG+에/JKB
따라	따르/VV+아/EC
9300억원의	9300/SN+억/NR+원/NNB+의/JKG
재원을	재원/NNG+을/JKO
확보하고,	확보/NNG+하/XSV+고/EC+,/SP
여기에	여기/NP+에/JKB
별도	별도/NNG
더해	더/MAG+하/XSV+아/EC
1조4000억원	1/SN+조/NR+4000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
자녀장려금과	자녀/NNG+장려금/NNG+과/JC
근로장려금	근로/NNG+장려금/NNG
신규	신규/NNG
증가분을	증가/NNG+분/XSN+을/JKO
메울	메우/VV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.312.6.1
그러나 이번에 깎아주기로 한 세금만큼 또 다른 재원에서 충당할 수밖에 없다.

그러나	그러나/MAJ
이번에	이번/NNG+에/JKB
깎아주기로	깎/VV+아/EC+주/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
세금만큼	세금/NNG+만큼/JKB
또	또/MAG
다른	다른/MMD
재원에서	재원/NNG+에서/JKB
충당할	충당/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.312.6.2
김종석 홍익대 교수는 "결국은 무상 복지를 줄이든지 세 부담을 늘릴 수밖에 없다"며 "근본적인 문제를 논의하지 않은 이번 대책이 미봉책에 불과하다"고 말했다.

김종석	김종석/NNP
홍익대	홍익대/NNP
교수는	교수/NNG+는/JX
"결국은	"/SS+결국/NNG+은/JX
무상	무상/NNG
복지를	복지/NNG+를/JKO
줄이든지	줄이/VV+든지/EC
세	세/NNG
부담을	부담/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"근본적인	"/SS+근본/NNG+적/XSN+이/VCP+ㄴ/ETM
문제를	문제/NNG+를/JKO
논의하지	논의/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
이번	이번/NNG
대책이	대책/NNG+이/JKS
미봉책에	미봉책/NNG+에/JKB
불과하다"고	불과/MAG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.312.7.1
또 출산·연금 부문과 독신 근로자에게 세금을 깎아주기로 하면서 형평성 문제도 생긴다.

또	또/MAG
출산·연금	출산/NNG+·/SP+연금/NNG
부문과	부문/NNG+과/JC
독신	독신/NNG
근로자에게	근로자/NNG+에게/JKB
세금을	세금/NNG+을/JKO
깎아주기로	깎/VV+아/EC+주/VX+기/ETN+로/JKB
하면서	하/VV+면서/EC
형평성	형평/NNG+성/XSN
문제도	문제/NNG+도/JX
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.312.7.2
이번에 혜택에서 제외된 계층은 "왜 우리만 많이 부담시키느냐"는 불만이 생길 수 있다.

이번에	이번/NNG+에/JKB
혜택에서	혜택/NNG+에서/JKB
제외된	제외/NNG+되/XSV+ㄴ/ETM
계층은	계층/NNG+은/JX
"왜	"/SS+왜/MAG
우리만	우리/NP+만/JX
많이	많이/MAG
부담시키느냐"는	부담/NNG+시키/XSV+느냐/EF+"/SS+는/ETM
불만이	불만/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.312.7.3
윤태화 가천대 교수(회계·세무학과)는 "의료비와 교육비의 경우 가정에 따라 100만원 안팎까지 세 부담이 늘어난 경우가 있어서 중산층의 불만이 쉽게 가라앉지 않을 것"이라고 했다.

윤태화	윤태화/NNP
가천대	가천대/NNP
교수(회계·세무학과)는	교수/NNG+(/SS+회계/NNG+·/SP+세무학과/NNG+)/SS+는/JX
"의료비와	"/SS+의료비/NNG+와/JC
교육비의	교육비/NNG+의/JKG
경우	경우/NNG
가정에	가정/NNG+에/JKB
따라	따르/VV+아/EC
100만원	100/SN+만/NR+원/NNB
안팎까지	안팎/NNG+까지/JX
세	세/NNG
부담이	부담/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
있어서	있/VA+어서/EC
중산층의	중산/NNG+층/XSN+의/JKG
불만이	불만/NNG+이/JKS
쉽게	쉽/VA+게/EC
가라앉지	가라앉/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.312.8.1
정부 관계자는 "정부와 정치권이 잘못한 점이 있다는 지적은 100% 받아들인다"면서 "하지만 국민도 문제가 있다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"정부와	"/SS+정부/NNG+와/JC
정치권이	정치/NNG+권/XSN+이/JKS
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
있다는	있/VA+다는/ETM
지적은	지적/NNG+은/JX
100%	100/SN+%/SW
받아들인다"면서	받아들이/VV+ㄴ다/EF+"/SS+면서/EC
"하지만	"/SS+하지만/MAJ
국민도	국민/NNG+도/JX
문제가	문제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.312.8.2
세법이 개정돼 공표되고 1년이 지나서 '그게 그런 뜻이냐.

세법이	세법/NNG+이/JKS
개정돼	개정/NNG+되/XSV+어/EC
공표되고	공표/NNG+되/XSV+고/EC
1년이	1/SN+년/NNB+이/JKS
지나서	지나/VV+아서/EC
'그게	'/SS+그거/NP+이/JKS
그런	그런/MMD
뜻이냐.	뜻/NNG+이/VCP+냐/EF+./SF


# id : NWRW1800000046.312.8.3
나한테 불리하다'면서 반발하는 것은 문제가 있다"고 말했다.

나한테	나/NP+한테/JKB
불리하다'면서	불리/NNG+하/XSA+다/EF+'/SS+면서/EC
반발하는	반발/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


