# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.216
metadata : {}


# id : NWRW1800000038.216.1.1
"쪽방촌 기적에 감동, 저도 돕고싶어요" 요셉의원에 신규 후원자 신청 줄 이어

"쪽방촌	"/SS+쪽방촌/NNG
"세상 떠날 때 자식들한테 차곡차곡 모은 후원금 영수증을 물려주면 할머니가 어떻게 살다 갔는지 알지 않겠느냐고 했던 할머니의 이야기가 감명 깊었다"며 "나도 따라 하려 한다"고 했다.

"세상	"/SS+세상/NNG
떠날	떠나/VV+ㄹ/ETM
때	때/NNG
자식들한테	자식/NNG+들/XSN+한테/JKB
차곡차곡	차곡차곡/MAG
모은	모으/VV+ㄴ/ETM
후원금	후원금/NNG
영수증을	영수증/NNG+을/JKO
물려주면	물려주/VV+면/EC
할머니가	할머니/NNG+가/JKS
어떻게	어떻/VA+게/EC
살다	살/VV+다/EC
갔는지	가/VV+았/EP+는지/EF
알지	알/VV+지/EC
않겠느냐고	않/VX+겠/EP+느냐고/EC
했던	하/VV+았/EP+던/ETM
할머니의	할머니/NNG+의/JKG
이야기가	이야기/NNG+가/JKS
감명	감명/NNG
깊었다"며	깊/VA+었/EP+다/EF+"/SS+며/EC
"나도	"/SS+나/NP+도/JX
따라	따르/VV+아/EC
하려	하/VV+려/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.3.1
요셉의원 후원자들에 대한 보도〈본지 23일자 A1면 참조〉가 나간 후 병원엔 쉴 새 없이 전화벨이 울렸다.

요셉의원	요셉의원/NNP
후원자들에	후원자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
보도〈본지	보도/NNG+〈/SS+본지/NNG
23일자	23/SN+일/NNB+자/NNG
A1면	A/SL+1/SN+면/NNG
참조〉가	참조/NNG+〉/SS+가/JKS
나간	나가/VV+ㄴ/ETM
후	후/NNG
병원엔	병원/NNG+에/JKB+ㄴ/JX
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
전화벨이	전화벨/NNG+이/JKS
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.216.3.2
이틀 동안 새로운 후원자가 50여명 탄생했다.

이틀	이틀/NNG
동안	동안/NNG
새로운	새롭/VA+ㄴ/ETM
후원자가	후원자/NNG+가/JKS
50여명	50/SN+여/XSN+명/NNB
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.3.3
이전엔 하루에 많아야 한두 명이었다.

이전엔	이전/NNG+에/JKB+ㄴ/JX
하루에	하루/NNG+에/JKB
많아야	많/VA+아야/EC
한두	한두/MMN
명이었다.	명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.216.3.4
후원자 신청을 받는 자원봉사자 윤희문(77)씨는 "야근해본 게 얼마 만인지 모르겠다"며 웃었다.

후원자	후원자/NNG
신청을	신청/NNG+을/JKO
받는	받/VV+는/ETM
자원봉사자	자원봉사자/NNG
윤희문(77)씨는	윤희문/NNP+(/SS+77/SN+)/SS+씨/NNB+는/JX
"야근해본	"/SS+야근/NNG+하/XSV+아/EC+보/VX+ㄴ/ETM
게	거/NNB+이/JKS
얼마	얼마/NNG
만인지	만/NNB+이/VCP+ㄴ지/EC
모르겠다"며	모르/VV+겠/EP+다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.216.4.1
경북 포항에 사는 한 여성 후원자는 '돈 대신 물건을 보내도 되느냐'며 300여명 분량의 과일을 부쳤다.

경북	경북/NNP
포항에	포항/NNP+에/JKB
사는	살/VV+는/ETM
한	한/MMN
여성	여성/NNG
후원자는	후원자/NNG+는/JX
'돈	'/SS+돈/NNG
대신	대신/NNG
물건을	물건/NNG+을/JKO
보내도	보내/VV+어도/EC
되느냐'며	되/VV+느냐/EF+'/SS+며/EC
300여명	300/SN+여/XSN+명/NNB
분량의	분량/NNG+의/JKG
과일을	과일/NNG+을/JKO
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.216.4.2
요셉의원은 목요일 무료 점심 급식 때 이 과일을 나눠줄 예정이다.

요셉의원은	요셉의원/NNP+은/JX
목요일	목요일/NNG
무료	무료/NNG
점심	점심/NNG
급식	급식/NNG
때	때/NNG
이	이/MMD
과일을	과일/NNG+을/JKO
나눠줄	나누/VV+어/EC+주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.216.4.3
정년퇴직이 얼마 남지 않았다는 한 후원자는 이메일로 후원 신청을 하며 '정년까지 매달 후원금을 낼 수 있게 자동이체 신청을 했습니다.

정년퇴직이	정년퇴직/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
한	한/MMN
후원자는	후원자/NNG+는/JX
이메일로	이메일/NNG+로/JKB
후원	후원/NNG
신청을	신청/NNG+을/JKO
하며	하/VV+며/EC
'정년까지	'/SS+정년/NNG+까지/JX
매달	매달/MAG
후원금을	후원금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
자동이체	자동/NNG+이체/NNG
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000038.216.4.4
기분이 참 좋네요'라고 했다.

기분이	기분/NNG+이/JKS
참	참/MAG
좋네요'라고	좋/VA+네요/EF+'/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.4.5
세 아이의 아버지라고 밝힌 또 다른 후원자는 '아이들과 함께하고픈 마음에 3만원씩 후원하고 싶습니다'라고 썼다.

세	세/MMN
아이의	아이/NNG+의/JKG
아버지라고	아버지/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
후원자는	후원자/NNG+는/JX
'아이들과	'/SS+아이/NNG+들/XSN+과/JKB
함께하고픈	함께/MAG+하/XSV+고/EC+프/VX+ㄴ/ETM
마음에	마음/NNG+에/JKB
3만원씩	3/SN+만/NR+원/NNB+씩/XSN
후원하고	후원/NNG+하/XSV+고/EC
싶습니다'라고	싶/VX+습니다/EF+'/SS+라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.216.4.6
일산에 사는 한 할아버지는 외손자 이름과 10만원을 들고 요셉의원을 찾았다.

일산에	일산/NNP+에/JKB
사는	살/VV+는/ETM
한	한/MMN
할아버지는	할아버지/NNG+는/JX
외손자	외손자/NNG
이름과	이름/NNG+과/JC
10만원을	10/SN+만/NR+원/NNB+을/JKO
들고	들/VV+고/EC
요셉의원을	요셉의원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.5.1
한동안 후원이 끊겼던 '쉬는 후원자' 중 다시 후원을 시작한 사람들도 있다.

한동안	한/XPN+동안/NNG
후원이	후원/NNG+이/JKS
끊겼던	끊기/VV+었/EP+던/ETM
'쉬는	'/SS+쉬/VV+는/ETM
후원자'	후원자/NNG+'/SS
중	중/NNB
다시	다시/MAG
후원을	후원/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.216.5.2
한 후원자는 '바쁘다는 핑계로 중요한 할 일을 잊고 살았다는 걸 깨닫게 됐다'는 메시지를 남겼다.

한	한/MMN
후원자는	후원자/NNG+는/JX
'바쁘다는	'/SS+바쁘/VA+다는/ETM
핑계로	핑계/NNG+로/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
할	하/VV+ㄹ/ETM
일을	일/NNG+을/JKO
잊고	잊/VV+고/EC
살았다는	살/VV+았/EP+다는/ETM
걸	거/NNB+ㄹ/JKO
깨닫게	깨닫/VV+게/EC
됐다'는	되/VV+었/EP+다/EF+'/SS+는/ETM
메시지를	메시지/NNG+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.216.6.1
요셉의원에서 직접 자원봉사를 하고 싶다는 문의도 오고 있다.

요셉의원에서	요셉의원/NNP+에서/JKB
직접	직접/MAG
자원봉사를	자원봉사/NNG+를/JKO
하고	하/VV+고/EC
싶다는	싶/VX+다는/ETM
문의도	문의/NNG+도/JX
오고	오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.216.6.2
자원봉사를 신청한 변재영(29)씨는 "회사에 다니고 있지만 일주일에 한 번이라도 짬을 내서 꼭 봉사활동을 하고 싶다"고 말했다.

자원봉사를	자원봉사/NNG+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
변재영(29)씨는	변재영/NNP+(/SS+29/SN+)/SS+씨/NNB+는/JX
"회사에	"/SS+회사/NNG+에/JKB
다니고	다니/VV+고/EC
있지만	있/VX+지만/EC
일주일에	일주일/NNG+에/JKB
한	한/MMN
번이라도	번/NNB+이/VCP+라도/EC
짬을	짬/NNG+을/JKO
내서	내/VV+어서/EC
꼭	꼭/MAG
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.6.3
현재 요셉의원엔 의료진 170여명을 포함해 자원봉사자가 연간 1500여명 활동하고 있다.

현재	현재/MAG
요셉의원엔	요셉의원/NNP+에/JKB+ㄴ/JX
의료진	의료진/NNG
170여명을	170/SN+여/XSN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
자원봉사자가	자원봉사자/NNG+가/JKS
연간	연간/NNG
1500여명	1500/SN+여/XSN+명/NNB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.216.6.4
의료진을 대표하는 신완식(63) 의무원장은 2009년 정년이 6년이나 남은 가톨릭대 의대 교수 자리를 떠나 요셉의원에서 상근(常勤)하고 있다.

의료진을	의료진/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
신완식(63)	신완식/NNP+(/SS+63/SN+)/SS
의무원장은	의무원장/NNG+은/JX
2009년	2009/SN+년/NNB
정년이	정년/NNG+이/JKS
6년이나	6/SN+년/NNB+이나/JX
남은	남/VV+은/ETM
가톨릭대	가톨릭대/NNP
의대	의대/NNG
교수	교수/NNG
자리를	자리/NNG+를/JKO
떠나	떠나/VV+아/EC
요셉의원에서	요셉의원/NNP+에서/JKB
상근(常勤)하고	상근/NNG+(/SS+常勤/SH+)/SS+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.216.6.5
신 원장은 "교수 자리를 그만두기로 결정한 후 정진석 추기경님을 만났더니 '부인이 (조기퇴직을) 섭섭해하실 수도 있는데 허락은 받았느냐'고 묻더라"며 "속으로 '아차' 싶어서 요셉의원에 온 후로 병원에도 가정에도 더 잘하려고 노력한다.

신	신/NNP
원장은	원장/NNG+은/JX
"교수	"/SS+교수/NNG
자리를	자리/NNG+를/JKO
그만두기로	그만두/VV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
후	후/NNG
정진석	정진석/NNP
추기경님을	추기경/NNG+님/XSN+을/JKO
만났더니	만나/VV+았/EP+더니/EC
'부인이	'/SS+부인/NNG+이/JKS
(조기퇴직을)	(/SS+조기/NNG+퇴직/NNG+을/JKO+)/SS
섭섭해하실	섭섭하/VA+아/EC+하/VX+시/EP+ㄹ/ETM
수도	수/NNB+도/JX
있는데	있/VA+는데/EC
허락은	허락/NNG+은/JX
받았느냐'고	받/VV+았/EP+느냐/EF+'/SS+고/JKQ
묻더라"며	묻/VV+더라/EF+"/SS+며/EC
"속으로	"/SS+속/NNG+으로/JKB
'아차'	'/SS+아차/IC+'/SS
싶어서	싶/VX+어서/EC
요셉의원에	요셉의원/NNP+에/JKB
온	오/VV+ㄴ/ETM
후로	후/NNG+로/JKB
병원에도	병원/NNG+에/JKB+도/JX
가정에도	가정/NNG+에/JKB+도/JX
더	더/MAG
잘하려고	잘/MAG+하/XSV+려고/EC
노력한다.	노력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.216.6.6
결과적으로 예전보다 더 행복하게 사는 것 같다"고 말했다.

결과적으로	결과/NNG+적/XSN+으로/JKB
예전보다	예전/NNG+보다/JKB
더	더/MAG
행복하게	행복/NNG+하/XSA+게/EC
사는	살/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.6.7
요셉의원 후원 문의 (02)2636-2476

요셉의원	요셉의원/NNP
후원	후원/NNG
문의	문의/NNG
(02)2636-2476	(/SS+02/SN+)/SS+2636/SN+-/SO+2476/SN


