# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.426
metadata : {}


# id : NWRW1800000028.426.1.1
눈부신 백설에 눈 다칠라…보호안경 쓰세요

눈부신	눈부시/VA+ㄴ/ETM
눈	눈/NNG
건강을	건강/NNG+을/JKO
지키는	지키/VV+는/ETM
방법에	방법/NNG+에/JKB
대해	대하/VV+아/EC
알아본다.	알아보/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.426.2.5
■ 스키장에서 자외선 막아야 햇볕이 다른 계절에 견줘 상대적으로 약한 겨울철이지만 스키장에서의 자외선은 그렇지 않다.

■	■/SW
스키장에서	스키장/NNG+에서/JKB
자외선	자외선/NNG
막아야	막/VV+아야/EC
햇볕이	햇볕/NNG+이/JKS
다른	다른/MMD
계절에	계절/NNG+에/JKB
견줘	견주/VV+어/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
약한	약하/VA+ㄴ/ETM
겨울철이지만	겨울철/NNG+이/VCP+지만/EC
스키장에서의	스키장/NNG+에서/JKB+의/JKG
자외선은	자외선/NNG+은/JX
그렇지	그렇/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.426.2.6
보통 스키장에서는 도시에서 햇볕을 통해 받는 자외선보다 2배 정도 강하게 쬐게 돼, 한여름 백사장에서보다도 더 많은 자외선을 받게 된다.

보통	보통/MAG
스키장에서는	스키장/NNG+에서/JKB+는/JX
도시에서	도시/NNG+에서/JKB
햇볕을	햇볕/NNG+을/JKO
통해	통하/VV+아/EC
받는	받/VV+는/ETM
자외선보다	자외선/NNG+보다/JKB
2배	2/SN+배/NNG
정도	정도/NNG
강하게	강하/VA+게/EC
쬐게	쬐/VV+게/EC
돼,	되/VV+어/EC+,/SP
한여름	한/XPN+여름/NNG
백사장에서보다도	백사장/NNG+에서/JKB+보다/JKB+도/JX
더	더/MAG
많은	많/VA+은/ETM
자외선을	자외선/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.426.2.7
쌓인 눈에 반사된 햇볕이 우리 눈으로 오기 때문이다.

쌓인	쌓이/VV+ㄴ/ETM
눈에	눈/NNG+에/JKB
반사된	반사/NNG+되/XSV+ㄴ/ETM
햇볕이	햇볕/NNG+이/JKS
우리	우리/NP
눈으로	눈/NNG+으로/JKB
오기	오/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.2.8
이 때문에 보호안경 없이 스키를 타다 보면 쉽게 눈이 부시고 따갑게 느껴진다.

이	이/MMD
때문에	때문/NNB+에/JKB
보호안경	보호안경/NNG
없이	없이/MAG
스키를	스키/NNG+를/JKO
타다	타/VV+다/EC
보면	보/VX+면/EC
쉽게	쉽/VA+게/EC
눈이	눈/NNG+이/JKS
부시고	부시/VA+고/EC
따갑게	따갑/VA+게/EC
느껴진다.	느끼/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.2.9
햇볕이 강한 맑은 날에는 이런 증상은 더 심해진다.

햇볕이	햇볕/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
맑은	맑/VA+은/ETM
날에는	날/NNG+에/JKB+는/JX
이런	이런/MMD
증상은	증상/NNG+은/JX
더	더/MAG
심해진다.	심하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.2.10
이른바 눈 화상이라 부르는 ‘광각막염’에 걸린 것으로 볼 수 있는데, 눈물이 과다하게 흐르거나 눈의 피로감이 나타나기도 한다.

이른바	이른바/MAG
눈	눈/NNG
화상이라	화상/NNG+이/VCP+라/EC
부르는	부르/VV+는/ETM
‘광각막염’에	‘/SS+광각막염/NNG+’/SS+에/JKB
걸린	걸리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
눈물이	눈물/NNG+이/JKS
과다하게	과다/NNG+하/XSA+게/EC
흐르거나	흐르/VV+거나/EC
눈의	눈/NNG+의/JKG
피로감이	피로감/NNG+이/JKS
나타나기도	나타나/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.3.1
더 큰 문제는 노년에 여러 가지 눈 질환의 발생 위험을 높이는 등 눈의 건강을 해칠 수 있다는 점이다.

더	더/MAG
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
노년에	노년/NNG+에/JKB
여러	여러/MMN
가지	가지/NNB
눈	눈/NNG
질환의	질환/NNG+의/JKG
발생	발생/NNG
위험을	위험/NNG+을/JKO
높이는	높이/VV+는/ETM
등	등/NNB
눈의	눈/NNG+의/JKG
건강을	건강/NNG+을/JKO
해칠	해치/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.3.2
예를 들면 강한 자외선은 눈의 흰자위 조직이 자라나 각막까지 침범하게 되는 익상편이나 흰자위에 하얗거나 노란색의 결정이 생기는 검열반의 발생 가능성을 높인다.

예를	예/NNG+를/JKO
들면	들/VV+면/EC
강한	강하/VA+ㄴ/ETM
자외선은	자외선/NNG+은/JX
눈의	눈/NNG+의/JKG
흰자위	흰자위/NNG
조직이	조직/NNG+이/JKS
자라나	자라나/VV+아/EC
각막까지	각막/NNG+까지/JX
침범하게	침범/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
익상편이나	익상편/NNG+이나/JC
흰자위에	흰자위/NNG+에/JKB
하얗거나	하얗/VA+거나/EC
노란색의	노란색/NNG+의/JKG
결정이	결정/NNG+이/JKS
생기는	생기/VV+는/ETM
검열반의	검열반/NNG+의/JKG
발생	발생/NNG
가능성을	가능/NNG+성/XSN+을/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.426.3.3
또 자외선을 많이 쬐는 습관은 노인 실명의 주된 원인인 황반변성이나 백내장에 걸릴 가능성도 높인다.

또	또/MAG
자외선을	자외선/NNG+을/JKO
많이	많이/MAG
쬐는	쬐/VV+는/ETM
습관은	습관/NNG+은/JX
노인	노인/NNG
실명의	실명/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
원인인	원인/NNG+이/VCP+ㄴ/ETM
황반변성이나	황반/NNG+변성/NNG+이나/JC
백내장에	백내장/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.426.4.1
이 때문에 스키장에서 강한 자외선으로부터 눈을 보호하기 위해서는 보호안경 즉, 고글의 착용이 필수다.

이	이/MMD
때문에	때문/NNB+에/JKB
스키장에서	스키장/NNG+에서/JKB
강한	강하/VA+ㄴ/ETM
자외선으로부터	자외선/NNG+으로부터/JKB
눈을	눈/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
보호안경	보호안경/NNG
즉,	즉/MAG+,/SP
고글의	고글/NNG+의/JKG
착용이	착용/NNG+이/JKS
필수다.	필수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.4.2
흐린 날에는 햇빛이 없다고 안심하는 이들이 있으나, 흐린 날에도 자외선이 구름을 뚫고 일정 부분 전달되므로 역시 보호안경을 쓰는 것이 바람직하다.

흐린	흐리/VA+ㄴ/ETM
날에는	날/NNG+에/JKB+는/JX
햇빛이	햇빛/NNG+이/JKS
없다고	없/VA+다고/EC
안심하는	안심/NNG+하/XSV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
있으나,	있/VA+으나/EC+,/SP
날에도	날/NNG+에/JKB+도/JX
자외선이	자외선/NNG+이/JKS
구름을	구름/NNG+을/JKO
뚫고	뚫/VV+고/EC
일정	일정/NNG
부분	부분/NNG
전달되므로	전달/NNG+되/XSV+므로/EC
역시	역시/MAG
보호안경을	보호안경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다.	바람직하/VA+다/EF+./SF


# id : NWRW1800000028.426.4.3
이렇게 보호안경을 쓰면 눈 주위의 피부에 닿는 자외선 양을 줄이고 건조한 바람도 막아, 눈가의 주름 예방에도 도움이 된다.

이렇게	이렇/VA+게/EC
보호안경을	보호안경/NNG+을/JKO
쓰면	쓰/VV+면/EC
눈	눈/NNG
주위의	주위/NNG+의/JKG
피부에	피부/NNG+에/JKB
닿는	닿/VV+는/ETM
자외선	자외선/NNG
양을	양/NNG+을/JKO
줄이고	줄이/VV+고/EC
건조한	건조/NNG+하/XSA+ㄴ/ETM
바람도	바람/NNG+도/JX
막아,	막/VV+아/EC+,/SP
눈가의	눈가/NNG+의/JKG
주름	주름/NNG
예방에도	예방/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.426.5.1
만약 보호안경을 쓰지 않고 스키 등을 즐긴 뒤 혹시라도 눈이 충혈되고 아픈 증상이 있다면, 우선 손으로 눈을 비비지 않도록 주의하고, 혹 눈의 각막에 작은 상처 등이 생긴 각막미란이 생겼을 가능성이 있으므로 안과를 방문해 진료를 받는 것이 좋다.

만약	만약/MAG
보호안경을	보호안경/NNG+을/JKO
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
스키	스키/NNG
등을	등/NNB+을/JKO
즐긴	즐기/VV+ㄴ/ETM
뒤	뒤/NNG
혹시라도	혹시/MAG+이/VCP+라도/EC
눈이	눈/NNG+이/JKS
충혈되고	충혈/NNG+되/XSV+고/EC
아픈	아프/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
있다면,	있/VA+다면/EC+,/SP
우선	우선/MAG
손으로	손/NNG+으로/JKB
눈을	눈/NNG+을/JKO
비비지	비비/VV+지/EC
않도록	않/VX+도록/EC
주의하고,	주의/NNG+하/XSV+고/EC+,/SP
혹	혹/MAG
눈의	눈/NNG+의/JKG
각막에	각막/NNG+에/JKB
작은	작/VA+은/ETM
상처	상처/NNG
등이	등/NNB+이/JKS
생긴	생기/VV+ㄴ/ETM
각막미란이	각막/NNG+미란/NNG+이/JKS
생겼을	생기/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있으므로	있/VA+으므로/EC
안과를	안과/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
진료를	진료/NNG+를/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.426.5.2
■ 눈의 외상도 드물지 않아 스키나 스노보드를 즐기면서 주변의 다른 사람들과 충돌하면 뼈나 근육의 부상을 입을 수 있음은 잘 알려져 있다.

■	■/SW
눈의	눈/NNG+의/JKG
외상도	외상/NNG+도/JX
드물지	드물/VA+지/EC
않아	않/VX+아/EC
스키나	스키/NNG+나/JC
스노보드를	스노보드/NNG+를/JKO
즐기면서	즐기/VV+면서/EC
주변의	주변/NNG+의/JKG
다른	다른/MMD
사람들과	사람/NNG+들/XSN+과/JKB
충돌하면	충돌/NNG+하/XSV+면/EC
뼈나	뼈/NNG+나/JC
근육의	근육/NNG+의/JKG
부상을	부상/NNG+을/JKO
입을	입/VV+을/ETM
수	수/NNB
있음은	있/VA+음/ETN+은/JX
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.426.5.3
이런 부상과 함께 스키나 폴, 스노보드에 직접 부딪혀 눈을 다치는 외상도 드물지 않다는 사실에 유의해야 한다.

이런	이런/MMD
부상과	부상/NNG+과/JKB
함께	함께/MAG
스키나	스키/NNG+나/JC
폴,	폴/NNG+,/SP
스노보드에	스노보드/NNG+에/JKB
직접	직접/MAG
부딪혀	부딪히/VV+어/EC
눈을	눈/NNG+을/JKO
다치는	다치/VV+는/ETM
외상도	외상/NNG+도/JX
드물지	드물/VA+지/EC
않다는	않/VX+다는/ETM
사실에	사실/NNG+에/JKB
유의해야	유의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.6.1
특히 폴에 눈을 찔려 각막에 부상을 입으면 드물게 실명까지 이르는 등 시력에도 악영향을 끼칠 수 있다.

특히	특히/MAG
폴에	폴/NNG+에/JKB
눈을	눈/NNG+을/JKO
찔려	찔리/VV+어/EC
각막에	각막/NNG+에/JKB
부상을	부상/NNG+을/JKO
입으면	입/VV+으면/EC
드물게	드물/VA+게/EC
실명까지	실명/NNG+까지/JX
이르는	이르/VV+는/ETM
등	등/NNB
시력에도	시력/NNG+에/JKB+도/JX
악영향을	악영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.426.6.2
이런 눈 부상을 줄이기 위해서는 우선 스키의 폴을 다루는 데 주의해야 한다.

이런	이런/MMD
눈	눈/NNG
부상을	부상/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
우선	우선/MAG
스키의	스키/NNG+의/JKG
폴을	폴/NNG+을/JKO
다루는	다루/VV+는/ETM
데	데/NNB
주의해야	주의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.6.3
다른 사람의 눈을 찌를 수 있는 끝이 뾰족한 폴은 사용하지 않도록 하고, 스키를 탈 때 폴은 가능한 한 높이 들지 않도록 해야 한다.

다른	다른/MMD
사람의	사람/NNG+의/JKG
눈을	눈/NNG+을/JKO
찌를	찌르/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
끝이	끝/NNG+이/JKS
뾰족한	뾰족/MAG+하/XSA+ㄴ/ETM
폴은	폴/NNG+은/JX
사용하지	사용/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
하고,	하/VX+고/EC+,/SP
스키를	스키/NNG+를/JKO
탈	타/VV+ㄹ/ETM
때	때/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
높이	높이/MAG
들지	들/VV+지/EC
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.6.4
또 자신의 폴이 어디를 향하는지에 대해서도 항상 신경 써야 한다.

또	또/MAG
자신의	자신/NNG+의/JKG
폴이	폴/NNG+이/JKS
어디를	어디/NP+를/JKO
향하는지에	향하/VV+는지/EC+에/JKB
대해서도	대하/VV+아서/EC+도/JX
항상	항상/MAG
신경	신경/NNG
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.426.7.1
눈을 보호하는 안경 역시 필수다.

눈을	눈/NNG+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
안경	안경/NNG
역시	역시/MAG
필수다.	필수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.7.2
다른 사람과 부딪히면 쉽게 떨어져 나가는 선글라스보다는 위, 아래, 옆이 다 막힌 스포츠용 보호안경이 가장 좋다.

다른	다른/MMD
사람과	사람/NNG+과/JKB
부딪히면	부딪히/VV+면/EC
쉽게	쉽/VA+게/EC
떨어져	떨어지/VV+어/EC
나가는	나가/VX+는/ETM
선글라스보다는	선글라스/NNG+보다/JKB+는/JX
위,	위/NNG+,/SP
아래,	아래/NNG+,/SP
옆이	옆/NNG+이/JKS
다	다/MAG
막힌	막히/VV+ㄴ/ETM
스포츠용	스포츠/NNG+용/XSN
보호안경이	보호안경/NNG+이/JKS
가장	가장/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.426.7.3
이런 안경이면 눈으로 들어오는 바람도 막아 눈이 건조해지는 것도 예방할 수 있다.

이런	이런/MMD
안경이면	안경/NNG+이/VCP+면/EC
눈으로	눈/NNG+으로/JKB
들어오는	들어오/VV+는/ETM
바람도	바람/NNG+도/JX
막아	막/VV+아/EC
눈이	눈/NNG+이/JKS
건조해지는	건조/NNG+하/XSA+아/EC+지/VX+는/ETM
것도	것/NNB+도/JX
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.426.7.4
물론 렌즈는 폴에 맞아도 쉽게 깨지지 않을 정도로 충격에 강한 것을 선택해야 한다.

물론	물론/MAG
렌즈는	렌즈/NNG+는/JX
폴에	폴/NNG+에/JKB
맞아도	맞/VV+아도/EC
쉽게	쉽/VA+게/EC
깨지지	깨지/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
충격에	충격/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
것을	것/NNB+을/JKO
선택해야	선택/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


