# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.113
metadata : {}


# id : NWRW1800000048.113.1.1
FIFA 전 집행위원 “프랑스·남아공때 돈받았다”

FIFA	FIFA/SL
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.8.3
또 블레이저는 “1993년께부터 2000년께까지 나와 다른 사람들은 (북중미지역 축구대회인) 골드컵 개최지 선정 및 중계권과 관련해 뇌물을 받았다”고도 실토했다.

또	또/MAG
블레이저는	블레이저/NNP+는/JX
“1993년께부터	“/SS+1993/SN+년/NNB+께/XSN+부터/JX
2000년께까지	2000/SN+년/NNB+께/XSN+까지/JX
나와	나/NP+와/JC
다른	다른/MMD
사람들은	사람/NNG+들/XSN+은/JX
(북중미지역	(/SS+북중미/NNP+지역/NNG
축구대회인)	축구/NNG+대회/NNG+이/VCP+ㄴ/ETM+)/SS
골드컵	골드컵/NNG
개최지	개최지/NNG
선정	선정/NNG
및	및/MAG
중계권과	중계/NNG+권/XSN+과/JKB
관련해	관련/NNG+하/XSV+아/EC
뇌물을	뇌물/NNG+을/JKO
받았다”고도	받/VV+았/EP+다/EF+”/SS+고/JKQ+도/JX
실토했다.	실토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.9.1
미 검찰과 연방수사국(FBI) 등의 수사 칼날은 결국 2018년 러시아월드컵과 2022년 카타르월드컵으로 향할 것으로 보인다.

미	미/NNP
검찰과	검찰/NNG+과/JC
연방수사국(FBI)	연방수사국/NNP+(/SS+FBI/SL+)/SS
등의	등/NNB+의/JKG
수사	수사/NNG
칼날은	칼날/NNG+은/JX
결국	결국/MAG
2018년	2018/SN+년/NNB
러시아월드컵과	러시아/NNP+월드컵/NNG+과/JC
2022년	2022/SN+년/NNB
카타르월드컵으로	카타르/NNP+월드컵/NNG+으로/JKB
향할	향하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.113.9.2
영국 <파이낸셜 타임스>는 3일 익명의 소식통을 인용해 미 연방수사국이 러시아와 카타르가 월드컵을 유치하면서 피파에 대가를 줬는지 여부에 대해 수사하고 있다고 보도했다.

영국	영국/NNP
<파이낸셜	</SS+파이낸셜/NNP
타임스>는	타임스/NNP+>/SS+는/JX
3일	3/SN+일/NNB
익명의	익명/NNG+의/JKG
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
미	미/NNP
연방수사국이	연방수사국/NNP+이/JKS
러시아와	러시아/NNP+와/JC
카타르가	카타르/NNP+가/JKS
월드컵을	월드컵/NNG+을/JKO
유치하면서	유치/NNG+하/XSV+면서/EC
피파에	피파/NNP+에/JKB
대가를	대가/NNG+를/JKO
줬는지	주/VV+었/EP+는지/EF
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
수사하고	수사/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.10.1
스위스 검찰은 러시아와 카타르 월드컵 유치와 관련해 비리가 있는지 독자적으로 수사하겠다고 밝힌 상태다.

스위스	스위스/NNP
검찰은	검찰/NNG+은/JX
러시아와	러시아/NNP+와/JKB
카타르	카타르/NNP
월드컵	월드컵/NNG
유치와	유치/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
비리가	비리/NNG+가/JKS
있는지	있/VA+는지/EF
독자적으로	독자/NNG+적/XSN+으로/JKB
수사하겠다고	수사/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.113.10.2
러시아와 카타르 두 나라 모두 월드컵 개최에는 아무런 문제가 없다고 하지만, 수사 결과에 따라서 개최 반대 여론이 거세질 수도 있다.

러시아와	러시아/NNP+와/JC
카타르	카타르/NNP
두	두/MMN
나라	나라/NNG
모두	모두/MAG
월드컵	월드컵/NNG
개최에는	개최/NNG+에/JKB+는/JX
아무런	아무런/MMD
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
하지만,	하/VV+지만/EC+,/SP
수사	수사/NNG
결과에	결과/NNG+에/JKB
따라서	따르/VV+아서/EC
개최	개최/NNG
반대	반대/NNG
여론이	여론/NNG+이/JKS
거세질	거세지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


