# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.10
metadata : {}


# id : NWRW1800000040.10.1.1
최저임금마저 가위질한 미용실

최저임금마저	최저/NNG+임금/NNG+마저/JX
2971원으로	2971/SN+원/NNB+으로/JKB
최저임금	최저/NNG+임금/NNG
4580원(2012년	4580/SN+원/NNB+(/SS+2012/SN+년/NNB
기준)에	기준/NNG+)/SS+에/JKB
크게	크/VA+게/EC
미달하는	미달/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.10.5.2
평균 주당 근무시간은 64.9시간에 달했다.

평균	평균/NNG
주당	주/NNG+당/XSN
근무시간은	근무/NNG+시간/NNG+은/JX
64.9시간에	64/SN+./SP+9/SN+시간/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.10.5.3
조사는 지난해 10월부터 올 2월까지 전국 198개 매장을 상대로 전화 설문, 면접조사 등의 방식으로 진행됐다.

조사는	조사/NNG+는/JX
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
올	올/NNG
2월까지	2/SN+월/NNB+까지/JX
전국	전국/NNG
198개	198/SN+개/NNB
매장을	매장/NNG+을/JKO
상대로	상대/NNG+로/JKB
전화	전화/NNG
설문,	설문/NNG+,/SP
면접조사	면접/NNG+조사/NNG
등의	등/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.10.6.1
스텝이란 미용 기술을 배우기 위해 매장에서 일하는 비정규직 인턴 점원들을 일컫는 말로, 보통 헤어숍은 정규직인 ‘데스크’(점장 등) 2~3명, 특수고용노동자인 ‘디자이너’ 5~10명, 스텝 4~8명 등으로 구성된다.

스텝이란	스텝/NNG+이란/JX
미용	미용/NNG
기술을	기술/NNG+을/JKO
배우기	배우/VV+기/ETN
위해	위하/VV+아/EC
매장에서	매장/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
비정규직	비/XPN+정규직/NNG
인턴	인턴/NNG
점원들을	점원/NNG+들/XSN+을/JKO
일컫는	일컫/VV+는/ETM
말로,	말/NNG+로/JKB+,/SP
보통	보통/NNG
헤어숍은	헤어숍/NNG+은/JX
정규직인	정규직/NNG+이/VCP+ㄴ/ETM
‘데스크’(점장	‘/SS+데스크/NNG+’/SS+(/SS+점장/NNG
등)	등/NNB+)/SS
2~3명,	2/SN+~/SO+3/SN+명/NNB+,/SP
특수고용노동자인	특수/NNG+고용/NNG+노동자/NNG+이/VCP+ㄴ/ETM
‘디자이너’	‘/SS+디자이너/NNG+’/SS
5~10명,	5/SN+~/SO+10/SN+명/NNB+,/SP
스텝	스텝/NNG
4~8명	4/SN+~/SO+8/SN+명/NNB
등으로	등/NNB+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.10.7.1
조사 대상 매장들의 브랜드별 실태를 보면, ‘준오’가 평균 월급 95만원에 주당 근무시간 71.3시간으로 가장 낮은 시급(2760원)을 지급하는 것으로 나타났다.

조사	조사/NNG
대상	대상/NNG
매장들의	매장/NNG+들/XSN+의/JKG
브랜드별	브랜드/NNG+별/XSN
실태를	실태/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
‘준오’가	‘/SS+준오/NNP+’/SS+가/JKS
평균	평균/NNG
월급	월급/NNG
95만원에	95/SN+만/NR+원/NNB+에/JKB
주당	주/NNG+당/XSN
근무시간	근무/NNG+시간/NNG
71.3시간으로	71/SN+./SP+3/SN+시간/NNB+으로/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
시급(2760원)을	시급/NNG+(/SS+2760/SN+원/NNB+)/SS+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.10.7.2
이어 ‘이철’이 3021원, ‘박준’이 3024원, ‘박승철’이 3050원 등으로 뒤를 이었다.

이어	이어/MAG
‘이철’이	‘/SS+이철/NNP+’/SS+이/JKS
3021원,	3021/SN+원/NNB+,/SP
‘박준’이	‘/SS+박준/NNP+’/SS+이/JKS
3024원,	3024/SN+원/NNB+,/SP
‘박승철’이	‘/SS+박승철/NNP+’/SS+이/JKS
3050원	3050/SN+원/NNB
등으로	등/NNB+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.10.7.3
전체 월 평균 급여는 93만원가량이었다.

전체	전체/NNG
월	월/NNG
평균	평균/NNG
급여는	급여/NNG+는/JX
93만원가량이었다.	93/SN+만/NR+원/NNB+가량/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.10.8.1
스텝들은 이밖에 각종 근무 관련 질환에 시달리면서 치료비는 모두 자비로 부담하는 것으로 나타났다.

스텝들은	스텝/NNG+들/XSN+은/JX
이밖에	이/NP+밖/NNG+에/JKB
각종	각종/NNG
근무	근무/NNG
관련	관련/NNG
질환에	질환/NNG+에/JKB
시달리면서	시달리/VV+면서/EC
치료비는	치료비/NNG+는/JX
모두	모두/MAG
자비로	자비/NNG+로/JKB
부담하는	부담/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.10.8.2
스텝 경력 10개월가량의 김아무개(22·여)씨는 면접조사에서 “손에 독이 올라서 진물이 나기도 하고 주변에서 하지정맥류 문제를 많이 호소한다.

스텝	스텝/NNG
경력	경력/NNG
10개월가량의	10/SN+개월/NNB+가량/XSN+의/JKG
김아무개(22·여)씨는	김/NNP+아무개/NP+(/SS+22/SN+·/SP+여/NNG+)/SS+씨/NNB+는/JX
면접조사에서	면접/NNG+조사/NNG+에서/JKB
“손에	“/SS+손/NNG+에/JKB
독이	독/NNG+이/JKS
올라서	오르/VV+아서/EC
진물이	진물/NNG+이/JKS
나기도	나/VV+기/ETN+도/JX
하고	하/VX+고/EC
주변에서	주변/NNG+에서/JKB
하지정맥류	하지/NNG+정맥류/NNG
문제를	문제/NNG+를/JKO
많이	많이/MAG
호소한다.	호소/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.10.8.3
일하던 중에 3~4명 정도가 물리치료를 받으러 가는 것을 봤지만, 비용은 모두 자비로 부담했다”고 말했다.

일하던	일/NNG+하/XSV+던/ETM
중에	중/NNB+에/JKB
3~4명	3/SN+~/SO+4/SN+명/NNB
정도가	정도/NNG+가/JKS
물리치료를	물리/NNG+치료/NNG+를/JKO
받으러	받/VV+으러/EC
가는	가/VV+는/ETM
것을	것/NNB+을/JKO
봤지만,	보/VV+았/EP+지만/EC+,/SP
비용은	비용/NNG+은/JX
모두	모두/MAG
자비로	자비/NNG+로/JKB
부담했다”고	부담/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.10.9.1
김종진 한국노동사회연구소 연구실장은 “지난 30여년 사이 ‘뷰티산업’의 발달과 함께 프랜차이즈 헤어숍 역시 사업과 고용 규모를 크게 늘렸지만, 종사자인 스텝은 ‘도제식 시스템’의 열악한 노동조건에서 벗어나지 못하고 있다.

김종진	김종진/NNP
한국노동사회연구소	한국노동사회연구소/NNP
연구실장은	연구실장/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
30여년	30/SN+여/XSN+년/NNB
사이	사이/NNG
‘뷰티산업’의	‘/SS+뷰티/NNG+산업/NNG+’/SS+의/JKG
발달과	발달/NNG+과/JKB
함께	함께/MAG
프랜차이즈	프랜차이즈/NNG
헤어숍	헤어숍/NNG
역시	역시/MAG
사업과	사업/NNG+과/JC
고용	고용/NNG
규모를	규모/NNG+를/JKO
크게	크/VA+게/EC
늘렸지만,	늘리/VV+었/EP+지만/EC+,/SP
종사자인	종사자/NNG+이/VCP+ㄴ/ETM
스텝은	스텝/NNG+은/JX
‘도제식	‘/SS+도제식/NNG
시스템’의	시스템/NNG+’/SS+의/JKG
열악한	열악하/VA+ㄴ/ETM
노동조건에서	노동/NNG+조건/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.10.9.2
고용노동부의 전면적인 실태조사가 시급하다”고 말했다.

고용노동부의	고용/NNG+노동부/NNG+의/JKG
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
실태조사가	실태/NNG+조사/NNG+가/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


