# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.3
metadata : {}


# id : NWRW1800000021.3.1.1
“빅3 흔들릴때…”

“빅3	“/SS+빅/NNG+3/SN
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.3.5.1
또 폴크스바겐 프리미엄 브랜드인 아우디는 슈퍼볼(북미프로미식축구 챔피언 결정전) 광고에도 참여하는 등 지난해보다 마케팅 비용을 15% 늘릴 계획이다.

또	또/MAG
폴크스바겐	폴크스바겐/NNP
프리미엄	프리미엄/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
아우디는	아우디/NNP+는/JX
슈퍼볼(북미프로미식축구	슈퍼볼/NNG+(/SS+북미/NNP+프로/NNG+미식축구/NNG
챔피언	챔피언/NNG
결정전)	결정전/NNG+)/SS
광고에도	광고/NNG+에/JKB+도/JX
참여하는	참여/NNG+하/XSV+는/ETM
등	등/NNB
지난해보다	지난해/NNG+보다/JKB
마케팅	마케팅/NNG
비용을	비용/NNG+을/JKO
15%	15/SN+%/SW
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.3.6.1
BMW도 새로운 ‘1시리즈’를 미국 시장에 최초로 선보이고 깜찍하고 귀여운 차로 인기를 끌고 있는 ‘미니’의 대리점을 10여 곳 늘리기로 했다.

BMW도	BMW/SL+도/JX
새로운	새롭/VA+ㄴ/ETM
‘1시리즈’를	‘/SS+1/SN+시리즈/NNG+’/SS+를/JKO
미국	미국/NNP
시장에	시장/NNG+에/JKB
최초로	최초/NNG+로/JKB
선보이고	선보이/VV+고/EC
깜찍하고	깜찍하/VA+고/EC
귀여운	귀엽/VA+ㄴ/ETM
차로	차/NNG+로/JKB
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
‘미니’의	‘/SS+미니/NNG+’/SS+의/JKG
대리점을	대리점/NNG+을/JKO
10여	10/SN+여/XSN
곳	곳/NNG
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.3.7.1
이 신문은 유럽 업체들은 과거 미국 시장을 공략했다가 실패한 경험이 있어 이번 미국 시장 본격 공략은 일종의 설욕전이라고 분석했다.

이	이/MMD
신문은	신문/NNG+은/JX
유럽	유럽/NNP
업체들은	업체/NNG+들/XSN+은/JX
과거	과거/NNG
미국	미국/NNP
시장을	시장/NNG+을/JKO
공략했다가	공략/NNG+하/XSV+았/EP+다가/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있어	있/VA+어/EC
이번	이번/NNG
시장	시장/NNG
본격	본격/NNG
공략은	공략/NNG+은/JX
일종의	일종/NNG+의/JKG
설욕전이라고	설욕전/NNG+이/VCP+라고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.3.8.1
폴크스바겐은 1978년 미국 현지 공장을 가동했으나 판매 악화로 고전하다가 10년 만에 문을 닫았고 프랑스의 르노도 미국 자동차업체에 투자했다가 큰 손실을 본 뒤 철수했다.

폴크스바겐은	폴크스바겐/NNP+은/JX
1978년	1978/SN+년/NNB
미국	미국/NNP
현지	현지/NNG
공장을	공장/NNG+을/JKO
가동했으나	가동/NNG+하/XSV+았/EP+으나/EC
판매	판매/NNG
악화로	악화/NNG+로/JKB
고전하다가	고전/NNG+하/XSV+다가/EC
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
문을	문/NNG+을/JKO
닫았고	닫/VV+았/EP+고/EC
프랑스의	프랑스/NNP+의/JKG
르노도	르노/NNP+도/JX
자동차업체에	자동차/NNG+업체/NNG+에/JKB
투자했다가	투자/NNG+하/XSV+았/EP+다가/EC
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
철수했다.	철수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.3.9.1
세계 최대 자동차 시장인 미국 시장은 2000년대 초반만 해도 매년 1700만 대가 팔렸으나 지난해에는 1300만 대로 시장이 크게 축소됐다.

세계	세계/NNG
최대	최대/NNG
자동차	자동차/NNG
시장인	시장/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
시장은	시장/NNG+은/JX
2000년대	2000/SN+년대/NNB
초반만	초반/NNG+만/JX
해도	하/VV+아도/EC
매년	매년/MAG
1700만	1700/SN+만/NR
대가	대/NNB+가/JKS
팔렸으나	팔리/VV+었/EP+으나/EC
지난해에는	지난해/NNG+에/JKB+는/JX
1300만	1300/SN+만/NR
대로	대/NNB+로/JKB
시장이	시장/NNG+이/JKS
크게	크/VA+게/EC
축소됐다.	축소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.3.9.2
업체별 시장점유율은 미국 빅3와 아시아업체가 90% 이상을 차지하고 있으며 유럽업체의 시장점유율은 7.2%에 불과하다.

업체별	업체/NNG+별/XSN
시장점유율은	시장/NNG+점유/NNG+율/XSN+은/JX
미국	미국/NNP
빅3와	빅/NNG+3/SN+와/JC
아시아업체가	아시아/NNP+업체/NNG+가/JKS
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
유럽업체의	유럽/NNP+업체/NNG+의/JKG
7.2%에	7/SN+./SP+2/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


