# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.419
metadata : {}


# id : NWRW1800000022.419.1.1
[그것은 이렇습니다] Q: 우리가 일본표준시를 쓰기 때문에 실제 시간이 30분 차이 난다는데?

[그것은	[/SS+그것/NP+은/JX
일본이	일본/NNP+이/JKS
사용하는	사용/NNG+하/XSV+는/ETM
동경	동경/NNG
135도로	135/SN+도/NNB+로/JKB
바꿨습니다.	바꾸/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.419.7.2
광복 후 1954년 우리는 표준시를 동경 127.5도로 변경했지만, 1961년 국가재건최고회의에서 다시 군사작전의 불편 등을 이유로 일본과 같은 동경 135도를 표준시로 변경하고 지금에 이르고 있습니다.

광복	광복/NNG
후	후/NNG
1954년	1954/SN+년/NNB
우리는	우리/NP+는/JX
표준시를	표준시/NNG+를/JKO
동경	동경/NNG
127.5도로	127/SN+./SP+5/SN+도/NNB+로/JKB
변경했지만,	변경/NNG+하/XSV+았/EP+지만/EC+,/SP
1961년	1961/SN+년/NNB
국가재건최고회의에서	국가재건최고회의/NNP+에서/JKB
다시	다시/MAG
군사작전의	군사/NNG+작전/NNG+의/JKG
불편	불편/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
일본과	일본/NNP+과/JKB
같은	같/VA+은/ETM
135도를	135/SN+도/NNB+를/JKO
표준시로	표준시/NNG+로/JKB
변경하고	변경/NNG+하/XSV+고/EC
지금에	지금/NNG+에/JKB
이르고	이르/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.419.8.1
일본과 같은 시간대를 쓰는 것은 '일제의 잔재'라는 이유로 시간대를 우리에 맞는 동경 127.5도로 쓰자는 논란은 계속 이어지고 있습니다.

일본과	일본/NNP+과/JKB
같은	같/VA+은/ETM
시간대를	시간대/NNG+를/JKO
쓰는	쓰/VV+는/ETM
것은	것/NNB+은/JX
'일제의	'/SS+일제/NNG+의/JKG
잔재'라는	잔재/NNG+'/SS+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
우리에	우리/NP+에/JKB
맞는	맞/VV+는/ETM
동경	동경/NNG
127.5도로	127/SN+./SP+5/SN+도/NNB+로/JKB
쓰자는	쓰/VV+자는/ETM
논란은	논란/NNG+은/JX
계속	계속/MAG
이어지고	이어지/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.419.8.2
한국천문역리학연구회 '우리시간찾기 범국민운동본부' 이상엽 학술위원장은 "우리가 현재 쓰는 동경 135도는 울릉도 동쪽 350㎞를 통과하는 자오선으로 우리와 맞지 않는 일제의 잔재이니, 예전처럼 한반도 중심을 지나는 동경 127.5도를 사용해야 한다"고 주장했습니다.

한국천문역리학연구회	한국천문역리학연구회/NNP
'우리시간찾기	'/SS+우리/NP+시간/NNG+찾/VV+기/ETN
범국민운동본부'	범/XPN+국민운동/NNG+본부/NNG+'/SS
이상엽	이상엽/NNP
학술위원장은	학술/NNG+위원장/NNG+은/JX
"우리가	"/SS+우리/NP+가/JKS
현재	현재/MAG
쓰는	쓰/VV+는/ETM
동경	동경/NNG
135도는	135/SN+도/NNB+는/JX
울릉도	울릉도/NNP
동쪽	동쪽/NNG
350㎞를	350/SN+㎞/SW+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
자오선으로	자오선/NNG+으로/JKB
우리와	우리/NP+와/JKB
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
일제의	일제/NNG+의/JKG
잔재이니,	잔재/NNG+이/VCP+니/EC+,/SP
예전처럼	예전/NNG+처럼/JKB
한반도	한반도/NNP
중심을	중심/NNG+을/JKO
지나는	지나/VV+는/ETM
127.5도를	127/SN+./SP+5/SN+도/NNB+를/JKO
사용해야	사용/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했습니다.	주장/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.419.8.3
2000년 8월에도 조순형 의원 등은 한국인 생체리듬에 맞는 표준시인 동경 127.5도로 변경이 필요하다는 법안을 제출하기도 했습니다.

2000년	2000/SN+년/NNB
8월에도	8/SN+월/NNB+에/JKB+도/JX
조순형	조순형/NNP
의원	의원/NNG
등은	등/NNB+은/JX
한국인	한국인/NNG
생체리듬에	생체/NNG+리듬/NNG+에/JKB
맞는	맞/VV+는/ETM
표준시인	표준시/NNG+이/VCP+ㄴ/ETM
동경	동경/NNG
127.5도로	127/SN+./SP+5/SN+도/NNB+로/JKB
변경이	변경/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
법안을	법안/NNG+을/JKO
제출하기도	제출/NNG+하/XSV+기/ETN+도/JX
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.419.9.1
한국표준과학연구원 길이시간센터 권택용 박사는 "대부분 국가가 국제 표준시에서 1시간 단위의 시차를 주고 있는데, 동경 127.5도를 사용하면 30분 시차가 나기 때문에 국제화 시대에 비효율적"이라고 말했습니다.

한국표준과학연구원	한국표준과학연구원/NNP
길이시간센터	길이/NNG+시간/NNG+센터/NNG
권택용	권택용/NNP
박사는	박사/NNG+는/JX
"대부분	"/SS+대/XPN+부분/NNG
국가가	국가/NNG+가/JKS
국제	국제/NNG
표준시에서	표준시/NNG+에서/JKB
1시간	1/SN+시간/NNB
단위의	단위/NNG+의/JKG
시차를	시차/NNG+를/JKO
주고	주/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
동경	동경/NNG
127.5도를	127/SN+./SP+5/SN+도/NNB+를/JKO
사용하면	사용/NNG+하/XSV+면/EC
30분	30/SN+분/NNB
시차가	시차/NNG+가/JKS
나기	나/VV+기/ETN
때문에	때문/NNB+에/JKB
국제화	국제/NNG+화/XSN
시대에	시대/NNG+에/JKB
비효율적"이라고	비/XPN+효율/NNG+적/XSN+"/SS+이라고/JKQ
말했습니다.	말/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.419.9.2
이어 권 박사는 "현재 국제 표준시에서 15분·30분 단위로 나눠 쓰는 곳은 네팔이나 호주의 일부 주 등 10곳 이내"라고 덧붙였습니다.

이어	이어/MAG
권	권/NNP
박사는	박사/NNG+는/JX
"현재	"/SS+현재/MAG
국제	국제/NNG
표준시에서	표준시/NNG+에서/JKB
15분·30분	15/SN+분/NNB+·/SP+30/SN+분/NNB
단위로	단위/NNG+로/JKB
나눠	나누/VV+어/EC
쓰는	쓰/VV+는/ETM
곳은	곳/NNG+은/JX
네팔이나	네팔/NNP+이나/JC
호주의	호주/NNP+의/JKG
일부	일부/NNG
주	주/NNG
등	등/NNB
10곳	10/SN+곳/NNG
이내"라고	이내/NNG+"/SS+라고/JKQ
덧붙였습니다.	덧붙이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.419.10.1
또 한 시간 단위의 자오선을 고르려면 동경 120도보다는 동쪽에 있는 동경 135도가 더 낫다고 합니다.

또	또/MAG
한	한/MMN
시간	시간/NNB
단위의	단위/NNG+의/JKG
자오선을	자오선/NNG+을/JKO
고르려면	고르/VV+려면/EC
동경	동경/NNG
120도보다는	120/SN+도/NNB+보다/JKB+는/JX
동쪽에	동쪽/NNG+에/JKB
있는	있/VA+는/ETM
135도가	135/SN+도/NNB+가/JKS
더	더/MAG
낫다고	낫/VA+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.419.10.2
본의 아니게 일본보다 30분 일찍 '아침형 인간'으로 살아야 하지만, 30분 일광 시간이 길어지는 효과가 있어 에너지 절약에도 좋다는 것입니다.

본의	본의/NNG
아니게	아니/VCN+게/EC
일본보다	일본/NNP+보다/JKB
30분	30/SN+분/NNB
일찍	일찍/MAG
'아침형	'/SS+아침/NNG+형/XSN
인간'으로	인간/NNG+'/SS+으로/JKB
살아야	살/VV+아야/EC
하지만,	하/VX+지만/EC+,/SP
일광	일광/NNG
시간이	시간/NNG+이/JKS
길어지는	길어지/VV+는/ETM
효과가	효과/NNG+가/JKS
있어	있/VA+어/EC
에너지	에너지/NNG
절약에도	절약/NNG+에/JKB+도/JX
좋다는	좋/VA+다는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.419.10.3
표준시를 동경 127.5도로 바꾸자는 주장이 반대에 부딪혀 있는 것도 이런 이유 때문입니다.

표준시를	표준시/NNG+를/JKO
동경	동경/NNG
127.5도로	127/SN+./SP+5/SN+도/NNB+로/JKB
바꾸자는	바꾸/VV+자는/ETM
주장이	주장/NNG+이/JKS
반대에	반대/NNG+에/JKB
부딪혀	부딪히/VV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
이런	이런/MMD
이유	이유/NNG
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


