# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.198
metadata : {}


# id : NWRW1800000041.198.1.1
공항버스 ‘꽝’… 안전띠가 살렸다

공항버스	공항버스/NNG
씨가	씨/NNB+가/JKS
버스회사의	버스/NNG+회사/NNG+의/JKG
안전관리	안전/NNG+관리/NNG
방침에	방침/NNG+에/JKB
따라	따르/VV+아/EC
승객들이	승객/NNG+들/XSN+이/JKS
탈	타/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
안전띠	안전띠/NNG
착용을	착용/NNG+을/JKO
확인해	확인/NNG+하/XSV+아/EC
모두	모두/MAG
안전띠를	안전띠/NNG+를/JKO
맨	매/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다”며	확인/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“안전띠를	“/SS+안전띠/NNG+를/JKO
매지	매/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
강한	강하/VA+ㄴ/ETM
추돌과	추돌/NNG+과/JC
급격한	급격하/VA+ㄴ/ETM
방향	방향/NNG
전환에	전환/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
충격으로	충격/NNG+으로/JKB
크게	크/VA+게/EC
다쳤을	다치/VV+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.198.8.1
또 신호트럭 앞에는 노면 청소차가 달리고 있었으나 안전수칙대로 50m 이상 충분한 간격을 둬 2차 사고가 발생하지 않았다.

또	또/MAG
신호트럭	신호/NNG+트럭/NNG
앞에는	앞/NNG+에/JKB+는/JX
노면	노면/NNG
청소차가	청소차/NNG+가/JKS
달리고	달리/VV+고/EC
있었으나	있/VX+었/EP+으나/EC
안전수칙대로	안전/NNG+수칙/NNG+대로/JX
50m	50/SN+m/SW
이상	이상/NNG
충분한	충분하/VA+ㄴ/ETM
간격을	간격/NNG+을/JKO
둬	두/VV+어/EC
2차	2/SN+차/NNB
사고가	사고/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.198.9.1
경찰은 사고 지점이 완만한 오르막 직선도로이고 신호차량에 대형 전광판이 부착돼 있던 점을 고려할 때 장 씨가 졸았거나 한눈을 파는 등 부주의로 사고가 났을 가능성이 큰 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
사고	사고/NNG
지점이	지점/NNG+이/JKS
완만한	완만하/VA+ㄴ/ETM
오르막	오르막/NNG
직선도로이고	직선/NNG+도로/NNG+이/VCP+고/EC
신호차량에	신호/NNG+차량/NNG+에/JKB
대형	대형/NNG
전광판이	전광판/NNG+이/JKS
부착돼	부착/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
점을	점/NNG+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
장	장/NNP
씨가	씨/NNB+가/JKS
졸았거나	졸/VV+았/EP+거나/EC
한눈을	한눈/NNG+을/JKO
파는	팔/VV+는/ETM
등	등/NNB
부주의로	부/XPN+주의/NNG+로/JKB
사고가	사고/NNG+가/JKS
났을	나/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.198.9.2
경찰은 버스에 장착된 블랙박스를 수거해 과속 여부 등도 조사할 계획이다.

경찰은	경찰/NNG+은/JX
버스에	버스/NNG+에/JKB
장착된	장착/NNG+되/XSV+ㄴ/ETM
블랙박스를	블랙박스/NNG+를/JKO
수거해	수거/NNG+하/XSV+아/EC
과속	과속/NNG
여부	여부/NNG
등도	등/NNB+도/JX
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


