# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.90
metadata : {}


# id : NWRW1800000032.90.1.1
신흥국들 “물가 잡자” 기준금리 인상 /선진국서 돈 몰려 ‘통화절상’ 딜레마

신흥국들	신흥국/NNG+들/XSN
6.25%에	6/SN+./SP+25/SN+%/SW+에/JKB
이른	이르/VV+ㄴ/ETM
인도도	인도/NNP+도/JX
이달	이달/NNG
재인상이	재/XPN+인상/NNG+이/JKS
유력시된다.	유력/NNG+시/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.90.5.3
러시아는 지난해 말 예금 금리를 0.25%포인트 인상했다.

러시아는	러시아/NNP+는/JX
지난해	지난해/NNG
말	말/NNB
예금	예금/NNG
금리를	금리/NNG+를/JKO
0.25%포인트	0/SN+./SP+25/SN+%/SW+포인트/NNG
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.90.5.4
브릭스 4개국이 모두 금리 인상에 나선 것이다.

브릭스	브릭스/NNP
4개국이	4/SN+개국/NNB+이/JKS
모두	모두/MAG
금리	금리/NNG
인상에	인상/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.5.5
최근 한국과 폴란드도 그 대열에 합류했다.

최근	최근/NNG
한국과	한국/NNP+과/JC
폴란드도	폴란드/NNP+도/JX
그	그/MMD
대열에	대열/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.90.6.1
신흥국을 중심으로 성장에서 안정으로 통화정책의 방향타를 틀게 만든 것은 일차적으로 식료품값의 고공행진이다.

신흥국을	신흥국/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
성장에서	성장/NNG+에서/JKB
안정으로	안정/NNG+으로/JKB
통화정책의	통화/NNG+정책/NNG+의/JKG
방향타를	방향타/NNG+를/JKO
틀게	틀/VV+게/EC
만든	만들/VV+ㄴ/ETM
것은	것/NNB+은/JX
일차적으로	일차/NNG+적/XSN+으로/JKB
식료품값의	식료품/NNG+값/NNG+의/JKG
고공행진이다.	고공/NNG+행진/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.6.2
식료품값이 민생을 위협한다는 판단에 앞다퉈 통화량을 줄이려고 나선 것이다.

식료품값이	식료품/NNG+값/NNG+이/JKS
민생을	민생/NNG+을/JKO
위협한다는	위협/NNG+하/XSV+ㄴ다는/ETM
판단에	판단/NNG+에/JKB
앞다퉈	앞다투/VV+어/EC
통화량을	통화량/NNG+을/JKO
줄이려고	줄이/VV+려고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.6.3
지난달 소비자물가가 3.7% 오른 영국 등 유럽 주요국들에서도 아우성이 커지고 있다.

지난달	지난달/NNG
소비자물가가	소비자/NNG+물가/NNG+가/JKS
3.7%	3/SN+./SP+7/SN+%/SW
오른	오르/VV+ㄴ/ETM
영국	영국/NNP
등	등/NNB
유럽	유럽/NNP
주요국들에서도	주요국/NNG+들/XSN+에서/JKB+도/JX
아우성이	아우성/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.7.1
유가도 한몫하고 있다.

유가도	유가/NNG+도/JX
한몫하고	한몫/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.7.2
북해산 브렌트유가 배럴당 100달러 고지의 바로 밑에서 언제든 고지를 재탈환할 준비를 하는 가운데, 석유수출국기구(OPEC)는 증산에 부정적 반응을 보여 불안감을 키우고 있다.

북해산	북해/NNP+산/XSN
브렌트유가	브렌트유/NNG+가/JKS
배럴당	배럴/NNG+당/XSN
100달러	100/SN+달러/NNB
고지의	고지/NNG+의/JKG
바로	바로/MAG
밑에서	밑/NNG+에서/JKB
언제든	언제/NP+든/JX
고지를	고지/NNG+를/JKO
재탈환할	재/XPN+탈환/NNG+하/XSV+ㄹ/ETM
준비를	준비/NNG+를/JKO
하는	하/VV+는/ETM
가운데,	가운데/NNG+,/SP
석유수출국기구(OPEC)는	석유수출국기구/NNP+(/SS+OPEC/SL+)/SS+는/JX
증산에	증산/NNG+에/JKB
부정적	부정/NNG+적/XSN
반응을	반응/NNG+을/JKO
보여	보이/VV+어/EC
불안감을	불안감/NNG+을/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.7.3
석유 수입국들의 기구인 국제에너지기구는 “최근 유가 수준은 이미 세계경제에 실질적 위험으로 작용하고 있다”는 우려를 내놨다.

석유	석유/NNG
수입국들의	수입국/NNG+들/XSN+의/JKG
기구인	기구/NNG+이/VCP+ㄴ/ETM
국제에너지기구는	국제에너지기구/NNP+는/JX
“최근	“/SS+최근/NNG
유가	유가/NNG
수준은	수준/NNG+은/JX
이미	이미/MAG
세계경제에	세계/NNG+경제/NNG+에/JKB
실질적	실질/NNG+적/XSN
위험으로	위험/NNG+으로/JKB
작용하고	작용/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
우려를	우려/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.90.8.1
문제는 고물가에 대한 자연스러운 처방인 금리 인상이 지금은 더 많은 위험 가능성을 내포한다는 점이다.

문제는	문제/NNG+는/JX
고물가에	고/XPN+물가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
처방인	처방/NNG+이/VCP+ㄴ/ETM
금리	금리/NNG
인상이	인상/NNG+이/JKS
지금은	지금/NNG+은/JX
더	더/MAG
많은	많/VA+은/ETM
위험	위험/NNG
가능성을	가능/NNG+성/XSN+을/JKO
내포한다는	내포/NNG+하/XSV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.8.2
지난해 대부분 플러스 성장으로 올라선 각국 경제가 금리 인상으로 위축될 일반론적 가능성에다, 선진 경제권과의 금리 차로 인한 신흥국으로의 지나친 자금 유입이라는 부작용이 기다리고 있다.

지난해	지난해/NNG
대부분	대/XPN+부분/NNG
플러스	플러스/NNG
성장으로	성장/NNG+으로/JKB
올라선	올라서/VV+ㄴ/ETM
각국	각국/NNG
경제가	경제/NNG+가/JKS
금리	금리/NNG
인상으로	인상/NNG+으로/JKB
위축될	위축/NNG+되/XSV+ㄹ/ETM
일반론적	일반/NNG+론/XSN+적/XSN
가능성에다,	가능/NNG+성/XSN+에다/JKB+,/SP
선진	선진/NNG
경제권과의	경제/NNG+권/XSN+과/JKB+의/JKG
차로	차/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
신흥국으로의	신흥국/NNG+으로/JKB+의/JKG
지나친	지나치/VA+ㄴ/ETM
자금	자금/NNG
유입이라는	유입/NNG+이/VCP+라는/ETM
부작용이	부작용/NNG+이/JKS
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.8.3
브라질 헤알화는 지난 2년간 달러에 대해 38% 절상됐다.

브라질	브라질/NNP
헤알화는	헤알화/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2년간	2/SN+년/NNB+간/XSN
달러에	달러/NNG+에/JKB
대해	대하/VV+아/EC
38%	38/SN+%/SW
절상됐다.	절상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.90.8.4
통화 절상으로 수출 경쟁력이 떨어져 지난해 무역 적자가 전년의 두 배인 710억달러에 이른 브라질에서는 “우리가 환율 전쟁의 최대 희생자”라는 자조가 나오고 있다.

통화	통화/NNG
절상으로	절상/NNG+으로/JKB
수출	수출/NNG
경쟁력이	경쟁력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
지난해	지난해/NNG
무역	무역/NNG
적자가	적자/NNG+가/JKS
전년의	전년/NNG+의/JKG
두	두/MMN
배인	배/NNG+이/VCP+ㄴ/ETM
710억달러에	710/SN+억/NR+달러/NNB+에/JKB
이른	이르/VV+ㄴ/ETM
브라질에서는	브라질/NNP+에서/JKB+는/JX
“우리가	“/SS+우리/NP+가/JKS
환율	환율/NNG
전쟁의	전쟁/NNG+의/JKG
최대	최대/NNG
희생자”라는	희생자/NNG+”/SS+이/VCP+라는/ETM
자조가	자조/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.9.1
정도 차이는 있지만 다른 신흥국들도 비슷한 고민을 안고 있다.

정도	정도/NNG
차이는	차이/NNG+는/JX
있지만	있/VA+지만/EC
다른	다른/MMD
신흥국들도	신흥국/NNG+들/XSN+도/JX
비슷한	비슷하/VA+ㄴ/ETM
고민을	고민/NNG+을/JKO
안고	안/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.9.2
현재 미국은 0~0.25%, 일본은 0~0.1%, 유로존은 1%로 역사적 초저금리가 이어지고 있다.

현재	현재/MAG
미국은	미국/NNP+은/JX
0~0.25%,	0/SN+~/SO+0/SN+./SP+25/SN+%/SW+,/SP
일본은	일본/NNP+은/JX
0~0.1%,	0/SN+~/SO+0/SN+./SP+1/SN+%/SW+,/SP
유로존은	유로존/NNG+은/JX
1%로	1/SN+%/SW+로/JKB
역사적	역사/NNG+적/XSN
초저금리가	초/XPN+저/XPN+금리/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.9.3
아시아나 남미 국가들은 물가를 잡으려고 금리를 올리지만, 금리 차이나 자산 수익을 노리고 선진 경제권의 돈이 몰려들면 통화가치가 오를 수밖에 없다.

아시아나	아시아/NNP+나/JC
남미	남미/NNP
국가들은	국가/NNG+들/XSN+은/JX
물가를	물가/NNG+를/JKO
잡으려고	잡/VV+으려고/EC
금리를	금리/NNG+를/JKO
올리지만,	올리/VV+지만/EC+,/SP
금리	금리/NNG
차이나	차이/NNG+나/JC
자산	자산/NNG
수익을	수익/NNG+을/JKO
노리고	노리/VV+고/EC
선진	선진/NNG
경제권의	경제/NNG+권/XSN+의/JKG
돈이	돈/NNG+이/JKS
몰려들면	몰려들/VV+면/EC
통화가치가	통화/NNG+가치/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.90.9.4
자산 거품이 더 커지는 엉뚱한 결과로도 이어질 수 있다.

자산	자산/NNG
거품이	거품/NNG+이/JKS
더	더/MAG
커지는	커지/VV+는/ETM
엉뚱한	엉뚱하/VA+ㄴ/ETM
결과로도	결과/NNG+로/JKB+도/JX
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.90.10.1
<이코노미스트>는 “통화 강세와 경기 과열은 정책 당국자들에게 몹시 고통스러운 딜레마를 안기고 있다”며 “인플레이션을 꺾으려고 금리를 올리면 통화 가치를 끌어올리는 위험을 감수해야 하고, 외환 시장에 개입해 통화가치를 내리면 인플레이션을 자극할 수 있다”고 지적했다.

<이코노미스트>는	</SS+이코노미스트/NNP+>/SS+는/JX
“통화	“/SS+통화/NNG
강세와	강세/NNG+와/JC
경기	경기/NNG
과열은	과열/NNG+은/JX
정책	정책/NNG
당국자들에게	당국자/NNG+들/XSN+에게/JKB
몹시	몹시/MAG
고통스러운	고통/NNG+스럽/XSA+ㄴ/ETM
딜레마를	딜레마/NNG+를/JKO
안기고	안기/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“인플레이션을	“/SS+인플레이션/NNG+을/JKO
꺾으려고	꺾/VV+으려고/EC
금리를	금리/NNG+를/JKO
올리면	올리/VV+면/EC
통화	통화/NNG
가치를	가치/NNG+를/JKO
끌어올리는	끌어올리/VV+는/ETM
위험을	위험/NNG+을/JKO
감수해야	감수/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
외환	외환/NNG
시장에	시장/NNG+에/JKB
개입해	개입/NNG+하/XSV+아/EC
통화가치를	통화/NNG+가치/NNG+를/JKO
내리면	내리/VV+면/EC
인플레이션을	인플레이션/NNG+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


