# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.253
metadata : {}


# id : NWRW1800000024.253.1.1
“제2외곽순환도로 지상관통 대신 지하화해야” /청라지구 입주예정자들 집단행동

“제2외곽순환도로	“/SS+제2외곽순환도로/NNP
경제자유구역을	경제/NNG+자유/NNG+구역/NNG+을/JKO
두동강	두/MMN+동강/NNG
내는	내/VV+는/ETM
도로를	도로/NNG+를/JKO
건설하겠다는	건설/NNG+하/XSV+겠/EP+다는/ETM
국토해양부의	국토/NNG+해양부/NNG+의/JKG
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
발상과,	발상/NNG+과/JC+,/SP
토지	토지/NNG
매각	매각/NNG
등	등/NNB
돈벌이에만	돈벌이/NNG+에/JKB+만/JX
급급한	급급하/VA+ㄴ/ETM
토지공사의	토지공사/NNP+의/JKG
행태에	행태/NNG+에/JKB
우려하는	우려/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.253.9.2
인천경실련 관계자는 “송도와는 달리 청라지구는 예정대로 추진되고 있는 사업이라고는 아파트와 골프장뿐인데 이는 투자환경이 제대로 조성되지 않고 있기 때문”이라며, “국토부가 현안 문제 해결에 앞장서야 한다”고 지적했다.

인천경실련	인천경실련/NNP
관계자는	관계자/NNG+는/JX
“송도와는	“/SS+송도/NNP+와/JKB+는/JX
달리	달리/MAG
청라지구는	청라지구/NNP+는/JX
예정대로	예정/NNG+대로/JX
추진되고	추진/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
사업이라고는	사업/NNG+이/VCP+라고/EC+는/JX
아파트와	아파트/NNG+와/JC
골프장뿐인데	골프장/NNG+뿐/JX+이/VCP+ㄴ데/EC
이는	이/NP+는/JX
투자환경이	투자/NNG+환경/NNG+이/JKS
제대로	제대로/MAG
조성되지	조성/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있기	있/VX+기/ETN
때문”이라며,	때문/NNB+”/SS+이/VCP+라며/EC+,/SP
“국토부가	“/SS+국토부/NNG+가/JKS
현안	현안/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.9.3
청라지구는 경서동, 원창동, 연희동 일원 1만7771㎡(538만평)에 2012년까지 인구 9만명을 수용하는 금융·레저 관련 국제도시를 조성하도록 계획돼 있다.

청라지구는	청라지구/NNP+는/JX
경서동,	경서동/NNP+,/SP
원창동,	원창동/NNP+,/SP
연희동	연희동/NNP
일원	일원/NNG
1만7771㎡(538만평)에	1/SN+만/NR+7771/SN+㎡/SW+(/SS+538/SN+만/NR+평/NNB+)/SS+에/JKB
2012년까지	2012/SN+년/NNB+까지/JX
인구	인구/NNG
9만명을	9/SN+만/NR+명/NNB+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
금융·레저	금융/NNG+·/SP+레저/NNG
관련	관련/NNG
국제도시를	국제도시/NNG+를/JKO
조성하도록	조성/NNG+하/XSV+도록/EC
계획돼	계획/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


