# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.80
metadata : {}


# id : NWRW1800000048.80.1.1
“수입맥주 할인제한 검토한 적 없어”

“수입맥주	“/SS+수입/NNG+맥주/NNG
간담회’에서	간담회/NNG+’/SS+에서/JKB
국내	국내/NNG
맥주	맥주/NNG
업계가	업계/NNG+가/JKS
수입	수입/NNG
맥주의	맥주/NNG+의/JKG
할인판매	할인/NNG+판매/NNG
문제를	문제/NNG+를/JKO
건의했고,	건의/NNG+하/XSV+았/EP+고/EC+,/SP
정부가	정부/NNG+가/JKS
제도개선	제도/NNG+개선/NNG
방안을	방안/NNG+을/JKO
마련하겠다고	마련/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려지면서	알려지/VV+면서/EC
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.80.6.1
인터넷에서는 ‘단말기유통구조개선법(아래 단통법)’에 빗대 ‘맥통법’(맥주유통법)이라는 신조어가 등장하기도 했다.

인터넷에서는	인터넷/NNG+에서/JKB+는/JX
‘단말기유통구조개선법(아래	‘/SS+단말기/NNG+유통/NNG+구조/NNG+개선법/NNG+(/SS+아래/NNG
단통법)’에	단통법/NNG+)/SS+’/SS+에/JKB
빗대	빗대/VV+어/EC
‘맥통법’(맥주유통법)이라는	‘/SS+맥통법/NNG+’/SS+(/SS+맥주/NNG+유통법/NNG+)/SS+이/VCP+라는/ETM
신조어가	신조어/NNG+가/JKS
등장하기도	등장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.80.6.2
맥통법이란 수입맥주 유통업체가 정부에서 정한 기준가격 이하로 할인할 수 없도록 제한하는 법이라는 의미로 붙여진 이름이다.

맥통법이란	맥통법/NNG+이란/JX
수입맥주	수입/NNG+맥주/NNG
유통업체가	유통업체/NNG+가/JKS
정부에서	정부/NNG+에서/JKB
정한	정하/VV+ㄴ/ETM
기준가격	기준/NNG+가격/NNG
이하로	이하/NNG+로/JKB
할인할	할인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
제한하는	제한/NNG+하/XSV+는/ETM
법이라는	법/NNG+이/VCP+라는/ETM
의미로	의미/NNG+로/JKB
붙여진	붙이/VV+어/EC+지/VX+ㄴ/ETM
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.80.6.3
일부 네티즌들과 소비자들은 수입맥주를 저렴하게 마실 기회를 정부가 빼앗는다며 불만을 쏟아내기도 했다.

일부	일부/NNG
네티즌들과	네티즌/NNG+들/XSN+과/JC
소비자들은	소비자/NNG+들/XSN+은/JX
수입맥주를	수입/NNG+맥주/NNG+를/JKO
저렴하게	저렴하/VA+게/EC
마실	마시/VV+ㄹ/ETM
기회를	기회/NNG+를/JKO
정부가	정부/NNG+가/JKS
빼앗는다며	빼앗/VV+는다며/EC
불만을	불만/NNG+을/JKO
쏟아내기도	쏟/VV+아/EC+내/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.80.7.1
임재현 정책관은 “현장 참석자 등에 확인해 보니, 지난달 27일 간담회에서 정부가 ‘수입맥주 할인을 규제 하겠다’고 밝힌 적이 없다고 한다.

임재현	임재현/NNP
정책관은	정책관/NNG+은/JX
“현장	“/SS+현장/NNG
참석자	참석자/NNG
등에	등/NNB+에/JKB
확인해	확인/NNG+하/XSV+아/EC
보니,	보/VX+니/EC+,/SP
지난달	지난달/NNG
27일	27/SN+일/NNB
간담회에서	간담회/NNG+에서/JKB
정부가	정부/NNG+가/JKS
‘수입맥주	‘/SS+수입/NNG+맥주/NNG
할인을	할인/NNG+을/JKO
규제	규제/NNG
하겠다’고	하/VV+겠/EP+다/EF+’/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다고	없/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.80.7.2
수입맥주 회사들의 판매 행위는 국세청 고시 위반이 아니고, 정부가 세법으로 규제를 할 수 있는 사안도 아니다”고 설명했다.

수입맥주	수입/NNG+맥주/NNG
회사들의	회사/NNG+들/XSN+의/JKG
판매	판매/NNG
행위는	행위/NNG+는/JX
국세청	국세청/NNG
고시	고시/NNG
위반이	위반/NNG+이/JKC
아니고,	아니/VCN+고/EC+,/SP
정부가	정부/NNG+가/JKS
세법으로	세법/NNG+으로/JKB
규제를	규제/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사안도	사안/NNG+도/JX
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.80.8.1
하지만 기재부는 지난 13일 낸 보도 해명자료에서는 “주류 할인판매 제한에 관한 제도개선 방안에 대해 아직 확정된 바 없다”고 밝혔던 것으로 봐 내부 검토는 했던 것으로 보인다.

하지만	하지만/MAJ
기재부는	기재부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
낸	내/VV+ㄴ/ETM
보도	보도/NNG
해명자료에서는	해명/NNG+자료/NNG+에서/JKB+는/JX
“주류	“/SS+주류/NNG
할인판매	할인/NNG+판매/NNG
제한에	제한/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
제도개선	제도/NNG+개선/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
아직	아직/MAG
확정된	확정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔던	밝히/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
봐	보/VV+아/EC
내부	내부/NNG
검토는	검토/NNG+는/JX
했던	하/VV+았/EP+던/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.80.8.2
이에 소비자들의 불만이 커지자 재빠르게 진화에 나선 것 아니냐는 해석이 나온다.

이에	이/NP+에/JKB
소비자들의	소비자/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
커지자	커지/VV+자/EC
재빠르게	재빠르/VA+게/EC
진화에	진화/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


