# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.59
metadata : {}


# id : NWRW1800000038.59.1.1
66세 이장희, 가수 2막 시작… "나 관객에게 모두 드리리"

66세	66/SN+세/NNB
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.59.4.10
"근식이는 일생 동안 가장 친하게 지낸 친구예요.

"근식이는	"/SS+근식이/NNP+는/JX
일생	일생/NNG
동안	동안/NNG
가장	가장/MAG
친하게	친하/VA+게/EC
지낸	지내/VV+ㄴ/ETM
친구예요.	친구/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000038.59.4.11
서울에 있다가 이번에 제가 전국 투어를 한다고 하니까 연습 파트너가 돼주겠다며 함께 울릉도에 들어왔어요.

서울에	서울/NNP+에/JKB
있다가	있/VA+다가/EC
이번에	이번/NNG+에/JKB
제가	제/NP+가/JKS
전국	전국/NNG
투어를	투어/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
하니까	하/VV+니까/EC
연습	연습/NNG
파트너가	파트너/NNG+가/JKC
돼주겠다며	되/VV+어/EC+주/VX+겠/EP+다며/EC
함께	함께/MAG
울릉도에	울릉도/NNP+에/JKB
들어왔어요.	들어오/VV+았/EP+어요/EF+./SF


# id : NWRW1800000038.59.4.12
낮에는 연습하고 밤에는 술 마시면서 살아가는 얘기하고…."

낮에는	낮/NNG+에/JKB+는/JX
연습하고	연습/NNG+하/XSV+고/EC
밤에는	밤/NNG+에/JKB+는/JX
술	술/NNG
마시면서	마시/VV+면서/EC
살아가는	살아가/VV+는/ETM
얘기하고…."	얘기/NNG+하/XSV+고/EC+…/SE+./SF+"/SS


# id : NWRW1800000038.59.5.1
당대의 톱스타가 이제야 처음 전국 투어를 하게 된 사연은 무얼까?

당대의	당대/NNG+의/JKG
톱스타가	톱스타/NNG+가/JKS
이제야	이제야/MAG
처음	처음/NNG
전국	전국/NNG
투어를	투어/NNG+를/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
사연은	사연/NNG+은/JX
무얼까?	무어/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000038.59.5.2
그는 "젊은 시절 제 가수 인생이 짧고 허무하게 끝나버렸기 때문"이라고 했다.

그는	그/NP+는/JX
"젊은	"/SS+젊/VA+은/ETM
시절	시절/NNG
제	저/NP+의/JKG
가수	가수/NNG
인생이	인생/NNG+이/JKS
짧고	짧/VA+고/EC
허무하게	허무/NNG+하/XSA+게/EC
끝나버렸기	끝나/VV+아/EC+버리/VX+었/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.59.5.3
"71년 데뷔해 75년 대마초 파동으로 가요계를 떠났으니까요.

"71년	"/SS+71/SN+년/NNB
데뷔해	데뷔/NNG+하/XSV+아/EC
75년	75/SN+년/NNB
대마초	대마초/NNG
파동으로	파동/NNG+으로/JKB
가요계를	가요/NNG+계/XSN+를/JKO
떠났으니까요.	떠나/VV+았/EP+으니까/EC+요/JX+./SF


# id : NWRW1800000038.59.5.4
게다가 한창 활동하던 시절에는 심야 라디오 프로그램을 3년간 하루도 빠짐없이 생방송으로 진행했기 때문에 제대로 된 콘서트를 할 만한 시간적 여유가 없었어요."

게다가	게다가/MAG
한창	한창/MAG
활동하던	활동/NNG+하/XSV+던/ETM
시절에는	시절/NNG+에/JKB+는/JX
심야	심야/NNG
라디오	라디오/NNG
프로그램을	프로그램/NNG+을/JKO
3년간	3/SN+년/NNB+간/XSN
하루도	하루/NNG+도/JX
빠짐없이	빠짐없이/MAG
생방송으로	생/XPN+방송/NNG+으로/JKB
진행했기	진행/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
콘서트를	콘서트/NNG+를/JKO
할	하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
시간적	시간/NNG+적/XSN
여유가	여유/NNG+가/JKS
없었어요."	없/VA+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000038.59.6.1
대마초 파동 당시 구치소에 20일간 있다가 벌금형을 받았던 그는 이후 한국과 미국에서 사업을 벌여 크게 성공했다.

대마초	대마초/NNG
파동	파동/NNG
당시	당시/NNG
구치소에	구치소/NNG+에/JKB
20일간	20/SN+일/NNB+간/XSN
있다가	있/VV+다가/EC
벌금형을	벌금형/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
그는	그/NP+는/JX
이후	이후/NNG
한국과	한국/NNP+과/JC
미국에서	미국/NNP+에서/JKB
사업을	사업/NNG+을/JKO
벌여	벌이/VV+어/EC
크게	크/VA+게/EC
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.59.6.2
그는 "손바닥만 한 구치소 방에 15명과 함께 갇혀 있는데 '한국 최고 스타라는 내가 이게 무슨 꼴인가?' 싶었다"고 했다.

그는	그/NP+는/JX
"손바닥만	"/SS+손바닥/NNG+만/JX
한	하/VA+ㄴ/ETM
구치소	구치소/NNG
방에	방/NNG+에/JKB
15명과	15/SN+명/NNB+과/JKB
함께	함께/MAG
갇혀	갇히/VV+어/EC
있는데	있/VX+는데/EC
'한국	'/SS+한국/NNP
최고	최고/NNG
스타라는	스타/NNG+이/VCP+라는/ETM
내가	내/NP+가/JKS
이게	이거/NP+이/JKS
무슨	무슨/MMD
꼴인가?'	꼴/NNG+이/VCP+ㄴ가/EF+?/SF+'/SS
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.59.6.3
"이상하게 '가수는 이제 그만둘 때가 됐다'는 확신이 들었고 이후 다시 노래하겠다는 생각을 좀처럼 하지 못했어요.

"이상하게	"/SS+이상/NNG+하/XSA+게/EC
'가수는	'/SS+가수/NNG+는/JX
이제	이제/MAG
그만둘	그만두/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다'는	되/VV+었/EP+다/EF+'/SS+는/ETM
확신이	확신/NNG+이/JKS
들었고	들/VV+었/EP+고/EC
이후	이후/NNG
다시	다시/MAG
노래하겠다는	노래/NNG+하/XSV+겠/EP+다는/ETM
생각을	생각/NNG+을/JKO
좀처럼	좀처럼/MAG
하지	하/VV+지/EC
못했어요.	못하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000038.59.6.4
가수 복귀에 대한 꿈을 꾸게 되면 사업을 제대로 못 할 것 같았죠.

가수	가수/NNG
복귀에	복귀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
꾸게	꾸/VV+게/EC
되면	되/VV+면/EC
사업을	사업/NNG+을/JKO
제대로	제대로/MAG
못	못/MAG
할	하/VV+ㄹ/ETM
것	것/NNB
같았죠.	같/VA+았/EP+죠/EF+./SF


# id : NWRW1800000038.59.6.5
무슨 일에 빠지면 스스로를 극한까지 몰아붙이는 성격인지라…."

무슨	무슨/MMD
일에	일/NNG+에/JKB
빠지면	빠지/VV+면/EC
스스로를	스스로/NNG+를/JKO
극한까지	극한/NNG+까지/JX
몰아붙이는	몰아붙이/VV+는/ETM
성격인지라…."	성격/NNG+이/VCP+ㄴ지라/EC+…/SE+./SF+"/SS


# id : NWRW1800000038.59.7.1
그런 그의 차가운 가슴에 다시 불을 지핀 건, 2년여 전부터 몰아친 '세시봉 열풍'이다.

그런	그런/MMD
그의	그/NP+의/JKG
차가운	차갑/VA+ㄴ/ETM
가슴에	가슴/NNG+에/JKB
다시	다시/MAG
불을	불/NNG+을/JKO
지핀	지피/VV+ㄴ/ETM
건,	거/NNB+ㄴ/JX+,/SP
2년여	2/SN+년/NNB+여/XSN
전부터	전/NNG+부터/JX
몰아친	몰아치/VV+ㄴ/ETM
'세시봉	'/SS+세시봉/NNP
열풍'이다.	열풍/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.59.7.2
"오랜 친구들과 마지막으로 화음이나 한번 맞춰보자는 생각으로 방송에 나갔는데 뜻밖에 저를 기억하고 찾는 팬이 많더라고요.

"오랜	"/SS+오랜/MMA
친구들과	친구/NNG+들/XSN+과/JKB
마지막으로	마지막/NNG+으로/JKB
화음이나	화음/NNG+이나/JX
한번	한번/MAG
맞춰보자는	맞추/VV+어/EC+보/VX+자는/ETM
생각으로	생각/NNG+으로/JKB
방송에	방송/NNG+에/JKB
나갔는데	나가/VV+았/EP+는데/EC
뜻밖에	뜻밖에/MAG
저를	저/NP+를/JKO
기억하고	기억/NNG+하/XSV+고/EC
찾는	찾/VV+는/ETM
팬이	팬/NNG+이/JKS
많더라고요.	많/VA+더라고/EF+요/JX+./SF


# id : NWRW1800000038.59.7.3
그 후로 집에서 매일 기타를 잡고 노래하다 보니 음악에 대한 열정이 되살아났어요."

그	그/MMD
후로	후/NNG+로/JKB
집에서	집/NNG+에서/JKB
매일	매일/MAG
기타를	기타/NNG+를/JKO
잡고	잡/VV+고/EC
노래하다	노래/NNG+하/XSV+다/EC
보니	보/VX+니/EC
음악에	음악/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열정이	열정/NNG+이/JKS
되살아났어요."	되살아나/VV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000038.59.8.1
가요계를 떠난 뒤에도 꾸준히 노래를 만들어 동료·후배들에게 건넸던 그는 싱어송라이터로서 자부심이 강했다.

가요계를	가요/NNG+계/XSN+를/JKO
떠난	떠나/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
꾸준히	꾸준히/MAG
노래를	노래/NNG+를/JKO
만들어	만들/VV+어/EC
동료·후배들에게	동료/NNG+·/SP+후배/NNG+들/XSN+에게/JKB
건넸던	건네/VV+었/EP+던/ETM
그는	그/NP+는/JX
싱어송라이터로서	싱어송라이터/NNG+로서/JKB
자부심이	자부심/NNG+이/JKS
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.59.8.2
특히 팬들은 '마시자 한 잔의 술' 같은 그의 생활형 구어(口語)체 가사에서 짙은 감성을 느꼈다.

특히	특히/MAG
팬들은	팬/NNG+들/XSN+은/JX
'마시자	'/SS+마시/VV+자/EF
한	한/MMN
잔의	잔/NNG+의/JKG
술'	술/NNG+'/SS
같은	같/VA+은/ETM
그의	그/NP+의/JKG
생활형	생활/NNG+형/XSN
구어(口語)체	구어/NNG+(/SS+口語/SH+)/SS+체/NA
가사에서	가사/NNG+에서/JKB
짙은	짙/VA+은/ETM
감성을	감성/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.59.8.3
"가사를 쓰는 데 일주일쯤 걸렸어요.

"가사를	"/SS+가사/NNG+를/JKO
쓰는	쓰/VV+는/ETM
데	데/NNB
일주일쯤	일주일/NNG+쯤/XSN
걸렸어요.	걸리/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.59.8.4
오히려 선율을 만드는 건 1시간이면 충분했죠.

오히려	오히려/MAG
선율을	선율/NNG+을/JKO
만드는	만들/VV+는/ETM
건	거/NNB+ㄴ/JX
1시간이면	1/SN+시간/NNB+이/VCP+면/EC
충분했죠.	충분하/VA+았/EP+죠/EF+./SF


# id : NWRW1800000038.59.8.5
제 창작의 유일한 철학이 있다면 괜히 뜬구름 잡는 얘기하지 말고 평소 일상에서 쓰는 말을 이용해 쉽게 공감할 수 있는 가사를 만들자는 것이었습니다."

제	저/NP+의/JKG
창작의	창작/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
철학이	철학/NNG+이/JKS
있다면	있/VA+다면/EC
괜히	괜히/MAG
뜬구름	뜬구름/NNG
잡는	잡/VV+는/ETM
얘기하지	얘기/NNG+하/XSV+지/EC
말고	말/VX+고/EC
평소	평소/NNG
일상에서	일상/NNG+에서/JKB
쓰는	쓰/VV+는/ETM
말을	말/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
쉽게	쉽/VA+게/EC
공감할	공감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가사를	가사/NNG+를/JKO
만들자는	만들/VV+자는/ETM
것이었습니다."	것/NNB+이/VCP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.59.8.6
이달 말쯤엔 그런 그의 노래가 한 장의 CD에 집약된 앨범도 발표된다.

이달	이달/NNG
말쯤엔	말/NNB+쯤/XSN+에/JKB+ㄴ/JX
그런	그런/MMD
그의	그/NP+의/JKG
노래가	노래/NNG+가/JKS
한	한/MMN
장의	장/NNB+의/JKG
CD에	CD/SL+에/JKB
집약된	집약/NNG+되/XSV+ㄴ/ETM
앨범도	앨범/NNG+도/JX
발표된다.	발표/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.59.8.7
작년 여름 함춘호 밴드와 함께 녹음한 곡들이다.

작년	작년/NNG
여름	여름/NNG
함춘호	함춘호/NNP
밴드와	밴드/NNG+와/JKB
함께	함께/MAG
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
곡들이다.	곡/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.59.8.8
이장희의 두 번째 가수 인생은 이렇게 벅찬 출발선상에 서 있었다.

이장희의	이장희/NNP+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
가수	가수/NNG
인생은	인생/NNG+은/JX
이렇게	이렇/VA+게/EC
벅찬	벅차/VA+ㄴ/ETM
출발선상에	출발선/NNG+상/XSN+에/JKB
서	서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


