# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.56
metadata : {}


# id : NWRW1800000041.56.1.1
‘톈안먼’ 25주년… 中은 지금 準전시상태

‘톈안먼’	‘/SS+톈안먼/NNP+’/SS
전시상태에	전시/NNG+상태/NNG+에/JKB
준하는	준하/VV+는/ETM
경계	경계/NNG
태세에	태세/NNG+에/JKB
돌입했다고	돌입/NNG+하/XSV+았/EP+다고/EC
중화권	중화/NNG+권/XSN
매체	매체/NNG
보쉰(博迅)이	보쉰/NNP+(/SS+博迅/SH+)/SS+이/JKS
2일	2/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.4.2
당국은 최근 군대와 무장경찰, 소방서 등에 통지문을 보내 ‘상급 전비태세’를 갖추라고 지시했다.

당국은	당국/NNG+은/JX
최근	최근/MAG
군대와	군대/NNG+와/JC
무장경찰,	무장/NNG+경찰/NNG+,/SP
소방서	소방서/NNG
등에	등/NNB+에/JKB
통지문을	통지문/NNG+을/JKO
보내	보내/VV+어/EC
‘상급	‘/SS+상급/NNG
전비태세’를	전비/NNG+태세/NNG+’/SS+를/JKO
갖추라고	갖추/VV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.4.3
보쉰은 이런 상황이 앞으로 두 달간 지속될 것이라고 전했다.

보쉰은	보쉰/NNP+은/JX
이런	이런/MMD
상황이	상황/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
두	두/MMN
달간	달/NNB+간/XSN
지속될	지속/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.4.4
베이징에서는 단오절에 열리는 용선(龍船) 축제도 취소됐다.

베이징에서는	베이징/NNP+에서/JKB+는/JX
단오절에	단오절/NNG+에/JKB
열리는	열리/VV+는/ETM
용선(龍船)	용선/NNG+(/SS+龍船/SH+)/SS
축제도	축제/NNG+도/JX
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.56.5.1
미국 자유아시아방송(RFA)도 베이징 곳곳에 보안요원 10만여 명이 배치됐다며 최고 수준의 경계령이 발동됐다고 보도했다.

미국	미국/NNP
자유아시아방송(RFA)도	자유아시아방송/NNP+(/SS+RFA/SL+)/SS+도/JX
베이징	베이징/NNP
곳곳에	곳곳/NNG+에/JKB
보안요원	보안/NNG+요원/NNG
10만여	10/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
배치됐다며	배치/NNG+되/XSV+었/EP+다며/EC
최고	최고/NNG
수준의	수준/NNG+의/JKG
경계령이	경계령/NNG+이/JKS
발동됐다고	발동/NNG+되/XSV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.5.2
또 지하철역에서도 공항 수준의 강도 높은 검문검색이 실시되고 있다고 전했다.

또	또/MAG
지하철역에서도	지하철역/NNG+에서/JKB+도/JX
공항	공항/NNG
수준의	수준/NNG+의/JKG
강도	강도/NNG
높은	높/VA+은/ETM
검문검색이	검문검색/NNG+이/JKS
실시되고	실시/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.6.1
공안은 아울러 시 전역에서 경찰견 650여 마리를 방범활동에 투입하고 있다고 신징(新京)보가 이날 보도했다.

공안은	공안/NNG+은/JX
아울러	아울러/MAG
시	시/NNG
전역에서	전역/NNG+에서/JKB
경찰견	경찰견/NNG
650여	650/SN+여/XSN
마리를	마리/NNB+를/JKO
방범활동에	방범/NNG+활동/NNG+에/JKB
투입하고	투입/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
신징(新京)보가	신징/NNP+(/SS+新京/SH+)/SS+보/NNG+가/JKS
이날	이날/NNG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.7.1
사이버 공간에 대한 검열도 대폭 강화돼 이날 베이징을 비롯한 중국 곳곳에서 구글 접속이 일부 차단됐다.

사이버	사이버/NNG
공간에	공간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검열도	검열/NNG+도/JX
대폭	대폭/MAG
강화돼	강화/NNG+되/XSV+어/EC
이날	이날/NNG
베이징을	베이징/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
중국	중국/NNP
곳곳에서	곳곳/NNG+에서/JKB
구글	구글/NNP
접속이	접속/NNG+이/JKS
일부	일부/NNG
차단됐다.	차단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.56.7.2
중국의 인터넷 검열을 감시하는 블로그인 ‘그레이트파이어’는 중국 당국이 소위 ‘인터넷 만리방화벽’이라는 검열 시스템을 이용해 중국 전역에서 대부분의 구글 서비스를 막고 있다고 밝혔다.

중국의	중국/NNP+의/JKG
인터넷	인터넷/NNG
검열을	검열/NNG+을/JKO
감시하는	감시/NNG+하/XSV+는/ETM
블로그인	블로그/NNG+이/VCP+ㄴ/ETM
‘그레이트파이어’는	‘/SS+그레이트파이어/NNP+’/SS+는/JX
중국	중국/NNP
당국이	당국/NNG+이/JKS
소위	소위/MAG
‘인터넷	‘/SS+인터넷/NNG
만리방화벽’이라는	만리/NNG+방화벽/NNG+’/SS+이/VCP+라는/ETM
검열	검열/NNG
시스템을	시스템/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
전역에서	전역/NNG+에서/JKB
대부분의	대/XPN+부분/NNG+의/JKG
구글	구글/NNP
서비스를	서비스/NNG+를/JKO
막고	막/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.56.7.3
중국판 트위터인 웨이보(微博)에서는 톈안먼 사태 발생일(1989년 6월 4일)을 뜻하는 8964 등의 검색이 차단됐다.

중국판	중국판/NNG
트위터인	트위터/NNP+이/VCP+ㄴ/ETM
웨이보(微博)에서는	웨이보/NNP+(/SS+微博/SH+)/SS+에서/JKB+는/JX
톈안먼	톈안먼/NNP
사태	사태/NNG
발생일(1989년	발생일/NNG+(/SS+1989/SN+년/NNB
6월	6/SN+월/NNB
4일)을	4/SN+일/NNB+)/SS+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
8964	8964/SN
등의	등/NNB+의/JKG
검색이	검색/NNG+이/JKS
차단됐다.	차단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.56.8.1
공안은 체제 비판적인 언론인 단속도 강화하고 있다.

공안은	공안/NNG+은/JX
체제	체제/NNG
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
언론인	언론인/NNG
단속도	단속/NNG+도/JX
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.56.8.2
중화권 언론들은 공안당국이 최근 홍콩의 유력 언론인 2명을 체포해 조사 중이라며 톈안먼 25주년과 관련이 있다고 분석했다.

중화권	중화/NNG+권/XSN
언론들은	언론/NNG+들/XSN+은/JX
공안당국이	공안/NNG+당국/NNG+이/JKS
최근	최근/MAG
홍콩의	홍콩/NNP+의/JKG
유력	유력/NNG
언론인	언론인/NNG
2명을	2/SN+명/NNB+을/JKO
체포해	체포/NNG+하/XSV+아/EC
조사	조사/NNG
중이라며	중/NNB+이/VCP+라며/EC
톈안먼	톈안먼/NNP
25주년과	25/SN+주년/NNB+과/JKB
관련이	관련/NNG+이/JKS
있다고	있/VA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.9.1
체포된 언론인은 신웨이(新維)월간 창립자인 왕젠민(王建民)과 야저우(亞洲)주간 전 고급편집인 궈중샤오({中校)로 불법 출판물 간행 혐의를 받고 있다.

체포된	체포/NNG+되/XSV+ㄴ/ETM
언론인은	언론인/NNG+은/JX
신웨이(新維)월간	신웨이/NNP+(/SS+新維/SH+)/SS+월간/NNG
창립자인	창립자/NNG+이/VCP+ㄴ/ETM
왕젠민(王建民)과	왕젠민/NNP+(/SS+王建民/SH+)/SS+과/JC
야저우(亞洲)주간	야저우/NNP+(/SS+亞洲/SH+)/SS+주간/NNG
전	전/MMD
고급편집인	고급/NNG+편집인/NNG
궈중샤오({中校)로	궈중샤오/NNP+(/SS+{/SS+中校/SH+)/SS+로/JKB
불법	불법/NNG
출판물	출판물/NNG
간행	간행/NNG
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.56.9.2
왕젠민은 톈안먼 사태 재평가 관련 기사를 작성해 왔으며 궈 전 편집인도 중국 체제를 비판하는 글을 써 왔다.

왕젠민은	왕젠민/NNP+은/JX
톈안먼	톈안먼/NNP
사태	사태/NNG
재평가	재/XPN+평가/NNG
관련	관련/NNG
기사를	기사/NNG+를/JKO
작성해	작성/NNG+하/XSV+아/EC
왔으며	오/VX+았/EP+으며/EC
궈	궈/NNP
전	전/MMD
편집인도	편집인/NNG+도/JX
중국	중국/NNP
체제를	체제/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
써	쓰/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


